Sample Animal Replicate Timepoint Treatment
1 Animal 1 1 Pre control
2 Animal 1 1 Pre control
3 Animal 1 2 Post control
4 Animal 1 2 Post control
5 Animal 2 3 Pre reagent
6 Animal 2 3 Pre reagent
7 Animal 2 4 Post reagent
8 Animal 2 4 Post reagent
9 Animal 3 5 Pre control
10 Animal 3 5 Pre control
11 Animal 3 6 Post control
12 Animal 3 6 Post control
13 Animal 4 7 Pre reagent
14 Animal 4 7 Pre reagent
15 Animal 4 8 Post reagent
16 Animal 4 8 Post reagent
17 Animal 5 9 Pre control
18 Animal 5 9 Pre control
19 Animal 5 10 Post control
20 Animal 5 10 Post control
21 Animal 6 11 Pre reagent
22 Animal 6 11 Pre reagent
23 Animal 6 12 Post reagent
24 Animal 6 12 Post reagent
