Regulator,Target,Weight,Sign
O15143,O94925,0.056224439757596986,
O15143,P02652,0.001758013707795639,
O15143,P04179,0.007975966784969252,
O15143,P12956,0.06766709660287087,
O15143,P18859,0.010485931396180927,
O15143,P21281,0.02121304666969822,
O15143,P26022,0.024521405714753843,
O15143,P26447,0.025776102987974458,
O15143,P30085,0.12961570939432487,
O15143,P35222,0.06143024759728004,
O15143,P36957,0.050644999361583724,
O15143,P38606,0.0015046835665234442,
O15143,P40926,0.050557271024818176,
O15143,P42765,0.01141453376323425,
O15143,P56192,0.0008701308790536732,
O15143,P61981,0.026024002249006122,
O15143,P62854,0.009547715387639441,
O15143,P62917,0.0016531217754131955,
O15143,Q02218,0.03322536727035943,
O15143,Q02818,0.034998988929536685,
O15143,Q07065,0.030262358344554822,
O15143,Q07866,0.020347768301770774,
O15143,Q07954,0.021880021316766318,
O15143,Q13162,0.026172860738105177,
O15143,Q14011,0.04373483925005231,
O15143,Q15459,0.04088128033969627,
O15143,Q15843,0.004967413561557882,
O15143,Q96L92,0.02372862872600867,
O15143,Q9H0U4,0.046511375223093135,
O15143,Q9UHD8,0.061792351783156535,
O15143,Q9UJZ1,0.01085744205145867,
O15143,Q9UNH7,0.002537695269934784,
O15143,Q9Y3D6,0.004084550662331786,
O94925,O15143,0.021549692220348457,
O94925,P02652,0.011308719731818793,
O94925,P04179,0.021109451602929385,
O94925,P12956,0.06893064166234236,
O94925,P18859,0.0656059710604787,
O94925,P21281,0.001127199735060241,
O94925,P26022,0.06754068496095243,
O94925,P26447,0.0950222200109778,
O94925,P30085,0.04727071925451778,
O94925,P35222,0.04776596522162113,
O94925,P36957,0.05765073482772873,
O94925,P38606,0.002261476739013119,
O94925,P40926,0.050602814837964444,
O94925,P42765,0.0009633189093188284,
O94925,P56192,0.038156007160483486,
O94925,P61981,0.06033611984617709,
O94925,P62854,0.022546526646464192,
O94925,P62917,0.03078735508968092,
O94925,Q02218,0.018226121993848206,
O94925,Q02818,0.030399126683540865,
O94925,Q07065,0.012113001784252626,
O94925,Q07866,0.023900102602416897,
O94925,Q07954,0.011537451096294926,
O94925,Q13162,0.0004877103916100121,
O94925,Q14011,0.0004699715084376591,
O94925,Q15459,0.010208467215185363,
O94925,Q15843,0.0030910055233333653,
O94925,Q96L92,0.010151458088166481,
O94925,Q9H0U4,0.03178610306073362,
O94925,Q9UHD8,0.03055371985511071,
O94925,Q9UJZ1,0.009981478860267637,
O94925,Q9UNH7,0.01948768821274065,
O94925,Q9Y3D6,0.011278200644882832,
P02652,O15143,0.019475224305895895,
P02652,O94925,0.025482491485418104,
P02652,P04179,0.012142854564419443,
P02652,P12956,0.031157704455149902,
P02652,P18859,0.0016465566175426483,
P02652,P21281,0.015259376292581625,
P02652,P26022,0.044361412739278884,
P02652,P26447,0.011171257552346965,
P02652,P30085,0.07059412634138287,
P02652,P35222,0.0468194570451398,
P02652,P36957,0.037449380653526945,
P02652,P38606,0.00794435916601786,
P02652,P40926,0.03957850867830349,
P02652,P42765,0.02616767359508452,
P02652,P56192,0.124649739706517,
P02652,P61981,0.029455706081285015,
P02652,P62854,0.0922341361171542,
P02652,P62917,0.005878778463604982,
P02652,Q02218,0.0035070619118565127,
P02652,Q02818,0.029052208076276884,
P02652,Q07065,0.03421268278366128,
P02652,Q07866,0.010453185665786645,
P02652,Q07954,0.022180567530535576,
P02652,Q13162,0.01960849222290996,
P02652,Q14011,0.00659993556907291,
P02652,Q15459,0.025692535676869407,
P02652,Q15843,0.016335535882110185,
P02652,Q96L92,0.010372887106516786,
P02652,Q9H0U4,0.0012176170272918622,
P02652,Q9UHD8,0.07500343229337136,
P02652,Q9UJZ1,0.008659578026277736,
P02652,Q9UNH7,0.05094735967623994,
P02652,Q9Y3D6,0.04178672588974714,
P04179,O15143,0.04561005635812756,
P04179,O94925,0.04826255406145773,
P04179,P02652,0.05998366416226208,
P04179,P12956,0.028089887212839795,
P04179,P18859,0.011249542500298686,
P04179,P21281,0.0076512461795336896,
P04179,P26022,0.043452638244087446,
P04179,P26447,0.029979717236605564,
P04179,P30085,0.04718391407782345,
P04179,P35222,0.03992981354665964,
P04179,P36957,0.07893772297053635,
P04179,P38606,0.004916565027853557,
P04179,P40926,0.021691628737637313,
P04179,P42765,0.014309268440014926,
P04179,P56192,0.026768915294616228,
P04179,P61981,0.0013613435878271152,
P04179,P62854,0.004998505940310232,
P04179,P62917,0.05219401405877203,
P04179,Q02218,0.08540140705846819,
P04179,Q02818,0.0910440338633366,
P04179,Q07065,0.013681071612664302,
P04179,Q07866,0.02717885442825165,
P04179,Q07954,0.0012645116558042133,
P04179,Q13162,0.027964332286830054,
P04179,Q14011,0.0017914166238122162,
P04179,Q15459,0.022619215182768722,
P04179,Q15843,0.010527656407072941,
P04179,Q96L92,0.004910893613417417,
P04179,Q9H0U4,0.0640759283119573,
P04179,Q9UHD8,0.0378571135246871,
P04179,Q9UJZ1,0.009332915904382047,
P04179,Q9UNH7,0.009454705701620984,
P04179,Q9Y3D6,0.005063918470649993,
P12956,O15143,0.068515979025791,
P12956,O94925,0.08619091225376023,
P12956,P02652,0.0016435807870930498,
P12956,P04179,0.005969977981908452,
P12956,P18859,0.03868627776797775,
P12956,P21281,0.014366342806132757,
P12956,P26022,0.05624974313044447,
P12956,P26447,0.07770776782839466,
P12956,P30085,0.030581895531558295,
P12956,P35222,0.03154899580609011,
P12956,P36957,0.0495091535743132,
P12956,P38606,0.0011570016578760394,
P12956,P40926,0.050276408140783,
P12956,P42765,0.005523832246526055,
P12956,P56192,0.09709811905155083,
P12956,P61981,0.02504070915803673,
P12956,P62854,0.01960690739685955,
P12956,P62917,0.020086399812048943,
P12956,Q02218,0.011760105918971697,
P12956,Q02818,0.009904963956534209,
P12956,Q07065,0.020804400366402825,
P12956,Q07866,0.038696159925930514,
P12956,Q07954,0.011407276606124563,
P12956,Q13162,0.010844866044666954,
P12956,Q14011,0.00368164338595841,
P12956,Q15459,0.0425625487867665,
P12956,Q15843,0.0059110355771502384,
P12956,Q96L92,0.0004447000901045333,
P12956,Q9H0U4,0.05942724317992581,
P12956,Q9UHD8,0.0303902521114684,
P12956,Q9UJZ1,0.0006852810885210722,
P12956,Q9UNH7,0.011644375398305174,
P12956,Q9Y3D6,0.011841012883810098,
P18859,O15143,0.047246879736763885,
P18859,O94925,0.034963090735066045,
P18859,P02652,0.014142980359135441,
P18859,P04179,0.03301974422867258,
P18859,P12956,0.032883665697832125,
P18859,P21281,0.013541225992553755,
P18859,P26022,0.07111171730626115,
P18859,P26447,0.03447757850659783,
P18859,P30085,0.08202828918081531,
P18859,P35222,0.03856513957648242,
P18859,P36957,0.061062157274015184,
P18859,P38606,0.012386483858149007,
P18859,P40926,0.04646360038890759,
P18859,P42765,0.015211180153356596,
P18859,P56192,0.02805755112275925,
P18859,P61981,0.0038330016762253903,
P18859,P62854,0.031664062982547744,
P18859,P62917,0.021482209229471954,
P18859,Q02218,0.014489105036547647,
P18859,Q02818,0.018882368080216906,
P18859,Q07065,0.030344376547553547,
P18859,Q07866,0.043913508550637734,
P18859,Q07954,0.01077890057276488,
P18859,Q13162,0.010242070371044529,
P18859,Q14011,0.0026326398350620082,
P18859,Q15459,0.02960887368331185,
P18859,Q15843,0.011751679866579537,
P18859,Q96L92,0.0016189544080035217,
P18859,Q9H0U4,0.05589312549082936,
P18859,Q9UHD8,0.0724663467044337,
P18859,Q9UJZ1,0.010250206853025929,
P18859,Q9UNH7,0.011721578831455077,
P18859,Q9Y3D6,0.005830720387718403,
P21281,O15143,0.031936901176813956,
P21281,O94925,0.014933127724948654,
P21281,P02652,0.03141461298415041,
P21281,P04179,0.013575302744414923,
P21281,P12956,0.0023650240770501448,
P21281,P18859,0.050025254087548536,
P21281,P26022,0.023171275000836048,
P21281,P26447,0.0073521358842597055,
P21281,P30085,0.032691093708641206,
P21281,P35222,0.0071179561446973886,
P21281,P36957,0.011795089326527765,
P21281,P38606,0.038392253144343046,
P21281,P40926,0.002611478699538296,
P21281,P42765,0.019217955666546386,
P21281,P56192,0.012048356509886789,
P21281,P61981,0.023525346399218994,
P21281,P62854,0.0010469062755203715,
P21281,P62917,0.06599676376110265,
P21281,Q02218,0.11630422276911932,
P21281,Q02818,0.02929415738786978,
P21281,Q07065,0.0230745460052912,
P21281,Q07866,0.00924060390262928,
P21281,Q07954,0.01548363399382977,
P21281,Q13162,0.11885720120646899,
P21281,Q14011,0.03742972296070618,
P21281,Q15459,0.012793585529300426,
P21281,Q15843,0.02342817637401888,
P21281,Q96L92,0.0327127251235596,
P21281,Q9H0U4,0.01595912560923121,
P21281,Q9UHD8,0.020961268644000174,
P21281,Q9UJZ1,0.023278330065690103,
P21281,Q9UNH7,0.005204318278766717,
P21281,Q9Y3D6,0.061580027094937775,
P26022,O15143,0.10548716207742699,
P26022,O94925,0.06892113344715965,
P26022,P02652,0.01326052097114029,
P26022,P04179,0.02912507146600625,
P26022,P12956,0.020911705464600024,
P26022,P18859,0.06686087564818996,
P26022,P21281,0.000700449025553847,
P26022,P26447,0.04807455305710852,
P26022,P30085,0.05798620291448817,
P26022,P35222,0.06739005748536825,
P26022,P36957,0.06053139218796023,
P26022,P38606,0.010605359242643024,
P26022,P40926,0.021373261962583514,
P26022,P42765,0.0114642339411985,
P26022,P56192,0.02880300174310871,
P26022,P61981,0.0021894504295161066,
P26022,P62854,0.028388690984450807,
P26022,P62917,0.020287939521577758,
P26022,Q02218,0.0017258441987424453,
P26022,Q02818,0.0009352963761921485,
P26022,Q07065,0.021632005728068924,
P26022,Q07866,0.03139423082196434,
P26022,Q07954,0.02149952801017341,
P26022,Q13162,0.001458953143715815,
P26022,Q14011,0.0008243796212569168,
P26022,Q15459,0.04807072202687765,
P26022,Q15843,0.008101426334758308,
P26022,Q96L92,0.00017279694220517574,
P26022,Q9H0U4,0.09787201339657889,
P26022,Q9UHD8,0.04871330717858734,
P26022,Q9UJZ1,0.0017410023903323233,
P26022,Q9UNH7,0.0012894193744927165,
P26022,Q9Y3D6,0.0010819294748764421,
P26447,O15143,0.036301497935268386,
P26447,O94925,0.052671034447334876,
P26447,P02652,0.01255231124319551,
P26447,P04179,0.012969604641526761,
P26447,P12956,0.030585729764709538,
P26447,P18859,0.030045002375563738,
P26447,P21281,0.006614978867770278,
P26447,P26022,0.07824635474978864,
P26447,P30085,0.1070213063797088,
P26447,P35222,0.08038665200092758,
P26447,P36957,0.061080776291088365,
P26447,P38606,0.00010099179251715983,
P26447,P40926,0.02585400137232157,
P26447,P42765,0.0014257698813423556,
P26447,P56192,0.05334329018511518,
P26447,P61981,0.02039918137246682,
P26447,P62854,0.019237979719160372,
P26447,P62917,0.028308697250197624,
P26447,Q02218,0.01123650571281729,
P26447,Q02818,0.014227066649111532,
P26447,Q07065,0.04057166744986693,
P26447,Q07866,0.019590107603046702,
P26447,Q07954,0.009167890184550262,
P26447,Q13162,0.006908769827928699,
P26447,Q14011,0.0031215127230754987,
P26447,Q15459,0.05499658253433669,
P26447,Q15843,0.0031219196001427006,
P26447,Q96L92,0.009571213103700873,
P26447,Q9H0U4,0.03982965694896952,
P26447,Q9UHD8,0.04477568632933032,
P26447,Q9UJZ1,0.01573422097121419,
P26447,Q9UNH7,0.011671896357912308,
P26447,Q9Y3D6,0.002065262138040319,
P30085,O15143,0.047338710714059574,
P30085,O94925,0.04342242041471765,
P30085,P02652,0.011824987467798488,
P30085,P04179,0.024654741873677014,
P30085,P12956,0.04846642579567203,
P30085,P18859,0.06935044082468379,
P30085,P21281,0.012331528910225915,
P30085,P26022,0.02374691893035979,
P30085,P26447,0.04755594267872742,
P30085,P35222,0.06414695682968374,
P30085,P36957,0.03858519053033494,
P30085,P38606,0.0027325845761065892,
P30085,P40926,0.04994668586530061,
P30085,P42765,0.005187246826267476,
P30085,P56192,0.06429285157548291,
P30085,P61981,0.012595046594839662,
P30085,P62854,0.008890146815574403,
P30085,P62917,0.03409731615212685,
P30085,Q02218,0.019891687651509678,
P30085,Q02818,0.014443820545319723,
P30085,Q07065,0.010301704470261712,
P30085,Q07866,0.03428945126078735,
P30085,Q07954,0.03093024442231046,
P30085,Q13162,0.013517493465064385,
P30085,Q14011,0.018824667165527293,
P30085,Q15459,0.053065862329794634,
P30085,Q15843,0.009536832629266363,
P30085,Q96L92,0.0030518663556914133,
P30085,Q9H0U4,0.06723889308593771,
P30085,Q9UHD8,0.038450175152709654,
P30085,Q9UJZ1,0.026143664111202506,
P30085,Q9UNH7,0.009660096349973469,
P30085,Q9Y3D6,0.0008115894379830022,
P35222,O15143,0.011305134287013536,
P35222,O94925,0.0548651217689624,
P35222,P02652,0.03199831044991507,
P35222,P04179,0.026255720740696233,
P35222,P12956,0.050536155474700854,
P35222,P18859,0.05026967268389212,
P35222,P21281,0.003268865495943695,
P35222,P26022,0.0820448260900189,
P35222,P26447,0.010416024383937622,
P35222,P30085,0.024162314278128833,
P35222,P36957,0.0642469728394596,
P35222,P38606,0.03628614251419841,
P35222,P40926,0.06333102225810006,
P35222,P42765,0.0075549654833584595,
P35222,P56192,0.03474566990735284,
P35222,P61981,0.02472886850069278,
P35222,P62854,0.017051119516885538,
P35222,P62917,0.05359359859218841,
P35222,Q02218,0.0018017335563218296,
P35222,Q02818,0.028953523672430384,
P35222,Q07065,0.028304822207273456,
P35222,Q07866,0.014411421845798288,
P35222,Q07954,0.013340641530565855,
P35222,Q13162,0.003211217528933637,
P35222,Q14011,0.0030272943518088865,
P35222,Q15459,0.025028219213314457,
P35222,Q15843,0.0026972141693818205,
P35222,Q96L92,0.014235714004399025,
P35222,Q9H0U4,0.043233163244974164,
P35222,Q9UHD8,0.08519664608497887,
P35222,Q9UJZ1,0.0007494270960228583,
P35222,Q9UNH7,0.018592772733117165,
P35222,Q9Y3D6,0.0005224984356278931,
P36957,O15143,0.033266865817898325,
P36957,O94925,0.055891163975427045,
P36957,P02652,0.04129949801923331,
P36957,P04179,0.023357072966217897,
P36957,P12956,0.0773589729127268,
P36957,P18859,0.05385356876347952,
P36957,P21281,0.005477969236514348,
P36957,P26022,0.01436370014497259,
P36957,P26447,0.09738712228852975,
P36957,P30085,0.062783559151663,
P36957,P35222,0.05377103260791461,
P36957,P38606,0.0043909666534864686,
P36957,P40926,0.0371523688677354,
P36957,P42765,0.005859877763030984,
P36957,P56192,0.03742505563892462,
P36957,P61981,0.03736167757654787,
P36957,P62854,0.01723992526272347,
P36957,P62917,0.019624329784686943,
P36957,Q02218,0.01347238093475413,
P36957,Q02818,0.04006613593216556,
P36957,Q07065,0.020447513167305295,
P36957,Q07866,0.023606683458679046,
P36957,Q07954,0.02030968657178437,
P36957,Q13162,0.004333025881344176,
P36957,Q14011,0.005571208489619014,
P36957,Q15459,0.05420116737821704,
P36957,Q15843,0.0029008476070047045,
P36957,Q96L92,0.0033679208249305535,
P36957,Q9H0U4,0.03985940266799647,
P36957,Q9UHD8,0.04224123905643137,
P36957,Q9UJZ1,0.002256746999543073,
P36957,Q9UNH7,0.018233433476173636,
P36957,Q9Y3D6,0.0022971242882193865,
P38606,O15143,0.02051692602711095,
P38606,O94925,0.011107477251153122,
P38606,P02652,0.015766573289973565,
P38606,P04179,0.013668658977636307,
P38606,P12956,0.021501891145041484,
P38606,P18859,0.03755951715252288,
P38606,P21281,0.017810909060082356,
P38606,P26022,0.0009744718842795704,
P38606,P26447,0.008686423182564155,
P38606,P30085,0.005693976378918722,
P38606,P35222,0.004063242711656645,
P38606,P36957,0.004660287488720849,
P38606,P40926,0.03514767601345772,
P38606,P42765,0.011839092594553943,
P38606,P56192,0.010796961805396443,
P38606,P61981,0.08256674196022196,
P38606,P62854,0.03914968655407119,
P38606,P62917,0.010663318770133543,
P38606,Q02218,0.015531180865885579,
P38606,Q02818,0.009032463103156379,
P38606,Q07065,0.005092053293979223,
P38606,Q07866,0.028685932522992452,
P38606,Q07954,0.007260163438898784,
P38606,Q13162,0.4235950928292376,
P38606,Q14011,0.006545471843849091,
P38606,Q15459,0.005276269130772406,
P38606,Q15843,0.03718164388722604,
P38606,Q96L92,0.004333540656655297,
P38606,Q9H0U4,0.0044575175821502415,
P38606,Q9UHD8,0.002401185585416836,
P38606,Q9UJZ1,0.015490472085994187,
P38606,Q9UNH7,0.006262230546918637,
P38606,Q9Y3D6,0.017540017015403656,
P40926,O15143,0.0015028374644379691,
P40926,O94925,0.005192934616748895,
P40926,P02652,0.15920969805436955,
P40926,P04179,0.03234866736959653,
P40926,P12956,0.06388502785497983,
P40926,P18859,0.010706538929323326,
P40926,P21281,0.01983297549391503,
P40926,P26022,0.017546727128782625,
P40926,P26447,0.06463058666392214,
P40926,P30085,0.0004075933746689444,
P40926,P35222,0.03585357260067173,
P40926,P36957,0.019273755667413208,
P40926,P38606,0.0029174426686578796,
P40926,P42765,0.033711900606754636,
P40926,P56192,0.04544721772870778,
P40926,P61981,0.01306318923515108,
P40926,P62854,0.020669559788403884,
P40926,P62917,0.0302815940016498,
P40926,Q02218,0.013348050966190827,
P40926,Q02818,0.03928684777198887,
P40926,Q07065,0.03297901054757699,
P40926,Q07866,0.016547106924866665,
P40926,Q07954,0.03362303597000272,
P40926,Q13162,0.010850636534386275,
P40926,Q14011,0.01530607195168523,
P40926,Q15459,0.035504122626817194,
P40926,Q15843,0.009236733261061357,
P40926,Q96L92,0.01329048934770298,
P40926,Q9H0U4,0.06085277660466186,
P40926,Q9UHD8,0.048718081206841554,
P40926,Q9UJZ1,0.007284406992058905,
P40926,Q9UNH7,0.035214298143851144,
P40926,Q9Y3D6,0.03604106507936308,
P42765,O15143,0.01191691351338017,
P42765,O94925,0.014152590422444428,
P42765,P02652,0.04324469110829677,
P42765,P04179,0.02518884396609292,
