Regulator,Target,Weight,Sign
O15143,O94925,0.006050929506319105,
O15143,P02652,0.12257249698279059,
O15143,P04179,0.011866280769348028,
O15143,P12956,0.0038481034507975567,
O15143,P18859,0.0027653598011180922,
O15143,P21281,0.03600624450353249,
O15143,P26022,0.01408854124356622,
O15143,P26447,0.0033656639676092675,
O15143,P30085,0.013230212113729595,
O15143,P35222,0.02122772768834383,
O15143,P36957,0.011471135538233491,
O15143,P38606,0.0021248489705005128,
O15143,P40926,0.13461664708565818,
O15143,P42765,0.015479880913657044,
O15143,P56192,0.00472419247278942,
O15143,P61981,0.1332325345771927,
O15143,P62854,0.011615780553043223,
O15143,P62917,0.0968443351890989,
O15143,Q02218,0.010024398697270702,
O15143,Q02818,0.002203742447937517,
O15143,Q07065,0.00023163908359369388,
O15143,Q07866,0.014820707186270592,
O15143,Q07954,0.004693876100240712,
O15143,Q13162,0.009398904566064242,
O15143,Q14011,0.14733576004898044,
O15143,Q15459,0.007645695647671243,
O15143,Q15843,0.006606591861353861,
O15143,Q96L92,0.03442906111934004,
O15143,Q9H0U4,0.004650173686244248,
O15143,Q9UHD8,0.018078477320675534,
O15143,Q9UJZ1,0.003214771762348428,
O15143,Q9UNH7,0.0028300547286499492,
O15143,Q9Y3D6,0.010559457808720635,
O94925,O15143,0.0220762104910659,
O94925,P02652,0.0014673888881416295,
O94925,P04179,0.0025474936655950913,
O94925,P12956,0.04041389962192521,
O94925,P18859,0.03153730164897646,
O94925,P21281,0.007209304455807946,
O94925,P26022,0.1300794016544432,
O94925,P26447,0.0295910940496059,
O94925,P30085,0.021090940666215592,
O94925,P35222,0.024209132574403727,
O94925,P36957,0.031439136223001866,
O94925,P38606,0.02266209929940838,
O94925,P40926,0.02423471634884669,
O94925,P42765,0.016444854743038414,
O94925,P56192,0.028763667995757934,
O94925,P61981,0.0010108338546692686,
O94925,P62854,0.11014852017886896,
O94925,P62917,0.0031783071660102013,
O94925,Q02218,0.020090381146307047,
O94925,Q02818,0.02118245218087936,
O94925,Q07065,0.013634881910548784,
O94925,Q07866,0.12316098659346615,
O94925,Q07954,0.0042635912404097665,
O94925,Q13162,0.01422012688279253,
O94925,Q14011,0.047511668778540336,
O94925,Q15459,0.02803623130722646,
O94925,Q15843,0.009374736911853131,
O94925,Q96L92,0.007334835448276471,
O94925,Q9H0U4,0.009623765942431872,
O94925,Q9UHD8,0.04543905003936855,
O94925,Q9UJZ1,0.04152507486457685,
O94925,Q9UNH7,0.0033296875597690306,
O94925,Q9Y3D6,0.008751984315501333,
P02652,O15143,0.023085781811370918,
P02652,O94925,0.05146433674997274,
P02652,P04179,0.027458367510346866,
P02652,P12956,0.028724225249829448,
P02652,P18859,0.020385513998542045,
P02652,P21281,0.010543695913591436,
P02652,P26022,0.023310828208939843,
P02652,P26447,0.002912801909306448,
P02652,P30085,0.051626327019283116,
P02652,P35222,0.08314908848081208,
P02652,P36957,0.018480082032749843,
P02652,P38606,0.026541442803193538,
P02652,P40926,0.07106069755724893,
P02652,P42765,0.02969019592062365,
P02652,P56192,0.0242460938129571,
P02652,P61981,0.05137733579900983,
P02652,P62854,0.021265967787768014,
P02652,P62917,0.011910026276998045,
P02652,Q02218,0.0172740038541773,
P02652,Q02818,0.006779516166873965,
P02652,Q07065,0.03806408664357702,
P02652,Q07866,0.036773652092229624,
P02652,Q07954,0.024116842176596754,
P02652,Q13162,0.02179293773210517,
P02652,Q14011,0.0028233367778910065,
P02652,Q15459,0.016118354613984406,
P02652,Q15843,0.03502112837099216,
P02652,Q96L92,0.02607964684941067,
P02652,Q9H0U4,0.006547675622915598,
P02652,Q9UHD8,0.07488913292808332,
P02652,Q9UJZ1,0.025126540407273336,
P02652,Q9UNH7,0.005097141751505054,
P02652,Q9Y3D6,0.052069423936467754,
P04179,O15143,0.01593590363013188,
P04179,O94925,0.012348538165517696,
P04179,P02652,0.00478922247645731,
P04179,P12956,0.06282117148470343,
P04179,P18859,0.05359954688087995,
P04179,P21281,0.019063881261337748,
P04179,P26022,0.058440689776740655,
P04179,P26447,0.051233603494280626,
P04179,P30085,0.02546644364491321,
P04179,P35222,0.007772764442066586,
P04179,P36957,0.041004476328551656,
P04179,P38606,0.02046588359376069,
P04179,P40926,0.04319177358293505,
P04179,P42765,0.11132471536603578,
P04179,P56192,0.06245515085994511,
P04179,P61981,0.010184020629357941,
P04179,P62854,0.03526289016185254,
P04179,P62917,0.005955422383285625,
P04179,Q02218,0.04629380011772859,
P04179,Q02818,0.0071102781337159734,
P04179,Q07065,0.012295513146599784,
P04179,Q07866,0.0019800318092940542,
P04179,Q07954,0.00896914242071746,
P04179,Q13162,0.017047054713756872,
P04179,Q14011,0.004711740201115284,
P04179,Q15459,0.014317132160566017,
P04179,Q15843,0.01818277510922206,
P04179,Q96L92,0.026851568675271453,
P04179,Q9H0U4,0.02132131837456352,
P04179,Q9UHD8,0.020276589910400572,
P04179,Q9UJZ1,0.013019033762364076,
P04179,Q9UNH7,0.04516709071678572,
P04179,Q9Y3D6,0.024268873987952806,
P12956,O15143,0.012196066819180985,
P12956,O94925,0.052112941968859704,
P12956,P02652,0.003258661486706275,
P12956,P04179,0.03882095893772368,
P12956,P18859,0.004438668736481201,
P12956,P21281,0.006679179200092879,
P12956,P26022,0.08351511534867864,
P12956,P26447,0.07736061621346822,
P12956,P30085,0.014624172094403767,
P12956,P35222,0.0018794764402775782,
P12956,P36957,0.05926345819715112,
P12956,P38606,0.0036913243270785727,
P12956,P40926,0.010283168368724888,
P12956,P42765,0.022968168924373398,
P12956,P56192,0.04672752932578634,
P12956,P61981,0.004188881683682129,
P12956,P62854,0.06752954133644315,
P12956,P62917,0.01282641062430008,
P12956,Q02218,0.04329395927517643,
P12956,Q02818,0.04270540158808549,
P12956,Q07065,0.014611610870932377,
P12956,Q07866,0.0328819921118135,
P12956,Q07954,0.00507547584033532,
P12956,Q13162,0.011047552868930811,
P12956,Q14011,0.0013400065933489135,
P12956,Q15459,0.030616406807293325,
P12956,Q15843,0.039576423120865324,
P12956,Q96L92,0.016656823910042213,
P12956,Q9H0U4,0.01482179788159236,
P12956,Q9UHD8,0.0018642053852752937,
P12956,Q9UJZ1,0.006901020043317552,
P12956,Q9UNH7,0.11394750954498897,
P12956,Q9Y3D6,0.028340809684986135,
P18859,O15143,0.0005570693575018417,
P18859,O94925,0.05296395455203746,
P18859,P02652,0.014219990539852808,
P18859,P04179,0.08258046857950929,
P18859,P12956,0.019310093278053338,
P18859,P21281,0.0038304630150560047,
