Regulator,Target,Weight,Sign
O15143,O94925,0.03503795507946775,
O15143,P02652,0.004691037627527918,
O15143,P04179,0.01817264977851291,
O15143,P12956,0.058822810784793886,
O15143,P18859,0.012385244996383235,
O15143,P21281,0.025425546995973783,
O15143,P26022,0.04225467238254059,
O15143,P26447,0.04548759023031177,
O15143,P30085,0.06146526336652831,
O15143,P35222,0.0001893633585994873,
O15143,P36957,0.04374497131892108,
O15143,P38606,0.020273845220743218,
O15143,P40926,0.12336939922097721,
O15143,P42765,0.01009829785931675,
O15143,P56192,0.013205161788432168,
O15143,P61981,0.014126855653942961,
O15143,P62854,0.023874623494531,
O15143,P62917,0.006456445139890263,
O15143,Q02218,0.010914086604329914,
O15143,Q02818,0.029828834094257184,
O15143,Q07065,0.023796890032631007,
O15143,Q07866,0.03756302072790755,
O15143,Q07954,0.021496105023816145,
O15143,Q13162,0.010897748333233235,
O15143,Q14011,0.08240096801049304,
O15143,Q15459,0.024590496205967382,
O15143,Q15843,0.005008635193598207,
O15143,Q96L92,0.05862701152718542,
O15143,Q9H0U4,0.010950784977515789,
O15143,Q9UHD8,0.076859862058354,
O15143,Q9UJZ1,0.0763906942567614,
O15143,Q9UNH7,0.03078757407424518,
O15143,Q9Y3D6,0.018743092190641797,
O94925,O15143,0.0035876751775007986,
O94925,P02652,0.011224432904571454,
O94925,P04179,0.011125166826619896,
O94925,P12956,0.023731063974930022,
O94925,P18859,0.020234771947082317,
O94925,P21281,0.010041629677983156,
O94925,P26022,0.031478105860099845,
O94925,P26447,0.03132558662482441,
O94925,P30085,0.018413250808736292,
O94925,P35222,0.020700370443653655,
O94925,P36957,0.032588147862130046,
O94925,P38606,0.0026830547324538396,
O94925,P40926,0.03743214704929884,
O94925,P42765,0.004424722029716469,
O94925,P56192,0.038721691655002,
O94925,P61981,0.0030123424557700336,
O94925,P62854,0.0069698096197319806,
O94925,P62917,0.012918059836608856,
O94925,Q02218,0.0019307409717411825,
O94925,Q02818,0.021021251338094207,
O94925,Q07065,0.03182887370995923,
O94925,Q07866,0.030494510407816845,
O94925,Q07954,0.00013912896617871773,
O94925,Q13162,0.010035615760990428,
O94925,Q14011,0.010544158905468155,
O94925,Q15459,0.031731404657535614,
O94925,Q15843,0.01834635710929578,
O94925,Q96L92,0.001491563968784802,
O94925,Q9H0U4,0.037598846231910094,
O94925,Q9UHD8,0.01941575633240157,
O94925,Q9UJZ1,0.017877597041959726,
O94925,Q9UNH7,0.007695916328144995,
O94925,Q9Y3D6,0.0088074995723088,
P02652,O15143,0.0398734292627307,
P02652,O94925,0.03584169862868889,
P02652,P04179,0.027615651411543898,
P02652,P12956,0.03358007902444813,
P02652,P18859,0.007410324913028063,
P02652,P21281,0.00522765282316703,
P02652,P26022,0.033119209625848356,
P02652,P26447,0.022640706971468805,
P02652,P30085,0.03633671456001725,
P02652,P35222,0.0609816138673035,
P02652,P36957,0.023912598069277393,
P02652,P38606,0.08057657419505573,
P02652,P40926,0.012708160819815581,
P02652,P42765,0.06688161382700833,
P02652,P56192,0.0405337361797048,
P02652,P61981,0.019075668068899845,
P02652,P62854,0.007122484299492895,
P02652,P62917,0.026605018686491406,
P02652,Q02218,0.043371016449067164,
P02652,Q02818,0.04885424983679413,
P02652,Q07065,0.00962789680256402,
P02652,Q07866,0.03015289462477725,
P02652,Q07954,0.02508565884406034,
P02652,Q13162,0.013147990896415888,
P02652,Q14011,0.05289497220240341,
P02652,Q15459,0.013454232916298466,
P02652,Q15843,0.03678510185080055,
P02652,Q96L92,0.0995646257296549,
P02652,Q9H0U4,0.0011701847463278497,
P02652,Q9UHD8,0.04525948986321528,
P02652,Q9UJZ1,0.01765991883721701,
P02652,Q9UNH7,0.03537926198593376,
P02652,Q9Y3D6,0.037707083330871104,
P04179,O15143,0.07900558754045936,
P04179,O94925,0.005895689735664546,
P04179,P02652,0.014561618063358293,
P04179,P12956,0.013775963763210242,
P04179,P18859,0.021812801725375103,
P04179,P21281,0.030156352165164425,
P04179,P26022,0.027130094732334544,
P04179,P26447,0.005476122441384016,
P04179,P30085,0.011144390824813334,
P04179,P35222,0.017968918507582917,
P04179,P36957,0.03249136214676638,
P04179,P38606,0.04461604807955386,
P04179,P40926,0.0295652843319898,
P04179,P42765,0.0053487852938445225,
P04179,P56192,0.02584022913952539,
P04179,P61981,0.04392032751178975,
P04179,P62854,0.003295491527140122,
P04179,P62917,0.06720287924194819,
P04179,Q02218,0.06933864179128404,
P04179,Q02818,0.01123323942853916,
P04179,Q07065,0.0006881797963761488,
P04179,Q07866,0.058498348064754624,
P04179,Q07954,0.005528086081954349,
P04179,Q13162,0.019518562065661067,
P04179,Q14011,0.019386761194615448,
P04179,Q15459,0.020631036991148745,
P04179,Q15843,0.011211113077792724,
P04179,Q96L92,0.03325208720451777,
P04179,Q9H0U4,0.007787841424328383,
P04179,Q9UHD8,0.012779663126841043,
P04179,Q9UJZ1,0.021789426210653717,
P04179,Q9UNH7,0.014059286640793282,
P04179,Q9Y3D6,0.00462742747930883,
P12956,O15143,0.008050966185263112,
P12956,O94925,0.03755163879188997,
P12956,P02652,0.02498361268316777,
P12956,P04179,0.0008915656918744714,
P12956,P18859,0.04434923674602684,
P12956,P21281,0.005730915158497181,
P12956,P26022,0.04901149302824599,
P12956,P26447,0.020302965933450323,
P12956,P30085,0.03683352391861154,
P12956,P35222,0.036237017345845834,
P12956,P36957,0.0259200138262244,
P12956,P38606,0.007439448329282366,
P12956,P40926,0.025051141847558092,
P12956,P42765,0.03114330554492079,
P12956,P56192,0.03403686497688238,
P12956,P61981,0.02201184521766031,
P12956,P62854,0.01069228582142025,
P12956,P62917,0.016530087007505575,
P12956,Q02218,0.004987321307827513,
P12956,Q02818,0.013979466609005838,
P12956,Q07065,0.04190643226804602,
P12956,Q07866,0.014151112007050647,
P12956,Q07954,0.03849867332227322,
P12956,Q13162,0.004083718743524075,
P12956,Q14011,0.027396879994232105,
P12956,Q15459,0.019243228284270334,
P12956,Q15843,0.02541960814217871,
P12956,Q96L92,0.006768321957397242,
P12956,Q9H0U4,0.0079952118835329,
P12956,Q9UHD8,0.01581480224646869,
P12956,Q9UJZ1,0.01923135311301776,
P12956,Q9UNH7,0.0040689715897703135,
P12956,Q9Y3D6,0.031922108918271255,
P18859,O15143,0.03152631211462286,
P18859,O94925,0.017179171498850024,
P18859,P02652,0.01269274973332811,
P18859,P04179,0.021627214856593566,
P18859,P12956,0.015662503353607814,
P18859,P21281,0.009275501552654143,
P18859,P26022,0.028545952825423427,
P18859,P26447,0.022692650185093637,
P18859,P30085,0.021680703473811777,
P18859,P35222,0.002448341706451994,
P18859,P36957,0.03306233548148447,
P18859,P38606,0.01468405658451017,
P18859,P40926,0.02230464982183962,
P18859,P42765,0.00836265850040433,
P18859,P56192,0.041415204712894116,
P18859,P61981,0.013407486238293017,
P18859,P62854,0.006039668879974411,
P18859,P62917,0.0451621354546501,
