ID	Symbols	Sites	Effect	IGF1-DMSO-12hr	IGF1-DMSO-15min	IGF1-DMSO-24hr	IGF1-DMSO-2hr	IGF1-DMSO-30min	IGF1-DMSO-48hr	IGF1-DMSO-4hr	IGF1-DMSO-5min	IGF1-DMSO-60min	Serum-DMSO-12hr	Serum-DMSO-15min	Serum-DMSO-24hr	Serum-DMSO-2hr	Serum-DMSO-30min	Serum-DMSO-48hr	Serum-DMSO-4hr	Serum-DMSO-5min	Serum-DMSO-60min
14-3-3-epsilon	YWHAE			0.171057101	0.194790032	0.163906435	0.17726174	0.182589255	0.164627026	0.172925152	0.178304739	0.190182312	0.167458588	0.167955461	0.168020739	0.144491035	0.16511079	0.164826101	0.167705074	0.164249323	0.161502914
4E-BP1	EIF4EBP1			0.229622725	0.247363738	0.237348442	0.240847339	0.243942563	0.228371967	0.240868095	0.229587459	0.253134941	0.249941432	0.269436744	0.243464755	0.236888307	0.257134696	0.238352317	0.26548202	0.275295403	0.239982157
4E-BP1_pS65	EIF4EBP1			0.790393067	0.889812285	0.87168022	0.835916415	0.883827464	0.833688916	0.834974772	0.731289282	0.8950782	0.891619381	0.914115774	0.921603808	0.834979473	0.773484031	0.917674106	0.865559991	0.777643423	0.944846651
53BP1	TP53BP1			1.025754699	1.100179271	1.065016666	1.176617283	1.141661919	1.080335025	1.107355809	1.045709987	1.168812691	1.160615484	1.111655236	1.031797164	1.061472518	1.109762673	1.105139418	1.066701051	1.13820774	1.305104492
ACC1	ACACA			3.391440108	2.305785197	4.254284414	3.665591035	2.772950154	5.710593337	3.277034616	2.974798855	2.809801096	2.033478982	3.355698341	3.042576247	1.811460087	3.525064539	3.036327579	3.35271646	3.53878655	1.545178498
ACC_pS79	ACACA ACACB			0.175952764	0.235185234	0.300544846	0.155178021	0.13357769	0.240790329	0.159487211	0.181767802	0.138686796	0.214665056	0.226250781	0.198952554	0.218742088	0.19629166	0.200478024	0.199472562	0.207043307	0.113497261
AIB1	NCOA3			1.380964228	1.393420265	1.522532866	1.408321938	1.294430293	1.22973147	1.314116762	1.256044669	1.200106564	1.415959613	1.172202088	1.328612312	1.275766969	1.135187948	1.57876675	1.323576511	1.226621569	1.492080637
AMPKa	PRKAA1			0.78138081	0.85999042	0.818464203	0.803821707	0.889060083	0.800402504	0.883106738	0.820494451	0.858107956	0.844423531	0.894786043	0.930192855	0.866007592	0.809826291	0.831767742	0.868023676	0.86446335	0.814798654
AMPKa_pT172	PRKAA1			1.294425491	1.916904754	1.604232794	1.198494517	1.26106902	1.799758262	1.365969516	1.609254887	1.433051806	1.612755359	1.755302497	1.611028554	1.491645699	1.652447973	2.217501079	1.884993945	1.68210554	1.306250181
AR	AR			0.594402335	0.592508282	0.662342075	0.677145624	0.603010885	0.596671547	0.618389755	0.593480427	0.555873312	0.488090843	0.66407365	0.522757676	0.542335548	0.665671349	0.628180965	0.614880912	0.684309172	0.604066331
Akt	AKT1 AKT2 AKT3			3.858439396	4.116746719	4.500076487	4.403561361	4.277411782	4.911316513	4.299468856	4.449017999	4.36405456	4.354813851	4.865719989	4.739056057	4.740221615	5.580768045	4.504118885	4.277379962	4.626929805	4.705013649
Akt_pS473	AKT1 AKT2 AKT3			0.577980407	0.6108088	0.234113618	0.921200308	1.257837115	0.457408862	1.085387813	0.679943961	0.977050035	0.21763149	0.19821691	0.221306296	0.192638447	0.290759947	0.115525786	0.330236036	0.122820428	0.310307377
Akt_pT308	AKT1 AKT2 AKT3			0.544508041	0.750435102	0.457036814	0.85691231	1.075845443	0.518488621	0.916425915	0.718616894	0.843898375	0.381095379	0.303080209	0.416675346	0.372430732	0.435499205	0.289445022	0.34720661	0.275002753	0.358096038
Annexin-I	ANXA1			0.05050126	0.05207043	0.101008345	0.047557078	0.047877075	0.208423169	0.053454991	0.053193153	0.04690596	0.050324639	0.0503646	0.066022338	0.046585692	0.05135712	0.051990935	0.052125397	0.048246469	0.055973311
Bad_pS112	BAD			0.798611867	0.803079233	0.745053987	0.891948743	0.847688402	0.705613231	0.918086766	0.657214777	0.928878924	0.90534558	0.769241368	0.801967212	0.954350422	0.754639859	0.714418614	0.945397098	0.70362855	1.026808412
Bak	BAK1			0.19774056	0.219250933	0.21771425	0.241556338	0.20817398	0.201175896	0.229755539	0.215949014	0.21043974	0.206738134	0.215739284	0.222013099	0.196273964	0.218884328	0.233017438	0.233838514	0.237430921	0.228757084
Bax	BAX			1.037003555	1.09786392	0.946100034	1.041159635	1.103829767	1.150778129	0.996355593	1.096048539	1.096939996	1.063009355	1.162678858	1.03065467	1.128091955	1.023037759	1.01191659	0.975629831	1.069690606	1.168289547
Bcl-xL	BCL2L1			0.310814617	0.386653243	0.262135091	0.310174608	0.404275625	0.294784424	0.330427628	0.343668215	0.380269564	0.287576546	0.350098433	0.302701052	0.363609227	0.289501474	0.295091301	0.26180742	0.267607704	0.304972154
Bcl2	BCL2			0.726882918	0.829167786	0.791351199	0.773027158	0.777584495	0.797009613	0.744216587	0.76858373	0.742139208	0.673139328	0.701641144	0.663836035	0.693704392	0.656984385	0.597542298	0.67647909	0.63581125	0.767582491
Beclin	BECN1			0.321760356	0.333186767	0.32678139	0.313860862	0.301591948	0.302722555	0.321685747	0.315682279	0.305907643	0.29395886	0.315899529	0.331881078	0.281097744	0.301938219	0.300842671	0.324953412	0.331768335	0.314613875
Bid	BID			1.079699384	1.059809714	1.058109125	1.165492277	1.088375061	1.346340928	1.054457658	1.127350485	1.275680959	1.06237872	0.961915053	1.107965217	1.132934674	1.260989745	1.101401895	1.122102321	1.042760876	1.229155364
Bim	BCL2L11			0.688732378	0.657528807	0.707670282	0.732364038	0.647265824	0.698548154	0.647321471	0.649008162	0.622995285	0.666544867	0.708671364	0.623758509	0.678444916	0.715538201	0.566431624	0.62676813	0.751365138	0.892196531
C-Raf	RAF1			0.885287868	0.74901409	0.873699881	0.860052164	0.809167703	0.918630508	0.925789439	0.840567392	0.803035896	0.735995016	0.869304818	0.808031376	0.774905088	0.970843036	0.940693618	0.891164753	0.874611326	0.712778868
C-Raf_pS338	RAF1			0.492472091	0.467969063	0.617271366	0.650636412	0.58706044	0.397586268	0.733692912	0.394520637	0.667351678	0.5119575	0.557926155	0.445501846	0.478011769	0.511550993	0.430907144	0.505383317	0.429567091	0.411894523
CD31	PECAM1			0.076688693	0.068162572	0.074479051	0.076156112	0.060229656	0.071825393	0.075216113	0.07377653	0.064562878	0.063590746	0.067797116	0.06556176	0.051299298	0.091811865	0.076329689	0.070789295	0.070271806	0.067931186
CDK1	CDK1			0.91633261	0.907761338	1.034650061	0.917118255	0.816167414	0.866545825	0.908016595	0.87179929	0.893824961	0.868136367	0.684442529	0.801195406	0.746939811	0.711475244	0.754277773	0.777943165	0.718054077	0.681847063
Caspase-3-cleaved	CASP3			0.179209634	0.153819493	0.172003656	0.167767249	0.163160097	0.164777582	0.174948445	0.167455153	0.182454785	0.14374284	0.171699207	0.162325705	0.160193662	0.164564436	0.160238967	0.168544921	0.176187614	0.149449003
Caspase-7-cleaved	CASP7			0.032503597	0.030344023	0.031318351	0.03213997	0.031890187	0.030202997	0.032962387	0.032605849	0.033450258	0.028212636	0.029119752	0.032368768	0.028186758	0.027550113	0.037815277	0.027868694	0.030250206	0.032558385
Caspase-9-cleaved	CASP9			0.287600148	0.309270498	0.254135085	0.275386352	0.362578554	0.277821343	0.265086278	0.31624793	0.318522548	0.309543006	0.315735904	0.290860744	0.340908584	0.303836886	0.284534401	0.280741511	0.300140544	0.399983449
Caveolin-1	CAV1			0.080433414	0.09914037	0.264246981	0.060114239	0.087832837	0.391321317	0.071486422	0.090139156	0.096340901	0.103123498	0.072794356	0.096583287	0.074314194	0.087978538	0.074706903	0.075092787	0.065163436	0.103466281
Chk1	CHEK1			0.362860147	0.384106062	0.340503028	0.3474855	0.374240237	0.370252001	0.33346369	0.389119326	0.373192435	0.355343192	0.365951334	0.382617926	0.4004384	0.353976472	0.347264651	0.351747389	0.341207063	0.346665783
Chk1_pS345	CHEK1			0.274343995	0.223563758	0.242501917	0.207641308	0.224555001	0.225785359	0.238864688	0.232801021	0.21438754	0.251880218	0.226550954	0.249190148	0.238259119	0.237779425	0.241801929	0.226234192	0.22465901	0.230444929
Chk2	CHEK2			0.407324606	0.382221298	0.378705339	0.386263986	0.376109801	0.430998639	0.407003742	0.394621165	0.382905449	0.349955104	0.401543782	0.387245262	0.331900755	0.413365745	0.387489177	0.371322529	0.388664612	0.386292915
Chk2_pT68	CHEK2			0.216765073	0.189109043	0.203132245	0.211818578	0.194370087	0.201260589	0.212703325	0.228764265	0.19969945	0.202736448	0.189409089	0.210911862	0.200176451	0.211390118	0.207297777	0.207426408	0.223957641	0.215468966
Claudin-7	CLDN7			2.541286819	2.20228908	2.629106279	3.407071921	2.398445095	3.389727364	2.697798653	2.414956513	2.159152801	2.144788902	2.830245188	2.954487025	2.336493369	2.258712162	3.223087498	2.425934138	2.82201541	2.148618118
Collagen-VI	COL6A1			4.15225219	3.498288213	2.777508874	3.749279173	3.307061699	2.588165596	3.153691825	3.569276769	2.865318516	3.434397478	2.004237109	2.672590742	3.44137729	3.252684581	4.057328581	2.921325045	3.886361523	5.195561562
Cox2	CMC2			0.952121615	1.093779785	0.916071917	0.851302777	1.291710377	1.181554415	1.056696068	1.078181461	1.250665017	1.055638359	1.267467783	1.084560764	1.275939547	1.258982899	1.223322472	0.926277932	1.026924512	1.047306411
Cyclin-B1	CCNB1			2.668494522	2.162110401	4.004152944	2.367666451	2.155986947	2.337461562	2.354265256	2.167346212	2.298256968	2.502553007	1.717899481	3.364137298	1.374695947	1.531953544	2.805246262	1.492378434	1.670079804	1.492724516
Cyclin-D1	CCND1			0.569217195	0.636450244	0.520213867	0.528130968	0.695934651	0.545891428	0.595071314	0.597644645	0.657399102	0.675097592	0.633958636	0.636524349	0.713180677	0.63578569	0.576436188	0.56881079	0.570589492	0.743407043
Cyclin-E1	CCNE1			0.69601994	0.58585381	0.554862827	0.619570808	0.561950647	0.525181155	0.653121435	0.61716829	0.532127118	0.787794518	0.618935079	0.707723537	0.619359261	0.632918735	0.693847505	0.699818149	0.672874817	0.644389056
DJ1	PARK7			0.594940249	0.723937157	0.533668366	0.662110222	0.694405867	0.529644692	0.598721335	0.605623468	0.65970292	0.724032987	0.633222579	0.639043404	0.819307886	0.56476329	0.635363402	0.723964366	0.631447483	0.769439136
DVL3	DVL3			0.435101319	0.357410129	0.42395826	0.365755145	0.367577199	0.402845179	0.415819258	0.380307071	0.392539051	0.420989655	0.363707547	0.432500271	0.327453395	0.387430511	0.419516868	0.379336232	0.385800568	0.337075064
E-Cadherin	CDH1			1.129022632	1.259741159	1.160216004	1.4403999	1.195527937	1.088012063	1.274969437	1.104881109	1.341880964	1.213463801	1.288310965	1.157295332	1.144561278	1.147430064	1.182765129	1.214713259	1.228211171	1.343297678
EGFR	EGFR			0.059940145	0.053913134	0.057967165	0.0608076	0.054372348	0.061738896	0.054863582	0.060543861	0.0553489	0.05030211	0.051860696	0.056130649	0.044368003	0.05451435	0.058720998	0.050918782	0.05262235	0.051811354
EGFR_pY1068	EGFR			0.078404749	0.092244217	0.108571409	0.089521833	0.080686244	0.126714377	0.083714807	0.084386244	0.083387936	0.084409008	0.089311157	0.09186819	0.070625819	0.084523337	0.089721696	0.084214301	0.091206772	0.082079847
EGFR_pY1173	EGFR			0.427757832	0.419018478	0.385535745	0.405620448	0.410913191	0.412591243	0.391807518	0.40962363	0.394189298	0.348514391	0.400367266	0.405169494	0.4086137	0.408625634	0.397869173	0.395206928	0.411945128	0.409384944
EGFR_pY992	EGFR			0.114428198	0.116439391	0.126224647	0.121397912	0.108108785	0.099218116	0.127583827	0.106715804	0.114118998	0.114690373	0.113912618	0.106015454	0.097638658	0.11256213	0.106985833	0.113553381	0.129816868	0.09063414
ER	ESR1			1.48988011	1.366719798	1.456901302	1.589841277	1.586149748	1.193647359	1.477196973	1.562600869	1.517744086	1.059650061	1.463080027	1.176579909	1.18717702	1.425664336	1.569835195	1.426657332	1.472008769	1.219020536
ER-a_pS118	ESR1			0.887983483	0.775289265	0.853795021	0.784221027	0.870152405	0.764001071	0.811175688	0.933745671	0.783705487	0.623560478	0.739064799	0.662924651	0.551016553	0.713703981	0.662119605	0.684319426	1.028951986	0.569721398
ERCC1	ERCC1			0.620716771	0.619578713	0.613841447	0.568595559	0.655506236	0.60139997	0.62008935	0.648777862	0.696476417	0.671946343	0.630442024	0.668519832	0.677003319	0.622463945	0.584801994	0.597943429	0.579535468	0.650010997
FAK	PTK2			0.385752477	0.396885368	0.377061879	0.368543822	0.43827376	0.395775678	0.420479498	0.415799926	0.44626235	0.354372712	0.369208388	0.40838713	0.38225157	0.381954712	0.371970616	0.328874056	0.353235201	0.322129972
Fibronectin	FN1			0.03805761	0.033382794	0.035674689	0.036618302	0.03728694	0.03566632	0.037986232	0.038618137	0.037479608	0.048057575	0.076054071	0.041601741	0.039954474	0.04134387	0.060062726	0.042516191	0.043725714	0.052213682
FoxO3a	FOXO3			0.243432615	0.278367443	0.232119207	0.250633663	0.249433408	0.251095669	0.246863528	0.252331045	0.255173929	0.272983541	0.284636476	0.252694676	0.307103856	0.266137397	0.259530154	0.25464109	0.254008557	0.287420407
FoxO3a_pS318_S321	FOXO3			0.455124342	0.453904869	0.43244441	0.444994339	0.474482235	0.427280151	0.442865575	0.418681952	0.47761114	0.467947418	0.460302855	0.456562731	0.521484078	0.476229983	0.427095446	0.45180068	0.454215875	0.522739033
GATA3	GATA3			6.07126189	6.135514766	6.644160291	7.186476623	5.925550275	5.917870444	6.571979925	5.298411351	5.523016126	6.725653295	6.095522534	6.963138113	6.582807252	5.210450175	6.616983148	7.211497083	6.612471485	7.753876728
GSK-3a-b	GSK3A GSK3B			2.329001564	2.076773058	2.75274901	2.480722793	1.938108828	2.739538407	2.521745326	2.069265227	2.297839767	2.016903737	2.274773456	2.485915892	1.805634947	2.092130571	2.327610953	2.444551435	2.404928276	1.892178393
GSK-3a-b_pS21_S9	GSK3A GSK3B			1.926827615	1.986462194	1.845457952	2.113414957	2.042534411	1.915282397	2.191250629	1.667737807	1.968200012	1.659707202	1.725274197	1.593040243	1.766211111	1.77575275	1.989605455	1.851859218	1.562334387	1.733274305
GSK-3b_pS9	GSK3B			2.138728756	1.996909298	2.060297913	2.291308578	2.35770219	2.108873478	2.175088709	1.859416352	2.25422973	1.754937748	1.859034233	1.71497191	1.786760866	1.95890864	1.940678092	1.915974517	1.657545876	1.853551125
HER2	ERBB2			0.444070168	0.777832536	0.489494159	0.497250599	0.762916123	0.919311372	0.544572243	0.554190509	0.757504316	0.66008609	0.671221529	0.717401167	0.932192358	0.587535198	0.525606617	0.490645764	0.495234675	0.787097486
HER2_pY1248	ERBB2			1.175619169	1.425943719	1.252519249	1.194448255	1.534167913	1.302621207	1.312931275	1.253388704	1.434533888	1.434464288	1.587130071	1.326300568	1.524052889	1.808829065	1.268662336	1.287207432	1.371149562	1.570019804
HER3	ERBB3			1.272350992	2.127490486	1.458830781	2.298397053	2.343932305	1.450361528	1.773002081	2.486308477	2.318013688	1.632176509	2.535313774	1.765193062	2.058007718	2.473907342	2.144444198	2.139404221	2.184367804	2.350349593
IGF1R-b	IGF1R			2.266249032	2.460150092	2.274490238	2.478189584	2.527316397	2.577943257	2.30421911	2.417843815	2.476061863	2.753222317	2.829304672	2.741277459	2.942850167	2.59294519	2.475731815	2.462044366	2.655179767	3.170119028
IGFBP2	IGFBP2			0.534274236	0.517368771	0.555141653	0.492013899	0.459003865	0.51001244	0.471478083	0.454909611	0.490561351	0.494800115	0.460974742	0.500593128	0.44652897	0.438410132	0.477383436	0.478939311	0.457122112	0.48621272
INPP4b	INPP4B			1.247187731	1.306633113	1.314071488	1.376459269	1.392328914	1.075860798	1.397575593	1.446662521	1.413158269	1.432887782	1.574465199	1.507456042	1.454056455	1.506440192	1.631229256	1.460997872	1.615133507	1.469376929
IRS1	IRS1			1.003500773	1.4087294	1.022061771	1.279619404	1.321385802	0.815413143	1.17982833	1.222261288	1.225206012	1.227583199	1.219499308	1.271631051	1.261249956	1.130312235	1.133282762	1.200208623	1.305676646	1.419922529
JNK2	MAPK9			1.296943533	1.193006314	1.310914841	1.191085306	1.254717229	1.593177672	1.319422057	1.249790105	1.233876321	1.324238727	1.474827399	1.374124886	1.250555505	1.46164278	1.454893768	1.239127246	1.32013347	1.239453613
JNK_pT183_Y185	MAPK8 MAPK9			0.181505476	0.221085584	0.171725445	0.182926124	0.220134172	0.157920781	0.183117555	0.221314363	0.190467176	0.224041385	0.242379649	0.193771081	0.236977321	0.271289127	0.207750044	0.209946322	0.222755563	0.227836418
MAPK_pT202_Y204	MAPK1 MAPK3			0.193267202	0.316240403	0.237307237	0.246047395	0.266218466	0.14694477	0.235959122	0.296340539	0.208771465	0.266540813	0.259913616	0.175911243	0.354847667	0.269260312	0.14783253	0.198354243	0.323157074	0.265579616
MEK1	MAP2K1			0.658612687	0.609521782	0.595922229	0.611835363	0.614326653	0.709779766	0.568985954	0.613277629	0.590272121	0.699802739	0.643965359	0.65711781	0.684130153	0.634402833	0.641170043	0.617506339	0.651137355	0.676130864
MEK1_pS217_S221	MAP2K1			0.18380152	0.220823023	0.193479934	0.208360443	0.18005554	0.14660497	0.187547606	0.188864595	0.154959922	0.261202262	0.174282162	0.146961629	0.313057149	0.166774566	0.153085757	0.172286857	0.171002617	0.156060053
MIG-6	ERRFI1			0.452765547	0.436980859	0.432330032	0.418726909	0.457683054	0.440698343	0.424149656	0.437125556	0.432808035	0.538247379	0.439077883	0.481780582	0.491251282	0.455027982	0.446493319	0.507145347	0.431319917	0.448037222
MSH2	MSH2			0.347274199	0.347605506	0.400553461	0.376138402	0.349893597	0.336115559	0.381345626	0.347494213	0.352587562	0.268569482	0.336131379	0.307540738	0.277766928	0.304236086	0.309630828	0.34664308	0.313930968	0.234990686
MSH6	MSH6			1.389951892	1.128093478	1.381939723	1.348176126	1.338577352	1.350563871	1.552739845	1.242269199	1.28803344	1.216411237	1.294572926	1.298003431	1.158861048	1.249457598	1.315155346	1.266493566	1.213953592	0.982110812
Merlin	NF2			3.744647979	4.607790485	3.935392771	3.835981145	4.979564367	4.783718583	3.872475763	4.080155915	4.842083756	5.902421251	5.354237524	5.974110457	5.580192786	4.611808815	4.844449461	3.840618554	4.160487121	5.659715975
Mre11	MRE11			0.461616603	0.430720089	0.461756132	0.428649797	0.424148813	0.429048652	0.455965302	0.445130028	0.423640948	0.397043077	0.422505448	0.43832642	0.418994803	0.453664089	0.449162131	0.447736605	0.423187258	0.436634647
N-Cadherin	CDH2			0.183713664	0.229644231	0.194035781	0.200228746	0.251131806	0.202933707	0.200996087	0.212001983	0.228455984	0.225821614	0.246421667	0.252639329	0.267196982	0.211151051	0.190101578	0.198441987	0.20121307	0.24704712
NF-kB-p65_pS536	RELA			0.54736841	0.450520255	0.584533699	0.557660749	0.482728007	0.568713559	0.594736221	0.511476198	0.453334491	0.886171583	0.537879893	0.71311587	0.954823208	0.702816659	0.704059655	1.142912621	0.633513724	0.7785466
Notch1	NOTCH1			0.364818013	0.332542156	0.336563998	0.331085316	0.321398831	0.328133739	0.346185708	0.342310138	0.295142322	0.368811125	0.30607787	0.354654598	0.327111141	0.323738257	0.333448055	0.331179781	0.328409699	0.342092457
Notch3	NOTCH3			0.848511983	0.778349745	0.950461527	0.797147936	0.747121934	0.920504667	0.788319666	0.802122309	0.822544887	0.849513893	0.862172168	0.855439818	0.833678145	0.84254729	0.943868647	0.828944233	0.853705683	1.009240025
P-Cadherin	CDH3			1.739284045	1.755280304	1.614417957	1.812803301	1.69901229	1.816744632	1.670574253	1.695377526	1.55860117	1.693428649	1.775638686	1.69329115	1.677981716	1.553129871	1.772039735	1.580973805	1.818594417	1.904021543
PARP1	PARP1			0.146977152	0.135477176	0.149975894	0.155864053	0.119281895	0.147244489	0.145556938	0.14920774	0.131303726	0.144867882	0.127312101	0.130215796	0.109731469	0.147853336	0.139917681	0.143990366	0.156115964	0.146512656
PCNA	PCNA			0.374067822	0.355597031	0.311770734	0.345772715	0.362620774	0.375430855	0.34323392	0.36658429	0.375627064	0.329415259	0.320037322	0.349685176	0.401469155	0.323560907	0.327287142	0.302460138	0.357503916	0.399774093
PDK1_pS241	PDPK1			1.116746864	1.017873621	1.207646393	1.096118335	1.012171255	1.238739784	1.046985413	1.035875327	0.998516877	1.13244291	1.065261985	1.144889653	1.020988303	1.100581135	1.201741799	1.05993204	1.113416002	1.146263808
