1769308_at	YKR009C
1769309_at	SPBC1105.11c
1769310_at	SPCC18.05c
1769311_at	YDL157C
1769312_at	YER059W
1769313_at	YGL059W
1769314_at	YDR481C
1769315_at	SPBC32H8.10
1769316_s_at	SPAC750.05c
1769317_at	YML113W
1769318_at	SPCC830.06
1769319_at	YIL157C
1769320_at	YPR003C
1769321_at	YNR074C
1769322_s_at	YLR154C-H
1769323_at	YKL012W
1769324_at	YJL147C
1769325_at	YDL216C
1769326_at	SPBC1105.05
1769327_at	SPCC1840.01c
1769328_at	SPCC895.03c
1769329_at	YNL320W
1769330_at	SPBC428.08c
1769331_at	YHL007C
1769333_at	YPL223C
1769334_at	SPBC11C11.06c
1769335_at	YKL138C
1769336_at	YNL126W
1769337_at	SPBC83.16c
1769338_at	YKL055C
1769339_at	YML035C
1769340_at	SPAC24C9.16c
1769341_at	YER087C-B
1769342_at	YIL160C
1769343_at	SPAPB8E5.05
1769344_at	YLR050C
1769345_at	YOR037W
1769346_at	YOL008W
1769347_at	SPCC1235.01
1769348_at	SPAC1296.05c
1769349_s_at	YOR072W-B
1769350_at	YPL253C
1769351_at	SPAC4F10.20
1769352_at	YDL048C
1769353_at	SPBC2D10.12
1769354_at	SPCC1183.09c
1769355_at	SPBC56F2.02
1769356_at	YDR056C
1769357_at	SPBC21B10.08c
1769358_at	YNL083W
1769359_at	YCR081W
1769360_at	SPBP22H7.03
1769361_at	YDL159W
1769362_at	YCR024C-B
1769363_at	SPAC1B3.14
1769364_at	SPAC10F6.12c
1769365_at	YPL154C
1769366_at	YDR020C
1769367_at	SPAC13G7.06
1769368_at	YOR290C
1769369_at	SPCC10H11.01
1769370_at	SPAC17A5.12
1769371_at	YGR267C
1769372_at	SPAC1039.08
1769373_at	YNL216W
1769374_at	YFL034C-B
1769375_at	YEL031W
1769376_at	SPAC23G3.11
1769377_at	YBR238C
1769378_at	YFL045C
1769379_at	YGL222C
1769380_at	SPBC20F10.07
1769381_at	SPBC21H7.05
1769382_at	SPBC16A3.11
1769383_at	YIR021W
1769384_at	YHR014W
1769385_at	YEL006W
1769386_at	SPAC343.06c
1769387_at	YDL029W
1769388_at	YLR401C
1769389_at	SPBC17A3.05c
1769390_s_at	YDR447C
1769391_at	SPBC106.10
1769392_at	YOR192C-C
1769393_at	SPAC1039.07c
1769394_at	SPBC651.07
1769395_at	YER026C
1769396_at	SPBC3F6.03
1769397_s_at	YLR287C-A
1769398_at	SPAC806.02c
1769399_at	SPBC23G7.12c
1769400_at	SPBC1685.06
1769401_at	SPBC23E6.04c
1769402_at	SPCC825.04c
1769403_at	YKL195W
1769404_at	SPCC622.02
1769405_at	SPBC215.15
1769406_at	YDR144C
1769407_at	YDR439W
1769408_at	SPBC18E5.06
1769409_at	SPBC646.07c
1769410_at	SPAC19G12.04
1769411_at	YBR149W
1769412_at	SPAC15E1.07c
1769413_at	SPBPJ4664.01
1769414_at	SPAC31F12.01
1769415_at	SPBC146.02
1769416_at	SPBC4F6.04
1769417_at	SPBC1709.13c
1769418_at	YER114C
1769419_at	YMR247C
1769420_at	YMR076C
1769421_at	YGR056W
1769422_at	YAL013W
1769423_at	SPBC1861.04c
1769424_at	SPBC2A9.08c
1769425_at	SPAC19E9.02
1769426_at	YPR002W
1769427_at	SPCC1259.01c
1769428_at	YOR175C
1769430_at	SPCC191.06
1769431_at	YDL167C
1769432_at	SPBC2G2.07c
1769433_at	SPCP25A2.03
1769434_at	YDR465C
1769435_at	YJL201W
1769436_at	SPBC1734.15
1769437_at	SPAC3H5.06c
1769438_at	SPBC29A10.02
1769439_at	SPAC1071.09c
1769440_at	SPCC1795.10c
1769442_at	YDR495C
1769443_at	YDR501W
1769444_at	SPBC660.17c
1769445_at	SPCC4G3.16
1769446_at	YHL010C
1769447_at	SPCC1840.04
1769448_at	YHR152W
1769449_at	SPCC830.04c
1769450_at	YER035W
1769451_at	YHR002W
1769452_at	YPL020C
1769453_at	SPAC22E12.04
1769454_at	SPAC823.11
1769455_at	YLR286C
1769456_at	YKL061W
1769457_at	SPBC557.03c
1769458_at	SPBC27.02c
1769459_at	YHR131C
1769460_at	YJL185C
1769461_at	YMR317W
1769462_at	YIL125W
1769463_at	YPL065W
1769464_at	YGR130C
1769465_at	SPAC1002.07c
1769466_at	YDL049C
1769467_at	YBR065C
1769468_at	YJR082C
1769469_at	SPAC23D3.04c
1769470_at	SPAC30D11.12
1769471_at	SPAC26F1.01
1769472_at	YMR182C
1769473_at	SPAC4A8.09c
1769474_at	YPL264C
1769475_at	SPAC17G6.11c
1769476_at	SPAC23G3.01
1769477_at	SPCC5E4.10c
1769478_at	YPL199C
1769479_at	SPCC550.04c
1769480_at	SPBC530.15c
1769481_at	YGR080W
1769482_at	YLR125W
1769483_at	SPAC4D7.07c
1769484_at	YNL292W
1769485_s_at	YAR033W
1769486_at	SPAC1F3.07c
1769487_at	YKL063C
1769488_at	SPBC17G9.13c
1769489_at	SPCC1020.04c
1769490_at	SPBC1683.07
1769491_at	SPBC17G9.06c
1769492_at	SPAC17A5.10
1769493_at	SPAC19B12.05c
1769494_at	SPBC26H8.02c
1769495_at	YIL010W
1769496_at	SPAC1A6.11
1769497_at	SPBC3D6.11c
1769498_at	SPAC8F11.03
1769499_at	SPAC1002.20
1769500_at	YGR113W
1769501_at	YLR266C
1769502_at	YPL050C
1769503_at	YDR447C
1769504_at	YML019W
1769505_at	SPAC13C5.02
1769506_at	YKL166C
1769507_at	SPCC126.10
1769508_at	SPBC16E9.14c
1769509_at	SPBC1271.05c
1769510_at	YJR139C
1769511_at	YNR038W
1769512_at	SPBC660.12c
1769513_at	SPBC839.16
1769514_at	YJL165C
1769515_at	YFL012W
1769516_at	YDL086W
1769517_at	SPAC9E9.07c
1769518_x_at	YIL176C
1769519_at	YKL096W
1769520_at	YLR064W
1769521_at	SPBC15D4.09c
1769522_at	SPCC757.05c
1769523_at	YBR194W
1769524_at	SPAC3F10.09
1769525_at	YEL003W
1769526_at	YDR205W
1769527_at	YKL075C
1769528_at	YHR198C
1769529_s_at	SPCP20C8.03
1769530_at	SPBC2D10.06
1769531_at	YGL138C
1769532_at	SPBC428.16c
1769533_at	SPBPB8B6.04c
1769534_at	YMR212C
1769535_at	SPBC685.09
1769536_at	SPBC1773.11c
1769537_at	SPBC3B9.15c
1769538_at	YNR055C
1769539_at	YNL222W
1769540_at	SPBC336.02
1769541_at	YPR042C
1769542_at	SPBC21H7.04
1769543_at	SPBC1347.11
1769544_at	YLR149C
1769545_at	SPBC16D10.06
1769546_at	SPCC191.09c
1769547_at	SPBC543.10
1769548_at	SPBC3H7.06c
1769549_at	YOR271C
1769550_at	YHR197W
1769551_at	YAL034C
1769552_s_at	SPBC1348.01
1769553_at	SPBC1105.12
1769554_at	YOR084W
1769555_at	YGL083W
1769556_at	YDR140W
1769557_at	YMR216C
1769558_at	YJL042W
1769559_at	SPAC8C9.09c
1769560_at	SPBC215.13
1769561_at	SPAC12G12.02
1769562_at	YDR472W
1769563_at	SPBC2G2.12
1769564_at	YDR207C
1769565_at	SPBC25H2.14
1769566_at	YIL075C
1769567_at	SPBC1773.17c
1769568_at	YGR010W
1769569_at	SPCC548.04
1769570_at	YDR245W
1769571_at	YDR473C
1769572_at	SPAC1006.06
1769573_at	YOR187W
1769575_at	YDR486C
1769576_at	YMR003W
1769577_at	SPBC106.12c
1769578_at	SPAC3H1.04c
1769579_at	YGL121C
1769580_at	YJL186W
1769581_at	SPBC1604.15
1769583_at	SPBC19C7.05
1769584_at	SPAC1782.01
1769585_at	YBR285W
1769586_at	YOL028C
1769587_at	YMR220W
1769588_at	SPAC1071.12c
1769589_at	SPAC2F3.03c
1769590_at	SPAC4F10.11
1769591_at	YAR002W
1769592_at	SPBC30D10.15
1769593_at	SPAC31G5.01
1769594_at	SPAC139.03
1769595_at	SPAC12G12.05c
1769596_at	SPCC191.07
1769597_at	YMR049C
1769598_at	YOR069W
1769599_at	YDR479C
1769600_at	YKR038C
1769601_at	YPR106W
1769602_at	YBL031W
1769603_at	YOR124C
1769604_at	YDL149W
1769605_at	SPAC8E11.02c
1769606_at	YDR072C
1769607_at	YPL269W
1769608_at	YGL107C
1769609_at	YGR110W
1769610_at	YOR394C-A
1769611_at	SPAC3F10.03
1769612_at	SPBC19C7.01
1769613_at	SPCC320.12
1769614_at	YNL291C
1769615_at	SPAPJ691.03
1769616_at	SPCC63.06
1769617_at	YBR157C
1769618_at	SPAC323.08
1769620_at	YKL192C
1769621_at	YKR035W-A
1769622_at	YJL047C-A
1769623_at	SPAC20H4.10
1769624_at	YLR283W
1769625_at	SPAC1142.05
1769626_at	YMR291W
1769627_at	YLR151C
1769628_at	YOR165W
1769629_at	SPAP14E8.05c
1769630_at	SPAC227.13c
1769631_at	SPCC5E4.06
1769632_at	SPBC2A9.12
1769633_at	SPAC4G9.20c
1769634_at	YHR079C
1769635_at	YMR184W
