,Regulator,Target,Weight,Sign
0,O15143,P04406,0.016877760310311463,
1,O15143,P05787,0.02649783428205056,
2,O15143,P05976,0.059845439799699376,
3,O15143,P06748,0.005142512090900414,
4,O15143,P07339,0.0028062172404898036,
5,O15143,P09382,0.005991606864821327,
6,O15143,P09936,0.013343571050406934,
7,O15143,P13667,0.006557508730678146,
8,O15143,P14174,0.01836493818716893,
9,O15143,P14314,0.027759772384729518,
10,O15143,P14866,0.018714652951810563,
11,O15143,P15374,0.02279788794712793,
12,O15143,P16989,0.009181395755393958,
13,O15143,P17096,0.003740812230339075,
14,O15143,P27635,0.025723678492510182,
15,O15143,P31949,0.013957023305663428,
16,O15143,P37837,0.012414477451163105,
17,O15143,P40939,0.004544089836355061,
18,O15143,P46777,0.005591454986793483,
19,O15143,P47914,0.0025892046204430363,
20,O15143,P51911,0.01880776435393315,
21,O15143,P56192,0.027721392838661874,
22,O15143,P60903,0.017813388239127783,
23,O15143,P62328,0.034505797207497385,
24,O15143,P62854,0.011002003344853219,
25,O15143,P62888,0.02140390253109291,
26,O15143,P63208,0.008140899801738077,
27,O15143,P68104,0.014148828082683761,
28,O15143,Q01518,0.002715746346995542,
29,O15143,Q01995,0.016455159210548433,
30,O15143,Q02790,0.007365365062649563,
31,O15143,Q07065,0.006730145665673751,
32,O15143,Q07866,0.05525214617525028,
33,O15143,Q14011,0.0017122500575637697,
34,O15143,Q14195,0.013748895975345973,
35,O15143,Q15365,0.026769149338885273,
36,O15143,Q15459,0.031666611251063695,
37,O15143,Q16181,0.04239458670462408,
38,O15143,Q16629,0.002913081189543177,
39,O15143,Q6NYC8,0.012037614091663583,
40,O15143,Q7Z417,0.015469527864717784,
41,O15143,Q92804,0.019312244897896246,
42,O15143,Q96AC1,0.0023843851154643912,
43,O15143,Q99439,0.013235584390178756,
44,O15143,Q99460,0.05775096748757711,
45,O15143,Q99613,0.0014191522491344799,
46,O15143,Q99879,0.02336115135565901,
47,O15143,Q9UMX0,0.009917308085498736,
48,O15143,Q9UN86,0.0,
49,P04406,O15143,0.019265631308207572,
50,P04406,P05787,0.014273657139459944,
51,P04406,P05976,0.07357983315450776,
52,P04406,P06748,0.008036169438196438,
53,P04406,P07339,0.021107264554209137,
54,P04406,P09382,0.020004656895273802,
55,P04406,P09936,0.007276950044702987,
56,P04406,P13667,0.032802685778041116,
57,P04406,P14174,0.013509810108851867,
58,P04406,P14314,0.015381760799566373,
59,P04406,P14866,0.029477665015644985,
60,P04406,P15374,0.009576306748660841,
61,P04406,P16989,0.05506890073019047,
62,P04406,P17096,0.03248478289807988,
63,P04406,P27635,0.02294034010427717,
64,P04406,P31949,0.04291993069782172,
65,P04406,P37837,0.00825895765677455,
66,P04406,P40939,0.007725155487799318,
67,P04406,P46777,0.06145206379910507,
68,P04406,P47914,0.018936198758984606,
69,P04406,P51911,0.025683669064007573,
70,P04406,P56192,0.023906889184444335,
71,P04406,P60903,0.03178167246896736,
72,P04406,P62328,0.029764904458843052,
73,P04406,P62854,0.00971456761331048,
74,P04406,P62888,0.029078187692865375,
75,P04406,P63208,0.02839386629343339,
76,P04406,P68104,0.0010264347705771352,
77,P04406,Q01518,0.0026558476333613024,
78,P04406,Q01995,0.03358184571687142,
79,P04406,Q02790,0.023589139595411382,
80,P04406,Q07065,0.0388150918834824,
81,P04406,Q07866,0.007386796382715705,
82,P04406,Q14011,0.030600069160761342,
83,P04406,Q14195,0.018993103908145067,
84,P04406,Q15365,0.04345845629848489,
85,P04406,Q15459,0.024187328776953124,
86,P04406,Q16181,0.016282456823237597,
87,P04406,Q16629,0.003023706337448209,
88,P04406,Q6NYC8,0.04103021279187688,
89,P04406,Q7Z417,0.03482534267508041,
90,P04406,Q92804,0.0018810492908114267,
91,P04406,Q96AC1,0.041162556212098515,
92,P04406,Q99439,0.007713213843903302,
93,P04406,Q99460,0.020466344549492695,
94,P04406,Q99613,0.016356423690326798,
95,P04406,Q99879,0.012682182208000119,
96,P04406,Q9UMX0,0.0393891659381945,
97,P04406,Q9UN86,0.0,
98,P05787,O15143,0.03364727227103456,
99,P05787,P04406,0.01516214536941828,
100,P05787,P05976,0.062419694713849505,
101,P05787,P06748,0.016002876974885977,
102,P05787,P07339,0.022637673607326436,
103,P05787,P09382,0.00795084086499776,
104,P05787,P09936,0.04299164173324668,
105,P05787,P13667,0.0009322290393958155,
106,P05787,P14174,0.009094926404550724,
107,P05787,P14314,0.04200439820228422,
108,P05787,P14866,0.024990344095301265,
109,P05787,P15374,0.0019167764342696248,
110,P05787,P16989,0.06039804018664324,
111,P05787,P17096,0.003436814501208955,
112,P05787,P27635,0.019316619222229967,
113,P05787,P31949,0.023317445330485187,
114,P05787,P37837,0.015719501641230257,
115,P05787,P40939,0.009559176426962449,
116,P05787,P46777,0.030671531898096266,
117,P05787,P47914,0.039029832902648394,
118,P05787,P51911,0.0005869760943997882,
119,P05787,P56192,0.0351028728554239,
120,P05787,P60903,0.0007845475435762298,
121,P05787,P62328,0.010895053480211529,
122,P05787,P62854,0.006361570884242792,
123,P05787,P62888,0.009507555488873904,
124,P05787,P63208,0.004989849239364595,
125,P05787,P68104,0.010479374922942633,
126,P05787,Q01518,0.028806575855037944,
127,P05787,Q01995,0.014140913432963153,
128,P05787,Q02790,0.0187642675627243,
129,P05787,Q07065,0.013788256422938629,
130,P05787,Q07866,0.006201159559210607,
131,P05787,Q14011,0.03978936959876792,
132,P05787,Q14195,0.018672760657567653,
133,P05787,Q15365,0.027946392339420523,
134,P05787,Q15459,0.006060366030498143,
135,P05787,Q16181,0.013659324907324981,
136,P05787,Q16629,0.03195186388081457,
137,P05787,Q6NYC8,0.020996910353148907,
138,P05787,Q7Z417,0.007967940678239823,
139,P05787,Q92804,0.02604203540246665,
140,P05787,Q96AC1,0.003328771017070193,
141,P05787,Q99439,0.024098777162737766,
142,P05787,Q99460,0.011834075914939398,
143,P05787,Q99613,0.01672231148718972,
144,P05787,Q99879,0.03335419695315902,
145,P05787,Q9UMX0,0.040999771422388184,
146,P05787,Q9UN86,0.0,
147,P05976,O15143,0.0267125957855726,
148,P05976,P04406,0.03653981873198323,
149,P05976,P05787,0.00586905380762535,
150,P05976,P06748,0.02916471728609666,
151,P05976,P07339,0.008250120173456539,
152,P05976,P09382,0.027304509882998047,
153,P05976,P09936,0.049305274216292834,
154,P05976,P13667,0.02222205853200197,
155,P05976,P14174,0.017008142909352243,
156,P05976,P14314,0.027758685528277136,
157,P05976,P14866,0.025166832193398173,
158,P05976,P15374,0.01111337091988172,
159,P05976,P16989,0.014608511582096858,
160,P05976,P17096,0.014868170170572566,
161,P05976,P27635,0.014210737043039457,
162,P05976,P31949,0.005584251601167696,
163,P05976,P37837,0.0006198423660685886,
164,P05976,P40939,0.011258190604059578,
165,P05976,P46777,0.0018474352577965694,
166,P05976,P47914,0.00764776774071169,
167,P05976,P51911,0.00539713870495519,
168,P05976,P56192,0.019201056305301705,
169,P05976,P60903,0.003271183065229317,
170,P05976,P62328,0.02561128519473026,
171,P05976,P62854,0.004916079823909878,
172,P05976,P62888,0.012347604909676815,
173,P05976,P63208,0.011118991645556821,
174,P05976,P68104,0.01669679997113499,
175,P05976,Q01518,0.01294303306043997,
176,P05976,Q01995,0.028366977726078758,
177,P05976,Q02790,0.043143597308566733,
178,P05976,Q07065,0.002161270736397216,
179,P05976,Q07866,0.02322722452074741,
180,P05976,Q14011,0.024333762290388614,
181,P05976,Q14195,0.014479319954864164,
182,P05976,Q15365,0.026045454427689792,
183,P05976,Q15459,0.0009805543697079804,
184,P05976,Q16181,0.007589262998705776,
185,P05976,Q16629,0.011548033493293869,
186,P05976,Q6NYC8,0.013952072763165178,
187,P05976,Q7Z417,0.02017415049927382,
188,P05976,Q92804,0.016397508163349776,
189,P05976,Q96AC1,0.029280167638983907,
190,P05976,Q99439,0.0441327653839713,
191,P05976,Q99460,0.006744491401356008,
192,P05976,Q99613,0.0041742441082346675,
193,P05976,Q99879,0.016133973570702544,
194,P05976,Q9UMX0,0.006628738831547261,
195,P05976,Q9UN86,0.0,
196,P06748,O15143,0.014715552619502689,
197,P06748,P04406,0.0004781711930919902,
198,P06748,P05787,0.01799827776025539,
199,P06748,P05976,0.024616161818191745,
200,P06748,P07339,0.021339185730382584,
201,P06748,P09382,0.0002671005803779862,
202,P06748,P09936,0.02118861402245723,
203,P06748,P13667,0.03255595333606778,
204,P06748,P14174,0.009672054953006584,
205,P06748,P14314,0.02344742516420601,
206,P06748,P14866,0.02892468993977435,
207,P06748,P15374,0.014507095609273258,
208,P06748,P16989,0.013206206710442113,
209,P06748,P17096,0.0038856470526431788,
210,P06748,P27635,0.0009944903570363627,
211,P06748,P31949,0.02351206889259772,
212,P06748,P37837,0.03329120761368625,
213,P06748,P40939,0.00349386615812614,
214,P06748,P46777,0.04574768192339882,
215,P06748,P47914,0.005469829303928183,
216,P06748,P51911,0.023450825379304763,
217,P06748,P56192,0.028935940953130984,
218,P06748,P60903,0.019887792387893094,
219,P06748,P62328,0.005948059353650261,
220,P06748,P62854,0.0021102734087545556,
221,P06748,P62888,0.004716615640106603,
222,P06748,P63208,0.028537815826964467,
223,P06748,P68104,0.03823466181932576,
224,P06748,Q01518,0.007525780757928182,
225,P06748,Q01995,0.01508997259706834,
226,P06748,Q02790,0.008992714873916802,
227,P06748,Q07065,0.0017545295321428247,
228,P06748,Q07866,0.00020211944579179295,
229,P06748,Q14011,0.01142194997680132,
230,P06748,Q14195,0.01638865640962176,
231,P06748,Q15365,0.026974464700901816,
232,P06748,Q15459,0.02761985995661006,
233,P06748,Q16181,0.019922812017822207,
234,P06748,Q16629,0.028756148531566623,
235,P06748,Q6NYC8,0.011748304846497847,
236,P06748,Q7Z417,0.0018261234163902827,
237,P06748,Q92804,0.0020208079039895624,
238,P06748,Q96AC1,0.005845139928661713,
239,P06748,Q99439,0.006353812410061076,
240,P06748,Q99460,0.02974171587340969,
241,P06748,Q99613,0.0326466109390961,
242,P06748,Q99879,0.01894769551935194,
243,P06748,Q9UMX0,0.010531958816155226,
244,P06748,Q9UN86,0.0,
245,P07339,O15143,0.06552647516624008,
246,P07339,P04406,0.048166568462672275,
247,P07339,P05787,0.018314816719142552,
248,P07339,P05976,0.009606904500300691,
249,P07339,P06748,0.015896400822935752,
250,P07339,P09382,0.005207126731806885,
251,P07339,P09936,0.06058358907624384,
252,P07339,P13667,0.0037562156153220813,
253,P07339,P14174,0.018004290278423492,
254,P07339,P14314,0.04417693566514305,
255,P07339,P14866,0.03671618756609334,
256,P07339,P15374,0.01328217051747879,
257,P07339,P16989,0.028877515621185002,
258,P07339,P17096,0.020484751258200068,
259,P07339,P27635,0.01777202815552137,
260,P07339,P31949,0.0006064777176241456,
261,P07339,P37837,0.02607952668516819,
262,P07339,P40939,0.011079084681980107,
263,P07339,P46777,0.016297093410732166,
264,P07339,P47914,0.04311163696302276,
265,P07339,P51911,0.011912481343018741,
