Regulator,Target,Weight,Sign
O15143,O94925,0.019408138195369493,
O15143,P00568,0.0007755863566106594,
O15143,P02461,0.02064932602236812,
O15143,P02652,0.0008200985765202662,
O15143,P04179,0.012234836672443834,
O15143,P05976,0.04620137695873222,
O15143,P06753,0.014684727580294672,
O15143,P07339,0.0033080878614589605,
O15143,P12956,0.02164196104162101,
O15143,P13010,0.039624366835274163,
O15143,P15374,0.018631131297907316,
O15143,P18859,0.016055571348181898,
O15143,P21281,0.015541881237900802,
O15143,P23246,0.034652185684833386,
O15143,P26447,0.009614692145483727,
O15143,P27816,0.07750703858835876,
O15143,P30085,0.016313955062909287,
O15143,P36957,0.028063646935966143,
O15143,P37837,0.03462280510508636,
O15143,P40926,0.012344156929426656,
O15143,P42765,0.003076784646253421,
O15143,P49023,0.032490477005235725,
O15143,P53621,0.01474639427407181,
O15143,P56192,0.008577576477848643,
O15143,P61981,0.02659796072694138,
O15143,P62328,0.013459696908513506,
O15143,P62854,0.018041650953521077,
O15143,P62917,0.0013535031108512189,
O15143,P63208,0.05213105394626256,
O15143,P63313,0.0013337391067757894,
O15143,Q01995,0.01976055566346491,
O15143,Q02218,0.011897121168104693,
O15143,Q02818,0.018265720111470964,
O15143,Q05682,0.00129020789407539,
O15143,Q07065,0.007751077771702009,
O15143,Q07954,0.015045729495041855,
O15143,Q13263,0.038426257873697266,
O15143,Q14011,0.021128837537349964,
O15143,Q14444,0.05401351955841593,
O15143,Q14767,0.0004729821027848483,
O15143,Q15233,0.010639061129696339,
O15143,Q15843,0.0018885905858622351,
O15143,Q7Z417,0.002846392844971639,
O15143,Q8WWI1,0.035308008055704776,
O15143,Q96CW1,0.0016517012294805613,
O15143,Q96HC4,0.019458673403305437,
O15143,Q9H0U4,0.018533719342984166,
O15143,Q9UHD8,0.045363552584986325,
O15143,Q9UMS6,0.02169309179815564,
O15143,mg,0.0,
O94925,O15143,0.05653275222911935,
O94925,P00568,0.0004905934248247136,
O94925,P02461,0.017273388614923023,
O94925,P02652,0.0006381337921461825,
O94925,P04179,0.011731630951320517,
O94925,P05976,0.01814649056952744,
O94925,P06753,0.013576166435770963,
O94925,P07339,0.006006831806310161,
O94925,P12956,0.028277202513491386,
O94925,P13010,0.03152914620165095,
O94925,P15374,0.01697508458722966,
O94925,P18859,0.04820149485788043,
O94925,P21281,0.0006723979886865828,
O94925,P23246,0.001328960575356488,
O94925,P26447,0.015783362065699694,
O94925,P27816,0.05617471270920633,
O94925,P30085,0.03347462611256817,
O94925,P36957,0.022015852267448816,
O94925,P37837,0.018459224635070298,
O94925,P40926,0.01200265863497461,
O94925,P42765,0.011757584391740556,
O94925,P49023,3.884927767827128e-05,
O94925,P53621,0.060016308141856406,
