Regulator,Target,Weight
O15143,P05787,0.0008223466217626579
O15143,P05976,0.011261592093683506
O15143,P07339,0.012958376442735165
O15143,P13667,0.013978284908352076
O15143,P14174,0.002874733379050303
O15143,P14314,0.005074378327959799
O15143,P14866,0.013987865000519979
O15143,P17096,0.02175736721193574
O15143,P31949,0.020814402423658073
O15143,P37837,0.009144264207642463
O15143,P56192,0.011413789463771218
O15143,P60903,0.12897360859665766
O15143,P62328,0.025827634873707227
O15143,P62854,0.023539409153285992
O15143,P62888,0.014943491863423338
O15143,P63208,0.04576572779320911
O15143,Q01995,0.0012708965613866126
O15143,Q02790,0.04371201347454939
O15143,Q07065,0.014866162050660879
O15143,Q14011,0.18873338448391355
O15143,Q16629,0.0020911749395400026
O15143,Q6NYC8,0.062172461346224644
O15143,Q7Z417,0.011121218218212083
O15143,Q92804,0.039353817920697934
O15143,Q99439,0.02202927781397809
O15143,Q99613,0.01569790295584684
O15143,Q99879,0.018275758556782432
O15143,Q9UMX0,0.04280287930943226
O15143,Q9UN86,0.17473578000742104
P05787,O15143,0.018458175090133457
P05787,P05976,0.02067370379063841
P05787,P07339,0.0024027307711100123
P05787,P13667,0.004992263563922137
P05787,P14174,0.059805708082301665
P05787,P14314,0.018562638812155093
P05787,P14866,0.011348156735373016
P05787,P17096,0.020593520869429924
P05787,P31949,0.08055120838562496
P05787,P37837,0.018067234446687112
P05787,P56192,0.11421948563794024
P05787,P60903,0.020524594074640842
P05787,P62328,0.007709924601188725
P05787,P62854,0.0219302241377916
P05787,P62888,0.029016246697167118
P05787,P63208,0.02173819888322821
P05787,Q01995,0.0192582038418247
P05787,Q02790,0.0018619557275354225
P05787,Q07065,0.2179534412656668
P05787,Q14011,0.006738662731050782
P05787,Q16629,0.008304176401715406
P05787,Q6NYC8,0.02663780083494853
P05787,Q7Z417,0.0008805457242393118
P05787,Q92804,0.012688350169036642
P05787,Q99439,0.02555612025926922
P05787,Q99613,0.019627954208897073
P05787,Q99879,0.13872548706467924
P05787,Q9UMX0,0.045675706564016726
P05787,Q9UN86,0.005497580627787602
P05976,O15143,0.047488622391663515
P05976,P05787,0.08582555787854085
P05976,P07339,0.036105681901738476
P05976,P13667,0.003599110936358139
P05976,P14174,0.043803400463294104
P05976,P14314,0.07209487672815046
P05976,P14866,0.009330291852124676
P05976,P17096,0.027034148452573573
P05976,P31949,0.006869183275536147
P05976,P37837,0.07365127795026294
P05976,P56192,0.003739240182464628
P05976,P60903,0.030523909041439534
P05976,P62328,0.013268378870784754
P05976,P62854,0.07665419781578531
P05976,P62888,0.003291969953386602
P05976,P63208,0.15752963501907036
P05976,Q01995,0.020140778372713736
P05976,Q02790,0.00855611178624877
P05976,Q07065,0.07534060455934677
P05976,Q14011,0.033165108257134965
P05976,Q16629,0.014185084347695437
P05976,Q6NYC8,0.055857867164318224
P05976,Q7Z417,0.014295293278034277
P05976,Q92804,0.01423343275468896
P05976,Q99439,0.0009067018215518552
P05976,Q99613,0.04040408000444129
P05976,Q99879,0.0086968511642103
P05976,Q9UMX0,0.015664968363730346
P05976,Q9UN86,0.007743635412711201
P07339,O15143,0.054409059668035324
P07339,P05787,0.013479758299976814
P07339,P05976,0.009793411790551161
P07339,P13667,0.011238273775886239
P07339,P14174,0.08936558135417492
P07339,P14314,0.049014450236554555
P07339,P14866,0.021465320244298466
P07339,P17096,0.04396021431761426
P07339,P31949,0.06752377794845571
P07339,P37837,0.00690354266913262
P07339,P56192,0.07332022221997563
P07339,P60903,0.05518971298020712
P07339,P62328,0.0589953939676387
P07339,P62854,0.029694737517793925
P07339,P62888,0.03440575459753434
P07339,P63208,0.1414308437780258
P07339,Q01995,0.05607667821878392
P07339,Q02790,0.008281798880092279
P07339,Q07065,0.05522971525993241
P07339,Q14011,0.013179114022303791
P07339,Q16629,0.017903371294155635
P07339,Q6NYC8,0.010421120697783727
P07339,Q7Z417,0.007418952689173589
P07339,Q92804,0.010962398935420255
P07339,Q99439,0.008307874164033101
P07339,Q99613,0.014682681868616482
P07339,Q99879,0.014098594285951805
P07339,Q9UMX0,0.010907952298578922
P07339,Q9UN86,0.012339692019318503
P13667,O15143,0.019250942361518277
P13667,P05787,0.11542092685652801
P13667,P05976,0.008008294785882204
P13667,P07339,0.020757723022581085
P13667,P14174,0.0029841892515568495
P13667,P14314,0.051837020685679185
P13667,P14866,0.004818466448104633
P13667,P17096,0.07777314372748183
P13667,P31949,0.012207445461763344
P13667,P37837,0.003628530521187164
P13667,P56192,0.010929562142329978
P13667,P60903,0.11560018419803325
P13667,P62328,0.03184878481003555
P13667,P62854,0.052746502672847376
P13667,P62888,0.004499394171212017
P13667,P63208,0.059410619399821105
P13667,Q01995,0.007421379804116822
P13667,Q02790,0.005471653522732988
P13667,Q07065,0.012898627027413625
P13667,Q14011,0.042507575593981294
P13667,Q16629,0.014650358338174591
P13667,Q6NYC8,0.0820783357808842
P13667,Q7Z417,0.0034759658558020296
P13667,Q92804,0.006793180753273969
P13667,Q99439,0.03259210019862102
P13667,Q99613,0.08345114198074781
P13667,Q99879,0.006288690733895582
P13667,Q9UMX0,0.02121531391927676
P13667,Q9UN86,0.08943394597451726
P14174,O15143,0.08336405502002353
P14174,P05787,0.02418110081134968
P14174,P05976,0.011195170600335879
P14174,P07339,0.010862341908617424
P14174,P13667,0.012661428964641714
P14174,P14314,0.04222650730645294
P14174,P14866,0.00782751051721383
P14174,P17096,0.01202777821437135
P14174,P31949,0.07423185080232884
P14174,P37837,0.020168730447079553
P14174,P56192,0.07618331194867982
P14174,P60903,0.010928724712790723
P14174,P62328,0.01413699824850298
P14174,P62854,0.053144344087370836
P14174,P62888,0.014089053337282323
P14174,P63208,0.0021863402702417445
P14174,Q01995,0.061827982338091746
P14174,Q02790,0.03491614738819477
P14174,Q07065,0.05755408657910337
P14174,Q14011,0.009336194780227045
P14174,Q16629,0.048956525125162194
P14174,Q6NYC8,0.013179375709942131
P14174,Q7Z417,0.014436613894367048
P14174,Q92804,0.009407724258501723
P14174,Q99439,0.08677176604127874
P14174,Q99613,0.09306040372188991
P14174,Q99879,0.032721566039643504
P14174,Q9UMX0,0.06212568955821535
P14174,Q9UN86,0.006290677368099422
P14314,O15143,0.079023648431807
P14314,P05787,0.018416379818216623
P14314,P05976,0.004982187085548602
P14314,P07339,0.018149151626882427
P14314,P13667,0.017514185107856618
P14314,P14174,0.008097908880414187
P14314,P14866,0.0064182794744095
P14314,P17096,0.01352578483952617
P14314,P31949,0.042873739229598036
P14314,P37837,0.037936805337181
P14314,P56192,0.03310910567467648
P14314,P60903,0.12357533688273026
P14314,P62328,0.003132915644975598
P14314,P62854,0.038582767450135926
P14314,P62888,0.0021356762164894618
P14314,P63208,0.1197976993367332
P14314,Q01995,0.005589472862747692
P14314,Q02790,0.003517899675310413
P14314,Q07065,0.0522499478949654
P14314,Q14011,0.04900094765408798
P14314,Q16629,0.0292445935903997
P14314,Q6NYC8,0.08911323657894955
P14314,Q7Z417,0.0051097323397923415
P14314,Q92804,0.0036738944137605155
P14314,Q99439,0.012441031180533014
P14314,Q99613,0.0764642085880525
P14314,Q99879,0.012561622315288618
P14314,Q9UMX0,0.02788503540963283
P14314,Q9UN86,0.06587680645929841
P14866,O15143,0.026113981310330697
P14866,P05787,0.0170578523070295
P14866,P05976,0.010539662279668984
P14866,P07339,0.01448374355955443
P14866,P13667,0.014855142357831657
P14866,P14174,0.01336868741321947
P14866,P14314,0.00986633103406232
P14866,P17096,0.0761518259169637
P14866,P31949,0.01895083802139923
P14866,P37837,0.06696993512186382
P14866,P56192,0.03486602340526361
P14866,P60903,0.02762949248664248
P14866,P62328,0.03035000968425618
P14866,P62854,0.10618958027784935
P14866,P62888,0.039093199327964345
P14866,P63208,0.08404305098364746
P14866,Q01995,0.012235629482013913
P14866,Q02790,0.07010819261971167
P14866,Q07065,0.004346736559462449
P14866,Q14011,0.04909132653011909
P14866,Q16629,0.009333926532640091
P14866,Q6NYC8,0.07115125143822527
P14866,Q7Z417,0.010751835836431462
P14866,Q92804,0.012786138441573223
P14866,Q99439,0.025125610307180826
P14866,Q99613,0.07717660268505122
P14866,Q99879,0.019345440253416536
P14866,Q9UMX0,0.029059878829807807
P14866,Q9UN86,0.0189580749968192
P17096,O15143,0.011092627129086619
P17096,P05787,0.030933209553892824
P17096,P05976,0.018692076713719405
P17096,P07339,0.015214075850864685
P17096,P13667,0.07708412468392374
P17096,P14174,0.024035969203860273
P17096,P14314,0.05343616037475098
P17096,P14866,0.10951389519500353
P17096,P31949,0.013656254012819915
P17096,P37837,0.0007502739478457887
P17096,P56192,0.0026551029286982723
P17096,P60903,0.0007832427239350348
P17096,P62328,0.004058010394883102
P17096,P62854,0.025044713146484043
P17096,P62888,0.008200701195109898
P17096,P63208,0.0014089968675362033
P17096,Q01995,0.01393238325618999
P17096,Q02790,0.1056290178609461
P17096,Q07065,0.005661550102085747
P17096,Q14011,0.08753437984305981
P17096,Q16629,0.004618063540657261
P17096,Q6NYC8,0.002059131103588726
P17096,Q7Z417,0.050280339679051475
P17096,Q92804,0.006091905790665612
P17096,Q99439,0.009452621644553915
P17096,Q99613,0.028040272714773676
P17096,Q99879,0.15479631336278468
P17096,Q9UMX0,0.12509013033962785
P17096,Q9UN86,0.010254456839600848
P31949,O15143,0.06143556607146706
P31949,P05787,0.10532672639476143
P31949,P05976,0.033982891604428606
P31949,P07339,0.050914844212855394
P31949,P13667,0.05514453364881188
P31949,P14174,0.007818450742804154
P31949,P14314,0.17302859823957203
P31949,P14866,0.012313707847952977
P31949,P17096,0.02795189437612615
P31949,P37837,0.02854223129328547
P31949,P56192,0.028653058712393705
P31949,P60903,0.01112457575514578
P31949,P62328,0.019742203291611624
P31949,P62854,0.003882901180714814
P31949,P62888,0.01234599752529739
P31949,P63208,0.04446273254337143
P31949,Q01995,0.03141606268447643
P31949,Q02790,0.015762975703898743
P31949,Q07065,0.07983097772106293
P31949,Q14011,0.009750425935151257
P31949,Q16629,0.0379217056005065
P31949,Q6NYC8,0.045472496469194136
P31949,Q7Z417,0.01138318332931037
P31949,Q92804,0.017798526022925976
P31949,Q99439,0.03587434459189639
P31949,Q99613,0.023533072258859974
P31949,Q99879,0.0019341760184628924
P31949,Q9UMX0,0.00858399337718293
P31949,Q9UN86,0.00406714684647154
P37837,O15143,0.04192167579902209
P37837,P05787,0.0027253824739518016
P37837,P05976,0.005621421562875329
P37837,P07339,0.008358047644845216
P37837,P13667,0.0176345271837234
P37837,P14174,0.026424009282026567
P37837,P14314,0.005116253259257103
P37837,P14866,0.022046116654855515
P37837,P17096,0.10688012108321382
P37837,P31949,0.0015254469487457662
P37837,P56192,0.06886275510256452
P37837,P60903,0.13857513700155571
P37837,P62328,0.009841545661812402
P37837,P62854,0.024014304396335215
P37837,P62888,0.05058075648767987
P37837,P63208,0.03726114299641967
P37837,Q01995,0.002638240099770838
P37837,Q02790,0.016306958022602906
P37837,Q07065,0.06685352181902385
P37837,Q14011,0.010230102479123397
P37837,Q16629,0.0513498480459217
P37837,Q6NYC8,0.03850044578806037
P37837,Q7Z417,0.057041499728522495
P37837,Q92804,0.012550877035274778
P37837,Q99439,0.0006858592562339483
P37837,Q99613,0.08048002796514432
P37837,Q99879,0.015386045206848895
P37837,Q9UMX0,0.0036829447503365564
P37837,Q9UN86,0.07690498626425187
P56192,O15143,0.0012540964947859751
P56192,P05787,0.021372265968598307
P56192,P05976,0.0012917339595755412
P56192,P07339,0.012652369395287678
P56192,P13667,0.00835672533074906
P56192,P14174,0.07651426131036669
P56192,P14314,0.005944252618424578
P56192,P14866,0.13165124217664007
P56192,P17096,0.007830373420483552
P56192,P31949,0.007126250123536322
P56192,P37837,0.0032834424761188394
P56192,P60903,0.00982050662606809
P56192,P62328,0.02105862000715057
P56192,P62854,0.11960392955845742
P56192,P62888,0.06989370845864006
P56192,P63208,0.014760130309682607
P56192,Q01995,0.04720139838473123
P56192,Q02790,0.06782585083740214
P56192,Q07065,0.004819154548319868
P56192,Q14011,0.010176682718396895
P56192,Q16629,0.021967006716470575
P56192,Q6NYC8,0.003222555381890558
P56192,Q7Z417,0.035539722226076625
P56192,Q92804,0.018359389696234848
P56192,Q99439,0.01176906422801103
P56192,Q99613,0.043323862186585474
P56192,Q99879,0.09854779503995895
P56192,Q9UMX0,0.12334659416695151
P56192,Q9UN86,0.0014870156344047975
P60903,O15143,0.26737009932892025
P60903,P05787,0.005101355681182418
P60903,P05976,0.025919927105904336
P60903,P07339,0.0038921665669944486
P60903,P13667,0.01999951471838785
P60903,P14174,0.04817860832566205
P60903,P14314,0.003947629626729437
P60903,P14866,0.007878346101653017
P60903,P17096,0.01337250022342713
P60903,P31949,0.062339952569811695
P60903,P37837,0.060930946608823776
P60903,P56192,0.0020565782768618823
P60903,P62328,0.07334805708800479
P60903,P62854,0.009785015884831685
P60903,P62888,0.011406412473658261
P60903,P63208,0.03366943814351016
P60903,Q01995,0.028819541117170673
P60903,Q02790,0.01561790316303117
P60903,Q07065,0.005536687873045235
P60903,Q14011,0.01789514967222043
P60903,Q16629,0.028402514558392294
P60903,Q6NYC8,0.12311249560220916
P60903,Q7Z417,0.013203119944018588
P60903,Q92804,0.03998789682471363
P60903,Q99439,0.022529995145958055
P60903,Q99613,0.00900503497957128
P60903,Q99879,0.013569115348752324
P60903,Q9UMX0,0.01768229898524904
P60903,Q9UN86,0.015441698061304744
P62328,O15143,0.0013191071847036752
P62328,P05787,0.06253596127870416
P62328,P05976,0.04586108910144327
P62328,P07339,0.014207313868740492
P62328,P13667,0.04053652627023165
P62328,P14174,0.03422844592647956
P62328,P14314,0.02528717485768939
P62328,P14866,0.02102726267838049
P62328,P17096,0.017796915283500345
P62328,P31949,0.02710786303527882
P62328,P37837,0.050769702231396686
P62328,P56192,0.04907982110992043
P62328,P60903,0.002661447110220855
P62328,P62854,0.022883712961096783
P62328,P62888,0.02232171945604138
P62328,P63208,0.005835452775702657
P62328,Q01995,0.0480593239425636
P62328,Q02790,0.03324771536651536
P62328,Q07065,0.032093138680264234
P62328,Q14011,0.06318126926426927
P62328,Q16629,0.0464341182337057
P62328,Q6NYC8,0.005362034258550916
P62328,Q7Z417,0.038279981779194276
P62328,Q92804,0.04198181202277306
P62328,Q99439,0.01833498755588012
P62328,Q99613,0.021833074049910018
P62328,Q99879,0.08296280906847303
P62328,Q9UMX0,0.09771982811715783
P62328,Q9UN86,0.027050392531211945
P62854,O15143,0.041649019054497666
P62854,P05787,0.030675539225096127
P62854,P05976,0.025899033751762553
P62854,P07339,0.03278957213813424
P62854,P13667,0.0023936555733322265
P62854,P14174,0.08218201501012894
P62854,P14314,0.005479895702590445
P62854,P14866,0.023803673568664956
P62854,P17096,0.044907546218107
P62854,P31949,0.020791426410738854
P62854,P37837,0.029751973035920417
P62854,P56192,0.020058737465122604
P62854,P60903,0.06769392325782785
P62854,P62328,0.00290471261403426
P62854,P62888,0.05732801008352529
P62854,P63208,0.022655606873381088
P62854,Q01995,0.07338514278560526
P62854,Q02790,0.0703085789961768
P62854,Q07065,0.030734076741144672
P62854,Q14011,0.011705569330234195
P62854,Q16629,0.07637591104660724
P62854,Q6NYC8,0.03658076924367027
P62854,Q7Z417,0.013028404860831132
P62854,Q92804,0.011906782690276006
P62854,Q99439,0.040926910262548626
P62854,Q99613,0.07183075105787659
P62854,Q99879,0.010004114371407491
P62854,Q9UMX0,0.031154543497346324
P62854,Q9UN86,0.01109410513341086
P62888,O15143,0.009084194169539083
