Regulator,Target,Weight
O15143,P04406,0.01035631118771668
O15143,P05787,0.009105116353192881
O15143,P05976,0.019361296038691887
O15143,P06748,3.996437365418333e-06
O15143,P07339,0.0006137727488622975
O15143,P09382,0.02085545834938686
O15143,P09936,0.00041261168653319716
O15143,P13667,0.014407903092619623
O15143,P14174,0.04485417124875621
O15143,P14314,0.0011566714781664918
O15143,P14866,0.0009943128922002354
O15143,P15374,0.01114921942226766
O15143,P16989,0.03647019261409421
O15143,P17096,0.033489544416108546
O15143,P27635,0.0005547653746245869
O15143,P31949,0.013112140013401117
O15143,P37837,0.046612668459756555
O15143,P40939,0.011006138933554628
O15143,P46777,0.0016159745714480608
O15143,P47914,0.0037929366064300596
O15143,P51911,0.014528547201242083
O15143,P56192,0.0519152505310743
O15143,P60903,0.0007090683465939521
O15143,P62328,0.03772114702576899
O15143,P62854,0.005212220419770417
O15143,P62888,0.026688246158809444
O15143,P63208,0.048618526246701536
O15143,P68104,0.00011455522555249765
O15143,Q01518,0.0008348122028745259
O15143,Q01995,0.0012529357041640402
O15143,Q02790,0.06389637882704402
O15143,Q07065,0.00022905962535238648
O15143,Q07866,0.0011343245800385878
O15143,Q14011,0.06132112566794252
O15143,Q14195,0.009057367679574877
O15143,Q15365,0.009950180386610757
O15143,Q15459,0.04475640626610394
O15143,Q16181,0.07502988081169285
O15143,Q16629,0.08691387788005853
O15143,Q6NYC8,0.0025255811397868217
O15143,Q7Z417,0.0019247551970166198
O15143,Q92804,0.00367341465283318
O15143,Q96AC1,0.0011575223100855033
O15143,Q99439,0.001957369126436667
O15143,Q99460,0.010505341411617129
O15143,Q99613,0.08258651622102926
O15143,Q99879,0.03931732841692975
O15143,Q9UMX0,0.030038215185398884
O15143,Q9UN86,0.00650484362671876
O15143,mg,0.0
P04406,O15143,0.005637007024830701
P04406,P05787,0.0032291551718688903
P04406,P05976,0.003269779683577442
P04406,P06748,0.09012794729203187
P04406,P07339,0.012561070142036375
P04406,P09382,0.014149580703186521
P04406,P09936,0.024018875874055587
P04406,P13667,0.006223324952511398
P04406,P14174,0.011598841379339392
P04406,P14314,0.00951929838634223
P04406,P14866,0.033143991926690146
P04406,P15374,0.03276758679909618
P04406,P16989,0.002573449919059083
P04406,P17096,0.025713998886409416
P04406,P27635,0.014930797406058183
P04406,P31949,0.022091760521601687
P04406,P37837,0.021090754015132978
P04406,P40939,0.017896112201173462
P04406,P46777,0.005638346403215339
P04406,P47914,0.014732131639648968
P04406,P51911,0.02315725275437948
P04406,P56192,0.002927394971029523
P04406,P60903,0.008950752679221149
P04406,P62328,0.04713968534908878
P04406,P62854,0.012475709531514686
P04406,P62888,0.02060741259179626
P04406,P63208,0.022699311692317137
P04406,P68104,0.008486960151843944
P04406,Q01518,0.0036910385743892412
P04406,Q01995,0.04781148231002773
P04406,Q02790,0.016807616289663072
P04406,Q07065,0.004628420329615868
P04406,Q07866,0.004391264050265768
P04406,Q14011,0.016814248601940356
P04406,Q14195,0.0160886932052718
P04406,Q15365,0.0006916589371459892
P04406,Q15459,0.0016299724569587028
P04406,Q16181,0.005718730716427475
P04406,Q16629,0.022719509732353774
P04406,Q6NYC8,0.03732571361023516
P04406,Q7Z417,0.1268985809219925
P04406,Q92804,0.03338279259465982
P04406,Q96AC1,0.024223069163377863
P04406,Q99439,0.0322998040086153
P04406,Q99460,0.0023073033453702295
P04406,Q99613,0.017543533892930212
P04406,Q99879,0.010712516790159134
P04406,Q9UMX0,0.009832436062541963
P04406,Q9UN86,0.047123324357001416
P04406,mg,0.0
P05787,O15143,0.03527195815647541
P05787,P04406,0.009608724534425978
P05787,P05976,0.001684009741015649
P05787,P06748,0.08330303643073378
P05787,P07339,0.04074463516511332
P05787,P09382,0.007602010193582145
P05787,P09936,0.0013749967922078294
P05787,P13667,0.012656644015221787
