Regulator,Target,Weight
O15143,P04406,0.00048818554055850164
O15143,P05787,0.001064695125495451
O15143,P05976,0.02919134187353442
O15143,P06748,0.0007223183477767188
O15143,P07339,0.0009138721706945537
O15143,P09382,0.01135717815027074
O15143,P09936,0.0002585575276768469
O15143,P13667,0.0015981509445620922
O15143,P14174,0.016193900041663257
O15143,P14314,0.009458269215449006
O15143,P14866,0.012170892420985163
O15143,P15374,0.05527637722357915
O15143,P16989,0.030460535735505764
O15143,P17096,0.01435717916947244
O15143,P27635,0.00913763316142325
O15143,P31949,0.001314263644020004
O15143,P37837,0.06456571229625757
O15143,P40939,0.001487285738207348
O15143,P46777,0.0009323394850883074
O15143,P47914,0.0011147677780843884
O15143,P51911,0.010388721415979059
O15143,P56192,0.037947471667872684
O15143,P60903,0.0014832999447793919
O15143,P62328,0.029618321433912756
O15143,P62854,0.011215061478106325
O15143,P62888,0.00031348453237043603
O15143,P63208,0.065766372063264
O15143,P68104,0.018984954742219128
O15143,Q01518,0.0010034368128932058
O15143,Q01995,0.01031757477594652
O15143,Q02790,0.018530082936770848
O15143,Q07065,0.0011197317955129983
O15143,Q07866,0.0005054037482446063
O15143,Q14011,0.04799553667289866
O15143,Q14195,0.003265511446691548
O15143,Q15365,0.019240350229980885
O15143,Q15459,0.04906824045746422
O15143,Q16181,0.09436261562699313
O15143,Q16629,0.10000871138850254
O15143,Q6NYC8,0.004065471450846828
O15143,Q7Z417,0.0010050338514285021
O15143,Q92804,0.0028760905245960927
O15143,Q96AC1,0.0016856703523998374
O15143,Q99439,0.0021719816421999346
O15143,Q99460,0.009797672238203539
O15143,Q99613,0.11053349184701203
O15143,Q99879,0.02795766722988308
O15143,Q9UMX0,0.050054880266912266
O15143,Q9UN86,0.006653701835809997
P04406,O15143,0.014010418980110533
P04406,P05787,0.004100281974071724
P04406,P05976,0.0196530749291033
P04406,P06748,0.14776469433893538
P04406,P07339,0.010906864305037879
P04406,P09382,0.008403404679732296
P04406,P09936,0.003318005043355965
P04406,P13667,0.009880573485058268
P04406,P14174,0.01062507276757128
P04406,P14314,0.007631166500319432
P04406,P14866,0.015219727667970835
P04406,P15374,0.0017067660149891809
P04406,P16989,0.023054232264744977
P04406,P17096,0.02433825977844112
P04406,P27635,0.002024571990144751
P04406,P31949,0.008564308450904048
P04406,P37837,0.004039091413978746
P04406,P40939,0.0321322736535181
P04406,P46777,0.013795043245824357
P04406,P47914,0.007663238925063737
P04406,P51911,0.04953553499452196
P04406,P56192,0.005202224390670579
P04406,P60903,0.012960503109501859
P04406,P62328,0.05047009580071681
P04406,P62854,0.020765205608542024
P04406,P62888,0.010700046877512016
P04406,P63208,0.0001944181102174089
P04406,P68104,0.004272206266408984
P04406,Q01518,0.020455103202737766
P04406,Q01995,0.01047266691754824
P04406,Q02790,1.440348478106841e-05
P04406,Q07065,0.0006303963172730117
P04406,Q07866,0.0010998218308144543
P04406,Q14011,0.0028605404163328605
P04406,Q14195,0.04875348671078363
P04406,Q15365,0.0035456007942403288
P04406,Q15459,0.0038695047083053095
P04406,Q16181,0.00489265549050517
P04406,Q16629,0.034573654797860495
P04406,Q6NYC8,0.04272790252987564
P04406,Q7Z417,0.08009426464634525
P04406,Q92804,0.04614004746306815
P04406,Q96AC1,0.021173780209459574
P04406,Q99439,0.05187501859766683
P04406,Q99460,0.023785397553735484
P04406,Q99613,0.0038341510368139877
P04406,Q99879,0.004633766275113468
P04406,Q9UMX0,0.010203639289254003
P04406,Q9UN86,0.06143289216051772
P05787,O15143,0.014625646846262639
P05787,P04406,0.018055112215140025
P05787,P05976,0.012416748959864077
P05787,P06748,0.05992414966535322
P05787,P07339,0.05448254143167311
P05787,P09382,0.011588890998464468
P05787,P09936,0.0009378612938001283
P05787,P13667,0.009256530162508665
P05787,P14174,0.022279891398558897
P05787,P14314,0.010204662562496537
P05787,P14866,0.017272723659708136
P05787,P15374,0.010502353978361714
P05787,P16989,0.0034065230358503026
P05787,P17096,0.04827103207695893
P05787,P27635,1.0644730299247545e-05
P05787,P31949,0.086085047163051
P05787,P37837,0.014519215449154983
P05787,P40939,0.03896829961976627
P05787,P46777,0.0031598679380069944
P05787,P47914,0.015994702302070514
P05787,P51911,0.18080122087628364
P05787,P56192,0.02584196284542444
P05787,P60903,0.0008717310036183304
P05787,P62328,0.010105934094842228
P05787,P62854,0.022765523592556267
P05787,P62888,0.004031215404293825
P05787,P63208,0.006138901103745402
P05787,P68104,0.0008198103899156611
P05787,Q01518,0.008595914809323486
P05787,Q01995,0.018951349621913516
P05787,Q02790,0.009433434408684787
P05787,Q07065,0.0017963601748466954
P05787,Q07866,0.009076933238882492
P05787,Q14011,0.016971657740711965
P05787,Q14195,0.030171153844466544
P05787,Q15365,0.00015118974926038668
P05787,Q15459,0.005838716039738056
P05787,Q16181,0.0033734384508767954
P05787,Q16629,0.028866901800310422
P05787,Q6NYC8,0.027166154019347164
P05787,Q7Z417,0.07985450820352351
P05787,Q92804,0.001823660588938298
P05787,Q96AC1,0.0035605885962778586
P05787,Q99439,0.018298563961756182
P05787,Q99460,0.003084906229830994
P05787,Q99613,0.0031124809362722667
P05787,Q99879,0.0034973430262366695
P05787,Q9UMX0,0.0021008780820166557
P05787,Q9UN86,0.020935121678755768
P05976,O15143,0.00027271911076045754
P05976,P04406,0.008605679620371011
P05976,P05787,0.0005284409410295432
P05976,P06748,0.01367018584120923
P05976,P07339,0.06140341373755648
P05976,P09382,0.009741014602277368
P05976,P09936,5.323933417907753e-05
P05976,P13667,0.11044516755282154
P05976,P14174,0.07384739352977747
P05976,P14314,0.009658283482013677
P05976,P14866,0.0235803890109314
P05976,P15374,0.010901455285462769
P05976,P16989,0.015321108211720358
P05976,P17096,0.014878958158778597
P05976,P27635,0.0027922435812677117
P05976,P31949,0.04553183553049671
P05976,P37837,0.0009384925216092833
P05976,P40939,0.0029177948245310507
P05976,P46777,0.0021783545477902892
P05976,P47914,0.021501193922098545
P05976,P51911,0.00510542885583108
P05976,P56192,0.009366181487891874
P05976,P60903,0.00975975305260548
P05976,P62328,0.015037295222757666
P05976,P62854,0.01103351137204289
P05976,P62888,0.0014452459328195238
P05976,P63208,0.0018588711872655728
P05976,P68104,0.004928549727398882
P05976,Q01518,0.007802056373864485
P05976,Q01995,0.0017750588060479063
P05976,Q02790,0.017808047014407448
P05976,Q07065,0.07825366029610496
P05976,Q07866,0.004380593204421706
P05976,Q14011,0.0033924998866075983
P05976,Q14195,0.01719229474669037
P05976,Q15365,0.014131425552457548
P05976,Q15459,0.015454649726049848
P05976,Q16181,0.001283432910567269
P05976,Q16629,0.0036132912835665333
P05976,Q6NYC8,0.04576752539499982
P05976,Q7Z417,0.03855038565753665
P05976,Q92804,0.010670748184916232
P05976,Q96AC1,0.005626017144601844
