Regulator,Target,Weight,Sign
O15143,O94925,0.056382880284673496,
O15143,P00568,0.004860072800875407,
O15143,P02461,0.0020367488029035376,
O15143,P02652,0.0009091831259453444,
O15143,P04179,0.0013675447000348468,
O15143,P05976,0.048901104961819264,
O15143,P06753,0.0035757330074521407,
O15143,P07339,0.001388320983812803,
O15143,P12956,0.028198763650752922,
O15143,P13010,0.05594079794770014,
O15143,P15374,0.030634622649667435,
O15143,P18859,0.007451253711108908,
O15143,P21281,0.02492255082360345,
O15143,P23246,0.03539145741280466,
O15143,P26447,0.015957419377417386,
O15143,P27816,0.059174803438602055,
O15143,P30085,0.002317491805537816,
O15143,P36957,0.04701471539533038,
O15143,P37837,0.05311868576445316,
O15143,P40926,0.01414759934642388,
O15143,P42765,0.004083838410850181,
O15143,P49023,0.036256535640025844,
O15143,P53621,0.004502892821795188,
O15143,P56192,0.0016613902187929558,
O15143,P61981,0.02083162094827159,
O15143,P62328,0.0400549883559383,
O15143,P62854,0.002776106055281152,
O15143,P62917,0.02011797079132252,
O15143,P63208,0.07251279504811332,
O15143,P63313,0.0022713823057739922,
O15143,Q01995,0.0199863097594956,
O15143,Q02218,0.0010224607215707708,
O15143,Q02818,0.03278003700793615,
O15143,Q05682,0.013737053000282572,
O15143,Q07065,0.001124046116736457,
O15143,Q07954,0.0006104073303798268,
O15143,Q13263,0.019070860787399863,
O15143,Q14011,0.014595121525521585,
O15143,Q14444,0.025517688882406343,
O15143,Q14767,0.0013000525488168593,
O15143,Q15233,0.01898520304364083,
O15143,Q15843,0.0022135989648497155,
O15143,Q7Z417,0.0111973378937631,
O15143,Q8WWI1,0.010870091785032832,
O15143,Q96CW1,0.001058182516173431,
O15143,Q96HC4,0.015731416989325918,
O15143,Q9H0U4,0.02954649427423367,
O15143,Q9UHD8,0.05534003225520991,
O15143,Q9UMS6,0.0011750867726825717,
O94925,O15143,0.0195200025415133,
O94925,P00568,0.0008150715491387841,
O94925,P02461,0.0004014788612146522,
O94925,P02652,0.002097463056746233,
O94925,P04179,0.0003531144524705631,
O94925,P05976,0.021477740181063232,
O94925,P06753,0.04939953676609998,
O94925,P07339,0.0004992602602273891,
O94925,P12956,0.026076453831236697,
O94925,P13010,0.03361561640248017,
O94925,P15374,0.012830034636535231,
O94925,P18859,0.03812458252415544,
O94925,P21281,0.04710985214915028,
O94925,P23246,0.042889915244187046,
O94925,P26447,0.020821061006390636,
O94925,P27816,0.04902369801846686,
O94925,P30085,0.03116999074512582,
O94925,P36957,0.03397411978329907,
O94925,P37837,0.02376283465861808,
O94925,P40926,0.03560576235232355,
O94925,P42765,0.0012514114215996866,
O94925,P49023,0.002772729542140669,
O94925,P53621,0.037149964062164316,
O94925,P56192,0.022611634616655652,
O94925,P61981,0.0037116017080225314,
O94925,P62328,0.015684372321491464,
O94925,P62854,0.002361613086622624,
O94925,P62917,0.03502950885706509,
O94925,P63208,0.009128553909575699,
O94925,P63313,0.0009382808070971705,
O94925,Q01995,0.001103882328141006,
O94925,Q02218,0.0013933599194438393,
O94925,Q02818,0.0013300514676217526,
O94925,Q05682,0.016295477549488353,
O94925,Q07065,0.006847054248711404,
O94925,Q07954,0.0024759110672175092,
O94925,Q13263,0.027231076713369787,
O94925,Q14011,0.0012757490898231895,
O94925,Q14444,0.03747020098303782,
O94925,Q14767,0.0015819497988039065,
O94925,Q15233,0.03612296506063889,
O94925,Q15843,0.017946352663814568,
O94925,Q7Z417,0.014403121882472917,
O94925,Q8WWI1,0.016346939911449584,
O94925,Q96CW1,0.0006332264163026462,
O94925,Q96HC4,0.034118813000390096,
O94925,Q9H0U4,0.0619962833543396,
O94925,Q9UHD8,0.024501652107328756,
O94925,Q9UMS6,0.04660405407445562,
P00568,O15143,0.011570401562007858,
P00568,O94925,0.05973195926587594,
P00568,P02461,0.014132320093753141,
P00568,P02652,0.021323946777365384,
P00568,P04179,0.02245158982964197,
P00568,P05976,0.023083422786065358,
P00568,P06753,0.024616990315666464,
P00568,P07339,0.005734150752731572,
P00568,P12956,0.013486790132094462,
P00568,P13010,0.018173885138396906,
P00568,P15374,0.15862275702955309,
P00568,P18859,0.010264980254905834,
P00568,P21281,0.010729918994183605,
P00568,P23246,0.004223785814818261,
