Regulator,Target,Weight
O00232,P05783,0.0033109506273117663
O00232,P05787,0.006417861295467581
O00232,P07339,0.02184586904804899
O00232,P13667,0.10207994035336561
O00232,P14174,0.021791380925858722
O00232,P14314,0.046399003328803944
O00232,P14866,0.04770937477675326
O00232,P17174,0.004086767268232602
O00232,P22061,0.053709707519176676
O00232,P23284,0.05050582369070948
O00232,P31949,0.010793398939577196
O00232,P40939,0.019406508218069593
O00232,P50579,0.08569619826962187
O00232,P60903,0.04294535657607395
O00232,P62854,0.014795849535896981
O00232,P62888,0.02525159379526549
O00232,Q01518,0.06321010627741598
O00232,Q02790,0.04083155078132318
O00232,Q13200,0.027795579604392367
O00232,Q16629,0.003976460950803325
O00232,Q6NYC8,0.013283829985349604
O00232,Q92804,0.019700485484809918
O00232,Q96AC1,0.012386581285653633
O00232,Q99439,0.0936018256362265
O00232,Q99460,0.03095577613939093
O00232,Q99613,0.02081355514120769
O00232,Q9NZM1,0.025354839836032168
O00232,Q9UMX0,0.022475822969513778
O00232,Q9Y2W1,0.06886800173964723
P05783,O00232,0.023641593835819357
P05783,P05787,0.012753213792805985
P05783,P07339,0.05191388581272829
P05783,P13667,0.01648385818163581
P05783,P14174,0.056658351383799245
P05783,P14314,0.08060164354217896
P05783,P14866,0.010313160000754941
P05783,P17174,0.008475737681792238
P05783,P22061,0.053825134669635136
P05783,P23284,0.0061693177780346884
P05783,P31949,0.04034325209802073
P05783,P40939,0.00839170859564821
P05783,P50579,0.008146727470575682
P05783,P60903,0.01598787922376961
P05783,P62854,0.017077952992891037
P05783,P62888,0.06293010517091731
P05783,Q01518,0.013458722973210897
P05783,Q02790,0.022368196271781216
P05783,Q13200,0.07487201994119116
P05783,Q16629,0.009913093236020397
P05783,Q6NYC8,0.08468614902012879
P05783,Q92804,0.23401850576327832
P05783,Q96AC1,0.005262726645532464
P05783,Q99439,0.016483122106553543
P05783,Q99460,0.01525570361963289
P05783,Q99613,0.015752473580540483
P05783,Q9NZM1,0.01767346882790576
P05783,Q9UMX0,0.011294133271430036
P05783,Q9Y2W1,0.005248162511786975
P05787,O00232,0.06309977363676506
P05787,P05783,0.10020381656259832
P05787,P07339,0.08940437433831233
P05787,P13667,0.004030607844186492
P05787,P14174,0.019416382353029078
P05787,P14314,0.07925687709959635
P05787,P14866,0.0031136568710213113
P05787,P17174,0.014020852889136627
P05787,P22061,0.09577031252432795
P05787,P23284,0.0039729385899513
P05787,P31949,0.03002259640542406
P05787,P40939,0.0332579435488185
P05787,P50579,0.003513756039618125
P05787,P60903,0.014662224535238022
P05787,P62854,0.01606364352143443
P05787,P62888,0.06951284839944263
P05787,Q01518,0.019448409199239694
P05787,Q02790,0.035181630951731685
P05787,Q13200,0.04766983347900379
P05787,Q16629,0.05297608635652599
P05787,Q6NYC8,0.07222135087464199
P05787,Q92804,0.05028370613744721
P05787,Q96AC1,0.010789403210275375
P05787,Q99439,0.00866025601508905
P05787,Q99460,0.010580040234379109
P05787,Q99613,0.014727455946740345
P05787,Q9NZM1,0.013057457590038499
P05787,Q9UMX0,0.010774057759027955
P05787,Q9Y2W1,0.01430770708695889
P07339,O00232,0.023767721752581544
P07339,P05783,0.08582989668720276
P07339,P05787,0.014582071261738076
P07339,P13667,0.00986322119676265
P07339,P14174,0.05240823081219525
P07339,P14314,0.08909669491413628
P07339,P14866,0.006384882376761979
P07339,P17174,0.05094675076565879
P07339,P22061,0.06841310455350227
P07339,P23284,0.009738031274961933
P07339,P31949,0.011680524518643862
P07339,P40939,0.05045569400056899
P07339,P50579,0.026089727488971776
P07339,P60903,0.016692377344186896
P07339,P62854,0.019536688847186942
P07339,P62888,0.048471705786229086
P07339,Q01518,0.011462581626091962
P07339,Q02790,0.11583039765787471
P07339,Q13200,0.06498586846029812
P07339,Q16629,0.02342243955071421
P07339,Q6NYC8,0.07444094134657539
P07339,Q92804,0.02559912183367619
P07339,Q96AC1,0.018328670334312326
P07339,Q99439,0.02295739969894463
P07339,Q99460,0.0013789173528100482
P07339,Q99613,0.012793006436235335
P07339,Q9NZM1,0.020061492625794534
P07339,Q9UMX0,0.02360518924381699
P07339,Q9Y2W1,0.0011766502515664105
P13667,O00232,0.09112370845849621
P13667,P05783,0.017180655234684972
P13667,P05787,0.023923017658658438
P13667,P07339,0.0660489695372428
P13667,P14174,0.1763750246062222
P13667,P14314,0.01837914549377557
P13667,P14866,0.0007194654740757925
P13667,P17174,0.07674558521418486
P13667,P22061,0.002763005226513608
P13667,P23284,0.01272113599592767
P13667,P31949,0.05591292798223699
P13667,P40939,0.0029637721091977727
P13667,P50579,0.01749602711183525
P13667,P60903,0.07111128479862723
P13667,P62854,0.006326194892015263
P13667,P62888,0.01240200398275721
P13667,Q01518,0.035718582225343715
P13667,Q02790,0.05885876018968758
P13667,Q13200,0.057609232137441777
P13667,Q16629,0.04205286055929641
P13667,Q6NYC8,0.01708528266562933
P13667,Q92804,0.02251090967996581
P13667,Q96AC1,0.030431153530585106
P13667,Q99439,0.020434791486506076
P13667,Q99460,0.02023414283482233
P13667,Q99613,0.016189802712001804
P13667,Q9NZM1,0.011472001732612338
P13667,Q9UMX0,0.006552591158423403
P13667,Q9Y2W1,0.008657965311232476
P14174,O00232,0.010153821115617601
P14174,P05783,0.012725455077839225
P14174,P05787,0.030019054987064423
P14174,P07339,0.003991366322135947
P14174,P13667,0.011736889617515263
P14174,P14314,0.00574034379027897
P14174,P14866,0.0234839556555057
P14174,P17174,0.013155505565150518
P14174,P22061,0.3767081895365898
P14174,P23284,0.0038845559979115763
P14174,P31949,0.005666910545961817
P14174,P40939,0.003204482123987254
P14174,P50579,0.03277769766074183
P14174,P60903,0.0037137636084287363
P14174,P62854,0.03379315306495162
P14174,P62888,0.03646489455252664
P14174,Q01518,0.01674074003249747
P14174,Q02790,0.011786566645029486
P14174,Q13200,0.040768238219380165
P14174,Q16629,0.0389911213800577
P14174,Q6NYC8,0.053318859570872144
P14174,Q92804,0.01685875277857361
P14174,Q96AC1,0.032394041859633904
P14174,Q99439,0.08169303254352452
P14174,Q99460,0.02211865515297351
P14174,Q99613,0.03149267331006528
P14174,Q9NZM1,0.012247520429486182
P14174,Q9UMX0,0.026057941254351267
P14174,Q9Y2W1,0.008311817601347872
P14314,O00232,0.0513034186347936
P14314,P05783,0.0020987292008100263
P14314,P05787,0.0037918498986661844
P14314,P07339,0.018059806084518612
P14314,P13667,0.03614595829359324
P14314,P14174,0.05256114573305824
P14314,P14866,0.03837944504659159
P14314,P17174,0.015293684216653503
P14314,P22061,0.08098432965189949
P14314,P23284,0.05100696638118535
P14314,P31949,0.01640278047109108
P14314,P40939,0.027663168337075855
P14314,P50579,0.004780232103386932
P14314,P60903,0.08975455135253661
P14314,P62854,0.006065493777360427
P14314,P62888,0.008756427935452763
P14314,Q01518,0.30748898411045616
P14314,Q02790,0.03510760506379377
P14314,Q13200,0.005384365243485903
P14314,Q16629,0.007617697731175899
P14314,Q6NYC8,0.012632584178585234
P14314,Q92804,0.0028100733879728884
P14314,Q96AC1,0.04020379185381317
P14314,Q99439,0.01399795505597536
P14314,Q99460,0.01665624344080112
P14314,Q99613,0.007643062536354347
P14314,Q9NZM1,0.015668825977181826
P14314,Q9UMX0,0.012307576794627663
P14314,Q9Y2W1,0.019433247507103183
P14866,O00232,0.030640288582927538
P14866,P05783,0.021854504040362186
P14866,P05787,0.00862963937608753
P14866,P07339,0.016194235405226333
P14866,P13667,0.03455174003723099
P14866,P14174,0.003071545302250243
P14866,P14314,0.03179429340105259
P14866,P17174,0.01605589152384954
P14866,P22061,0.02851406780897362
P14866,P23284,0.050936104637452434
P14866,P31949,0.017836896655149346
P14866,P40939,0.0330381607309724
P14866,P50579,0.0014077895550493164
P14866,P60903,0.032896335458599206
P14866,P62854,0.0363366327156536
P14866,P62888,0.017029237517421587
P14866,Q01518,0.13683688380190287
P14866,Q02790,0.03021114081026671
P14866,Q13200,0.00792357386760866
P14866,Q16629,0.031150873310734205
P14866,Q6NYC8,0.018442647463021457
P14866,Q92804,0.023902254113412142
P14866,Q96AC1,0.03186583120686245
P14866,Q99439,0.020087180319976663
P14866,Q99460,0.008381592586748395
P14866,Q99613,0.06171814627550415
P14866,Q9NZM1,0.012500336070841406
P14866,Q9UMX0,0.047356601437967424
P14866,Q9Y2W1,0.18883557598689488
P17174,O00232,0.02911015920089542
P17174,P05783,0.016595586934508653
P17174,P05787,0.008640542304637797
P17174,P07339,0.02356451920054617
P17174,P13667,0.01565008929179348
P17174,P14174,0.0066271432740756635
P17174,P14314,0.034844102931838206
P17174,P14866,0.07849608903340853
P17174,P22061,0.015528668349704556
P17174,P23284,0.0030475919865585754
P17174,P31949,0.010525521477392118
P17174,P40939,0.015373007817489119
P17174,P50579,0.04234150564520973
P17174,P60903,0.016713981917379658
P17174,P62854,0.06811232278578189
P17174,P62888,0.025515219859838238
P17174,Q01518,0.08695987590926496
P17174,Q02790,0.04586939455117027
P17174,Q13200,0.04219582779839909
P17174,Q16629,0.07233514925612101
P17174,Q6NYC8,0.03087153164455827
P17174,Q92804,0.028558370525986986
P17174,Q96AC1,0.006415668558121729
P17174,Q99439,0.010793530946471654
P17174,Q99460,0.05793777166656826
P17174,Q99613,0.058212226544975466
P17174,Q9NZM1,0.012011730605404993
P17174,Q9UMX0,0.022722989562789953
P17174,Q9Y2W1,0.11442988041910958
P22061,O00232,0.039568084489994236
P22061,P05783,0.010291009211776185
P22061,P05787,0.006545528323614182
P22061,P07339,0.06053668195571518
P22061,P13667,0.008512073675490317
P22061,P14174,0.038799848293811216
P22061,P14314,0.0365473952784725
P22061,P14866,0.009045530566874996
P22061,P17174,0.004537549683487047
P22061,P23284,0.014899666861868038
P22061,P31949,0.22671569810568712
P22061,P40939,0.012863091719258708
P22061,P50579,0.036893508437224144
P22061,P60903,0.06862659301309965
P22061,P62854,0.013393852702776616
P22061,P62888,0.018959050877796767
P22061,Q01518,0.00993984937286168
P22061,Q02790,0.03135340857024536
P22061,Q13200,0.030801489340369734
P22061,Q16629,0.010223333442906699
P22061,Q6NYC8,0.008126282169981975
P22061,Q92804,0.007928791183157919
P22061,Q96AC1,0.21181760572670938
P22061,Q99439,0.030928295656510965
P22061,Q99460,0.019390417187608054
P22061,Q99613,0.0037488299935264117
P22061,Q9NZM1,0.0074003532707815275
P22061,Q9UMX0,0.019571951455319994
P22061,Q9Y2W1,0.002034229433073465
P23284,O00232,0.005086673600381886
P23284,P05783,0.006838273842954779
P23284,P05787,0.019738818999352727
P23284,P07339,0.019552368504273072
P23284,P13667,0.028205929777637258
P23284,P14174,0.005774975076139354
P23284,P14314,0.024191167055573393
P23284,P14866,0.010959438286394308
P23284,P17174,0.2206270825869061
