Regulator,Target,Weight
O15143,O94925,0.07514604977151577
O15143,P05787,0.0008321593106158305
O15143,P05976,0.0194475070438667
O15143,P06753,0.0201570339182607
O15143,P14174,0.006321510126420735
O15143,P17096,0.038638976807291316
O15143,P27816,0.09165815564182794
O15143,P31949,0.0005875663107048519
O15143,P37837,0.06488575787344676
O15143,P49023,0.029755504622882633
O15143,P56192,0.019570627130643798
O15143,P60903,0.0026917516270690213
O15143,P62328,0.006303605067598495
O15143,P62854,0.024621698102113836
O15143,P62888,0.0015454835890360778
O15143,P63208,0.12616518843561614
O15143,P81644,0.001702904330736592
O15143,Q01995,0.009887472107413415
O15143,Q02790,0.11871644820256344
O15143,Q07065,0.004657073023042123
O15143,Q14011,0.011624129713346022
O15143,Q16181,0.12503530590940756
O15143,Q7Z417,0.011032510889611123
O15143,Q8WX93,0.0020868377532397894
O15143,Q96HC4,0.08905408964609388
O15143,Q99439,0.002806075779596468
O15143,Q99879,0.0488151121279837
O15143,Q9UN86,0.033962411119966
O15143,Q9Y5S9,0.012291054018089265
O15143,mg,0.0
O94925,O15143,0.03179960499265579
O94925,P05787,0.010181581491510671
O94925,P05976,0.03964459391703097
O94925,P06753,0.010828682211007697
O94925,P14174,0.019295457077392605
O94925,P17096,0.04719507109035544
O94925,P27816,0.07804537930829375
O94925,P31949,0.004042597929121077
O94925,P37837,0.05633644004021028
O94925,P49023,0.012699838400457346
O94925,P56192,0.06635606605397015
O94925,P60903,0.001818641248982882
O94925,P62328,0.048540602495769074
O94925,P62854,0.03976607205526505
O94925,P62888,0.07079652136545593
O94925,P63208,0.0572936998725884
O94925,P81644,0.02360719819309737
O94925,Q01995,0.0028426042817357934
O94925,Q02790,0.05723862234262808
O94925,Q07065,0.05978748725318135
O94925,Q14011,0.010361257373907019
O94925,Q16181,0.06754862189142842
O94925,Q7Z417,0.012423571787486416
O94925,Q8WX93,0.002606659544678942
O94925,Q96HC4,0.08765050165926587
O94925,Q99439,0.0210392412044266
O94925,Q99879,0.03862947437977839
O94925,Q9UN86,0.011599997648573062
O94925,Q9Y5S9,0.010023912889745568
O94925,mg,0.0
P05787,O15143,0.04857131332722604
P05787,O94925,0.0027902646315558603
P05787,P05976,0.038295196821284294
P05787,P06753,0.10482268813663477
P05787,P14174,0.05607890074771733
P05787,P17096,0.02136726741292664
P05787,P27816,0.007292056563757413
