Regulator,Target,Weight
O15143,O94925,0.02489330172676096
O15143,P05787,0.020191909315042764
O15143,P05976,0.043962060220361115
O15143,P06753,0.00530965545247998
O15143,P14174,0.004153890914402626
O15143,P17096,0.004259022899222666
O15143,P27816,0.0014660765316366895
O15143,P31949,0.04620277190559245
O15143,P37837,0.02762712929882335
O15143,P49023,0.003891336683006212
O15143,P56192,0.014581888343877445
O15143,P60903,0.02668844176898466
O15143,P62328,0.0053525609561821345
O15143,P62854,0.00317844751089454
O15143,P62888,0.004699475478846012
O15143,P63208,0.008751452149044842
O15143,P81644,0.1467846854338752
O15143,Q01995,0.009918272802842675
O15143,Q02790,0.19586964857742387
O15143,Q07065,0.014701595772427401
O15143,Q14011,0.10588859789046028
O15143,Q16181,0.00950280577898881
O15143,Q7Z417,0.16431367414069042
O15143,Q8WX93,0.014783533410364803
O15143,Q96HC4,0.015393497757007992
O15143,Q99439,0.007124205062726592
O15143,Q99879,0.05742843110453419
O15143,Q9UN86,0.008017382527794395
O15143,Q9Y5S9,0.005064248585704915
O94925,O15143,0.018439557024826927
O94925,P05787,0.001573346583872808
O94925,P05976,0.00859991361201374
O94925,P06753,0.01044762158800682
O94925,P14174,0.03240768595045545
O94925,P17096,0.04246927466258629
O94925,P27816,0.02256127214680225
O94925,P31949,0.004485809256254312
O94925,P37837,0.021223481196003532
O94925,P49023,0.005480055796295947
O94925,P56192,0.07775232865822165
O94925,P60903,0.14742939476071987
O94925,P62328,0.025106288435034742
O94925,P62854,0.12147341727581279
O94925,P62888,0.04005063235893917
O94925,P63208,0.05308118724140083
O94925,P81644,0.011874952234568876
O94925,Q01995,0.00027493040724561245
O94925,Q02790,0.03473322212548527
O94925,Q07065,0.017024222355485175
O94925,Q14011,0.03722087072740405
O94925,Q16181,0.07262233347561156
O94925,Q7Z417,0.014897731652360826
O94925,Q8WX93,0.01952969721198079
O94925,Q96HC4,0.010673133774096106
O94925,Q99439,0.0011162822311080658
O94925,Q99879,0.01469408109327222
O94925,Q9UN86,0.10999717415482489
O94925,Q9Y5S9,0.022760102009309575
P05787,O15143,0.009646347473937637
P05787,O94925,0.013039589052741362
P05787,P05976,0.0027459710120798916
P05787,P06753,0.039428088783659054
P05787,P14174,0.024019386659004518
P05787,P17096,0.018182618348222324
P05787,P27816,0.007563566687144052
P05787,P31949,0.049574973222989704
P05787,P37837,0.0269605433601905
P05787,P49023,0.009060242079793982
P05787,P56192,0.06848221343846471
P05787,P60903,0.030223432326065558
P05787,P62328,0.009668473742081823
P05787,P62854,0.018581223215726344
P05787,P62888,0.0346355860875578
P05787,P63208,0.022841192214856913
P05787,P81644,0.013207458051300938
P05787,Q01995,0.052886746260499586
P05787,Q02790,0.040878720038881024
P05787,Q07065,0.23520321866826002
