Regulator,Target,Weight
O15143,O94925,0.08671822118505866
O15143,P05556,0.07654190704346309
O15143,P05787,0.0009045216250759659
O15143,P05976,0.0016631192501352936
O15143,P06753,0.02734813153455772
O15143,P09104,0.02909335035852553
O15143,P09936,0.0019451110899819878
O15143,P14174,0.010867471954184759
O15143,P14314,0.0010953063472683427
O15143,P15374,0.03985483266954946
O15143,P16989,0.0473238637788745
O15143,P17096,0.011634885760624613
O15143,P27635,0.0007799706043989973
O15143,P27816,0.06713069939773399
O15143,P31949,0.011116110855365595
O15143,P37837,0.04672671473193284
O15143,P46778,0.03950138425089468
O15143,P49023,0.011380849812633622
O15143,P49756,0.0010408341465759938
O15143,P51911,0.012627845474534053
O15143,P53621,0.02716587567821818
O15143,P56192,0.001066205627648176
O15143,P60903,0.0013865689443556604
O15143,P61981,0.009560202230581821
O15143,P62328,0.00046936838570608416
O15143,P62854,0.0038523162221656294
O15143,P62888,0.0006728043288230469
O15143,P62917,0.019845083466709195
O15143,P63208,0.05721767153540722
O15143,P68104,0.0006061136601119101
O15143,P81644,0.004502973885213185
O15143,Q01995,0.011580938669138974
O15143,Q02790,0.04873061458326189
O15143,Q05682,0.009992799531584171
O15143,Q07065,0.001592944433146034
O15143,Q07866,0.0025546456018317888
O15143,Q14011,0.02071898717848573
O15143,Q14195,0.002417122023367957
O15143,Q15459,0.010470311257521462
O15143,Q16181,0.11320116904455918
O15143,Q7Z417,0.002151529125051508
O15143,Q7Z4V5,0.0004877536165820839
O15143,Q8WX93,0.01579485067777552
O15143,Q96HC4,0.017613599404223045
O15143,Q99439,0.0028740947075835362
O15143,Q99613,0.05592992082091018
O15143,Q99879,0.019688386008791827
O15143,Q9UN86,0.010683278659612345
O15143,Q9Y5S9,0.0018767388202631154
O94925,O15143,0.019114108145180195
O94925,P05556,0.03165946735007252
O94925,P05787,0.0001330106981075244
O94925,P05976,0.030950505609468167
O94925,P06753,0.000526148696805252
O94925,P09104,0.07633831512562235
O94925,P09936,0.00024405943824345867
O94925,P14174,0.01198603514603416
O94925,P14314,0.019330366863552027
O94925,P15374,0.0017559747377082846
O94925,P16989,0.08619441494117071
O94925,P17096,0.0006144576770982485
O94925,P27635,0.028452457567890894
O94925,P27816,0.02882674513283003
O94925,P31949,0.0011261842389296186
O94925,P37837,0.018505800753838373
O94925,P46778,0.022004829068007273
O94925,P49023,0.010935156355179622
O94925,P49756,0.0006044673699348177
O94925,P51911,0.0009885964509679223
O94925,P53621,0.010732950415277937
O94925,P56192,0.03692338608884431
O94925,P60903,0.013414422279899758
