,Regulator,Target,Weight
0,O15143,P05787,0.011783199675493764
1,O15143,P05976,0.014044294023965578
2,O15143,P07339,0.014052019646836158
3,O15143,P13667,0.014454679968948671
4,O15143,P14174,0.004688892696059752
5,O15143,P14314,0.012609770504982654
6,O15143,P14866,0.011763261462073672
7,O15143,P17096,0.028825534403227153
8,O15143,P31949,0.007321650535521882
9,O15143,P37837,0.021410760061386088
10,O15143,P56192,0.01154259965890636
11,O15143,P60903,0.09832786329971732
12,O15143,P62328,0.023200523880086765
13,O15143,P62854,0.01854200817319323
14,O15143,P62888,0.006735362250913032
15,O15143,P63208,0.07049105384635712
16,O15143,Q01995,0.006114569292259491
17,O15143,Q02790,0.030309492828172017
18,O15143,Q07065,0.014627074071898012
19,O15143,Q14011,0.1760544293187361
20,O15143,Q16629,0.00929150081529324
21,O15143,Q6NYC8,0.08570949926461503
22,O15143,Q7Z417,0.006739580722539547
23,O15143,Q92804,0.037044201440084044
24,O15143,Q99439,0.02308934744483476
25,O15143,Q99613,0.018108542732754772
26,O15143,Q99879,0.011342132416712076
27,O15143,Q9UMX0,0.02724853007764736
28,O15143,Q9UN86,0.184527625486783
29,P05787,O15143,0.01065954072915181
30,P05787,P05976,0.0097635375155787
31,P05787,P07339,0.019591377259061092
32,P05787,P13667,0.006353762550401226
33,P05787,P14174,0.04374955878591228
34,P05787,P14314,0.04095685099282897
35,P05787,P14866,0.022032030723734924
36,P05787,P17096,0.015124794719378687
37,P05787,P31949,0.061560388119710215
38,P05787,P37837,0.02103199385942112
39,P05787,P56192,0.09509309022466976
40,P05787,P60903,0.023835379589819863
41,P05787,P62328,0.015399092774495207
42,P05787,P62854,0.029144785517754335
43,P05787,P62888,0.022891666338790594
44,P05787,P63208,0.01858111030095344
45,P05787,Q01995,0.032629149245320975
46,P05787,Q02790,0.025279705290902923
47,P05787,Q07065,0.21590931737081986
48,P05787,Q14011,0.009730870621395542
49,P05787,Q16629,0.017622209436375668
50,P05787,Q6NYC8,0.02194109993836646
51,P05787,Q7Z417,0.015439510489643277
52,P05787,Q92804,0.007229657815173931
53,P05787,Q99439,0.028159502563346265
54,P05787,Q99613,0.03289348252748732
55,P05787,Q99879,0.07939675952029804
56,P05787,Q9UMX0,0.04408127199170888
57,P05787,Q9UN86,0.013918503187497275
58,P05976,O15143,0.05392226751465471
59,P05976,P05787,0.08023912549085895
60,P05976,P07339,0.035141950802132865
61,P05976,P13667,0.015827102172799184
62,P05976,P14174,0.012019704258126348
63,P05976,P14314,0.08762368926676482
64,P05976,P14866,0.011121254251846804
65,P05976,P17096,0.025741624708003657
66,P05976,P31949,0.02078185428911637
67,P05976,P37837,0.05853160630018606
68,P05976,P56192,0.015388094540697199
69,P05976,P60903,0.03668908109921003
70,P05976,P62328,0.013704786645555925
71,P05976,P62854,0.05120984647092279
72,P05976,P62888,0.012698395333059984
73,P05976,P63208,0.12548034023436463
74,P05976,Q01995,0.022892413575796747
75,P05976,Q02790,0.019619457077391805
76,P05976,Q07065,0.0401596724537948
77,P05976,Q14011,0.057820113377445054
78,P05976,Q16629,0.019409775135566645
79,P05976,Q6NYC8,0.055679178468192536
80,P05976,Q7Z417,0.008957052953851524
81,P05976,Q92804,0.006899133561467553
82,P05976,Q99439,0.010550604131498576
83,P05976,Q99613,0.05435569021961239
84,P05976,Q99879,0.010104085757664853
85,P05976,Q9UMX0,0.017841024760601846
86,P05976,Q9UN86,0.019591075148814016
87,P07339,O15143,0.028304222264903964
88,P07339,P05787,0.014868633083435548
89,P07339,P05976,0.015778494587317515
90,P07339,P13667,0.01630076262107922
91,P07339,P14174,0.07534729159473516
92,P07339,P14314,0.04235640544369166
93,P07339,P14866,0.022696808768619417
94,P07339,P17096,0.026654897416089122
95,P07339,P31949,0.0808625333836455
96,P07339,P37837,0.008841326315919334
97,P07339,P56192,0.07090790893186075
98,P07339,P60903,0.055551315825173087
99,P07339,P62328,0.035355692538865974
100,P07339,P62854,0.009666697543473369
101,P07339,P62888,0.02178256149744881
102,P07339,P63208,0.1281938231401081
103,P07339,Q01995,0.055391355772525526
104,P07339,Q02790,0.013226969778324438
105,P07339,Q07065,0.10206256060376039
106,P07339,Q14011,0.031065510602167622
107,P07339,Q16629,0.04154518398161763
108,P07339,Q6NYC8,0.01859276664430398
109,P07339,Q7Z417,0.01025426084920257
110,P07339,Q92804,0.015346342413218044
111,P07339,Q99439,0.01117902778386088
112,P07339,Q99613,0.009255525104842592
113,P07339,Q99879,0.012445508672802868
114,P07339,Q9UMX0,0.010110425214980451
115,P07339,Q9UN86,0.01605518762202518
116,P13667,O15143,0.02638188012143776
117,P13667,P05787,0.062314594601470964
118,P13667,P05976,0.02523401073940351
119,P13667,P07339,0.01952909621863195
120,P13667,P14174,0.016722393721486744
121,P13667,P14314,0.06853344642025327
122,P13667,P14866,0.00880686807977017
123,P13667,P17096,0.060542043015952146
124,P13667,P31949,0.012660486174941997
125,P13667,P37837,0.022532678847759842
126,P13667,P56192,0.01478525036298085
127,P13667,P60903,0.10621288668192269
128,P13667,P62328,0.01613105718360794
129,P13667,P62854,0.058237481174081826
130,P13667,P62888,0.006180017287898662
131,P13667,P63208,0.08978283975083377
132,P13667,Q01995,0.013962428645658744
133,P13667,Q02790,0.010048899834556447
134,P13667,Q07065,0.029800373974449516
135,P13667,Q14011,0.03685978268883833
136,P13667,Q16629,0.012240438033955534
137,P13667,Q6NYC8,0.07207649120017309
138,P13667,Q7Z417,0.009127434115669242
139,P13667,Q92804,0.00995750439271783
140,P13667,Q99439,0.02482104336263125
141,P13667,Q99613,0.05955729180663326
142,P13667,Q99879,0.00891751391736149
143,P13667,Q9UMX0,0.019885346900769155
144,P13667,Q9UN86,0.07815842074415062
145,P14174,O15143,0.056745628254917996
146,P14174,P05787,0.03977683644438675
147,P14174,P05976,0.02430742921198372
148,P14174,P07339,0.009714519359444184
149,P14174,P13667,0.013975452750603223
150,P14174,P14314,0.02014159397177245
151,P14174,P14866,0.016744881051621873
152,P14174,P17096,0.019102539246162425
153,P14174,P31949,0.06152704351704756
154,P14174,P37837,0.01770099338177002
155,P14174,P56192,0.05425490467167406
156,P14174,P60903,0.012761069635394189
157,P14174,P62328,0.012031137624730267
158,P14174,P62854,0.0658950556892595
159,P14174,P62888,0.01868383624168767
160,P14174,P63208,0.003956903078743471
161,P14174,Q01995,0.0699182145994072
162,P14174,Q02790,0.032245703172795175
163,P14174,Q07065,0.03979847912740059
164,P14174,Q14011,0.015207368784672569
165,P14174,Q16629,0.06109930473756286
166,P14174,Q6NYC8,0.035844758210592895
167,P14174,Q7Z417,0.02860787149946846
168,P14174,Q92804,0.016009463315919355
169,P14174,Q99439,0.0640154809829364
170,P14174,Q99613,0.06751902850211937
171,P14174,Q99879,0.051664166844138444
172,P14174,Q9UMX0,0.05235083161033125
173,P14174,Q9UN86,0.018399504481454675
174,P14314,O15143,0.055365616568292975
175,P14314,P05787,0.018966111642710143
176,P14314,P05976,0.016207297009395258
177,P14314,P07339,0.011097775196512068
178,P14314,P13667,0.012009225322755036
179,P14314,P14174,0.009044508976966764
180,P14314,P14866,0.009897897269441553
181,P14314,P17096,0.06783068500985738
182,P14314,P31949,0.0331979045833266
183,P14314,P37837,0.03927113988249904
184,P14314,P56192,0.02530670092054899
185,P14314,P60903,0.1081735728661626
186,P14314,P62328,0.00908973961886483
187,P14314,P62854,0.058717383732899774
188,P14314,P62888,0.003514535698079932
189,P14314,P63208,0.07859699177149902
190,P14314,Q01995,0.009314095539178906
191,P14314,Q02790,0.007588891457632668
192,P14314,Q07065,0.06637302222868524
193,P14314,Q14011,0.04142512347069856
194,P14314,Q16629,0.02680142646278936
195,P14314,Q6NYC8,0.08574220544261657
196,P14314,Q7Z417,0.00687258659730215
197,P14314,Q92804,0.005385953817570346
198,P14314,Q99439,0.019534510066976853
199,P14314,Q99613,0.07405714238450968
200,P14314,Q99879,0.012537923791185816
201,P14314,Q9UMX0,0.01857398272464249
202,P14314,Q9UN86,0.06950604994639806
203,P14866,O15143,0.051772655918377854
204,P14866,P05787,0.017196349670647027
205,P14866,P05976,0.014517369548645041
206,P14866,P07339,0.018080874758746243
207,P14866,P13667,0.011540487139677685
208,P14866,P14174,0.017715903177128997
209,P14866,P14314,0.014675119625770661
210,P14866,P17096,0.06424733097410903
211,P14866,P31949,0.007697517797720699
212,P14866,P37837,0.05673340758439856
213,P14866,P56192,0.04508825835711236
214,P14866,P60903,0.03346617183063821
215,P14866,P62328,0.020094700496729193
216,P14866,P62854,0.08199067372750729
217,P14866,P62888,0.04162589886183654
218,P14866,P63208,0.114501470124712
219,P14866,Q01995,0.01737021943919273
220,P14866,Q02790,0.038957568746415705
221,P14866,Q07065,0.016594457228879523
222,P14866,Q14011,0.05468154532000057
223,P14866,Q16629,0.034333459912542365
224,P14866,Q6NYC8,0.05238865430178279
225,P14866,Q7Z417,0.014959614133714381
226,P14866,Q92804,0.0064508834423647465
227,P14866,Q99439,0.011615551325521284
228,P14866,Q99613,0.0839840819420315
229,P14866,Q99879,0.017364212777916624
230,P14866,Q9UMX0,0.019834457317868183
231,P14866,Q9UN86,0.020521104518010865
232,P17096,O15143,0.016005900896416358
233,P17096,P05787,0.025837105292395104
234,P17096,P05976,0.014884520532885056
235,P17096,P07339,0.017859739962375946
236,P17096,P13667,0.067173053252314
237,P17096,P14174,0.023223695335867555
238,P17096,P14314,0.0360407790881802
239,P17096,P14866,0.11057530219302088
240,P17096,P31949,0.01434713464777736
241,P17096,P37837,0.009265757885114289
242,P17096,P56192,0.01077791513789523
243,P17096,P60903,0.006729102572121237
244,P17096,P62328,0.005377959385194958
245,P17096,P62854,0.020995366742294404
246,P17096,P62888,0.022531703455361988
247,P17096,P63208,0.006472270542470646
248,P17096,Q01995,0.023716967408835048
249,P17096,Q02790,0.09204766090795127
250,P17096,Q07065,0.0084681456640735
251,P17096,Q14011,0.06407645951881087
252,P17096,Q16629,0.014323681440089444
253,P17096,Q6NYC8,0.009215084083247322
254,P17096,Q7Z417,0.06068403401329185
255,P17096,Q92804,0.019772812716512336
256,P17096,Q99439,0.00915100160329236
257,P17096,Q99613,0.022747022904481464
258,P17096,Q99879,0.12364451856356411
259,P17096,Q9UMX0,0.13224636623425404
260,P17096,Q9UN86,0.011808938019909919
261,P31949,O15143,0.04391454708825689
262,P31949,P05787,0.16201208897070665
263,P31949,P05976,0.059231826325046415
264,P31949,P07339,0.03996238195551372
265,P31949,P13667,0.05433248092251379
266,P31949,P14174,0.024311607048972336
267,P31949,P14314,0.16815271917612962
268,P31949,P14866,0.011132005818645724
269,P31949,P17096,0.01299033640751008
270,P31949,P37837,0.02276804075327484
271,P31949,P56192,0.028832222468703875
272,P31949,P60903,0.014496084354494738
273,P31949,P62328,0.02766512944516118
274,P31949,P62854,0.0205651755120997
275,P31949,P62888,0.011047878103070976
276,P31949,P63208,0.04117065814388388
277,P31949,Q01995,0.032413693016616354
278,P31949,Q02790,0.0069021503257122065
279,P31949,Q07065,0.047320895462668114
280,P31949,Q14011,0.01351592257408657
281,P31949,Q16629,0.026793049566023977
282,P31949,Q6NYC8,0.016034367991570663
283,P31949,Q7Z417,0.010393097318576154
284,P31949,Q92804,0.022674951324497282
285,P31949,Q99439,0.037859183949573175
286,P31949,Q99613,0.018919960449764378
287,P31949,Q99879,0.007529188265349303
288,P31949,Q9UMX0,0.008000432313299622
289,P31949,Q9UN86,0.009057924948276529
290,P37837,O15143,0.03280521023282304
291,P37837,P05787,0.0042741923026552355
292,P37837,P05976,0.004161403671169929
293,P37837,P07339,0.0045860172142928556
294,P37837,P13667,0.020819852170212802
295,P37837,P14174,0.019416634998760972
296,P37837,P14314,0.012922155150545766
297,P37837,P14866,0.008534301487667307
298,P37837,P17096,0.06427900571612874
299,P37837,P31949,0.005759350641107065
300,P37837,P56192,0.055851651661282344
301,P37837,P60903,0.12862165455540092
302,P37837,P62328,0.007387374800192705
303,P37837,P62854,0.10077158869823899
304,P37837,P62888,0.02080148460985008
305,P37837,P63208,0.0618125600466595
306,P37837,Q01995,0.01620059256580868
307,P37837,Q02790,0.010517639302106032
308,P37837,Q07065,0.0682453271964848
309,P37837,Q14011,0.024062049915301052
310,P37837,Q16629,0.0148242413444846
311,P37837,Q6NYC8,0.06838347591986277
312,P37837,Q7Z417,0.04502986569310046
313,P37837,Q92804,0.01947383064463982
314,P37837,Q99439,0.02204300690689433
315,P37837,Q99613,0.07702310365702028
316,P37837,Q99879,0.00999928874915139
317,P37837,Q9UMX0,0.007784532178547671
318,P37837,Q9UN86,0.06360860796960856
319,P56192,O15143,0.0063044868218789345
320,P56192,P05787,0.01893414046635125
321,P56192,P05976,0.007970065364856206
322,P56192,P07339,0.008018091247841723
323,P56192,P13667,0.011345125558006921
324,P56192,P14174,0.07525281527575045
325,P56192,P14314,0.008797959091359225
326,P56192,P14866,0.09276120589160593
327,P56192,P17096,0.012681117700288623
328,P56192,P31949,0.00838514317109206
329,P56192,P37837,0.007107527079234962
330,P56192,P60903,0.018130504871122385
331,P56192,P62328,0.009814497632079712
332,P56192,P62854,0.09386582394759885
333,P56192,P62888,0.0996423397388565
334,P56192,P63208,0.01422560887823645
335,P56192,Q01995,0.0285537795503586
336,P56192,Q02790,0.07971081997892787
337,P56192,Q07065,0.01014079749097913
338,P56192,Q14011,0.012424428690818796
339,P56192,Q16629,0.0362921745335226
340,P56192,Q6NYC8,0.010521413633319175
341,P56192,Q7Z417,0.029982959387889977
342,P56192,Q92804,0.008409275954711597
343,P56192,Q99439,0.021686286280832804
344,P56192,Q99613,0.06736800743621499
345,P56192,Q99879,0.10095071239497601
346,P56192,Q9UMX0,0.09260384231699959
347,P56192,Q9UN86,0.008119049614287282
348,P60903,O15143,0.22993453465079347
349,P60903,P05787,0.01259479896355288
350,P60903,P05976,0.024373098250193733
351,P60903,P07339,0.01059774829314172
352,P60903,P13667,0.03683513899171821
353,P60903,P14174,0.03331304302581693
354,P60903,P14314,0.010321209442950577
355,P60903,P14866,0.010046634837335769
356,P60903,P17096,0.01795970434997099
357,P60903,P31949,0.050203133095214174
358,P60903,P37837,0.05754369419308311
359,P60903,P56192,0.008127953570519729
360,P60903,P62328,0.0996067646849944
361,P60903,P62854,0.010688109872058184
362,P60903,P62888,0.007357460784941804
363,P60903,P63208,0.020900864400574787
364,P60903,Q01995,0.00891170429281638
365,P60903,Q02790,0.015074430641219123
366,P60903,Q07065,0.01301777966905596
367,P60903,Q14011,0.033429126319140356
368,P60903,Q16629,0.021140616204902624
369,P60903,Q6NYC8,0.14505694211148487
370,P60903,Q7Z417,0.012908316528840778
371,P60903,Q92804,0.019632818611051164
372,P60903,Q99439,0.026711300850296448
373,P60903,Q99613,0.008944204063841525
374,P60903,Q99879,0.020138623042079182
375,P60903,Q9UMX0,0.016856353222642256
376,P60903,Q9UN86,0.01777389303576748
377,P62328,O15143,0.005940270901160727
378,P62328,P05787,0.07441742912040251
379,P62328,P05976,0.04440428124185238
380,P62328,P07339,0.017544447561303668
381,P62328,P13667,0.019591600795928508
382,P62328,P14174,0.03244498827279445
383,P62328,P14314,0.016680404054888572
384,P62328,P14866,0.027583871954107803
385,P62328,P17096,0.02326681523091916
386,P62328,P31949,0.018234200049407515
387,P62328,P37837,0.009333170389541201
388,P62328,P56192,0.06642362425342711
389,P62328,P60903,0.006250103596147079
390,P62328,P62854,0.016352502875665417
391,P62328,P62888,0.028123961405067927
392,P62328,P63208,0.00724891133799145
393,P62328,Q01995,0.04111937225766474
394,P62328,Q02790,0.05110875179470211
395,P62328,Q07065,0.07076920001461054
396,P62328,Q14011,0.03858729896396578
397,P62328,Q16629,0.019163791281802237
398,P62328,Q6NYC8,0.013884975418676709
399,P62328,Q7Z417,0.04209005222587099
400,P62328,Q92804,0.015108850877935499
401,P62328,Q99439,0.011733954944187218
402,P62328,Q99613,0.01530884852748645
403,P62328,Q99879,0.08976751800627417
404,P62328,Q9UMX0,0.14844643790905315
405,P62328,Q9UN86,0.029070364737163682
406,P62854,O15143,0.037099993800780384
407,P62854,P05787,0.02957245081057132
408,P62854,P05976,0.021311604602062495
409,P62854,P07339,0.026180614142683512
410,P62854,P13667,0.01120694093136121
411,P62854,P14174,0.07364164064488261
412,P62854,P14314,0.016730718371839922
413,P62854,P14866,0.03045790926703802
414,P62854,P17096,0.017036418881721867
415,P62854,P31949,0.030405987996968538
416,P62854,P37837,0.022254498967170563
417,P62854,P56192,0.013642173094471239
418,P62854,P60903,0.03421270451177823
419,P62854,P62328,0.007367421124530921
420,P62854,P62888,0.03471803481007715
421,P62854,P63208,0.026749707748710973
422,P62854,Q01995,0.0741669966615594
423,P62854,Q02790,0.08183875498204955
424,P62854,Q07065,0.015909156937426328
425,P62854,Q14011,0.008404906146675203
426,P62854,Q16629,0.09006696685048952
427,P62854,Q6NYC8,0.017980741093796663
428,P62854,Q7Z417,0.015172500975387493
429,P62854,Q92804,0.01412036835975265
430,P62854,Q99439,0.07699792848517727
431,P62854,Q99613,0.09752098663122138
432,P62854,Q99879,0.02745817291915989
433,P62854,Q9UMX0,0.03277584117332655
434,P62854,Q9UN86,0.014997859077327862
435,P62888,O15143,0.032143056045550795
436,P62888,P05787,0.02681874785113803
437,P62888,P05976,0.04801792109696465
438,P62888,P07339,0.027417863387615933
439,P62888,P13667,0.01912108257661766
440,P62888,P14174,0.041742037655264054
441,P62888,P14314,0.014981234233543654
442,P62888,P14866,0.040456520338725974
443,P62888,P17096,0.017712683371875194
444,P62888,P31949,0.02001774337776672
445,P62888,P37837,0.03650907658441489
446,P62888,P56192,0.022248118770339557
447,P62888,P60903,0.027328123253256488
448,P62888,P62328,0.01885084489350226
449,P62888,P62854,0.062397905498588806
450,P62888,P63208,0.05785088277616019
451,P62888,Q01995,0.029227718558006738
452,P62888,Q02790,0.13345446604866293
