,Regulator,Target,Weight
0,O15143,P04406,0.0020553280812725086
1,O15143,P05787,0.008528676244195768
2,O15143,P05976,0.025047375467987854
3,O15143,P06748,0.008427836179842304
4,O15143,P07339,0.0031251742090308856
5,O15143,P09382,0.020543794593544898
6,O15143,P09936,0.004438544154425653
7,O15143,P13667,0.0039577972270336695
8,O15143,P14174,0.01825117071954301
9,O15143,P14314,0.006435394967763972
10,O15143,P14866,0.024732478481355465
11,O15143,P15374,0.024502886960313996
12,O15143,P16989,0.019618813022610006
13,O15143,P17096,0.0252780594060036
14,O15143,P27635,0.007534244481055638
15,O15143,P31949,0.015399241522884258
16,O15143,P37837,0.07420306527973937
17,O15143,P40939,0.0019110987412881437
18,O15143,P46777,0.00547139814914068
19,O15143,P47914,0.002484250700766273
20,O15143,P51911,0.017682470303981335
21,O15143,P56192,0.022556539107132786
22,O15143,P60903,0.0029411763364733693
23,O15143,P62328,0.02939375228903369
24,O15143,P62854,0.013099403272197892
25,O15143,P62888,0.004997806557663645
26,O15143,P63208,0.08941097381285668
27,O15143,P68104,0.009924424287000688
28,O15143,Q01518,0.0031069980218754794
29,O15143,Q01995,0.007281239596467755
30,O15143,Q02790,0.026953555975218504
31,O15143,Q07065,0.0037247595611335556
32,O15143,Q07866,0.005266086075015502
33,O15143,Q14011,0.03697232350924935
34,O15143,Q14195,0.004862604388276384
35,O15143,Q15365,0.012902152185384552
36,O15143,Q15459,0.029557451195839742
37,O15143,Q16181,0.09930775241774172
38,O15143,Q16629,0.07327473459641595
39,O15143,Q6NYC8,0.0071128638030266275
40,O15143,Q7Z417,0.007299031833032051
41,O15143,Q92804,0.00448895339302848
42,O15143,Q96AC1,0.0023892759953365464
43,O15143,Q99439,0.004581094780786683
44,O15143,Q99460,0.018133307886707833
45,O15143,Q99613,0.09015684168005564
46,O15143,Q99879,0.028615059367767818
47,O15143,Q9UMX0,0.031617502004689706
48,O15143,Q9UN86,0.010443237176809703
49,P04406,O15143,0.018899585558089543
50,P04406,P05787,0.006409300951426853
51,P04406,P05976,0.005654489932780413
52,P04406,P06748,0.1207242985232565
53,P04406,P07339,0.01857742970226695
54,P04406,P09382,0.006956615290349536
55,P04406,P09936,0.008321417661555192
56,P04406,P13667,0.006486081362887999
57,P04406,P14174,0.02338672469063128
58,P04406,P14314,0.010400739628193066
59,P04406,P14866,0.015463331367967882
60,P04406,P15374,0.015453444944437183
61,P04406,P16989,0.0066987948611863446
62,P04406,P17096,0.04445443775701648
63,P04406,P27635,0.010005907731039898
64,P04406,P31949,0.01053218812146278
65,P04406,P37837,0.0077219494699465666
66,P04406,P40939,0.017398142393276538
67,P04406,P46777,0.014861664366518108
68,P04406,P47914,0.023941778632331854
69,P04406,P51911,0.022151487852803967
70,P04406,P56192,0.00864996775676483
