,Regulator,Target,Weight
0,O15143,O94925,0.041876611347534794
1,O15143,P00568,0.006646570244822539
2,O15143,P02461,0.0072271446452452
3,O15143,P02652,0.00424733673811601
4,O15143,P04179,0.004392964784912591
5,O15143,P05976,0.038029899363290716
6,O15143,P06753,0.018629476835586783
7,O15143,P07339,0.0023356830452844002
8,O15143,P12956,0.038391916980953025
9,O15143,P13010,0.041435520160778186
10,O15143,P15374,0.01929590089944986
11,O15143,P18859,0.02202099548440883
12,O15143,P21281,0.0285959695966843
13,O15143,P23246,0.02612615256309499
14,O15143,P26447,0.023117248861275967
15,O15143,P27816,0.06739394356507415
16,O15143,P30085,0.01666274775374275
17,O15143,P36957,0.0369433313085029
18,O15143,P37837,0.045318133843894055
19,O15143,P40926,0.0164658512659684
20,O15143,P42765,0.006935692996419361
21,O15143,P49023,0.022301706323911326
22,O15143,P53621,0.013361842238967511
23,O15143,P56192,0.014281047347845178
24,O15143,P61981,0.0240692609669168
25,O15143,P62328,0.021190598440519327
26,O15143,P62854,0.009901499070029868
27,O15143,P62917,0.00916359676361526
28,O15143,P63208,0.03724088694293876
29,O15143,P63313,0.00155129597782539
30,O15143,Q01995,0.017515379388770277
31,O15143,Q02218,0.00539521939525308
32,O15143,Q02818,0.013104953698554933
33,O15143,Q05682,0.025914604042651723
34,O15143,Q07065,0.0057788867459915
35,O15143,Q07954,0.0033292221460621803
36,O15143,Q13263,0.02328828294875695
37,O15143,Q14011,0.01971005516015921
38,O15143,Q14444,0.033920778909135196
39,O15143,Q14767,0.00536140337334484
40,O15143,Q15233,0.018495976504311076
41,O15143,Q15843,0.0024096028955766504
42,O15143,Q7Z417,0.00598690016249311
43,O15143,Q8WWI1,0.01892520673388478
44,O15143,Q96CW1,0.00091736171077725
45,O15143,Q96HC4,0.020373615287449128
46,O15143,Q9H0U4,0.02249126764513405
47,O15143,Q9UHD8,0.04750867513600682
48,O15143,Q9UMS6,0.00746378078545753
49,O94925,O15143,0.027847743926950698
50,O94925,P00568,0.00480039142422891
51,O94925,P02461,0.007943363509799352
52,O94925,P02652,0.0036837449240289645
53,O94925,P04179,0.008323986288790632
54,O94925,P05976,0.03592457784453277
55,O94925,P06753,0.01493025555708061
56,O94925,P07339,0.00205498564727482
57,O94925,P12956,0.02573316566758871
58,O94925,P13010,0.025300287965292545
59,O94925,P15374,0.011011253993450393
60,O94925,P18859,0.048627212579856964
61,O94925,P21281,0.018725409965680676
62,O94925,P23246,0.04330406983328376
63,O94925,P26447,0.014281943810451642
64,O94925,P27816,0.03522086590095624
65,O94925,P30085,0.03340722963509375
66,O94925,P36957,0.03293954873740067
67,O94925,P37837,0.03604314658393989
68,O94925,P40926,0.02735482500441317
69,O94925,P42765,0.00145732151218514
70,O94925,P49023,0.02644789952753408
71,O94925,P53621,0.03196911415158011
72,O94925,P56192,0.03821240907054428
73,O94925,P61981,0.026936130942631042
74,O94925,P62328,0.01330252914413133
75,O94925,P62854,0.015925522115428838
76,O94925,P62917,0.01956619278145774
77,O94925,P63208,0.020958344569068633
78,O94925,P63313,0.00419694532160459
79,O94925,Q01995,0.0029041622041509527
80,O94925,Q02218,0.00218649005217854
81,O94925,Q02818,0.0019699303229559002
82,O94925,Q05682,0.012041074629225091
83,O94925,Q07065,0.00699303318002453
84,O94925,Q07954,0.0019544267701811897
85,O94925,Q13263,0.030575375477287624
86,O94925,Q14011,0.01138031854492616
87,O94925,Q14444,0.024195463662561513
88,O94925,Q14767,0.00872820789146551
89,O94925,Q15233,0.027361140408603667
90,O94925,Q15843,0.0033107980503129394
91,O94925,Q7Z417,0.00984113631022393
92,O94925,Q8WWI1,0.01560171907850511
93,O94925,Q96CW1,0.0006632136840145423
94,O94925,Q96HC4,0.04227078449398684
95,O94925,Q9H0U4,0.04308840266938799
96,O94925,Q9UHD8,0.030263212016361056
97,O94925,Q9UMS6,0.034838849865074316
98,P00568,O15143,0.009543761262105991
99,P00568,O94925,0.040070591609426956
100,P00568,P02461,0.012855605930556357
101,P00568,P02652,0.02125836185916322
102,P00568,P04179,0.022356642356416732
103,P00568,P05976,0.021057201532480092
104,P00568,P06753,0.008135702796241309
105,P00568,P07339,0.009732995808544158
106,P00568,P12956,0.013618957840367183
107,P00568,P13010,0.02166287756124296
108,P00568,P15374,0.10788466199940247
109,P00568,P18859,0.0194816060887776
110,P00568,P21281,0.011006026840932341
111,P00568,P23246,0.011042001648078552
112,P00568,P26447,0.01972676579471051
113,P00568,P27816,0.01986501704610562
114,P00568,P30085,0.009174019705154135
115,P00568,P36957,0.012698217910351358
116,P00568,P37837,0.02196700037468951
117,P00568,P40926,0.03503592036390606
118,P00568,P42765,0.015468458615991729
119,P00568,P49023,0.020287519614029213
120,P00568,P53621,0.02107357924612238
121,P00568,P56192,0.012350150706907601
122,P00568,P61981,0.006270706579847421
123,P00568,P62328,0.00521743803034168
124,P00568,P62854,0.01189090434983353
125,P00568,P62917,0.02059005049321255
126,P00568,P63208,0.01281870851803317
127,P00568,P63313,0.008848375845734849
128,P00568,Q01995,0.0167589195598934
129,P00568,Q02218,0.00997585066773891
130,P00568,Q02818,0.01748721182305397
131,P00568,Q05682,0.04761203286118177
132,P00568,Q07065,0.01440381149341477
133,P00568,Q07954,0.01135520902480367
134,P00568,Q13263,0.012286280680978881
135,P00568,Q14011,0.023108303499929657
136,P00568,Q14444,0.020580320264208928
137,P00568,Q14767,0.048884442628406355
138,P00568,Q15233,0.03821494825956466
139,P00568,Q15843,0.01232623531998412
140,P00568,Q7Z417,0.02418270826372757
141,P00568,Q8WWI1,0.02450065178670342
142,P00568,Q96CW1,0.016853978795107902
143,P00568,Q96HC4,0.01587100007037997
144,P00568,Q9H0U4,0.02445209386548863
145,P00568,Q9UHD8,0.02433500762230815
146,P00568,Q9UMS6,0.010457890494447898
147,P02461,O15143,0.015119468097040909
148,P02461,O94925,0.0041435951048329495
149,P02461,P00568,0.01048068936163401
150,P02461,P02652,0.01363405165681244
151,P02461,P04179,0.027673169619775777
152,P02461,P05976,0.020247550353840744
153,P02461,P06753,0.05592499326961832
154,P02461,P07339,0.00805763505466108
155,P02461,P12956,0.022306504430746922
156,P02461,P13010,0.005972858149543949
157,P02461,P15374,0.04380885078061294
158,P02461,P18859,0.00816191308572228
159,P02461,P21281,0.06339070080525908
160,P02461,P23246,0.020549394532566722
161,P02461,P26447,0.006964880127755211
162,P02461,P27816,0.01163061858191622
163,P02461,P30085,0.02322292644256402
164,P02461,P36957,0.01219486575757029
165,P02461,P37837,0.017681820393308168
166,P02461,P40926,0.0023595336804506603
167,P02461,P42765,0.024387520728352714
168,P02461,P49023,0.015922399171950194
169,P02461,P53621,0.006182766127560429
170,P02461,P56192,0.009124293180894211
171,P02461,P61981,0.04677539142919349
172,P02461,P62328,0.03724971296010103
173,P02461,P62854,0.0031620204081940105
174,P02461,P62917,0.02315933365314866
175,P02461,P63208,0.010312868449690118
176,P02461,P63313,0.016048995357011903
177,P02461,Q01995,0.05802660753304798
178,P02461,Q02218,0.028040834180308637
179,P02461,Q02818,0.02213220095976973
180,P02461,Q05682,0.05617880831849379
181,P02461,Q07065,0.010685815212682522
182,P02461,Q07954,0.01500628058276485
183,P02461,Q13263,0.02029821284030598
184,P02461,Q14011,0.036813771715841256
185,P02461,Q14444,0.0070352459234668905
186,P02461,Q14767,0.008165131078861628
187,P02461,Q15233,0.011056884738098348
188,P02461,Q15843,0.06953747383530767
189,P02461,Q7Z417,0.01816123846106568
190,P02461,Q8WWI1,0.00411083487102494
191,P02461,Q96CW1,0.05231551867553087
192,P02461,Q96HC4,0.02122585964535249
193,P02461,Q9H0U4,0.0036117372501205404
194,P02461,Q9UHD8,0.021983985217128164
195,P02461,Q9UMS6,0.0029191645873361985
196,P02652,O15143,0.0112439883200996
197,P02652,O94925,0.024011444756518556
198,P02652,P00568,0.009670817760423769
199,P02652,P02461,0.024275524740134023
200,P02652,P04179,0.004938681620830629
201,P02652,P05976,0.00668859724578378
202,P02652,P06753,0.01049281331041684
203,P02652,P07339,0.003958111686871389
204,P02652,P12956,0.01437026875704483
