,Regulator,Target,Weight
0,P05556,P05787,0.029821269089210133
1,P05556,P05976,0.024616239512257287
2,P05556,P09104,0.01001190979754365
3,P05556,P12955,0.02859013535701134
4,P05556,P13667,0.016467566763377087
5,P05556,P16989,0.026911884702569604
6,P05556,P17096,0.016889519095876996
7,P05556,P18621,0.018482736024820662
8,P05556,P21399,0.004576894722299643
9,P05556,P24844,0.007695764633493396
10,P05556,P31949,0.009352855377967716
11,P05556,P47914,0.02615231992216149
12,P05556,P49023,0.02145412919149464
13,P05556,P60228,0.014251216101432587
14,P05556,P60903,0.016447364644080996
15,P05556,P62328,0.020593222424458078
16,P05556,P62888,0.030998429184326236
17,P05556,P67809,0.026973046953705747
18,P05556,P67936,0.008161277450148085
19,P05556,P80723,0.023945591900363907
20,P05556,Q01995,0.014798202761241724
21,P05556,Q02790,0.024519157065620276
22,P05556,Q07065,0.012190669819403595
23,P05556,Q07954,0.06098781111325494
24,P05556,Q14157,0.01574292099379158
25,P05556,Q14203,0.016302903316046505
26,P05556,Q15459,0.01228641710618538
27,P05556,Q16181,0.02104264405919268
28,P05556,Q3SX28,0.008546091575767209
29,P05556,Q7Z417,0.01393923298623434
30,P05556,Q7Z4V5,0.019355863956354746
31,P05556,Q86UP2,0.01011958112985522
32,P05556,Q92841,0.027670945944758024
33,P05556,Q969G3,0.016314579320473827
34,P05556,Q99613,0.025486707095297056
35,P05556,Q99879,0.034001622273434104
36,P05556,Q9NQP4,0.033758429769151214
37,P05556,Q9UN86,0.058970066397082944
38,P05556,Q9Y2D5,0.03416619430729747
39,P05556,Q9Y5S9,0.023096789171655124
40,P05787,P05556,0.02906482208717446
41,P05787,P05976,0.01962291020768429
42,P05787,P09104,0.02091290989848359
43,P05787,P12955,0.01954802310821551
44,P05787,P13667,0.0402620992099528
45,P05787,P16989,0.054857682407911994
46,P05787,P17096,0.03566251727332893
47,P05787,P18621,0.021275231497674324
48,P05787,P21399,0.01417130041578074
49,P05787,P24844,0.039574396997915214
50,P05787,P31949,0.006332931616269229
51,P05787,P47914,0.06159510600695966
52,P05787,P49023,0.030073445701136226
53,P05787,P60228,0.013449083296331564
54,P05787,P60903,0.020807643190286152
55,P05787,P62328,0.052437262050108825
56,P05787,P62888,0.009196518961254148
57,P05787,P67809,0.05256802136118518
58,P05787,P67936,0.03406491053147254
59,P05787,P80723,0.04883464512690711
60,P05787,Q01995,0.019081312485814163
61,P05787,Q02790,0.01234537505789346
62,P05787,Q07065,0.04754049947501887
63,P05787,Q07954,0.029955145672412024
64,P05787,Q14157,0.012805763852960821
65,P05787,Q14203,0.019602828437769386
66,P05787,Q15459,0.016297426155790922
67,P05787,Q16181,0.022548854846429944
68,P05787,Q3SX28,0.005480355905615019
69,P05787,Q7Z417,0.025004649929139533
70,P05787,Q7Z4V5,0.02071682479740313
71,P05787,Q86UP2,0.017665389142332778
72,P05787,Q92841,0.013747331275147592
73,P05787,Q969G3,0.013805514046161056
74,P05787,Q99613,0.012676688071628249
75,P05787,Q99879,0.01152680013382112
76,P05787,Q9NQP4,0.005853179565827876
77,P05787,Q9UN86,0.04067453947616626
78,P05787,Q9Y2D5,0.016037387374071507
79,P05787,Q9Y5S9,0.021502568203345587
80,P05976,P05556,0.03401442028358905
81,P05976,P05787,0.03148683839884391
82,P05976,P09104,0.00795654795766619
83,P05976,P12955,0.024111318204756194
84,P05976,P13667,0.03890556626404745
85,P05976,P16989,0.018111962706347476
86,P05976,P17096,0.036012032940227805
87,P05976,P18621,0.011894321085769408
88,P05976,P21399,0.015131086444927505
89,P05976,P24844,0.010020313090634485
90,P05976,P31949,0.0072098541753971125
91,P05976,P47914,0.00757347814592017
92,P05976,P49023,0.029260439468609727
93,P05976,P60228,0.04278891762208155
94,P05976,P60903,0.0094578644062274
95,P05976,P62328,0.020625285523525876
96,P05976,P62888,0.005360301217121615
97,P05976,P67809,0.019353724021425166
98,P05976,P67936,0.01067926214291026
99,P05976,P80723,0.0200616084643076
100,P05976,Q01995,0.018957022992985396
101,P05976,Q02790,0.030023065151874247
102,P05976,Q07065,0.028042886252412868
103,P05976,Q07954,0.019385487289684537
104,P05976,Q14157,0.04003611158845517
105,P05976,Q14203,0.01294063986938446
106,P05976,Q15459,0.0354513579046296
107,P05976,Q16181,0.028914107684836238
108,P05976,Q3SX28,0.015778480846613922
109,P05976,Q7Z417,0.011088698745855143
110,P05976,Q7Z4V5,0.004516528107919267
111,P05976,Q86UP2,0.012951628092145612
112,P05976,Q92841,0.025001515875184573
113,P05976,Q969G3,0.0367868626447134
114,P05976,Q99613,0.022742950834513803
115,P05976,Q99879,0.01624116929508534
116,P05976,Q9NQP4,0.0169643397472108
117,P05976,Q9UN86,0.017188682899677437
118,P05976,Q9Y2D5,0.019974381063872025
119,P05976,Q9Y5S9,0.01916921598978343
120,P09104,P05556,0.015458731488495536
121,P09104,P05787,0.011842659646821874
122,P09104,P05976,0.027446843891190027
123,P09104,P12955,0.008503182765011729
124,P09104,P13667,0.04116554831034118
125,P09104,P16989,0.056375054633908184
126,P09104,P17096,0.05268294499988797
127,P09104,P18621,0.028222033295716518
