,Regulator,Target,Weight
0,P05556,P05787,0.01624432947395824
1,P05556,P05976,0.018623239744430843
2,P05556,P09104,0.029052855399448282
3,P05556,P12955,0.04400549847889745
4,P05556,P13667,0.031176643705017763
5,P05556,P16989,0.015895500512760657
6,P05556,P17096,0.015178060113945986
7,P05556,P18621,0.035377430856924595
8,P05556,P21399,0.052383632541928564
9,P05556,P24844,0.004400985253099419
10,P05556,P31949,0.015270561107399596
11,P05556,P47914,0.01232747289744034
12,P05556,P49023,0.01628841277039604
13,P05556,P60228,0.01331883290683727
14,P05556,P60903,0.005547488441949906
15,P05556,P62328,0.019399984470459427
16,P05556,P62888,0.023515359204951816
17,P05556,P67809,0.023085740294759224
18,P05556,P67936,0.02109622326352204
19,P05556,P80723,0.008123893116049642
20,P05556,Q01995,0.010126547185735309
21,P05556,Q02790,0.015192541226627457
22,P05556,Q07065,0.025435645045208153
23,P05556,Q07954,0.008752781399935959
24,P05556,Q14157,0.033159277911113845
25,P05556,Q14203,0.015977865174471792
26,P05556,Q15459,0.01823424464750888
27,P05556,Q16181,0.03745107015471505
28,P05556,Q3SX28,0.008402935852556494
29,P05556,Q7Z417,0.059806537171985495
30,P05556,Q7Z4V5,0.025120071213702987
31,P05556,Q86UP2,0.01745314029042493
32,P05556,Q92841,0.0370362053001674
33,P05556,Q969G3,0.01440597676039277
34,P05556,Q99613,0.01130763564701859
35,P05556,Q99879,0.016996607595080072
36,P05556,Q9NQP4,0.04571444833713831
37,P05556,Q9UN86,0.0421061698601056
38,P05556,Q9Y2D5,0.05384762002731894
39,P05556,Q9Y5S9,0.034743082345232636
40,P05787,P05556,0.007325048271355323
41,P05787,P05976,0.0417270731414607
42,P05787,P09104,0.006200730617633699
43,P05787,P12955,0.052549482054783124
44,P05787,P13667,0.00843954582953911
45,P05787,P16989,0.025489905775140643
46,P05787,P17096,0.02100300210780305
47,P05787,P18621,0.013373193007711281
48,P05787,P21399,0.00992001262041088
49,P05787,P24844,0.04766546959811164
50,P05787,P31949,0.01632788377293421
51,P05787,P47914,0.032307728945586055
52,P05787,P49023,0.02083785726181873
53,P05787,P60228,0.01330765311306945
54,P05787,P60903,0.018104525793730047
55,P05787,P62328,0.03328938901776898
56,P05787,P62888,0.015022497249716492
57,P05787,P67809,0.013084645207134475
58,P05787,P67936,0.08472422452539544
59,P05787,P80723,0.023376491440797162
60,P05787,Q01995,0.03934239097753458
61,P05787,Q02790,0.015638242389465807
62,P05787,Q07065,0.044306632541581514
63,P05787,Q07954,0.056398136997650096
64,P05787,Q14157,0.009656992361673543
65,P05787,Q14203,0.009763917387381204
66,P05787,Q15459,0.013426050248163797
67,P05787,Q16181,0.006315009992160952
68,P05787,Q3SX28,0.024300288804712092
69,P05787,Q7Z417,0.011188809631209743
70,P05787,Q7Z4V5,0.009436404346869695
71,P05787,Q86UP2,0.012960352077950255
72,P05787,Q92841,0.011182564673399429
73,P05787,Q969G3,0.013087188195199453
74,P05787,Q99613,0.016941135145893134
75,P05787,Q99879,0.02262404828263278
76,P05787,Q9NQP4,0.00809092586188038
77,P05787,Q9UN86,0.0845831719956575
78,P05787,Q9Y2D5,0.04711575858409991
79,P05787,Q9Y5S9,0.01628244313984921
80,P05976,P05556,0.018526290496002105
81,P05976,P05787,0.011762820681862254
82,P05976,P09104,0.050306404183454195
83,P05976,P12955,0.02535603257935541
84,P05976,P13667,0.06057652718246927
85,P05976,P16989,0.009001924952460898
86,P05976,P17096,0.025093414262756367
87,P05976,P18621,0.04548966058296559
88,P05976,P21399,0.009283549344992044
89,P05976,P24844,0.015907820657252686
90,P05976,P31949,0.05675588986779189
91,P05976,P47914,0.04353304387679097
92,P05976,P49023,0.01703419696086016
93,P05976,P60228,0.020020711119171763
94,P05976,P60903,0.12785361701479833
95,P05976,P62328,0.03370852184021675
96,P05976,P62888,0.01599715953475477
97,P05976,P67809,0.03250078253673466
98,P05976,P67936,0.026535555399341236
99,P05976,P80723,0.013443536750314766
100,P05976,Q01995,0.01648231774929049
101,P05976,Q02790,0.00881209798238214
102,P05976,Q07065,0.026723874082028747
103,P05976,Q07954,0.05101350531595104
104,P05976,Q14157,0.01898133311835996
105,P05976,Q14203,0.01845148292165597
106,P05976,Q15459,0.08755178422491099
107,P05976,Q16181,0.006959479121756322
108,P05976,Q3SX28,0.014331830055413679
109,P05976,Q7Z417,0.027467372570781416
110,P05976,Q7Z4V5,0.007868501507495233
111,P05976,Q86UP2,0.026794961697474588
112,P05976,Q92841,0.020238100852737737
113,P05976,Q969G3,0.012706029492686163
114,P05976,Q99613,0.01507001774342813
115,P05976,Q99879,0.00931452264019289
116,P05976,Q9NQP4,0.013901428142842112
117,P05976,Q9UN86,0.021758193210715388
118,P05976,Q9Y2D5,0.012323544370794698
119,P05976,Q9Y5S9,0.009010427507942273
120,P09104,P05556,0.013774661003216502
121,P09104,P05787,0.08226614355038553
122,P09104,P05976,0.00465934391349292
123,P09104,P12955,0.0187115474868796
124,P09104,P13667,0.14356331874057585
125,P09104,P16989,0.02857775569197591
126,P09104,P17096,0.00970568877115101
127,P09104,P18621,0.0433934033058396
128,P09104,P21399,0.013921512328841881
129,P09104,P24844,0.021198100725900247
130,P09104,P31949,0.016347423863755556
131,P09104,P47914,0.023240393013438703
132,P09104,P49023,0.024886783737944933
133,P09104,P60228,0.012693959654544042
134,P09104,P60903,0.008795378880448575
135,P09104,P62328,0.010088260588418227
136,P09104,P62888,0.020375233538341714
137,P09104,P67809,0.02831733490045889
138,P09104,P67936,0.010910434099189282
139,P09104,P80723,0.02535457434746654
140,P09104,Q01995,0.02782701631417575
141,P09104,Q02790,0.006809156982331248
142,P09104,Q07065,0.01750761986136339
143,P09104,Q07954,0.01413016246913459
144,P09104,Q14157,0.02495918309286727
145,P09104,Q14203,0.01840320491305162
146,P09104,Q15459,0.010551366430338804
147,P09104,Q16181,0.008754864533644248
148,P09104,Q3SX28,0.027276196823220897
149,P09104,Q7Z417,0.020130762750769682
150,P09104,Q7Z4V5,0.0400299749486158
151,P09104,Q86UP2,0.023264340392606945
152,P09104,Q92841,0.026286664343729647
153,P09104,Q969G3,0.011840690478784157
154,P09104,Q99613,0.010741789243247273
155,P09104,Q99879,0.010182317271445385
156,P09104,Q9NQP4,0.02164923635403088
157,P09104,Q9UN86,0.03036989169037266
158,P09104,Q9Y2D5,0.014429594119109648
159,P09104,Q9Y5S9,0.034229477045004064
160,P12955,P05556,0.01117811957158123
161,P12955,P05787,0.017016902481925823
162,P12955,P05976,0.01270356196230909
163,P12955,P09104,0.014937253954736327
164,P12955,P13667,0.04489069136365832
165,P12955,P16989,0.040413180421647855
166,P12955,P17096,0.02655476801926816
167,P12955,P18621,0.02018153456298509
168,P12955,P21399,0.02162859723912856
169,P12955,P24844,0.020701067993246766
170,P12955,P31949,0.02395857070117048
171,P12955,P47914,0.03439587331331872
172,P12955,P49023,0.0313083460083753
173,P12955,P60228,0.0355055453621496
174,P12955,P60903,0.02599348821030883
175,P12955,P62328,0.08512131743738915
176,P12955,P62888,0.021338994537640744
177,P12955,P67809,0.018744310166599693
178,P12955,P67936,0.0257334164759449
179,P12955,P80723,0.025019634019051617
180,P12955,Q01995,0.04150374445529963
181,P12955,Q02790,0.01854198738299568
182,P12955,Q07065,0.024506753812230567
183,P12955,Q07954,0.011825354505313029
184,P12955,Q14157,0.011906546363355627
185,P12955,Q14203,0.010945618844014864
186,P12955,Q15459,0.024718111848174285
187,P12955,Q16181,0.0304744895995877
188,P12955,Q3SX28,0.0375177152557563
189,P12955,Q7Z417,0.01854306236982664
190,P12955,Q7Z4V5,0.058548608770860856
191,P12955,Q86UP2,0.014481743439817243
192,P12955,Q92841,0.04196732250402092
193,P12955,Q969G3,0.02372472718538825
194,P12955,Q99613,0.007629186740171909
195,P12955,Q99879,0.011204371579615012
196,P12955,Q9NQP4,0.024609134569152705
197,P12955,Q9UN86,0.03465763718226821
198,P12955,Q9Y2D5,0.025274993459183354
199,P12955,Q9Y5S9,0.014503176492204293
200,P13667,P05556,0.01256832552226993
201,P13667,P05787,0.010108273483666625
202,P13667,P05976,0.006558149729402904
203,P13667,P09104,0.022284220019956558
204,P13667,P12955,0.010905221963012747
205,P13667,P16989,0.03694189696272362
206,P13667,P17096,0.02575411420611648
207,P13667,P18621,0.01898861941390576
208,P13667,P21399,0.0166764742382062
209,P13667,P24844,0.0075560961042839036
210,P13667,P31949,0.03900111246543162
211,P13667,P47914,0.029373297941868767
212,P13667,P49023,0.0305483165616068
213,P13667,P60228,0.0075899611587739455
214,P13667,P60903,0.03130700324815871
215,P13667,P62328,0.04114923372616738
216,P13667,P62888,0.006150015043194886
217,P13667,P67809,0.01633924955957246
218,P13667,P67936,0.016536395670592036
219,P13667,P80723,0.012845324377587026
220,P13667,Q01995,0.011655265732305884
221,P13667,Q02790,0.004597518457184279
222,P13667,Q07065,0.026031436670052584
223,P13667,Q07954,0.010210396152828012
224,P13667,Q14157,0.0076932815667624084
225,P13667,Q14203,0.004845298965899668
226,P13667,Q15459,0.03933926909845212
227,P13667,Q16181,0.006152559952421236
228,P13667,Q3SX28,0.03953913725083893
229,P13667,Q7Z417,0.040745282426645775
230,P13667,Q7Z4V5,0.026039243977938897
231,P13667,Q86UP2,0.007964913994525601
232,P13667,Q92841,0.014241376613828866
233,P13667,Q969G3,0.014304161342008171
234,P13667,Q99613,0.009347718894442171
235,P13667,Q99879,0.004986175733751707
236,P13667,Q9NQP4,0.01264363045563064
237,P13667,Q9UN86,0.012456886157306845
238,P13667,Q9Y2D5,0.012080262627464637
239,P13667,Q9Y5S9,0.007162532805404449
240,P16989,P05556,0.05843512608015356
241,P16989,P05787,0.010935445250463763
242,P16989,P05976,0.041657978138145584
243,P16989,P09104,0.020781354079720937
244,P16989,P12955,0.010187280068442798
245,P16989,P13667,0.011928699965888584
246,P16989,P17096,0.010520819201137961
247,P16989,P18621,0.02602838249851354
248,P16989,P21399,0.01543665068134041
249,P16989,P24844,0.015353309067840916
250,P16989,P31949,0.07745977392843918
251,P16989,P47914,0.015550916409610404
252,P16989,P49023,0.029530028953678403
253,P16989,P60228,0.03823138338695816
254,P16989,P60903,0.052759038959833277
255,P16989,P62328,0.005415705250102199
256,P16989,P62888,0.022805238209291475
257,P16989,P67809,0.025441157746447257
258,P16989,P67936,0.005643528561346043
259,P16989,P80723,0.015346273242566853
260,P16989,Q01995,0.016784264873661473
261,P16989,Q02790,0.0184351971902761
262,P16989,Q07065,0.015531410682639062
263,P16989,Q07954,0.03270028662655815
264,P16989,Q14157,0.04289488033289677
265,P16989,Q14203,0.025405718743413068
266,P16989,Q15459,0.07482838284643244
267,P16989,Q16181,0.020658845777199994
268,P16989,Q3SX28,0.005854525581532031
269,P16989,Q7Z417,0.01039395983713786
270,P16989,Q7Z4V5,0.015005367127351479
271,P16989,Q86UP2,0.020101444502847822
272,P16989,Q92841,0.02713590943823934
273,P16989,Q969G3,0.026506232428453888
274,P16989,Q99613,0.06765436049422308
275,P16989,Q99879,0.020961141968247627
276,P16989,Q9NQP4,0.01422010083765048
277,P16989,Q9UN86,0.014575485286779011
278,P16989,Q9Y2D5,0.03463079537854894
279,P16989,Q9Y5S9,0.025159488278518126
280,P17096,P05556,0.055892511028972754
281,P17096,P05787,0.011887846459971506
282,P17096,P05976,0.03102013058180602
283,P17096,P09104,0.018687591573410843
284,P17096,P12955,0.03745993094202799
285,P17096,P13667,0.02849824251349954
286,P17096,P16989,0.01377548893203414
287,P17096,P18621,0.03702794352221514
288,P17096,P21399,0.04322787017550969
289,P17096,P24844,0.018201509773721983
290,P17096,P31949,0.025371223698031162
291,P17096,P47914,0.025220087614844205
292,P17096,P49023,0.011688536067701006
293,P17096,P60228,0.00948796649004705
294,P17096,P60903,0.019780231040532743
295,P17096,P62328,0.013762782698606453
296,P17096,P62888,0.011813899599368696
297,P17096,P67809,0.04222521399703382
298,P17096,P67936,0.019387428040039147
299,P17096,P80723,0.00882274719618067
300,P17096,Q01995,0.012626943365790722
301,P17096,Q02790,0.004078981780614556
302,P17096,Q07065,0.0170806879263412
303,P17096,Q07954,0.010803554018419507
304,P17096,Q14157,0.057550859444768926
305,P17096,Q14203,0.028623350746372164
306,P17096,Q15459,0.01929434865624121
307,P17096,Q16181,0.01780245722846041
308,P17096,Q3SX28,0.006249949799529432
309,P17096,Q7Z417,0.012596819514892388
310,P17096,Q7Z4V5,0.021313934916828172
311,P17096,Q86UP2,0.03223644050076209
312,P17096,Q92841,0.03167840900221539
313,P17096,Q969G3,0.0330707975337138
314,P17096,Q99613,0.04526593744631498
315,P17096,Q99879,0.00634628378572158
316,P17096,Q9NQP4,0.0441488625917319
317,P17096,Q9UN86,0.011964201869460043
318,P17096,Q9Y2D5,0.025916998027502514
319,P17096,Q9Y5S9,0.0125737035093046
320,P18621,P05556,0.022426209102314937
321,P18621,P05787,0.016391621500527514
322,P18621,P05976,0.039831145961982874
323,P18621,P09104,0.02133428785388652
324,P18621,P12955,0.01257812154590562
325,P18621,P13667,0.013918018632266842
326,P18621,P16989,0.042046993284157876
327,P18621,P17096,0.02974968253892853
328,P18621,P21399,0.03427841245641097
329,P18621,P24844,0.025952791735766607
330,P18621,P31949,0.022679687064375842
