,Regulator,Target,Weight
0,O15143,O94925,0.03692970518326208
1,O15143,P00568,0.01177323215830968
2,O15143,P02461,0.015679990163486302
3,O15143,P02652,0.019173827844567067
4,O15143,P04179,0.04637421508298157
5,O15143,P05976,0.019569316738082695
6,O15143,P06753,0.017013581701748028
7,O15143,P07339,0.027161980713001844
8,O15143,P12956,0.049871055262633864
9,O15143,P13010,0.009643932693709514
10,O15143,P15374,0.011690903335109012
11,O15143,P18859,0.035434265043411545
12,O15143,P21281,0.016638371252071623
13,O15143,P23246,0.028837011044961426
14,O15143,P26447,0.039327473350054036
15,O15143,P27816,0.009761710514135522
16,O15143,P30085,0.03459886382872825
17,O15143,P36957,0.036172466906274695
18,O15143,P37837,0.015238320645672742
19,O15143,P40926,0.010383851789817475
20,O15143,P42765,0.009854298098423437
21,O15143,P49023,0.01256721278854739
22,O15143,P53621,0.0065589988753569
23,O15143,P56192,0.012323516502398041
24,O15143,P61981,0.03115835424822576
25,O15143,P62328,0.00499810280184565
26,O15143,P62854,0.007610884908057577
27,O15143,P62917,0.007032890758006718
28,O15143,P63208,0.022100002658865536
29,O15143,P63313,0.006807142957911585
30,O15143,Q01995,0.014478964512884432
31,O15143,Q02218,0.014388646457139775
32,O15143,Q02818,0.051192902291147056
33,O15143,Q05682,0.004888598459386801
34,O15143,Q07065,0.007115690606274412
35,O15143,Q07954,0.023874344103766525
36,O15143,Q13263,0.022618947937289663
37,O15143,Q14011,0.022794315432089703
38,O15143,Q14444,0.03907501309011852
39,O15143,Q14767,0.018028737860150593
40,O15143,Q15233,0.009086588753307338
41,O15143,Q15843,0.006230337184201009
42,O15143,Q7Z417,0.005001496681570983
43,O15143,Q8WWI1,0.03545152378490659
44,O15143,Q96CW1,0.013233181506146958
45,O15143,Q96HC4,0.010958338990523047
46,O15143,Q9H0U4,0.02879497705741541
47,O15143,Q9UHD8,0.026863414366023696
48,O15143,Q9UMS6,0.03486618264210403
49,O94925,O15143,0.055267057088848735
50,O94925,P00568,0.02565455273648079
51,O94925,P02461,0.003223255728361213
52,O94925,P02652,0.02356543929524694
53,O94925,P04179,0.029605287042598686
54,O94925,P05976,0.006145845442592806
55,O94925,P06753,0.003797979959018893
56,O94925,P07339,0.01038046711967767
57,O94925,P12956,0.04759282676758926
58,O94925,P13010,0.0345378605147125
59,O94925,P15374,0.007332644000662908
60,O94925,P18859,0.03897730213559476
61,O94925,P21281,0.006237621042496117
62,O94925,P23246,0.029667342944866403
63,O94925,P26447,0.03309386813937758
64,O94925,P27816,0.025260552502339374
65,O94925,P30085,0.03196030276024103
66,O94925,P36957,0.03934966214825241
67,O94925,P37837,0.01710608326296839
68,O94925,P40926,0.034962572077271874
69,O94925,P42765,0.00993494157987057
70,O94925,P49023,0.008648570096654871
71,O94925,P53621,0.03299464164389786
72,O94925,P56192,0.02531164240863343
73,O94925,P61981,0.012961819241172986
74,O94925,P62328,0.002498842628534981
75,O94925,P62854,0.04620581203641396
76,O94925,P62917,0.0065627192973914325
77,O94925,P63208,0.03167646038773986
78,O94925,P63313,0.01141529552728286
79,O94925,Q01995,0.015709288009544287
80,O94925,Q02218,0.025835054073078692
81,O94925,Q02818,0.0504364893550598
82,O94925,Q05682,0.0030166892076616183
83,O94925,Q07065,0.014635968982089081
84,O94925,Q07954,0.0063574544782701425
85,O94925,Q13263,0.023024653210251586
86,O94925,Q14011,0.006990937902499398
87,O94925,Q14444,0.03514686964724394
88,O94925,Q14767,0.028599402511168198
89,O94925,Q15233,0.020275743018370027
90,O94925,Q15843,0.008402614880063723
91,O94925,Q7Z417,0.007576347977308563
92,O94925,Q8WWI1,0.031638760269096906
93,O94925,Q96CW1,0.024842570399024752
94,O94925,Q96HC4,0.009386070327664064
95,O94925,Q9H0U4,0.047112837589013544
96,O94925,Q9UHD8,0.014984529741972672
97,O94925,Q9UMS6,0.04531143361199641
98,P00568,O15143,0.007219078320977288
99,P00568,O94925,0.0063882989898554786
100,P00568,P02461,0.013418125581854186
101,P00568,P02652,0.013168841655951257
102,P00568,P04179,0.00912628758599276
103,P00568,P05976,0.025466586112434273
104,P00568,P06753,0.006696862040062876
105,P00568,P07339,0.0238202145032985
106,P00568,P12956,0.006163794078286876
107,P00568,P13010,0.008907364373065439
108,P00568,P15374,0.06680205915465272
109,P00568,P18859,0.006187439051035596
110,P00568,P21281,0.026364256806085836
111,P00568,P23246,0.009121112465147024
112,P00568,P26447,0.00734815249654324
113,P00568,P27816,0.006160428477352471
114,P00568,P30085,0.008687833497510969
115,P00568,P36957,0.006730999246455061
116,P00568,P37837,0.03637016048810701
117,P00568,P40926,0.062471307953281395
118,P00568,P42765,0.06617978223989426
119,P00568,P49023,0.035841829962964034
120,P00568,P53621,0.013827672683694482
121,P00568,P56192,0.035224128902641524
122,P00568,P61981,0.010388439952967635
123,P00568,P62328,0.009009229370667865
124,P00568,P62854,0.029916881973611975
125,P00568,P62917,0.04897775078815109
126,P00568,P63208,0.010200881019786142
127,P00568,P63313,0.025786949615642037
128,P00568,Q01995,0.008394407607523793
129,P00568,Q02218,0.009693127208513726
130,P00568,Q02818,0.024647992372158464
131,P00568,Q05682,0.016208264945490058
132,P00568,Q07065,0.05823980017809428
133,P00568,Q07954,0.06146865349639127
134,P00568,Q13263,0.020011300020658207
135,P00568,Q14011,0.007507276632252298
136,P00568,Q14444,0.007502106730623455
137,P00568,Q14767,0.01726182285884059
