,Regulator,Target,Weight
0,O00232,P05783,0.0259644103642929
1,O00232,P05787,0.0052008451824971
2,O00232,P07339,0.0331060407960398
3,O00232,P13667,0.0586417599105561
4,O00232,P14174,0.0084941437225923
5,O00232,P14314,0.0497191890678345
6,O00232,P14866,0.0514346392177654
7,O00232,P17174,0.0090642368313162
8,O00232,P22061,0.0446990199174793
9,O00232,P23284,0.0449510075421141
10,O00232,P31949,0.017750299801214
11,O00232,P40939,0.028137573871221
12,O00232,P50579,0.0783502130330598
13,O00232,P60903,0.0421609986966941
14,O00232,P62854,0.0185429211783407
15,O00232,P62888,0.0356098000870475
16,O00232,Q01518,0.062361523606533
17,O00232,Q02790,0.0318030784539704
18,O00232,Q13200,0.0074852296056005
19,O00232,Q16629,0.0121719023770677
20,O00232,Q6NYC8,0.0099189307570312
21,O00232,Q92804,0.0038396332481624
22,O00232,Q96AC1,0.0142253016347304
23,O00232,Q99439,0.1253896588291561
24,O00232,Q99460,0.042148931880473
25,O00232,Q99613,0.0058831821698467
26,O00232,Q9NZM1,0.0026706337020931
27,O00232,Q9UMX0,0.0220427381722208
28,O00232,Q9Y2W1,0.1082321563430485
29,O00232,mg,0.0
30,P05783,O00232,0.0342750592024148
31,P05783,P05787,0.0081175049135645
32,P05783,P07339,0.0107152320041713
33,P05783,P13667,0.0263426332679978
34,P05783,P14174,0.0610414739402124
35,P05783,P14314,0.0796684590668004
36,P05783,P14866,0.0103381901301286
37,P05783,P17174,0.0221972095500522
38,P05783,P22061,0.0233254847782879
39,P05783,P23284,0.004471031343833
40,P05783,P31949,0.026457163152875
41,P05783,P40939,0.0207921008544297
42,P05783,P50579,0.0072355685483209
43,P05783,P60903,0.0427846195556377
44,P05783,P62854,0.0113662818333212
45,P05783,P62888,0.0572400129368457
46,P05783,Q01518,0.025670695136995
47,P05783,Q02790,0.0470215459398714
48,P05783,Q13200,0.0795080783720064
49,P05783,Q16629,0.0296380493331225
50,P05783,Q6NYC8,0.0935697579963577
51,P05783,Q92804,0.1511337907476058
52,P05783,Q96AC1,0.0218669302072043
53,P05783,Q99439,0.0108807114937724
54,P05783,Q99460,0.0149893827057751
55,P05783,Q99613,0.0097457448722288
56,P05783,Q9NZM1,0.033405041426182
57,P05783,Q9UMX0,0.0153777313783789
58,P05783,Q9Y2W1,0.0208245153116053
59,P05783,mg,0.0
60,P05787,O00232,0.0157898483562105
61,P05787,P05783,0.0613286000330105
62,P05787,P07339,0.0913777572243053
63,P05787,P13667,0.0036880303738038
64,P05787,P14174,0.0540439111275159
65,P05787,P14314,0.0965550465329735
66,P05787,P14866,0.0266841484242392
67,P05787,P17174,0.0158415114347632
68,P05787,P22061,0.0873576081404933
69,P05787,P23284,0.0116241541225
70,P05787,P31949,0.0201572441540559
71,P05787,P40939,0.0482100892750295
72,P05787,P50579,0.0090617974203637
73,P05787,P60903,0.0325992743796351
74,P05787,P62854,0.0071775634363552
75,P05787,P62888,0.0877744488696936
76,P05787,Q01518,0.0034941434590045
77,P05787,Q02790,0.084238546757766
78,P05787,Q13200,0.0438641462448811
79,P05787,Q16629,0.0271828629359414
80,P05787,Q6NYC8,0.0644720934552741
81,P05787,Q92804,0.0345742909008299
82,P05787,Q96AC1,0.0021760801927499
83,P05787,Q99439,0.0217164838791441
84,P05787,Q99460,0.0089495471119413
85,P05787,Q99613,0.0043657718178746
86,P05787,Q9NZM1,0.0158783727925405
87,P05787,Q9UMX0,0.0169196018576848
88,P05787,Q9Y2W1,0.0028970252894183
89,P05787,mg,0.0
90,P07339,O00232,0.0208011319542676
91,P07339,P05783,0.0759310773304429
92,P07339,P05787,0.0149500757202809
93,P07339,P13667,0.0117734652205265
94,P07339,P14174,0.1370372635428351
95,P07339,P14314,0.0286366921049358
96,P07339,P14866,0.0035962755595448
97,P07339,P17174,0.0669545280817724
98,P07339,P22061,0.0405699850351595
99,P07339,P23284,0.0109087338371405
100,P07339,P31949,0.0106566911853
101,P07339,P40939,0.0347741150988004
102,P07339,P50579,0.0922690544487563
103,P07339,P60903,0.0005615966092563
104,P07339,P62854,0.0139164553241066
105,P07339,P62888,0.0464791362751694
106,P07339,Q01518,0.0210775050186163
107,P07339,Q02790,0.0406383237566642
108,P07339,Q13200,0.0814974645469657
109,P07339,Q16629,0.0180323158526054
110,P07339,Q6NYC8,0.0911410397235734
111,P07339,Q92804,0.0165494908919345
112,P07339,Q96AC1,0.0173525985284569
113,P07339,Q99439,0.0305203214944139
114,P07339,Q99460,0.0201462707230249
115,P07339,Q99613,0.0141434458842855
116,P07339,Q9NZM1,0.0247347914760756
117,P07339,Q9UMX0,0.0142375973316058
118,P07339,Q9Y2W1,0.0001125574434815
119,P07339,mg,0.0
120,P13667,O00232,0.0714981634864492
121,P13667,P05783,0.0267629074890517
122,P13667,P05787,0.0113156434888329
123,P13667,P07339,0.0774999838323361
124,P13667,P14174,0.1870783096370756
125,P13667,P14314,0.0090557932944654
126,P13667,P14866,0.0020721381620897
127,P13667,P17174,0.0774100280625701
128,P13667,P22061,0.0125005175929731
129,P13667,P23284,0.0195627653822942
130,P13667,P31949,0.0303263446776813
131,P13667,P40939,0.0090587376713548
132,P13667,P50579,0.0122248196982752
133,P13667,P60903,0.0396833892782278
134,P13667,P62854,0.0070271305592414
135,P13667,P62888,0.0108736250543696
136,P13667,Q01518,0.0287538304331627
137,P13667,Q02790,0.1042824397925549
138,P13667,Q13200,0.0430498356404025
139,P13667,Q16629,0.0347955358282014
140,P13667,Q6NYC8,0.0267067516107552
141,P13667,Q92804,0.0091758067872211
142,P13667,Q96AC1,0.047592815146261
143,P13667,Q99439,0.0219763676225748
144,P13667,Q99460,0.0444744378760167
145,P13667,Q99613,0.0143560588071996
146,P13667,Q9NZM1,0.0075494201747335
147,P13667,Q9UMX0,0.0064193428109448
148,P13667,Q9Y2W1,0.0069170601026826
149,P13667,mg,0.0
150,P14174,O00232,0.0015925097436991
151,P14174,P05783,0.0291628013180047
152,P14174,P05787,0.0481183189318836
153,P14174,P07339,0.0032909894518268
154,P14174,P13667,0.0076268244138224
155,P14174,P14314,0.0131689697760715
156,P14174,P14866,0.0078961265237922
157,P14174,P17174,0.0218159122242784
158,P14174,P22061,0.2859522398528968
159,P14174,P23284,0.0062534131101175
160,P14174,P31949,0.0085700169604532
161,P14174,P40939,0.0220686909054858
162,P14174,P50579,0.0566197731598778
163,P14174,P60903,0.014068870086783
164,P14174,P62854,0.0306612864534508
165,P14174,P62888,0.0388574399486866
166,P14174,Q01518,0.0396684404101092
167,P14174,Q02790,0.0016195272728101
168,P14174,Q13200,0.0313913418944408
169,P14174,Q16629,0.0197897364791784
170,P14174,Q6NYC8,0.065549749838688
171,P14174,Q92804,0.0091827062940621
172,P14174,Q96AC1,0.0288319383910262
173,P14174,Q99439,0.109322084280867
174,P14174,Q99460,0.0113905354368536
175,P14174,Q99613,0.0257998283317333
176,P14174,Q9NZM1,0.0061072254556545
177,P14174,Q9UMX0,0.0316072491887969
178,P14174,Q9Y2W1,0.0240154538646483
179,P14174,mg,0.0
180,P14314,O00232,0.0274215223292357
181,P14314,P05783,0.0200261524208292
182,P14314,P05787,0.0048672149225679
183,P14314,P07339,0.0039115268094313
184,P14314,P13667,0.0192584252679789
185,P14314,P14174,0.0747658279159725
186,P14314,P14866,0.0258750351215827
187,P14314,P17174,0.0406487815032993
188,P14314,P22061,0.0406030426630613
189,P14314,P23284,0.036256281994421
190,P14314,P31949,0.0173897049806496
191,P14314,P40939,0.0303857805733041
192,P14314,P50579,0.0081527457432007
193,P14314,P60903,0.0761943047211821
194,P14314,P62854,0.0117130404684035
