,Regulator,Target,Weight
0,O00232,P04406,0.030378494575741034
1,O00232,P05783,0.00849113533384761
2,O00232,P05787,0.009813027565876814
3,O00232,P06748,0.02897436762580276
4,O00232,P07339,0.005614786937441113
5,O00232,P09382,0.019283353658193735
6,O00232,P09936,0.005614886199536575
7,O00232,P13667,0.007954601787004086
8,O00232,P14174,0.02133273280381681
9,O00232,P14314,0.007980857322704005
10,O00232,P14866,0.025240688473820348
11,O00232,P17174,0.016283319918617863
12,O00232,P18669,0.021545009632836173
13,O00232,P22061,0.021158122551525178
14,O00232,P23284,0.04410044213495508
15,O00232,P31949,0.011402609132937178
16,O00232,P40939,0.004168406531565598
17,O00232,P46777,0.006059441612389068
18,O00232,P47914,0.010751755428166292
19,O00232,P50579,0.002604194428275543
20,O00232,P50914,0.007685342843543894
21,O00232,P55060,0.021553741814091962
22,O00232,P60903,0.029828728677631956
23,O00232,P62805,0.02110924477253351
24,O00232,P62829,0.007107579667287905
25,O00232,P62854,0.05903044185842303
26,O00232,P62888,0.02540843648132301
27,O00232,P68104,0.030770382913862023
28,O00232,P68371,0.021089989278386165
29,O00232,Q01518,0.011602302094877953
30,O00232,Q02790,0.06425856663909521
31,O00232,Q07065,0.02024710183458978
32,O00232,Q13177,0.0049960455692632045
33,O00232,Q13200,0.031631724670178156
34,O00232,Q13263,0.026943473828870097
35,O00232,Q14019,0.004558456666765942
36,O00232,Q15233,0.01579736439385184
37,O00232,Q15365,0.04249391810540252
38,O00232,Q16629,0.010015149720519574
39,O00232,Q6NYC8,0.043065249283954554
40,O00232,Q7Z417,0.012636264185118573
41,O00232,Q92804,0.007731516635920196
42,O00232,Q96AC1,0.0053021919550636
43,O00232,Q99439,0.008827524954717038
44,O00232,Q99460,0.02895292314407275
45,O00232,Q99613,0.05562105310489034
46,O00232,Q9NZM1,0.026274583136949206
47,O00232,Q9UMX0,0.04071009747867113
48,O00232,Q9Y2W1,0.005998370635089606
49,P04406,O00232,0.004345903922728754
50,P04406,P05783,0.011348792415508376
51,P04406,P05787,0.016482016057798497
52,P04406,P06748,0.023851198349205904
53,P04406,P07339,0.007207464456629258
54,P04406,P09382,0.00399798648507017
55,P04406,P09936,0.00961895204938629
56,P04406,P13667,0.010350282599059252
57,P04406,P14174,0.010504195767986408
58,P04406,P14314,0.028315230441134785
59,P04406,P14866,0.0047207900124655875
60,P04406,P17174,0.019188583031328605
61,P04406,P18669,0.014513517613497793
62,P04406,P22061,0.00410763976228683
63,P04406,P23284,0.05811303866957841
64,P04406,P31949,0.23040041653922258
