,Regulator,Target,Weight
0,O00629,O15143,0.027367550135049944
1,O00629,O60716,0.021864336791839977
2,O00629,O94925,0.02550067049094922
3,O00629,P05556,0.035506638590853366
4,O00629,P05787,0.02087891664231864
5,O00629,P05976,0.018352366811622244
6,O00629,P13667,0.033711810596985664
7,O00629,P14174,0.005932641377184366
8,O00629,P15374,0.03553859115876681
9,O00629,P16989,0.018009068690248056
10,O00629,P17096,0.033686884959156976
11,O00629,P31949,0.004234993199941094
12,O00629,P49023,0.04079277489543542
13,O00629,P49756,0.02571337642865927
14,O00629,P56192,0.04837283533258123
15,O00629,P62328,0.01830075843184307
16,O00629,P62424,0.02758466609338086
17,O00629,P62854,0.025829186854746205
18,O00629,P63208,0.013636519230796585
19,O00629,P67809,0.02304778841571022
20,O00629,P67936,0.016956965561862714
21,O00629,P80723,0.00421105984479309
22,O00629,Q01995,0.014791247910143268
23,O00629,Q02790,0.023091110352884976
24,O00629,Q07065,0.026021325865984442
25,O00629,Q07866,0.044953482460276195
26,O00629,Q07954,0.016668769428323783
27,O00629,Q14011,0.01698815969516111
28,O00629,Q15366,0.023410517374538458
29,O00629,Q16181,0.018822328978845105
30,O00629,Q3SX28,0.00904440984085231
31,O00629,Q6NZI2,0.024384967251462934
32,O00629,Q71UM5,0.02816585292744046
33,O00629,Q86UP2,0.005774587965398489
34,O00629,Q8IVL6,0.02822533096390945
35,O00629,Q92841,0.025002655871693636
36,O00629,Q96A49,0.0184943390027391
37,O00629,Q96C90,0.020113882150833127
38,O00629,Q99613,0.030802207472734332
39,O00629,Q99879,0.04495455555684348
40,O00629,Q9HBL0,0.01513736723353975
41,O00629,Q9UBR2,0.016140136031452642
42,O00629,Q9UHB9,0.023661404844848945
43,O00629,Q9UKY7,0.02773171481820357
44,O00629,Q9UMX0,0.039513281611283195
45,O00629,Q9UN86,0.019179931785223918
46,O00629,Q9Y5S9,0.05125800459522702
47,O15143,O00629,0.010914713484614707
48,O15143,O60716,0.009916490933027065
49,O15143,O94925,0.03344844841800092
50,O15143,P05556,0.008817584786826697
51,O15143,P05787,0.03266619485394831
52,O15143,P05976,0.02208930830703945
53,O15143,P13667,0.011589806348164956
54,O15143,P14174,0.05739476134208276
55,O15143,P15374,0.013302897401795353
56,O15143,P16989,0.014617962670803787
57,O15143,P17096,0.027269717211383396
58,O15143,P31949,0.029100352547446303
59,O15143,P49023,0.013242455854413117
60,O15143,P49756,0.016236799705744962
61,O15143,P56192,0.020959953538109765
62,O15143,P62328,0.010130066479261634
63,O15143,P62424,0.015171925005221736
64,O15143,P62854,0.00808855211261988
65,O15143,P63208,0.02342339153798206
66,O15143,P67809,0.017446472946075743
67,O15143,P67936,0.014073223736225365
68,O15143,P80723,0.021941344555117856
69,O15143,Q01995,0.01862284700947735
70,O15143,Q02790,0.027519610145079875
71,O15143,Q07065,0.009661935562688035
72,O15143,Q07866,0.013895382543737046
73,O15143,Q07954,0.027003417355056472
74,O15143,Q14011,0.023840575776377562
75,O15143,Q15366,0.012129426317081074
76,O15143,Q16181,0.030531239775704076
77,O15143,Q3SX28,0.00818050775706151
78,O15143,Q6NZI2,0.009933629998828469
79,O15143,Q71UM5,0.026708191127870845
80,O15143,Q86UP2,0.016585709648533724
81,O15143,Q8IVL6,0.0217847159613381
82,O15143,Q92841,0.017052285666384507
83,O15143,Q96A49,0.02735493583522732
84,O15143,Q96C90,0.014658090455670823
85,O15143,Q99613,0.023583309201098804
86,O15143,Q99879,0.021668526045262627
87,O15143,Q9HBL0,0.014213713887730262
88,O15143,Q9UBR2,0.020512886247150718
89,O15143,Q9UHB9,0.008555079986002733
90,O15143,Q9UKY7,0.014525882382657609
91,O15143,Q9UMX0,0.012380666374011102
92,O15143,Q9UN86,0.010745052566489057
93,O15143,Q9Y5S9,0.014678349708214418
94,O60716,O00629,0.010108577166895939
95,O60716,O15143,0.03278084279232779
96,O60716,O94925,0.02802648309511056
97,O60716,P05556,0.027935913137897655
98,O60716,P05787,0.021526148558364194
99,O60716,P05976,0.015307952618874297
100,O60716,P13667,0.017680211745261944
101,O60716,P14174,0.005658236384010294
102,O60716,P15374,0.035737450596195444
103,O60716,P16989,0.01278337748821618
104,O60716,P17096,0.014733482784349692
105,O60716,P31949,0.0037527610575414216
106,O60716,P49023,0.028229828828612295
107,O60716,P49756,0.026562017024123478
108,O60716,P56192,0.05047522918841502
109,O60716,P62328,0.012812983750994182
110,O60716,P62424,0.02713213763913816
111,O60716,P62854,0.03144264263639829
112,O60716,P63208,0.0126305716214699
113,O60716,P67809,0.014224800547201356
114,O60716,P67936,0.01761620787796159
115,O60716,P80723,0.00802074336233867
116,O60716,Q01995,0.015955720473591315
117,O60716,Q02790,0.022159108655670928
118,O60716,Q07065,0.024904904981654805
119,O60716,Q07866,0.04187726953352554
120,O60716,Q07954,0.017593446181683042
121,O60716,Q14011,0.010714063489097743
122,O60716,Q15366,0.02141241028857791
123,O60716,Q16181,0.031217746631728858
124,O60716,Q3SX28,0.007808222174272137
125,O60716,Q6NZI2,0.02245454677769153
126,O60716,Q71UM5,0.03069273542605141
127,O60716,Q86UP2,0.0041708380093233195
128,O60716,Q8IVL6,0.01584807571917216
129,O60716,Q92841,0.023936043487967143
130,O60716,Q96A49,0.013475339333172328
131,O60716,Q96C90,0.01390608453044767
132,O60716,Q99613,0.029671435659163768
133,O60716,Q99879,0.03456670255928103
134,O60716,Q9HBL0,0.011672117982895597
135,O60716,Q9UBR2,0.014365999713378468
136,O60716,Q9UHB9,0.019383141929806443
137,O60716,Q9UKY7,0.02027167368444447
138,O60716,Q9UMX0,0.038831025879651725
139,O60716,Q9UN86,0.012395291914779538
140,O60716,Q9Y5S9,0.034858784121450215
141,O94925,O00629,0.009400027108999408
142,O94925,O15143,0.029142266858088992
143,O94925,O60716,0.01187790117721228
144,O94925,P05556,0.011084938581514929
145,O94925,P05787,0.02058397202716402
146,O94925,P05976,0.010808159225072776
147,O94925,P13667,0.014716730142177876
148,O94925,P14174,0.010652109743362313
149,O94925,P15374,0.00837560818310899
150,O94925,P16989,0.009219677389786551
151,O94925,P17096,0.014433450936937285
152,O94925,P31949,0.010219174485332732
153,O94925,P49023,0.01160502750773299
154,O94925,P49756,0.006680925515805878
