,Regulator,Target,Weight
0,O15143,O94925,0.0751460497715157
1,O15143,P05787,0.0008321593106158
2,O15143,P05976,0.0194475070438667
3,O15143,P06753,0.0201570339182607
4,O15143,P14174,0.0063215101264207
5,O15143,P17096,0.0386389768072913
6,O15143,P27816,0.0916581556418279
7,O15143,P31949,0.0005875663107048
8,O15143,P37837,0.0648857578734467
9,O15143,P49023,0.0297555046228826
10,O15143,P56192,0.0195706271306437
11,O15143,P60903,0.002691751627069
12,O15143,P62328,0.0063036050675984
13,O15143,P62854,0.0246216981021138
14,O15143,P62888,0.001545483589036
15,O15143,P63208,0.1261651884356161
16,O15143,P81644,0.0017029043307365
17,O15143,Q01995,0.0098874721074134
18,O15143,Q02790,0.1187164482025634
19,O15143,Q07065,0.0046570730230421
20,O15143,Q14011,0.011624129713346
21,O15143,Q16181,0.1250353059094075
22,O15143,Q7Z417,0.0110325108896111
23,O15143,Q8WX93,0.0020868377532397
24,O15143,Q96HC4,0.0890540896460938
25,O15143,Q99439,0.0028060757795964
26,O15143,Q99879,0.0488151121279837
27,O15143,Q9UN86,0.033962411119966
28,O15143,Q9Y5S9,0.0122910540180892
29,O15143,mg,0.0
30,O94925,O15143,0.0317996049926557
31,O94925,P05787,0.0101815814915106
32,O94925,P05976,0.0396445939170309
33,O94925,P06753,0.0108286822110076
34,O94925,P14174,0.0192954570773926
35,O94925,P17096,0.0471950710903554
36,O94925,P27816,0.0780453793082937
37,O94925,P31949,0.004042597929121
38,O94925,P37837,0.0563364400402102
39,O94925,P49023,0.0126998384004573
40,O94925,P56192,0.0663560660539701
41,O94925,P60903,0.0018186412489828
42,O94925,P62328,0.048540602495769
43,O94925,P62854,0.039766072055265
44,O94925,P62888,0.0707965213654559
45,O94925,P63208,0.0572936998725884
46,O94925,P81644,0.0236071981930973
47,O94925,Q01995,0.0028426042817357
48,O94925,Q02790,0.057238622342628
49,O94925,Q07065,0.0597874872531813
50,O94925,Q14011,0.010361257373907
51,O94925,Q16181,0.0675486218914284
52,O94925,Q7Z417,0.0124235717874864
53,O94925,Q8WX93,0.0026066595446789
54,O94925,Q96HC4,0.0876505016592658
55,O94925,Q99439,0.0210392412044266
56,O94925,Q99879,0.0386294743797783
57,O94925,Q9UN86,0.011599997648573
58,O94925,Q9Y5S9,0.0100239128897455
59,O94925,mg,0.0
60,P05787,O15143,0.048571313327226
61,P05787,O94925,0.0027902646315558
62,P05787,P05976,0.0382951968212842
63,P05787,P06753,0.1048226881366347
64,P05787,P14174,0.0560789007477173
65,P05787,P17096,0.0213672674129266
66,P05787,P27816,0.0072920565637574
67,P05787,P31949,0.0241061271499345
68,P05787,P37837,0.007877358996219
69,P05787,P49023,0.0876870740858326
70,P05787,P56192,0.0004317900200664
71,P05787,P60903,0.0567921428953112
72,P05787,P62328,0.0651037149794627
73,P05787,P62854,0.0239015976513622
74,P05787,P62888,0.1114065530555902
75,P05787,P63208,0.0017647081285391
76,P05787,P81644,0.0356965520075433
77,P05787,Q01995,0.0814719765930546
78,P05787,Q02790,0.0705649567820453
79,P05787,Q07065,0.0049476272665256
80,P05787,Q14011,0.0079121364257181
81,P05787,Q16181,0.0193559828805938
82,P05787,Q7Z417,0.0083153307149992
83,P05787,Q8WX93,0.0207455385567878
84,P05787,Q96HC4,0.0005141582005548
85,P05787,Q99439,0.0231950895393457
86,P05787,Q99879,0.0006915894708496
87,P05787,Q9UN86,0.018994604139238
88,P05787,Q9Y5S9,0.0493057028193226
89,P05787,mg,0.0
90,P05976,O15143,0.001047060835547
91,P05976,O94925,0.0078142424713668
92,P05976,P05787,0.0305479384041284
93,P05976,P06753,0.0107118367160825
94,P05976,P14174,0.0676081943530688
95,P05976,P17096,0.0050154654369531
96,P05976,P27816,7.376582578208019e-05
97,P05976,P31949,0.0304638268181045
98,P05976,P37837,0.0065300035107486
99,P05976,P49023,0.0035168715904525
100,P05976,P56192,0.0009848332791039
101,P05976,P60903,0.0348974937356979
102,P05976,P62328,0.0223156303576235
103,P05976,P62854,0.034187047585984
104,P05976,P62888,0.007854107737693
105,P05976,P63208,0.0040620393077572
106,P05976,P81644,0.1130615679781093
107,P05976,Q01995,0.0045133811810753
108,P05976,Q02790,0.0482395621085829
109,P05976,Q07065,0.2011635906676111
110,P05976,Q14011,0.0135768550015739
111,P05976,Q16181,0.0112543609994518
112,P05976,Q7Z417,0.053897269710189
113,P05976,Q8WX93,0.0482631397158276
114,P05976,Q96HC4,0.0038113208776728
115,P05976,Q99439,0.1721227353210165
116,P05976,Q99879,0.0339682686712768
117,P05976,Q9UN86,0.0018536899309825
118,P05976,Q9Y5S9,0.0266438998705353
119,P05976,mg,0.0
120,P06753,O15143,0.0226106606161373
121,P06753,O94925,0.010601996462062
122,P06753,P05787,0.1248235254560297
123,P06753,P05976,0.0058058493478103
124,P06753,P14174,0.0403656425712491
125,P06753,P17096,0.0092878166989881
126,P06753,P27816,0.0030378112421609
127,P06753,P31949,0.006512253879824
128,P06753,P37837,0.0501088568318284
129,P06753,P49023,0.0060724243881328
130,P06753,P56192,0.0475789317957935
131,P06753,P60903,0.0187381131864334
132,P06753,P62328,0.0282441465596105
133,P06753,P62854,0.0376125127850719
134,P06753,P62888,0.0566047134202246
135,P06753,P63208,0.0092178092393127
136,P06753,P81644,0.0879378771578754
137,P06753,Q01995,0.0663015055212014
138,P06753,Q02790,0.0185737247318806
139,P06753,Q07065,0.1145243156684175
140,P06753,Q14011,0.0243312233020548
141,P06753,Q16181,0.0132919609000667
142,P06753,Q7Z417,0.0486242369156944
143,P06753,Q8WX93,0.0234987948585027
144,P06753,Q96HC4,0.0454789911587058
145,P06753,Q99439,0.0553692047552301
146,P06753,Q99879,0.0079358488308284
147,P06753,Q9UN86,0.0135884137254294
148,P06753,Q9Y5S9,0.0033208379934424
149,P06753,mg,0.0
150,P14174,O15143,0.0207093101568951
151,P14174,O94925,0.0249475349028739
152,P14174,P05787,0.0264248646338792
153,P14174,P05976,0.0069410543881898
154,P14174,P06753,0.0153403590723634
155,P14174,P17096,0.0476592148025049
156,P14174,P27816,0.0232269652305571
157,P14174,P31949,0.0206573215259247
158,P14174,P37837,0.0270626912779617
159,P14174,P49023,0.033792922963076
160,P14174,P56192,0.0233993944872499
161,P14174,P60903,0.0132996346158125
162,P14174,P62328,0.0388299219436958
163,P14174,P62854,0.02947500877798
164,P14174,P62888,0.043034482567104
165,P14174,P63208,0.0175887574569237
166,P14174,P81644,0.0263462817978645
167,P14174,Q01995,0.0361975663277213
168,P14174,Q02790,0.031455933303091
169,P14174,Q07065,0.0488393394934128
170,P14174,Q14011,0.0509687663449959
171,P14174,Q16181,0.0037630567893953
172,P14174,Q7Z417,0.0322472927179328
173,P14174,Q8WX93,0.0872770347593611
174,P14174,Q96HC4,0.0285033732676466
175,P14174,Q99439,0.1754507808153705
176,P14174,Q99879,0.0172319470226727
177,P14174,Q9UN86,0.0380396772448125
178,P14174,Q9Y5S9,0.01128951131273
179,P14174,mg,0.0
180,P17096,O15143,0.0157565151836656
181,P17096,O94925,0.0183827369583648
182,P17096,P05787,0.0149643967410675
183,P17096,P05976,0.098198905062328
184,P17096,P06753,0.0567560971651534
185,P17096,P14174,0.1600424764640821
186,P17096,P27816,0.0034695953118973
187,P17096,P31949,0.0262819326159568
188,P17096,P37837,0.0247275488032682
189,P17096,P49023,0.0056570902882319
190,P17096,P56192,0.0120699588483753
191,P17096,P60903,0.0088896456776667
192,P17096,P62328,0.0615903593585948
193,P17096,P62854,0.018752742834957
194,P17096,P62888,0.028136787838277
195,P17096,P63208,0.0154192743778665
196,P17096,P81644,0.0235972740204724
197,P17096,Q01995,0.039405846884568
198,P17096,Q02790,0.0573470740515211
199,P17096,Q07065,0.0647095440617
200,P17096,Q14011,0.0141179178328775
201,P17096,Q16181,0.0086874255713395
202,P17096,Q7Z417,0.0144809487698185
203,P17096,Q8WX93,0.0309090955447348
204,P17096,Q96HC4,0.027996995411635
205,P17096,Q99439,0.0107154654683351
206,P17096,Q99879,0.0043210791934503
207,P17096,Q9UN86,0.119064652939647
208,P17096,Q9Y5S9,0.0155506167201467
209,P17096,mg,0.0
210,P27816,O15143,0.0111335352338849
211,P27816,O94925,0.0500166833574827
212,P27816,P05787,0.0326107426188861
213,P27816,P05976,0.0085562054018584
214,P27816,P06753,0.0253435903737783
215,P27816,P14174,0.0735544732358896
216,P27816,P17096,0.0233177204900981
217,P27816,P31949,0.0152629592955531
218,P27816,P37837,0.064975441919801
219,P27816,P49023,0.0106079024037437
220,P27816,P56192,0.0937530213458847
221,P27816,P60903,0.010623677360348
222,P27816,P62328,0.0221631900803016
223,P27816,P62854,0.0177680615000525
224,P27816,P62888,0.0027417031852781
225,P27816,P63208,0.239881533086084
226,P27816,P81644,0.0074105254839677
227,P27816,Q01995,0.0199146427993282
228,P27816,Q02790,0.0416939710681527
229,P27816,Q07065,0.0091916467380405
230,P27816,Q14011,0.0284032746279401
231,P27816,Q16181,0.0353773112290083
232,P27816,Q7Z417,0.030154983342512
233,P27816,Q8WX93,0.015453394235457
234,P27816,Q96HC4,0.0330204868950357
235,P27816,Q99439,0.0223163497576817
236,P27816,Q99879,0.0421750121498877
237,P27816,Q9UN86,0.0078413870192243
238,P27816,Q9Y5S9,0.0047365737648378
239,P27816,mg,0.0
240,P31949,O15143,0.0552805314526193
241,P31949,O94925,0.0219101448537736
242,P31949,P05787,0.0255337747783672
243,P31949,P05976,0.0154542199747407
244,P31949,P06753,0.019203402475046
245,P31949,P14174,0.0779577695633106
246,P31949,P17096,0.0991901709730851
247,P31949,P27816,0.006855300075309
248,P31949,P37837,0.0086257739121963
249,P31949,P49023,0.0197492793762604
250,P31949,P56192,0.0079135567489773
251,P31949,P60903,0.0113030827463228
252,P31949,P62328,0.0148843469751919
253,P31949,P62854,0.0557078202787496
254,P31949,P62888,0.0081535477381646
255,P31949,P63208,0.0156930975602926
256,P31949,P81644,0.0464030823327773
257,P31949,Q01995,0.0135351536266384
258,P31949,Q02790,0.0067771237062673
259,P31949,Q07065,0.0705531343157922
260,P31949,Q14011,0.0281185233710336
261,P31949,Q16181,0.0039691963854974
262,P31949,Q7Z417,0.1073516610872012
263,P31949,Q8WX93,0.0281473371375937
264,P31949,Q96HC4,0.0186441552642598
265,P31949,Q99439,0.1224413610283961
266,P31949,Q99879,0.0067695788171871
267,P31949,Q9UN86,0.0809525300459848
268,P31949,Q9Y5S9,0.0029213433989631
269,P31949,mg,0.0
270,P37837,O15143,0.0478622223270751
271,P37837,O94925,0.0273425343120455
272,P37837,P05787,0.0274422713252909
273,P37837,P05976,0.0130505151878852
274,P37837,P06753,0.0129423521626439
275,P37837,P14174,0.0261068326371086
276,P37837,P17096,0.0247792304009957
277,P37837,P27816,0.0236629374482565
278,P37837,P31949,0.0150144763077938
279,P37837,P49023,0.0077139433889158
280,P37837,P56192,0.0034179263282747
281,P37837,P60903,0.0301368256552034
282,P37837,P62328,0.0180120833513416
283,P37837,P62854,0.0031544496192999
284,P37837,P62888,0.0615275098154393
285,P37837,P63208,0.0105337160976572
286,P37837,P81644,0.0368789598523665
287,P37837,Q01995,0.0086751588934328
288,P37837,Q02790,0.0079029695636042
289,P37837,Q07065,0.0050852692229633
290,P37837,Q14011,0.0432556936085741
291,P37837,Q16181,0.0132761852977243
292,P37837,Q7Z417,0.0130287371943114
293,P37837,Q8WX93,0.4290321906872616
294,P37837,Q96HC4,0.0156554613569741
295,P37837,Q99439,0.0253166800895985
296,P37837,Q99879,0.0136916481484213
297,P37837,Q9UN86,0.0178542429971328
298,P37837,Q9Y5S9,0.0176469767224069
299,P37837,mg,0.0
300,P49023,O15143,0.0308065914371289
301,P49023,O94925,0.0122269314222894
302,P49023,P05787,0.0494835545034915
303,P49023,P05976,0.0472414306495418
304,P49023,P06753,0.0366323372609566
305,P49023,P14174,0.0468304373892006
306,P49023,P17096,0.0155636007497138
307,P49023,P27816,0.0231795395658771
308,P49023,P31949,0.0172211815998315
309,P49023,P37837,0.0969985646129536
310,P49023,P56192,0.0566740764195259
311,P49023,P60903,0.0293555411348106
312,P49023,P62328,0.0094508617861695
313,P49023,P62854,0.0147803368104841
314,P49023,P62888,0.0341098821336283
315,P49023,P63208,0.0509469360337839
316,P49023,P81644,0.0132507270224226
317,P49023,Q01995,0.0336101425025582
318,P49023,Q02790,0.047788452053779
319,P49023,Q07065,0.0595125897530226
320,P49023,Q14011,0.0158776181615065
321,P49023,Q16181,0.0745751932462302
322,P49023,Q7Z417,0.0702864785317964
323,P49023,Q8WX93,0.0133003325567229
324,P49023,Q96HC4,0.0584820589486363
325,P49023,Q99439,0.0018719956155256
326,P49023,Q99879,0.0160032984474258
327,P49023,Q9UN86,0.0039121679780018
328,P49023,Q9Y5S9,0.0200271416729838
329,P49023,mg,0.0
330,P56192,O15143,0.0049783570075247
331,P56192,O94925,0.0883846130430437
332,P56192,P05787,0.0326985446823231
333,P56192,P05976,0.0219141904974471
334,P56192,P06753,0.020902609766491
335,P56192,P14174,0.0162115651983594
336,P56192,P17096,0.0001181585973458
337,P56192,P27816,0.035636340876047
338,P56192,P31949,0.0159311752567334
339,P56192,P37837,0.0458027764460464
340,P56192,P49023,0.0341926111062568
341,P56192,P60903,0.0575245302551004
342,P56192,P62328,0.0084386380082438
343,P56192,P62854,0.0413803379096722
344,P56192,P62888,0.0283609019180378
345,P56192,P63208,0.027223518247027
346,P56192,P81644,0.0267691321442985
347,P56192,Q01995,2.5244591224893733e-05
348,P56192,Q02790,0.0489661965235675
349,P56192,Q07065,0.0552951988072941
350,P56192,Q14011,0.0265281289191238
351,P56192,Q16181,0.1217275970449402
352,P56192,Q7Z417,0.0789138788011402
353,P56192,Q8WX93,0.0014708938050903
354,P56192,Q96HC4,0.0248365079115477
355,P56192,Q99439,0.0125308216424362
356,P56192,Q99879,0.105655937210536
357,P56192,Q9UN86,0.0017114173851194
358,P56192,Q9Y5S9,0.0158701763979804
359,P56192,mg,0.0
360,P60903,O15143,0.005624889874103
361,P60903,O94925,0.019138730011269
362,P60903,P05787,0.0073091137473182
363,P60903,P05976,0.0388842844641959
364,P60903,P06753,0.0019743472663515
365,P60903,P14174,0.0096190814551259
366,P60903,P17096,0.0145938264526202
367,P60903,P27816,0.0187802854255059
368,P60903,P31949,0.0552014735975489
369,P60903,P37837,0.0365484722403052
370,P60903,P49023,0.0219699479469611
371,P60903,P56192,0.0338984342859197
372,P60903,P62328,0.0011596309948214
373,P60903,P62854,0.0964532022646849
374,P60903,P62888,0.0388088330799058
375,P60903,P63208,0.0209333256655751
376,P60903,P81644,0.0966677226961413
377,P60903,Q01995,0.0324173152360901
378,P60903,Q02790,0.0271749958772418
379,P60903,Q07065,0.1115523952212967
380,P60903,Q14011,0.0313969875398974
381,P60903,Q16181,0.0640551707929279
382,P60903,Q7Z417,0.0759834317368282
383,P60903,Q8WX93,0.0159938730802603
384,P60903,Q96HC4,0.0161024377388913
385,P60903,Q99439,0.0530912752006778
386,P60903,Q99879,0.0372668939659977
387,P60903,Q9UN86,0.011242846347786
388,P60903,Q9Y5S9,0.0061567757937501
389,P60903,mg,0.0
390,P62328,O15143,0.0031487534701452
391,P62328,O94925,0.0015031154248429
392,P62328,P05787,0.0523370812478356
393,P62328,P05976,0.030020858240745
394,P62328,P06753,0.0514222813969983
395,P62328,P14174,0.0857473593423987
396,P62328,P17096,0.040394194491606
397,P62328,P27816,0.0080658676250059
398,P62328,P31949,0.0825060128387186
399,P62328,P37837,0.0097786749779131
400,P62328,P49023,0.0243838114968671
401,P62328,P56192,0.0005811133653978
402,P62328,P60903,0.0087851330233804
403,P62328,P62854,0.0231455801406475
404,P62328,P62888,0.010585171127007
405,P62328,P63208,0.0110293186736652
406,P62328,P81644,0.1420474826265688
407,P62328,Q01995,0.0306887245155881
408,P62328,Q02790,0.0106634358590526
409,P62328,Q07065,0.1687876104331579
410,P62328,Q14011,0.034787624822552
411,P62328,Q16181,0.0016181255424754
412,P62328,Q7Z417,0.0045189024733558
413,P62328,Q8WX93,0.0255866286494616
414,P62328,Q96HC4,0.0273417953464533
415,P62328,Q99439,0.0445982432472033
416,P62328,Q99879,0.0199713299090436
417,P62328,Q9UN86,0.02844477285617
418,P62328,Q9Y5S9,0.0175109968357421
419,P62328,mg,0.0
420,P62854,O15143,0.0037431410626636
421,P62854,O94925,0.0799111715462611
422,P62854,P05787,0.0071770402235792
423,P62854,P05976,0.041271440482392
424,P62854,P06753,0.0167466110405178
425,P62854,P14174,0.0080312839256563
426,P62854,P17096,0.018027233356195
427,P62854,P27816,0.0116420421472751
428,P62854,P31949,0.013109715377366
429,P62854,P37837,0.0272999261467443
430,P62854,P49023,0.0595223606697812
431,P62854,P56192,0.0443155098933922
432,P62854,P60903,0.0565520693092082
433,P62854,P62328,0.0123062011030223
434,P62854,P62888,0.0429612709443262
435,P62854,P63208,0.0093003785789929
436,P62854,P81644,0.0047022240772321
437,P62854,Q01995,0.0146428054097673
438,P62854,Q02790,0.0272074837647627
439,P62854,Q07065,0.0608694938938692
440,P62854,Q14011,0.0045098655214053
441,P62854,Q16181,0.0338057558628648
442,P62854,Q7Z417,0.1343658319149648
443,P62854,Q8WX93,0.0142351944687663
444,P62854,Q96HC4,0.0362214664840615
445,P62854,Q99439,0.0131064182218055
446,P62854,Q99879,0.1916415614189774
447,P62854,Q9UN86,0.0037458285239023
448,P62854,Q9Y5S9,0.0090286746302463
449,P62854,mg,0.0
450,P62888,O15143,0.019043226493234
451,P62888,O94925,0.0026045411936838
452,P62888,P05787,0.0216644013815665
453,P62888,P05976,0.0375633336922544
454,P62888,P06753,0.0032147643092714
455,P62888,P14174,0.06169947915236
456,P62888,P17096,0.0130578004865082
457,P62888,P27816,0.0261449039284789
458,P62888,P31949,0.0153550412201474
459,P62888,P37837,0.0727611918486102
460,P62888,P49023,0.033557862487232
461,P62888,P56192,0.0413591355305991
462,P62888,P60903,0.0893521374801566
463,P62888,P62328,0.1086058619644491
464,P62888,P62854,0.0278694781433397
465,P62888,P63208,0.0021273679259957
466,P62888,P81644,0.0228985298216596
467,P62888,Q01995,0.0024082277808161
468,P62888,Q02790,0.0470331785975568
469,P62888,Q07065,0.0711896798394741
470,P62888,Q14011,0.0046017964985065
471,P62888,Q16181,0.039365933851237
472,P62888,Q7Z417,0.0761611432001509
