,Regulator,Target,Weight
0,O15143,O94925,0.047961714724671
1,O15143,P05556,0.053938235309898
2,O15143,P05787,0.0089204743974136
3,O15143,P05976,0.0002216247818287
4,O15143,P06753,0.0188597788847476
5,O15143,P09104,0.0662225387055967
6,O15143,P09936,0.000146733982391
7,O15143,P14174,0.0063448150764402
8,O15143,P14314,0.003658184859606
9,O15143,P15374,0.0258688227466197
10,O15143,P16989,0.0270258822417217
11,O15143,P17096,0.019608318883649
12,O15143,P27635,0.020019045890442
13,O15143,P27816,0.0476139290829621
14,O15143,P31949,0.0107595021603701
15,O15143,P37837,0.0355779854951244
16,O15143,P46778,0.0076305860363542
17,O15143,P49023,0.0113861401783079
18,O15143,P49756,0.0034064911413621
19,O15143,P51911,0.0189974039960387
20,O15143,P53621,0.0289255682100484
21,O15143,P56192,0.0278162314366566
22,O15143,P60903,0.0041285526260573
23,O15143,P61981,0.0289664838790746
24,O15143,P62328,0.0095255688351315
25,O15143,P62854,0.0013721861939381
26,O15143,P62888,0.0010655853182693
27,O15143,P62917,0.0087002733611035
28,O15143,P63208,0.0728232485457794
29,O15143,P68104,0.0189310736851537
30,O15143,P81644,0.0097192271814788
31,O15143,Q01995,0.0002888889915784
32,O15143,Q02790,0.0184443390853316
33,O15143,Q05682,0.0019192786134404
34,O15143,Q07065,0.0002527393868612
35,O15143,Q07866,0.0079295601185638
36,O15143,Q14011,0.0397412231756721
37,O15143,Q14195,0.0024031620798587
38,O15143,Q15459,0.0168403668838002
39,O15143,Q16181,0.0829368666441406
40,O15143,Q7Z417,0.0016993734556144
41,O15143,Q7Z4V5,0.0006185901786449
42,O15143,Q8WX93,0.0190444891636737
43,O15143,Q96HC4,0.0398931674267541
44,O15143,Q99439,0.0003733052391022
45,O15143,Q99613,0.075353108066232
46,O15143,Q99879,0.0195561751415062
47,O15143,Q9UN86,0.023261280874303
48,O15143,Q9Y5S9,0.0033018776266842
49,O94925,O15143,0.000856850816514
50,O94925,P05556,0.0577472145532645
51,O94925,P05787,0.001162298473136
52,O94925,P05976,0.010976250672398
53,O94925,P06753,0.0198076590015432
54,O94925,P09104,0.0759749686778289
55,O94925,P09936,0.0005498343994125
56,O94925,P14174,0.0030904971587349
57,O94925,P14314,0.0209017421140293
58,O94925,P15374,0.0108203272674271
59,O94925,P16989,0.0749639966791856
60,O94925,P17096,0.0112248807163547
61,O94925,P27635,0.0111156692953283
62,O94925,P27816,0.0193434630679972
63,O94925,P31949,0.0008687603565631
64,O94925,P37837,0.0299470022773069
65,O94925,P46778,0.0466156564513489
66,O94925,P49023,0.0469922496858735
67,O94925,P49756,0.0106632117924263
68,O94925,P51911,0.0013853922553197
69,O94925,P53621,0.0112697050841104
70,O94925,P56192,0.0363919690864596
71,O94925,P60903,0.0222034432620164
72,O94925,P61981,0.0107337215755305
73,O94925,P62328,0.0282890803274261
74,O94925,P62854,0.0124067779005923
75,O94925,P62888,0.0116417142414099
76,O94925,P62917,0.011628628874558
77,O94925,P63208,0.0293227574763011
78,O94925,P68104,0.0207732681753857
79,O94925,P81644,0.0005545370141373
80,O94925,Q01995,0.0004143816929532
81,O94925,Q02790,0.0561977184916333
82,O94925,Q05682,0.0195517582182392
83,O94925,Q07065,0.022578054645216
84,O94925,Q07866,0.0395557557298372
85,O94925,Q14011,0.0018287440892821
86,O94925,Q14195,0.0004610750352988
87,O94925,Q15459,0.0574946370736471
88,O94925,Q16181,0.0193696172664743
89,O94925,Q7Z417,0.0294210279602069
90,O94925,Q7Z4V5,0.0002935541135566
91,O94925,Q8WX93,0.0008796904924267
92,O94925,Q96HC4,0.000223541101682
93,O94925,Q99439,0.0024120621153719
94,O94925,Q99613,0.0202771822054292
95,O94925,Q99879,0.0489507839569805
96,O94925,Q9UN86,0.0099489932356745
97,O94925,Q9Y5S9,0.0199178938461679
98,P05556,O15143,0.008938939439222
99,P05556,O94925,0.0295881380041349
100,P05556,P05787,0.0185300321544445
101,P05556,P05976,0.0857637441853474
102,P05556,P06753,0.0283779144815386
103,P05556,P09104,0.0013418765102226
104,P05556,P09936,0.0063274766328561
105,P05556,P14174,0.0535460556582088
106,P05556,P14314,0.0222709276047802
107,P05556,P15374,2.473213213750808e-05
108,P05556,P16989,0.0106007330916425
109,P05556,P17096,0.0121653251106084
110,P05556,P27635,0.0182634200148763
111,P05556,P27816,0.019610628937989
112,P05556,P31949,0.0117044859265965
113,P05556,P37837,0.0292390681696512
114,P05556,P46778,0.0259111455129238
115,P05556,P49023,0.0158656086463843
116,P05556,P49756,0.0005096017837096
117,P05556,P51911,0.004019625236687
118,P05556,P53621,0.0090308687136585
119,P05556,P56192,0.0207673437860369
120,P05556,P60903,0.0047321703051573
121,P05556,P61981,0.0011831915504727
122,P05556,P62328,0.0024375333367938
