,Regulator,Target,Weight
0,O15143,O94925,0.009512532656003537
1,O15143,P05556,0.014264372805000102
2,O15143,P05787,0.00587448934876421
3,O15143,P05976,0.00771673204063293
4,O15143,P06753,0.0052063431533960255
5,O15143,P09104,0.01196344244072777
6,O15143,P09936,0.06369895175847255
7,O15143,P14174,0.0027400169084542425
8,O15143,P14314,0.007193697899859494
9,O15143,P15374,0.008690055528227226
10,O15143,P16989,0.007360892442848221
11,O15143,P17096,0.013267028479760839
12,O15143,P27635,0.006871170793962402
13,O15143,P27816,0.008706219583011288
14,O15143,P31949,0.004178254630131631
15,O15143,P37837,0.010350887266285767
16,O15143,P46778,0.004362996471697912
17,O15143,P49023,0.007041477687158958
18,O15143,P49756,0.19252681369561014
19,O15143,P51911,0.002867424953340137
20,O15143,P53621,0.003864274230311093
21,O15143,P56192,0.00609608163724034
22,O15143,P60903,0.06335744429790736
23,O15143,P61981,0.06020427728566118
24,O15143,P62328,0.008024152251156947
25,O15143,P62854,0.009266839985495373
26,O15143,P62888,0.004521301610447526
27,O15143,P62917,0.04616434122497855
28,O15143,P63208,0.032937062328031605
29,O15143,P68104,0.01847497761830864
30,O15143,P81644,0.051545043043184656
31,O15143,Q01995,0.003606681651935237
32,O15143,Q02790,0.019013806511482975
33,O15143,Q05682,0.023720291233761757
34,O15143,Q07065,0.008567192061259605
35,O15143,Q07866,0.010198990375863509
36,O15143,Q14011,0.04278236245817264
37,O15143,Q14195,0.004518887362533167
38,O15143,Q15459,0.007631662217977747
39,O15143,Q16181,0.00828593043605876
40,O15143,Q7Z417,0.0030008329184903733
41,O15143,Q7Z4V5,0.034328446882227685
42,O15143,Q8WX93,0.007503488094833331
43,O15143,Q96HC4,0.015845153513518603
44,O15143,Q99439,0.011904911893248524
45,O15143,Q99613,0.008643004023909953
46,O15143,Q99879,0.007318158764537429
47,O15143,Q9UN86,0.06333642528110481
48,O15143,Q9Y5S9,0.020944178263012952
49,O94925,O15143,0.010618732612817422
50,O94925,P05556,0.04084645851587363
51,O94925,P05787,0.0023532633477338794
52,O94925,P05976,0.0039381290970836305
53,O94925,P06753,0.01178480866310529
54,O94925,P09104,0.019454295937313314
55,O94925,P09936,0.004922244663192951
56,O94925,P14174,0.007542816435156743
57,O94925,P14314,0.0029731552942977384
58,O94925,P15374,0.006944470979331751
59,O94925,P16989,0.01388342139270161
60,O94925,P17096,0.04480750760790452
61,O94925,P27635,0.016963253185960068
62,O94925,P27816,0.012185394675600631
63,O94925,P31949,0.004671000534070581
64,O94925,P37837,0.019517329097226442
65,O94925,P46778,0.03435522966625506
66,O94925,P49023,0.014168966721735206
67,O94925,P49756,0.014925656569609192
68,O94925,P51911,0.018972342924650373
69,O94925,P53621,0.006096203254166427
70,O94925,P56192,0.05274883009427238
71,O94925,P60903,0.12952645883307348
72,O94925,P61981,0.002368195585806728
73,O94925,P62328,0.00806832042254477
74,O94925,P62854,0.06466811851124496
75,O94925,P62888,0.028954869295867724
76,O94925,P62917,0.005022737653105538
