,Regulator,Target,Weight
0,O15143,O94925,0.013202222560712582
1,O15143,P00568,0.028328740858778588
2,O15143,P02461,0.02538699098484224
3,O15143,P02652,0.01948196961147805
4,O15143,P04179,0.0032739044841296402
5,O15143,P05976,0.012701238169964579
6,O15143,P06753,0.01141511310582638
7,O15143,P07339,0.00676206846486838
8,O15143,P12956,0.0034416059424358094
9,O15143,P13010,0.00520610541654491
10,O15143,P15374,0.010801632130755861
11,O15143,P18859,0.00418772576786918
12,O15143,P21281,0.0230191309314539
13,O15143,P23246,0.0033043690622425632
14,O15143,P26447,0.0035562180515556997
15,O15143,P27816,0.011091791175452118
16,O15143,P30085,0.0160843290961022
17,O15143,P36957,0.005141117772710256
18,O15143,P37837,0.02186422064912943
19,O15143,P40926,0.10691709175915172
20,O15143,P42765,0.00413047855997661
21,O15143,P49023,0.02674934265900473
22,O15143,P53621,0.00390857867125117
23,O15143,P56192,0.007961316476296209
24,O15143,P61981,0.11379410709406264
25,O15143,P62328,0.01771749239772655
26,O15143,P62854,0.012562079407946809
27,O15143,P62917,0.08640319975024092
28,O15143,P63208,0.029437001819896558
29,O15143,P63313,0.10322935471030092
30,O15143,Q01995,0.004069533610055309
31,O15143,Q02218,0.029347553172079894
32,O15143,Q02818,0.024823590363073304
33,O15143,Q05682,0.04024299231802729
34,O15143,Q07065,0.007027866228168861
35,O15143,Q07954,0.007599878801151301
36,O15143,Q13263,0.007407034224976229
37,O15143,Q14011,0.070535813605136
38,O15143,Q14444,0.00439476441137652
39,O15143,Q14767,0.03867527895564568
40,O15143,Q15233,0.008174145005292541
41,O15143,Q15843,0.007433421718913912
42,O15143,Q7Z417,0.05361405546226598
43,O15143,Q8WWI1,0.006429501011283781
44,O15143,Q96CW1,0.004040751294979729
45,O15143,Q96HC4,0.036844017037632015
46,O15143,Q9H0U4,0.01610420129989233
47,O15143,Q9UHD8,0.00866759432516151
48,O15143,Q9UMS6,0.05203025196490966
49,O94925,O15143,0.020685742360094145
50,O94925,P00568,0.010704305073231321
51,O94925,P02461,0.003010682860759755
52,O94925,P02652,0.004914434288783987
53,O94925,P04179,0.006546584167516051
54,O94925,P05976,0.00912148270688878
55,O94925,P06753,0.01716957814181168
56,O94925,P07339,0.01941768688877668
57,O94925,P12956,0.027042137244679097
58,O94925,P13010,0.01432513458381417
59,O94925,P15374,0.01307768410323527
60,O94925,P18859,0.01406530067701813
61,O94925,P21281,0.012185942482739933
62,O94925,P23246,0.030591873668940662
63,O94925,P26447,0.015865384642083112
64,O94925,P27816,0.041915727505713055
65,O94925,P30085,0.01690081784205098
66,O94925,P36957,0.0118197853623742
67,O94925,P37837,0.04117569810780828
68,O94925,P40926,0.02331544359738361
69,O94925,P42765,0.00510136274592571
70,O94925,P49023,0.028884391446605113
71,O94925,P53621,0.01437309410700916
72,O94925,P56192,0.020420354662208023
73,O94925,P61981,0.00490984261315858
74,O94925,P62328,0.014765398368348689
75,O94925,P62854,0.037609654746560764
76,O94925,P62917,0.011617537818592715
77,O94925,P63208,0.046365097164904084
78,O94925,P63313,0.02223482887315793
79,O94925,Q01995,0.0037164723060500197
80,O94925,Q02218,0.01443508434252746
81,O94925,Q02818,0.024878688995969046
82,O94925,Q05682,0.019422060262802385
83,O94925,Q07065,0.00948996905196084
84,O94925,Q07954,0.006768249051745031
85,O94925,Q13263,0.01898142446256442
86,O94925,Q14011,0.044460538857200735
87,O94925,Q14444,0.02203655048893379
88,O94925,Q14767,0.06053579686401247
89,O94925,Q15233,0.028908657718521923
90,O94925,Q15843,0.0075285106158198
91,O94925,Q7Z417,0.043952217332355124
92,O94925,Q8WWI1,0.009619509980338014
93,O94925,Q96CW1,0.014922714104342188
94,O94925,Q96HC4,0.035769982065377216
95,O94925,Q9H0U4,0.01431496131430779
96,O94925,Q9UHD8,0.05139902533099139
97,O94925,Q9UMS6,0.02990383992498304
98,P00568,O15143,0.0033491250568278
99,P00568,O94925,0.08629031685729452
100,P00568,P02461,0.01922849063908056
101,P00568,P02652,0.07672427240415959
102,P00568,P04179,0.03377647569971079
103,P00568,P05976,0.005754353514714401
104,P00568,P06753,0.01556869566826433
105,P00568,P07339,0.01408054184869377
106,P00568,P12956,0.012882761257557319
107,P00568,P13010,0.004963479483706399
108,P00568,P15374,0.02356905201661947
109,P00568,P18859,0.02318288422477348
110,P00568,P21281,0.00417203361500826
111,P00568,P23246,0.01159620537862111
112,P00568,P26447,0.016791866994827945
113,P00568,P27816,0.00599760980905812
114,P00568,P30085,0.00524712265499197
115,P00568,P36957,0.008104581721702819
116,P00568,P37837,0.0038261426881464203
117,P00568,P40926,0.00479763687308937
118,P00568,P42765,0.00445333669840668
119,P00568,P49023,0.00940253290291892
120,P00568,P53621,0.010694056606196541
121,P00568,P56192,0.028351981935109245
122,P00568,P61981,0.03747099749080195
123,P00568,P62328,0.019220079952610665
124,P00568,P62854,0.005214048525639229
125,P00568,P62917,0.004941018169272899
126,P00568,P63208,0.02095350055870771
127,P00568,P63313,0.00548496950044539
128,P00568,Q01995,0.0049271636150497195
129,P00568,Q02218,0.005823662071564982
130,P00568,Q02818,0.0033597852060884906
131,P00568,Q05682,0.0046478938681364995
132,P00568,Q07065,0.008698185836641989
133,P00568,Q07954,0.01229341595913221
134,P00568,Q13263,0.07491618592682148
135,P00568,Q14011,0.0011454832075438299
136,P00568,Q14444,0.06257773724932084
137,P00568,Q14767,0.0029360349678457178
138,P00568,Q15233,0.035737936443921356
139,P00568,Q15843,0.009647878874709939
140,P00568,Q7Z417,0.012701762695964411
141,P00568,Q8WWI1,0.02480922171118571
142,P00568,Q96CW1,0.01628354961106064
143,P00568,Q96HC4,0.00385465508210353
144,P00568,Q9H0U4,0.10353509227438387
145,P00568,Q9UHD8,0.00469547355323605
146,P00568,Q9UMS6,0.00985914782114604
147,P02461,O15143,0.00544535718062756
148,P02461,O94925,0.06782039400828864
149,P02461,P00568,0.008811401857765801
150,P02461,P02652,0.04570074806733952
151,P02461,P04179,0.02119532208548509
152,P02461,P05976,0.01057350080607693
153,P02461,P06753,0.0178480884616343
154,P02461,P07339,0.023950417233422863
155,P02461,P12956,0.03713562969662491
156,P02461,P13010,0.02417672459984429
157,P02461,P15374,0.00886386511510869
158,P02461,P18859,0.02410569567074399
159,P02461,P21281,0.0047687300919302495
160,P02461,P23246,0.02122515982637737
161,P02461,P26447,0.01923223808362388
162,P02461,P27816,0.00842532186861305
163,P02461,P30085,0.007051451938173359
164,P02461,P36957,0.019283888559974503
