Regulator,Target,Weight,Sign
O15143,O94925,0.009234666906311499,
O15143,P00568,0.02157088947562182,
O15143,P02461,0.03199366339921731,
O15143,P02652,0.007357239867218265,
O15143,P04179,0.004312877958523312,
O15143,P05976,0.029346501512310514,
O15143,P06753,0.008121773964208314,
O15143,P07339,0.012785610832233443,
O15143,P12956,0.004123147590282518,
O15143,P13010,0.01602554347510834,
O15143,P15374,0.020414736981967444,
O15143,P18859,0.00949443942772931,
O15143,P21281,0.004629196922673204,
O15143,P23246,0.005724273296789217,
O15143,P26447,0.00015491958248865098,
O15143,P27816,0.017829171602315796,
O15143,P30085,0.01277401311275012,
O15143,P36957,0.00025087767778116647,
O15143,P37837,0.02570762000395803,
O15143,P40926,0.12258806753658194,
O15143,P42765,0.00385034049301936,
O15143,P49023,0.02952589409078607,
O15143,P53621,0.002888832141484533,
O15143,P56192,0.003679357703347719,
O15143,P61981,0.11194197256621649,
O15143,P62328,0.006747091216522878,
O15143,P62854,0.007566191709650986,
O15143,P62917,0.09350743491892362,
O15143,P63208,0.02430891076653876,
O15143,P63313,0.0953738027301789,
O15143,Q01995,0.0016374499543681854,
O15143,Q02218,0.002511844429053844,
O15143,Q02818,0.025308467544797167,
O15143,Q05682,0.04410182674781277,
O15143,Q07065,0.0011788041551273874,
O15143,Q07954,0.007467529551102756,
O15143,Q13263,0.006013111948665602,
O15143,Q14011,0.057387105133244215,
O15143,Q14444,0.0005987855674880585,
O15143,Q14767,0.0632175852932768,
O15143,Q15233,0.00770654730348745,
O15143,Q15843,0.010939022358380481,
O15143,Q7Z417,0.0695741791703433,
O15143,Q8WWI1,0.0014240156255959009,
O15143,Q96CW1,0.004950116881046083,
O15143,Q96HC4,0.03509990628578108,
O15143,Q9H0U4,0.02057023090072779,
O15143,Q9UHD8,0.016057450618310216,
O15143,Q9UMS6,0.0628847404645538,
O94925,O15143,0.019401774682492417,
O94925,P00568,0.006000089478077137,
O94925,P02461,0.008675306330201414,
O94925,P02652,0.0015947032440765286,
O94925,P04179,0.010868094102009555,
O94925,P05976,0.00804747085177498,
O94925,P06753,0.006069115466411854,
O94925,P07339,0.01823914140120435,
O94925,P12956,0.010141874280523112,
O94925,P13010,0.011930618400252899,
O94925,P15374,0.010425669964355705,
O94925,P18859,0.011914878406466364,
O94925,P21281,0.013478554044671923,
O94925,P23246,0.014018685807625471,
O94925,P26447,0.015214848841536883,
O94925,P27816,0.04366054849544538,
O94925,P30085,0.019144996654204247,
O94925,P36957,0.01898211123896866,
O94925,P37837,0.039307130337561565,
O94925,P40926,0.06215508382371094,
O94925,P42765,0.002744897625575146,
O94925,P49023,0.02083673160741639,
O94925,P53621,0.019036420784497136,
O94925,P56192,0.03721417914338951,
O94925,P61981,0.0025350827416717623,
O94925,P62328,0.029735520160325032,
O94925,P62854,0.04124323088209537,
O94925,P62917,0.00502337220779175,
O94925,P63208,0.045046050037157455,
O94925,P63313,0.03048599980262451,
O94925,Q01995,0.0011811420960055386,
O94925,Q02218,0.030226665008013045,
O94925,Q02818,0.013081592504973812,
O94925,Q05682,0.00024778307113901965,
O94925,Q07065,0.014050053504116719,
O94925,Q07954,0.0020441034722910945,
O94925,Q13263,0.013714539577491002,
O94925,Q14011,0.035371400207002884,
O94925,Q14444,0.023624285081017226,
O94925,Q14767,0.042299902334393236,
O94925,Q15233,0.01870766198912974,
O94925,Q15843,0.00931711234193051,
O94925,Q7Z417,0.03778426844120817,
O94925,Q8WWI1,0.014444866903543787,
O94925,Q96CW1,0.025713404765200742,
O94925,Q96HC4,0.04674655963346611,
O94925,Q9H0U4,0.02143157366400562,
O94925,Q9UHD8,0.055273548762412215,
O94925,Q9UMS6,0.029285232335396236,
P00568,O15143,0.0002706547002482934,
P00568,O94925,0.058187216120946766,
P00568,P02461,0.020959821490202004,
P00568,P02652,0.09142142158659528,
P00568,P04179,0.04027867830415212,
P00568,P05976,0.005115937059533163,
P00568,P06753,0.01918276370656042,
P00568,P07339,0.012406975570849825,
P00568,P12956,0.007674792100533346,
P00568,P13010,0.0034578951225539925,
P00568,P15374,0.004534344125943771,
P00568,P18859,0.041453563154921144,
P00568,P21281,0.0012693210239684313,
P00568,P23246,0.004258079677731154,
P00568,P26447,0.024692689295823054,
P00568,P27816,0.008751552749893601,
P00568,P30085,0.00018964561001723202,
P00568,P36957,0.013420862450261202,
P00568,P37837,0.004452486989585575,
P00568,P40926,0.002849413150010432,
P00568,P42765,0.00254285570372445,
P00568,P49023,0.017905479103684147,
P00568,P53621,0.02483799828761497,
P00568,P56192,0.02379578215989383,
P00568,P61981,0.034171169773599123,
P00568,P62328,0.01758429858576457,
P00568,P62854,0.0012795199119464225,
