Regulator,Target,Weight,Sign
O15143,O94925,0.029712688446435428,
O15143,P02652,0.030793487589314925,
O15143,P04179,0.009893046970909652,
O15143,P12956,0.039398242425979196,
O15143,P18859,0.012714846202966746,
O15143,P21281,0.0013282855512514727,
O15143,P26022,0.05101215130175524,
O15143,P26447,0.05014024569741564,
O15143,P30085,0.1441038911598023,
O15143,P35222,0.06512739114426587,
O15143,P36957,0.029951033416246102,
O15143,P38606,0.012015809929939218,
O15143,P40926,0.014562607581364658,
O15143,P42765,0.03502025382658605,
O15143,P56192,0.011192982339501436,
O15143,P61981,0.03360355577971166,
O15143,P62854,0.005523295426394634,
O15143,P62917,0.013187260715680686,
O15143,Q02218,0.008672682992316052,
O15143,Q02818,0.04084316312934057,
O15143,Q07065,0.048330941356226766,
O15143,Q07866,0.03790900743130778,
O15143,Q07954,0.012874696784555271,
O15143,Q13162,0.011561566656458435,
O15143,Q14011,0.03191766641226819,
O15143,Q15459,0.041617014509747995,
O15143,Q15843,0.005206082903138965,
O15143,Q96L92,0.011818515572715039,
O15143,Q9H0U4,0.05227704617529707,
O15143,Q9UHD8,0.03593978293462605,
O15143,Q9UJZ1,0.03263303314972024,
O15143,Q9UNH7,0.017649118131905263,
O15143,Q9Y3D6,0.007680844387872116,
O94925,O15143,0.08633107737700899,
O94925,P02652,0.011831895483117619,
O94925,P04179,0.03886633460437683,
O94925,P12956,0.019063184635759945,
O94925,P18859,0.07635875243776793,
O94925,P21281,0.010284730011502988,
O94925,P26022,0.08480563143927389,
O94925,P26447,0.03190754782879619,
O94925,P30085,0.038777663189068744,
O94925,P35222,0.05024326232836857,
O94925,P36957,0.04864805876650751,
O94925,P38606,0.010750521279519542,
O94925,P40926,0.03988516422729592,
O94925,P42765,0.010247671194290002,
O94925,P56192,0.04109918046499626,
O94925,P61981,0.013624914157442365,
O94925,P62854,0.0006913290818121572,
O94925,P62917,0.03840852763925092,
O94925,Q02218,0.001239171882522003,
O94925,Q02818,0.055261862764444586,
O94925,Q07065,0.023130500504171186,
O94925,Q07866,0.0013638518861618933,
O94925,Q07954,0.0011633366559311153,
O94925,Q13162,0.010036563788175197,
O94925,Q14011,0.0021341091170789727,
O94925,Q15459,0.06945710182260216,
O94925,Q15843,0.0016270621816694543,
O94925,Q96L92,0.0015152689971389658,
O94925,Q9H0U4,0.03794393870438894,
O94925,Q9UHD8,0.05072373759718565,
O94925,Q9UJZ1,0.002387518261271712,
O94925,Q9UNH7,0.01288315142166468,
O94925,Q9Y3D6,0.0010133863084911402,
P02652,O15143,0.0020027847409386113,
P02652,O94925,0.05628943072955532,
P02652,P04179,0.010757072344579075,
P02652,P12956,0.017912733789529577,
P02652,P18859,0.018587449588953767,
P02652,P21281,0.011652353649865619,
P02652,P26022,0.05311413914555451,
P02652,P26447,0.001873413190470036,
P02652,P30085,0.03347115389420356,
P02652,P35222,0.020241518031313403,
P02652,P36957,0.0014059942094459463,
P02652,P38606,0.031665952685624534,
P02652,P40926,0.04863891512588589,
P02652,P42765,0.03602491861447957,
P02652,P56192,0.1269367165490121,
P02652,P61981,0.04096495825848373,
P02652,P62854,0.04404210768898447,
P02652,P62917,0.009754095717820016,
P02652,Q02218,0.0007848533397085203,
P02652,Q02818,0.029318934274154582,
P02652,Q07065,0.022297495146349728,
P02652,Q07866,0.010785009944153929,
P02652,Q07954,0.04167713374555139,
P02652,Q13162,0.026346121303200715,
P02652,Q14011,0.0020996730320248414,
