Regulator,Target,Weight,Sign
O15143,O94925,0.06844334626175919,
O15143,P02652,0.15213416183938033,
O15143,P04179,0.02621103821252779,
O15143,P12956,0.002774095319706254,
O15143,P18859,0.007302600370777212,
O15143,P21281,0.027895390244807926,
O15143,P26022,0.009613485566051447,
O15143,P26447,0.00021078403269825789,
O15143,P30085,0.013554294231463123,
O15143,P35222,0.019615165879781918,
O15143,P36957,0.013834273356440012,
O15143,P38606,0.0059162515011747996,
O15143,P40926,0.11036584761565656,
O15143,P42765,0.01210515502368183,
O15143,P56192,0.0016244082450265795,
O15143,P61981,0.08282111948292789,
O15143,P62854,0.004258740871737194,
O15143,P62917,0.08031121062174709,
O15143,Q02218,0.02778992685317131,
O15143,Q02818,0.008289990590667873,
O15143,Q07065,0.003304770809160285,
O15143,Q07866,0.030615552102870255,
O15143,Q07954,0.013320271526643895,
O15143,Q13162,0.009179802473302537,
O15143,Q14011,0.09966060652129974,
O15143,Q15459,0.023459980302984445,
O15143,Q15843,0.014644896379700314,
O15143,Q96L92,0.01812211024143047,
O15143,Q9H0U4,0.005890686567487122,
O15143,Q9UHD8,0.021792274329595438,
O15143,Q9UJZ1,0.005310441538646459,
O15143,Q9UNH7,0.006811977840862444,
O15143,Q9Y3D6,0.0295129653949528,
O94925,O15143,0.026573041950184208,
O94925,P02652,0.01218599678925176,
O94925,P04179,0.012757083571008635,
O94925,P12956,0.03412306583298756,
O94925,P18859,0.03674823899714436,
O94925,P21281,0.007440120793589555,
O94925,P26022,0.08112364787848993,
O94925,P26447,0.027222568523825163,
O94925,P30085,0.010211825118274311,
O94925,P35222,0.040010509531649294,
O94925,P36957,0.008605904047088778,
O94925,P38606,0.018694877801059807,
O94925,P40926,0.026438055578700548,
O94925,P42765,0.010745574804800439,
O94925,P56192,0.03126325143734211,
O94925,P61981,0.003927143585934069,
O94925,P62854,0.1078162754745878,
O94925,P62917,0.002230202046991608,
O94925,Q02218,0.026375584085212313,
O94925,Q02818,0.06122799060477477,
O94925,Q07065,0.020213947060813975,
O94925,Q07866,0.11214966570893159,
O94925,Q07954,0.0059146130035676436,
O94925,Q13162,0.02691139176227098,
O94925,Q14011,0.05507970385615061,
O94925,Q15459,0.015281542986305343,
O94925,Q15843,0.004285542366374022,
O94925,Q96L92,0.0009780938897124226,
O94925,Q9H0U4,0.006191748428504868,
O94925,Q9UHD8,0.04284270339789298,
O94925,Q9UJZ1,0.023718447020175448,
