Regulator,Target,Weight,Sign
O15143,O94925,0.02553890138342575,
O15143,P02652,0.0049752781383370324,
O15143,P04179,0.019705962293520694,
O15143,P12956,0.12543062407565098,
O15143,P18859,0.003664990196098079,
O15143,P21281,0.019653743612513236,
O15143,P26022,0.01795304115487718,
O15143,P26447,0.016523876933082965,
O15143,P30085,0.044132199141144225,
O15143,P35222,0.006411602506689976,
O15143,P36957,0.02712549942603391,
O15143,P38606,0.010891221670133108,
O15143,P40926,0.03052147106148149,
O15143,P42765,0.008285187209135295,
O15143,P56192,0.002645314483260674,
O15143,P61981,0.020169236294297763,
O15143,P62854,0.00656986856199298,
O15143,P62917,0.026389839309047057,
O15143,Q02218,0.0002690336831039725,
O15143,Q02818,0.008796799485216156,
O15143,Q07065,0.053647626728880037,
O15143,Q07866,0.018183160266564306,
O15143,Q07954,0.02024957280795669,
O15143,Q13162,0.01699948088705539,
O15143,Q14011,0.06064986913915394,
O15143,Q15459,0.033950228708918236,
O15143,Q15843,0.0144823084005423,
O15143,Q96L92,0.014858328569583724,
O15143,Q9H0U4,0.0007354766463177615,
O15143,Q9UHD8,0.09431596522719053,
O15143,Q9UJZ1,0.059965001586461994,
O15143,Q9UNH7,0.008919066705171372,
O15143,Q9Y3D6,0.0075350190843460774,
O94925,O15143,0.022508542042006145,
O94925,P02652,0.01502145866668382,
O94925,P04179,0.021567728980439394,
O94925,P12956,0.10945424734077498,
O94925,P18859,0.04039119932926213,
O94925,P21281,0.008850144403089307,
O94925,P26022,0.03780871103761041,
O94925,P26447,0.032526306492316394,
O94925,P30085,0.022868871587123765,
O94925,P35222,0.03824126859187648,
O94925,P36957,0.07967310700156979,
O94925,P38606,0.012893863490071999,
O94925,P40926,0.028196642214584202,
O94925,P42765,0.002634225290750272,
O94925,P56192,0.06853495899721167,
O94925,P61981,0.006264088249043726,
O94925,P62854,0.02681804743660842,
O94925,P62917,0.04841387407998418,
O94925,Q02218,0.007065967676565122,
O94925,Q02818,0.019633596387346065,
O94925,Q07065,0.08252313172744707,
O94925,Q07866,0.06701923225178721,
O94925,Q07954,0.006132060609061494,
O94925,Q13162,0.0021939727641968844,
O94925,Q14011,0.014407483080899295,
O94925,Q15459,0.06750070897596819,
O94925,Q15843,0.022805921358191407,
O94925,Q96L92,0.0024408054397656942,
O94925,Q9H0U4,0.049095623519424425,
O94925,Q9UHD8,0.03296772158851129,
O94925,Q9UJZ1,0.014688009625298615,
O94925,Q9UNH7,0.00873431049615986,
O94925,Q9Y3D6,0.0014969052963144825,
P02652,O15143,0.0635996267406595,
P02652,O94925,0.07130704020958047,
P02652,P04179,0.04491682713504148,
P02652,P12956,0.038596843939093815,
P02652,P18859,0.016768413094634067,
P02652,P21281,0.012958361786820437,
P02652,P26022,0.04457604215516173,
P02652,P26447,0.005560343509022327,
P02652,P30085,0.03771122224330247,
P02652,P35222,0.05649912879462765,
P02652,P36957,0.06752848832447024,
P02652,P38606,0.005324773677675348,
P02652,P40926,0.009978693822986459,
P02652,P42765,0.0019488242988481713,
P02652,P56192,0.040031111341475974,
P02652,P61981,0.036572523357033926,
P02652,P62854,0.034277359313328516,
P02652,P62917,0.05110357654767653,
P02652,Q02218,0.07969510350716963,
P02652,Q02818,0.011310426791072699,
P02652,Q07065,0.0007881094182941394,
P02652,Q07866,0.010863078046400397,
P02652,Q07954,0.13664815805247177,
P02652,Q13162,0.04011017090665419,
P02652,Q14011,0.10183860602435364,
P02652,Q15459,0.06494184261280397,
P02652,Q15843,0.0747420185946932,
P02652,Q96L92,0.034633179294651595,
P02652,Q9H0U4,0.034439920044845716,
P02652,Q9UHD8,0.0009100919597182306,
P02652,Q9UJZ1,0.07703702353036368,
P02652,Q9UNH7,0.02229730557506402,
P02652,Q9Y3D6,0.008974452460136227,
P04179,O15143,0.11128972590079224,
P04179,O94925,0.028167855459534034,
P04179,P02652,0.00837337594075165,
P04179,P12956,0.01940119677300025,
P04179,P18859,0.02639936367354497,
P04179,P21281,0.02273133159756808,
P04179,P26022,0.031217911962672883,
P04179,P26447,0.0060197327028717615,
P04179,P30085,0.02143021140501432,
P04179,P35222,0.007194242045012212,
P04179,P36957,0.06914983126331488,
P04179,P38606,0.0039018315192444037,
P04179,P40926,0.008531458115551432,
P04179,P42765,0.017907489467627706,
P04179,P56192,0.03851865418247008,
P04179,P61981,0.049508012609744016,
P04179,P62854,0.027862201021904717,
P04179,P62917,0.07963675076835895,
P04179,Q02218,0.10671316860804601,
P04179,Q02818,0.027609425298139357,
P04179,Q07065,0.0024272051598521333,
P04179,Q07866,0.023207457365414023,
P04179,Q07954,0.03708247010195937,
P04179,Q13162,0.020797198331811408,
P04179,Q14011,0.028145931278546543,
P04179,Q15459,0.0041995350271996044,
P04179,Q15843,0.023380315839773746,
P04179,Q96L92,0.015375889239047624,
P04179,Q9H0U4,0.018888126668695302,
P04179,Q9UHD8,0.0064993997287174235,
P04179,Q9UJZ1,0.0270357207151059,
P04179,Q9UNH7,0.019706220870200016,
P04179,Q9Y3D6,0.003331626074390565,
P12956,O15143,0.042972012375871456,
P12956,O94925,0.15171151373387332,
P12956,P02652,0.08051663284769382,
P12956,P04179,0.015639031261476696,
P12956,P18859,0.10626583305656429,
P12956,P21281,0.016542148714047723,
P12956,P26022,0.09710352570449507,
P12956,P26447,0.04937348790392719,
P12956,P30085,0.07459772187023218,
P12956,P35222,0.1020420856703071,
P12956,P36957,0.138211993980748,
P12956,P38606,0.03433809517734891,
P12956,P40926,0.045008550645163146,
P12956,P42765,0.024151199387920912,
P12956,P56192,0.1268941327668931,
P12956,P61981,0.061027537494149485,
P12956,P62854,0.031061750763894,
P12956,P62917,0.10485874268957128,
P12956,Q02218,0.008153129986955783,
P12956,Q02818,0.02297837929109066,
P12956,Q07065,0.1889456675412615,
P12956,Q07866,0.10439552876155284,
P12956,Q07954,0.09619100676608733,
P12956,Q13162,0.021997400630168935,
P12956,Q14011,0.06334779130899884,
P12956,Q15459,0.08613927381579274,
P12956,Q15843,0.07010563102520738,
P12956,Q96L92,0.009865727202703687,
P12956,Q9H0U4,0.047298117185375285,
P12956,Q9UHD8,0.05949605352777726,
P12956,Q9UJZ1,0.039407131763132756,
P12956,Q9UNH7,0.011194083533492357,
P12956,Q9Y3D6,0.014408585105119814,
P18859,O15143,0.04506011523267496,
P18859,O94925,0.02543359228612822,
P18859,P02652,0.027738470216468893,
P18859,P04179,0.023563293016947148,
P18859,P12956,0.05951970478071211,
P18859,P21281,0.013078456023862475,
P18859,P26022,0.021740020632584924,
P18859,P26447,0.015104402850019608,
P18859,P30085,0.022582298373335256,
P18859,P35222,0.003703687741722514,
P18859,P36957,0.051004691298688114,
P18859,P38606,0.003765134417661397,
P18859,P40926,0.009577632292880668,
P18859,P42765,0.009837034328188974,
P18859,P56192,0.04985100975769888,
P18859,P61981,0.019620142041855616,
P18859,P62854,0.0027437731057915545,
P18859,P62917,0.06766310559404755,
P18859,Q02218,0.03265184707850005,
P18859,Q02818,0.01143381360908291,
P18859,Q07065,0.05618719544003272,
P18859,Q07866,0.04214915476193182,
P18859,Q07954,0.004989583182723262,
P18859,Q13162,0.026583572388558966,
P18859,Q14011,0.0018991648710043078,
P18859,Q15459,0.008180916001860444,
P18859,Q15843,0.0015924591301947522,
P18859,Q96L92,0.004200579342849002,
P18859,Q9H0U4,0.02668332234910848,
P18859,Q9UHD8,0.04302172958786926,
P18859,Q9UJZ1,0.014097239656697442,
P18859,Q9UNH7,0.00842485549566579,
