Regulator,Target,Weight
O15143,P05787,1.561765256762802
O15143,P05976,0.9662134208860739
O15143,P07339,0.9007834470484003
O15143,P13667,1.4271930587147565
O15143,P14174,1.018454901405153
O15143,P14314,1.5759606121502887
O15143,P14866,1.394494036288318
O15143,P17096,0.6094290717283396
O15143,P31949,0.7425788415764653
O15143,P37837,0.9925221610706745
O15143,P56192,1.1710959807371246
O15143,P60903,0.6751036820121816
O15143,P62328,1.3061098590486968
O15143,P62854,1.6282445419599327
O15143,P62888,1.0788512857651305
O15143,P63208,1.1928601788423339
O15143,Q01995,0.7781243646588283
O15143,Q02790,1.6253004768761214
O15143,Q07065,0.9020726807117823
O15143,Q14011,1.2049748907137454
O15143,Q16629,0.9370363051011866
O15143,Q6NYC8,1.0636242981667958
O15143,Q7Z417,1.4004861656055674
O15143,Q92804,1.2590543019483695
O15143,Q99439,1.4259178951001323
O15143,Q99613,1.2511340445371502
O15143,Q99879,1.4607333474480035
O15143,Q9UMX0,1.2428203225634709
O15143,Q9UN86,1.145679937055767
O15143,mg,1.8731456674772176
P05787,O15143,1.328016228217321
P05787,P05976,1.2583875191640783
P05787,P07339,0.9813669770311158
P05787,P13667,1.3042684560692468
P05787,P14174,1.3146450197135657
P05787,P14314,1.2408602733217573
P05787,P14866,1.3790337694292683
P05787,P17096,1.7303542663231113
P05787,P31949,0.7038992966150789
P05787,P37837,1.7781684486437626
P05787,P56192,1.0013104791489418
P05787,P60903,1.7042970014172103
P05787,P62328,1.4456505490072185
P05787,P62854,1.0277123118084428
P05787,P62888,1.365931951284555
P05787,P63208,0.8381195988577039
P05787,Q01995,1.1495993043078923
P05787,Q02790,0.8032013802817296
P05787,Q07065,1.3771706128092882
P05787,Q14011,0.9845977921849964
P05787,Q16629,0.8806905228237148
P05787,Q6NYC8,0.9979913001094969
P05787,Q7Z417,1.5659286035580338
P05787,Q92804,0.812254273450342
P05787,Q99439,1.5150002702580356
P05787,Q99613,1.000161011189552
P05787,Q99879,2.1139448409683452
P05787,Q9UMX0,1.7296056732037646
P05787,Q9UN86,0.8872124463585939
P05787,mg,2.118454505460993
P05976,O15143,0.38949275016985313
P05976,P05787,1.1030993943093643
P05976,P07339,1.2376756570817207
P05976,P13667,1.1903334937922525
P05976,P14174,1.311511705269632
P05976,P14314,0.811564704099637
P05976,P14866,1.9268546563601112
P05976,P17096,0.9671165760518997
P05976,P31949,1.0806841917753274
P05976,P37837,0.6376951263950682
P05976,P56192,1.1866714948975594
P05976,P60903,1.6396107199821732
P05976,P62328,1.105861143238888
P05976,P62854,1.9591811715880183
P05976,P62888,1.0879550267372573
P05976,P63208,1.2226613591529196
P05976,Q01995,0.9159052602947106
P05976,Q02790,0.8983118052914406
P05976,Q07065,1.2471773837304512
P05976,Q14011,0.7886731202394602
P05976,Q16629,1.2547849792162045
P05976,Q6NYC8,1.149461237804569
P05976,Q7Z417,0.6649328318213911
P05976,Q92804,1.3149975263519094
P05976,Q99439,1.3785140169473187
P05976,Q99613,1.1018857730330702
P05976,Q99879,1.1979944459443188
P05976,Q9UMX0,1.4531897545906394
P05976,Q9UN86,1.3228870510490807
P05976,mg,0.6860306411882005
P07339,O15143,1.571568457511056
P07339,P05787,1.5874464247082416
P07339,P05976,1.0322036760551145
P07339,P13667,0.9363821961177138
P07339,P14174,1.843385108634554
P07339,P14314,1.2425583323098581
P07339,P14866,0.925002843890932
P07339,P17096,1.5530743737242996
P07339,P31949,1.3130857253595298
P07339,P37837,1.0041515461339068
P07339,P56192,1.1491571456978442
P07339,P60903,1.402820421876386
P07339,P62328,1.0237518554161529
P07339,P62854,0.5568686517466371
P07339,P62888,1.2500078272902022
P07339,P63208,1.3639746155305275
P07339,Q01995,1.1725433385144064
P07339,Q02790,1.169051022885133
P07339,Q07065,0.9081220352978135
P07339,Q14011,1.2895795067128735
P07339,Q16629,0.9439884339407136
P07339,Q6NYC8,1.4013042077289373
P07339,Q7Z417,1.8206813793423209
P07339,Q92804,1.0278734393187832
P07339,Q99439,1.510346139056138
P07339,Q99613,1.2753808692517432
P07339,Q99879,0.8239238457221584
P07339,Q9UMX0,0.925028751073455
P07339,Q9UN86,1.6514707209223
P07339,mg,0.9201148160589776
P13667,O15143,0.9718519068483651
P13667,P05787,1.4687098943141854
P13667,P05976,1.0089530051706346
P13667,P07339,0.899127508547949
P13667,P14174,1.1132631040214707
P13667,P14314,1.261058643000676
P13667,P14866,1.2879391635474706
P13667,P17096,0.916033800198521
P13667,P31949,1.2071043068728946
P13667,P37837,1.186135232038206
P13667,P56192,1.4586503163395823
P13667,P60903,1.0069234991706146
P13667,P62328,1.2932203743332735
P13667,P62854,0.659429006670054
P13667,P62888,0.8984615879818335
P13667,P63208,0.955399207402213
