Regulator,Target,Weight
O15143,P05787,1.2858459577744137
O15143,P05976,1.1474349995721642
O15143,P07339,1.14279619727287
O15143,P13667,1.2853705856206448
O15143,P14174,1.5097063474603387
O15143,P14314,1.2974648658760537
O15143,P14866,1.1757715680171743
O15143,P17096,1.4133367294385872
O15143,P31949,1.2751261048929865
O15143,P37837,1.1816718627897342
O15143,P56192,1.22855066670483
O15143,P60903,1.256228598552787
O15143,P62328,1.3156735815139424
O15143,P62854,1.1462365681636721
O15143,P62888,1.1888793024980668
O15143,P63208,1.4319249511924692
O15143,Q01995,1.2334354845355366
O15143,Q02790,1.3057116639483268
O15143,Q07065,1.37229769423248
O15143,Q14011,1.2832024076923974
O15143,Q16629,1.2985467286255548
O15143,Q6NYC8,1.2887855357482403
O15143,Q7Z417,1.3716652105235614
O15143,Q92804,1.401591860837781
O15143,Q99439,1.343530932924747
O15143,Q99613,1.3151909829995767
O15143,Q99879,1.3540612536112275
O15143,Q9UMX0,1.310914585830902
O15143,Q9UN86,1.4368011877837616
P05787,O15143,1.008205595642031
P05787,P05976,1.2729043365598962
P05787,P07339,1.3026391697106023
P05787,P13667,1.3714125978857867
P05787,P14174,1.4700445781466291
P05787,P14314,1.1758669772841188
P05787,P14866,1.2140046803782543
P05787,P17096,1.338150695639931
P05787,P31949,1.1567065823263156
P05787,P37837,1.2988883716581885
P05787,P56192,1.4329715148690247
P05787,P60903,1.5269754265336557
P05787,P62328,1.2765142495276849
P05787,P62854,1.402060804829568
P05787,P62888,1.2546447572421795
P05787,P63208,1.2568877690255447
P05787,Q01995,1.2100644771414846
P05787,Q02790,1.2265108670104128
P05787,Q07065,1.157480449723202
P05787,Q14011,1.2422549257914657
P05787,Q16629,1.4343725073968812
P05787,Q6NYC8,1.394306012535444
P05787,Q7Z417,1.2007035273324347
P05787,Q92804,1.3005283373837162
P05787,Q99439,1.0878786116479544
P05787,Q99613,1.2928201982630028
P05787,Q99879,1.3489632273899335
P05787,Q9UMX0,1.1751322504068433
P05787,Q9UN86,1.200279216824462
P05976,O15143,1.253770970428751
P05976,P05787,1.188563925472212
P05976,P07339,1.2175062325226171
P05976,P13667,1.3687304659194393
P05976,P14174,1.153022390301086
P05976,P14314,1.2538908361802443
P05976,P14866,1.2315971155154264
P05976,P17096,1.1164906236424308
P05976,P31949,1.122144021062395
P05976,P37837,1.205250029372146
P05976,P56192,1.0847591802222936
P05976,P60903,1.2647889041339726
P05976,P62328,1.2873697572966203
P05976,P62854,1.2847528115897828
P05976,P62888,1.293181962554776
P05976,P63208,1.2725127044774456
P05976,Q01995,1.1528635505393523
P05976,Q02790,1.2397118756230414
P05976,Q07065,1.270786296146321
P05976,Q14011,1.2141642052358559
P05976,Q16629,1.2506713870420418
P05976,Q6NYC8,1.2012492199417362
P05976,Q7Z417,1.4239475071673018
P05976,Q92804,1.1641181431057297
P05976,Q99439,1.296239827301568
P05976,Q99613,1.1920143839520991
P05976,Q99879,1.285904650160336
P05976,Q9UMX0,1.1429320100421587
P05976,Q9UN86,1.2922626409822595
P07339,O15143,1.3281107221604558
P07339,P05787,1.1346162860770752
P07339,P05976,1.3166042196109038
P07339,P13667,1.2894966007348274
P07339,P14174,1.4276628755346448
P07339,P14314,1.2442647368353457
P07339,P14866,1.2190228290777338
P07339,P17096,1.1827754607158452
P07339,P31949,1.215667529749059
P07339,P37837,1.294714103861346
P07339,P56192,1.2348809813301775
P07339,P60903,1.2747218609265512
P07339,P62328,1.2539894398202902
P07339,P62854,1.2998944248090203
P07339,P62888,1.3330095989012332
P07339,P63208,1.2626950566376154
P07339,Q01995,1.119401666162462
P07339,Q02790,1.2921527718179247
P07339,Q07065,1.1804728109242284
P07339,Q14011,1.2594441887750178
P07339,Q16629,1.2104263584717325
P07339,Q6NYC8,1.2578590757414876
P07339,Q7Z417,1.3627912392053418
P07339,Q92804,1.2045241329209595
P07339,Q99439,1.3367820478486656
P07339,Q99613,1.3511026082861708
P07339,Q99879,1.2217564105185459
P07339,Q9UMX0,1.2866692715924566
P07339,Q9UN86,1.272401368168365
P13667,O15143,1.2545374289414593
P13667,P05787,1.2549285753546455
P13667,P05976,1.2596187654775763
P13667,P07339,1.2076183572051888
P13667,P14174,1.3524991718210109
P13667,P14314,1.0498559347408094
P13667,P14866,1.4003671826634647
P13667,P17096,1.222120765054307
P13667,P31949,1.2939008355747024
P13667,P37837,1.1277190702442617
P13667,P56192,1.2819376943312895
P13667,P60903,1.302507509955046
P13667,P62328,1.3670647406009249
P13667,P62854,1.2680388977645194
P13667,P62888,1.3276820239864378
P13667,P63208,1.2393704461315922
P13667,Q01995,1.1164163558572178
P13667,Q02790,1.3886191328965043
P13667,Q07065,1.0829642742954868
P13667,Q14011,1.4398840773525716
P13667,Q16629,1.1874070383621453
P13667,Q6NYC8,1.359132645091136
P13667,Q7Z417,1.1263902780670565
P13667,Q92804,1.3279021379155684
P13667,Q99439,1.1142753861072492
P13667,Q99613,1.30826341383476
P13667,Q99879,1.3008976917398132
P13667,Q9UMX0,1.204511657435353
P13667,Q9UN86,1.2011601166206562
P14174,O15143,1.350314876323106
P14174,P05787,1.2950879349932953
P14174,P05976,1.3055267628266731
P14174,P07339,1.2772055759229104
P14174,P13667,1.4275550628346934
P14174,P14314,1.2823386505628058
P14174,P14866,1.4305818437552917
P14174,P17096,1.2954362593474038
P14174,P31949,1.2448342997949078
P14174,P37837,1.0897603731139511
P14174,P56192,1.31983707677835
P14174,P60903,1.39302935719138
P14174,P62328,1.3259877782721492
P14174,P62854,0.9985707398788536
P14174,P62888,1.2588828360150983
P14174,P63208,1.0738739871503704
P14174,Q01995,1.1412820772635175
P14174,Q02790,1.4026139786802236
P14174,Q07065,1.1516272914602697
P14174,Q14011,1.2303212618991017
P14174,Q16629,1.3038997248320383
P14174,Q6NYC8,1.3740247483179322
P14174,Q7Z417,1.1284981968661205
P14174,Q92804,1.2275193774954218
P14174,Q99439,1.1376785082894854
P14174,Q99613,1.1558871691646477
P14174,Q99879,1.302832975179929
P14174,Q9UMX0,1.154672630103145
P14174,Q9UN86,1.2037269387423983
P14314,O15143,1.212024963546437
P14314,P05787,1.2307754259865724
P14314,P05976,1.2867191080749072
P14314,P07339,1.2940296765474357
P14314,P13667,1.157775201203493
P14314,P14174,1.2519971800659824
P14314,P14866,1.1915527587064465
P14314,P17096,1.330638647738813
P14314,P31949,1.2256877328531122
P14314,P37837,1.1822568162256952
P14314,P56192,1.1972871446927233
P14314,P60903,1.0813221284101528
P14314,P62328,1.2352945652987308
P14314,P62854,1.460754574535473
P14314,P62888,1.1201374374859565
P14314,P63208,1.3689152364388062
P14314,Q01995,1.2592752896948216
P14314,Q02790,1.2260616749303248
P14314,Q07065,1.2556856134795886
P14314,Q14011,1.2885127966183174
P14314,Q16629,1.2139819915496357
P14314,Q6NYC8,1.219414326342026
P14314,Q7Z417,1.2406015319680028
P14314,Q92804,1.231786617782274
P14314,Q99439,1.0781745060974666
P14314,Q99613,1.0621419574100412
P14314,Q99879,1.3664167468422161
P14314,Q9UMX0,1.1977603995882768
P14314,Q9UN86,1.275825698878507
P14866,O15143,1.2969786388483322
P14866,P05787,1.2696429753195166
P14866,P05976,1.3185084646687486
P14866,P07339,1.358159427106414
P14866,P13667,1.2128946431535994
P14866,P14174,1.2397271879463119
P14866,P14314,1.3239018959726614
P14866,P17096,1.413235530029541
P14866,P31949,1.1553509969422529
P14866,P37837,1.2629965227530282
P14866,P56192,1.1769704665833949
P14866,P60903,1.232455114448064
P14866,P62328,1.1786639534117465
P14866,P62854,1.5321995380925895
P14866,P62888,1.1374695559165686
P14866,P63208,1.2641096944346062
P14866,Q01995,1.3740125843495887
P14866,Q02790,1.1243284686101482
P14866,Q07065,1.1681442249710399
P14866,Q14011,1.1396143518996227
P14866,Q16629,1.168040067606878
P14866,Q6NYC8,1.2771213404917068
P14866,Q7Z417,1.0802538190619548
P14866,Q92804,1.2296999971612756
P14866,Q99439,1.3065966222634768
P14866,Q99613,1.2260925957894484
P14866,Q99879,1.1401090361917932
P14866,Q9UMX0,1.1973283326849407
