Regulator,Target,Weight
O00232,P04406,1.3171212715429923
O00232,P05783,1.5208115179257926
O00232,P05787,0.9946134237915649
O00232,P06748,1.078822394737181
O00232,P07339,0.8038615535070475
O00232,P09382,1.3639233948785363
O00232,P09936,0.9517151991647216
O00232,P13667,1.5040038708872963
O00232,P14174,1.0699929120950933
O00232,P14314,0.9950027240868901
O00232,P14866,1.192835723562093
O00232,P17174,0.9640918553885799
O00232,P18669,1.4155104307044353
O00232,P22061,2.0059057133941733
O00232,P23284,0.9143007128791097
O00232,P31949,1.5208539224667998
O00232,P40939,0.7016547237441259
O00232,P46777,0.8670041707713441
O00232,P47914,1.3358284133949359
O00232,P50579,1.433082333088137
O00232,P50914,0.8999629112900187
O00232,P55060,1.271914670435373
O00232,P60903,1.4304665686312819
O00232,P62805,1.2500832063369938
O00232,P62829,0.9861338802186085
O00232,P62854,1.4035890136895959
O00232,P62888,1.118681601744837
O00232,P68104,1.1128474230360568
O00232,P68371,1.1489568893535433
O00232,Q01518,1.3008162000633203
O00232,Q02790,1.4938713946066344
O00232,Q07065,1.2747312508201278
O00232,Q13177,1.357096984440355
O00232,Q13200,1.424568393904447
O00232,Q13263,0.7910776435160715
O00232,Q14019,0.7285642284602748
O00232,Q15233,1.2045916172118507
O00232,Q15365,1.3964482763706914
O00232,Q16629,1.9186578740449973
O00232,Q6NYC8,0.8117621755210743
O00232,Q7Z417,1.6541563501305547
O00232,Q92804,2.1833617674251617
O00232,Q96AC1,1.1077285975450315
O00232,Q99439,1.2769832301873811
O00232,Q99460,1.2432195779042137
O00232,Q99613,1.440687661475661
O00232,Q9NZM1,1.2053529308096789
O00232,Q9UMX0,1.2137559914620968
O00232,Q9Y2W1,1.548825790349132
P04406,O00232,1.6747913306125113
P04406,P05783,1.1554543098288823
P04406,P05787,2.2433367147141334
P04406,P06748,1.0346130520706072
P04406,P07339,1.3173615371429144
P04406,P09382,1.2807298431885912
P04406,P09936,1.5419013805572501
P04406,P13667,1.4820530986484053
P04406,P14174,0.7538787412869867
P04406,P14314,0.994187758837694
P04406,P14866,1.7077723258934554
P04406,P17174,1.082348068610625
P04406,P18669,1.0783064571360206
