Regulator,Target,Weight
O15143,O94925,1.4213514733615524
O15143,P05787,1.3870887536249783
O15143,P05976,1.6036857962707003
O15143,P06753,1.1149259126284514
O15143,P14174,1.1154596693354608
O15143,P17096,1.2367689332081107
O15143,P27816,1.0625054664146343
O15143,P31949,0.930738567111911
O15143,P37837,1.1402092032512332
O15143,P49023,1.9128180452132522
O15143,P56192,1.428751096554645
O15143,P60903,1.2559643802310376
O15143,P62328,1.5013119483419106
O15143,P62854,1.3717128105800673
O15143,P62888,0.770187675456401
O15143,P63208,1.3504855734101455
O15143,P81644,0.9747063889942005
O15143,Q01995,1.5272112022907316
O15143,Q02790,1.432998052777219
O15143,Q07065,1.4566965013271738
O15143,Q14011,1.6568719034528925
O15143,Q16181,1.2685852145949776
O15143,Q7Z417,0.6903318928729227
O15143,Q8WX93,1.3793024468073545
O15143,Q96HC4,1.8262337143268144
O15143,Q99439,1.0546493829686086
O15143,Q99879,1.5790208720180312
O15143,Q9UN86,1.314857196281376
O15143,Q9Y5S9,1.3291664003989399
O15143,mg,2.1138288269143906
O94925,O15143,1.1640731724417956
O94925,P05787,1.8078698744274493
O94925,P05976,1.0091007800497978
O94925,P06753,0.8640956422375989
O94925,P14174,1.2968977239783617
O94925,P17096,1.2778421933170532
O94925,P27816,0.7254284154170186
O94925,P31949,0.9719001751354137
O94925,P37837,0.8218463466634468
O94925,P49023,1.959682487204541
O94925,P56192,1.8844915039956482
O94925,P60903,1.2170394703928118
O94925,P62328,1.5468333587964005
O94925,P62854,1.1559167915343673
O94925,P62888,0.8948039279298647
O94925,P63208,1.629827804696823
O94925,P81644,1.5448356670078998
O94925,Q01995,1.304270817384606
O94925,Q02790,1.673718422215464
O94925,Q07065,1.8233518996282139
O94925,Q14011,0.9632330347566146
O94925,Q16181,1.63089027705694
O94925,Q7Z417,1.718785956372273
O94925,Q8WX93,2.1978214527319713
O94925,Q96HC4,0.9239093866802032
O94925,Q99439,1.4247579102696752
O94925,Q99879,1.3838269966824455
O94925,Q9UN86,1.0967192541231645
O94925,Q9Y5S9,1.1490088423696505
O94925,mg,1.6507117047040496
P05787,O15143,1.1756365794850654
P05787,O94925,1.0227153708035954
P05787,P05976,1.013242075672836
P05787,P06753,1.4156997814366326
P05787,P14174,1.3294488728992409
P05787,P17096,1.0230867702205713
P05787,P27816,1.3733391709833032
P05787,P31949,1.0489924953651182
P05787,P37837,1.1847656249127916
P05787,P49023,1.542365438368607
P05787,P56192,1.28619983771371
P05787,P60903,0.9866469433674165
P05787,P62328,0.752471305053883
P05787,P62854,1.6933554628181753
P05787,P62888,0.9065028181366911
P05787,P63208,0.9314212439258929
P05787,P81644,1.5415649168494971
P05787,Q01995,1.0673925527941646
P05787,Q02790,1.5016768308581123
P05787,Q07065,1.6007814532359066
P05787,Q14011,0.9271423095541161
P05787,Q16181,2.0164966334293255
P05787,Q7Z417,0.7237695484630082
P05787,Q8WX93,1.2950592631444224
P05787,Q96HC4,0.7976990949024007
P05787,Q99439,1.7725911311365632
P05787,Q99879,1.0811899890981005
P05787,Q9UN86,1.4952020878400982
P05787,Q9Y5S9,1.4249649405607934
P05787,mg,0.96814867860612
P05976,O15143,1.0439549568210245
P05976,O94925,1.7339206903321074
P05976,P05787,1.6893909768787125
P05976,P06753,0.8663269436901662
P05976,P14174,1.2153766067726133
P05976,P17096,1.7167252736056138
P05976,P27816,1.4771042940216579
P05976,P31949,1.721289157923756
P05976,P37837,0.987773640134634
P05976,P49023,1.144629401311517
P05976,P56192,2.0034977334271202
P05976,P60903,1.2353656615744435
P05976,P62328,2.2752028056482647
P05976,P62854,1.1944820005760841
P05976,P62888,1.8392502135975235
P05976,P63208,1.1446886965980507
P05976,P81644,0.7110615572297018
P05976,Q01995,1.276023556905922
P05976,Q02790,1.4147760949381456
P05976,Q07065,1.2760096157739942
P05976,Q14011,1.1512613095310564
P05976,Q16181,1.029892191416657
P05976,Q7Z417,1.3258940236428647
P05976,Q8WX93,1.37898668641006
P05976,Q96HC4,0.9946910405887873
P05976,Q99439,1.4910921302277287
P05976,Q99879,1.4261425281536018
P05976,Q9UN86,1.089142904782321
P05976,Q9Y5S9,0.8451370023243705
P05976,mg,1.379561817444838
P06753,O15143,0.8630679034514838
P06753,O94925,1.710271181218154
P06753,P05787,1.814879123917566
P06753,P05976,1.2477588422161712
P06753,P14174,1.526827322698985
P06753,P17096,1.6128540179354338
P06753,P27816,1.6975071739183485
P06753,P31949,1.1714398223602753
P06753,P37837,1.1002075071635713
P06753,P49023,1.0103015882374196
P06753,P56192,0.9207084406909114
P06753,P60903,0.7611453953050185
P06753,P62328,1.0785372054196993
P06753,P62854,1.2599858891240072
P06753,P62888,0.965698006805297
P06753,P63208,0.9829316926936839
P06753,P81644,1.1628412568044817
P06753,Q01995,1.258718884440367
P06753,Q02790,1.4827331874835878
P06753,Q07065,1.0930370802021205
P06753,Q14011,1.420235548617989
P06753,Q16181,1.064641893017035
P06753,Q7Z417,1.4946254743129932
P06753,Q8WX93,1.4046863059910943
P06753,Q96HC4,1.2792750325728846
P06753,Q99439,1.3935902688185888
P06753,Q99879,1.222546735422378
P06753,Q9UN86,1.8555859970150999
P06753,Q9Y5S9,1.2112756748293592
P06753,mg,1.7014197740289443
P14174,O15143,0.8990333406524286
P14174,O94925,1.5220654793052453
P14174,P05787,1.1007154410565083
P14174,P05976,1.076179303608475
P14174,P06753,1.5606136615525308
P14174,P17096,0.9738477820750464
P14174,P27816,1.7171412632583127
P14174,P31949,1.3554363099652382
P14174,P37837,1.3499483870221884
P14174,P49023,0.9771371477128795
P14174,P56192,1.0144137979004142
P14174,P60903,0.8662352415519233
P14174,P62328,1.5843701064301952
P14174,P62854,1.4238616758668061
P14174,P62888,1.081770944216421
P14174,P63208,1.1984431721233952
P14174,P81644,1.4099156554151917
P14174,Q01995,1.3348205452578659
P14174,Q02790,1.6095211655470714
P14174,Q07065,1.2976464655610738
P14174,Q14011,1.2867427139422944
P14174,Q16181,1.368000205545695
P14174,Q7Z417,1.060550456328947
