Regulator,Target,Weight
O15143,O94925,0.7544403203941584
O15143,P00568,1.2061118089074905
O15143,P02461,1.2407947891043398
O15143,P02652,1.30520452708727
O15143,P04179,1.352977600893666
O15143,P05976,1.0350959036400007
O15143,P06753,1.0589756929979235
O15143,P07339,0.9561514690058284
O15143,P12956,1.0814584407766565
O15143,P13010,1.8717017289409923
O15143,P15374,1.2027068102351408
O15143,P18859,1.0555174812951462
O15143,P21281,0.8380774484870537
O15143,P23246,0.9335747321371015
O15143,P26447,0.8686748608095837
O15143,P27816,1.4686521080379964
O15143,P30085,0.9246226876039929
O15143,P36957,2.1129826373913967
O15143,P37837,1.1341726700069814
O15143,P40926,0.9061040995997122
O15143,P42765,1.576561374481152
O15143,P49023,1.7455551115076902
O15143,P53621,0.8670405178782945
O15143,P56192,0.8772799936980841
O15143,P61981,1.606894322284513
O15143,P62328,1.1967300579463576
O15143,P62854,1.4951880570356832
O15143,P62917,1.2377294758471182
O15143,P63208,1.2951645798763063
O15143,P63313,1.2300460410540976
O15143,Q01995,1.2386734337967293
O15143,Q02218,2.170387677214842
O15143,Q02818,1.020123919541298
O15143,Q05682,1.2217467253751924
O15143,Q07065,0.8193912693635242
O15143,Q07954,1.6391372412531233
O15143,Q13263,2.1559065660048415
O15143,Q14011,1.4546205418260036
O15143,Q14444,1.4851256746891166
O15143,Q14767,1.0532734491719598
O15143,Q15233,0.9314885156247396
O15143,Q15843,1.3323808660755503
O15143,Q7Z417,1.1907888613700308
O15143,Q8WWI1,1.260936426457045
O15143,Q96CW1,1.5558842280491594
O15143,Q96HC4,0.8779069033363844
O15143,Q9H0U4,1.4009904426996713
O15143,Q9UHD8,1.1243584621881775
O15143,Q9UMS6,1.3687881360004526
O94925,O15143,0.8540329455852047
O94925,P00568,1.5052229814482811
O94925,P02461,1.3649264977203135
O94925,P02652,1.0183998176101414
O94925,P04179,1.720319504644148
O94925,P05976,1.5122971401251488
O94925,P06753,1.136336044744105
O94925,P07339,0.8485139921508396
O94925,P12956,1.5656674116643035
O94925,P13010,1.0600220515735155
O94925,P15374,1.3511931794740843
O94925,P18859,1.3522005434257995
O94925,P21281,1.0675732893091219
O94925,P23246,0.9954663388086109
O94925,P26447,0.9070014546066296
O94925,P27816,1.4129423283131326
O94925,P30085,1.1953674269418606
O94925,P36957,1.7201578278361036
O94925,P37837,1.2110935474397446
O94925,P40926,1.7735636809759192
O94925,P42765,1.3793137838742608
O94925,P49023,1.3755068930656589
O94925,P53621,1.3649265775662094
O94925,P56192,1.4584008923506497
O94925,P61981,0.9729857751595811
O94925,P62328,1.1034407825246162
O94925,P62854,1.1457155373064656
O94925,P62917,0.6259536737725913
O94925,P63208,1.5047717013542425
O94925,P63313,0.672584476289178
O94925,Q01995,1.368592534200446
O94925,Q02218,1.3831586524986936
O94925,Q02818,0.9627992264132029
O94925,Q05682,1.1396724834675038
O94925,Q07065,1.1573905518398035
O94925,Q07954,0.7040349368136587
O94925,Q13263,0.8416039145546138
O94925,Q14011,0.911433455278128
O94925,Q14444,0.7034702835714336
O94925,Q14767,1.4403117867242088
O94925,Q15233,1.3407715649767655
O94925,Q15843,1.0796874547652489
O94925,Q7Z417,1.0174491855348085
O94925,Q8WWI1,1.9020138851115447
O94925,Q96CW1,1.6325057415613302
O94925,Q96HC4,1.5307133366263854
O94925,Q9H0U4,1.092625922670765
O94925,Q9UHD8,1.0143254225822123
O94925,Q9UMS6,1.304392587965945
P00568,O15143,1.019662189753658
P00568,O94925,1.1453885587928716
P00568,P02461,1.2946062182033604
P00568,P02652,1.6936874813896998
P00568,P04179,1.0645079700432885
P00568,P05976,1.8246797207296261
P00568,P06753,1.2485074057555567
P00568,P07339,1.0758035197747966
P00568,P12956,2.0052773329036575
P00568,P13010,2.098842041960265
P00568,P15374,1.2989722255041039
P00568,P18859,2.020734341243311
P00568,P21281,1.6305097682088494
P00568,P23246,1.145519608616171
P00568,P26447,1.0803740180193042
P00568,P27816,1.3607712115865038
P00568,P30085,0.9666455558995468
P00568,P36957,1.068493375896274
P00568,P37837,0.944510699246272
P00568,P40926,1.265173304517587
P00568,P42765,0.7882654621232437
P00568,P49023,0.9898413848887572
P00568,P53621,0.9216355443802351
P00568,P56192,0.9911026259664112
P00568,P61981,1.340505939438694
P00568,P62328,2.3293697011193304
P00568,P62854,1.5022127354627908
P00568,P62917,1.4960755138032362
P00568,P63208,1.3769310419581164
P00568,P63313,1.2430249320106672
P00568,Q01995,0.9006002834304958
P00568,Q02218,1.3201585533693763
P00568,Q02818,1.3392902417024026
P00568,Q05682,0.9812721315364005
P00568,Q07065,1.0282181226902218
P00568,Q07954,1.1452677889820522
P00568,Q13263,1.127847638091526
P00568,Q14011,0.6071358853687061
P00568,Q14444,0.7313456665776356
P00568,Q14767,1.188792505468122
P00568,Q15233,0.9062783713478479
P00568,Q15843,0.8070507800705645
P00568,Q7Z417,0.9658463569916129
P00568,Q8WWI1,2.070600325865798
P00568,Q96CW1,1.1336036167572856
P00568,Q96HC4,1.4411645557962878
P00568,Q9H0U4,1.055041635671594
P00568,Q9UHD8,1.3994680473986612
P00568,Q9UMS6,1.0084615568953095
P02461,O15143,1.0595364858856815
P02461,O94925,1.039044227689161
P02461,P00568,1.276511020186676
P02461,P02652,1.4388438636955343
P02461,P04179,1.6645690576812247
P02461,P05976,1.027398680133754
P02461,P06753,1.4791645699878955
P02461,P07339,0.8973755142398196
P02461,P12956,0.9838695117770971
P02461,P13010,1.4493155991034317
P02461,P15374,1.6262823835138096
P02461,P18859,0.9584536726766528
P02461,P21281,1.5336625314939187
P02461,P23246,1.130097438766255
P02461,P26447,1.1717665872748835
P02461,P27816,1.559712928444106
P02461,P30085,1.5482115801192406
P02461,P36957,1.8004751590623251
P02461,P37837,1.0903886671245904
P02461,P40926,0.9469381169572907
P02461,P42765,1.3367092523298632
P02461,P49023,1.376077026690539
P02461,P53621,0.9978530923131629
P02461,P56192,1.4031939232981459
P02461,P61981,1.085498161120991
P02461,P62328,1.218025564302531
P02461,P62854,1.2456758539883528
P02461,P62917,1.1475998980101128
P02461,P63208,1.3373985397095491
P02461,P63313,1.1345203307978293
P02461,Q01995,1.5706861745092404
P02461,Q02218,1.6496306105138707
P02461,Q02818,1.232060658166366
P02461,Q05682,1.048003426546179
P02461,Q07065,1.4333749845845414
P02461,Q07954,1.3440226302760983
P02461,Q13263,0.8093903805041582
P02461,Q14011,0.9631087930558877
P02461,Q14444,1.6244616709034247
P02461,Q14767,1.2800893167488012
P02461,Q15233,1.0304521826635777
P02461,Q15843,1.3637558919061692
P02461,Q7Z417,1.132571085679449
P02461,Q8WWI1,1.023827543667714
P02461,Q96CW1,1.358987988929018
P02461,Q96HC4,1.1507616729962837
P02461,Q9H0U4,1.7089755973241885
P02461,Q9UHD8,0.8367031142433478
P02461,Q9UMS6,0.8275742866095527
P02652,O15143,1.268900968550738
P02652,O94925,0.9423830180027434
P02652,P00568,1.7448462068558204
P02652,P02461,0.9854298108925645
P02652,P04179,1.5838765693847308
P02652,P05976,1.4529646531170808
P02652,P06753,1.370829210745042
P02652,P07339,1.400036516419736
P02652,P12956,1.2790930222915926
P02652,P13010,1.6669430990098846
P02652,P15374,1.3872768120232737
P02652,P18859,0.8468556531017771
P02652,P21281,1.271231225958224
P02652,P23246,1.6090535818054146
P02652,P26447,1.650919447564279
P02652,P27816,0.6562162592634071
P02652,P30085,1.6194900648275699
P02652,P36957,0.8093006439398162
P02652,P37837,0.864730433882993
P02652,P40926,1.3672273653737743
P02652,P42765,0.8935058321338417
P02652,P49023,2.013657308754586
P02652,P53621,0.7741402142892757
P02652,P56192,0.6485518785449055
P02652,P61981,1.2800930833961648
P02652,P62328,1.2725679180800398
P02652,P62854,0.9082781822670662
P02652,P62917,1.1961732155390792
