source,target,Weight,Sign
O15143,P04179,1.866898385279634,
O15143,P18859,2.117958577899116,
O15143,P26022,1.893832059615228,
O15143,P62917,2.31219699355213,
O15143,Q02218,4.18786271670444,
O15143,Q15459,1.810365242045195,
O15143,Q9H0U4,1.933533499892912,
O94925,P36957,1.913248021273919,
P02652,P38606,1.8211960589743887,
P02652,P42765,2.2696281826627427,
P02652,Q07954,2.2630838128976394,
P02652,Q13162,2.1849522359218825,
P02652,Q96L92,1.970622973849214,
P02652,Q9UHD8,1.8225918482104289,
P02652,Q9UJZ1,2.971908756259023,
P04179,P18859,2.9773055210750328,
P04179,P26022,2.058926697717661,
P04179,P62854,2.2054858413031018,
P04179,Q02218,2.874814331059381,
P04179,Q07954,2.291383459387324,
P04179,Q13162,1.987577626442672,
P04179,Q9UJZ1,2.02217904833214,
P04179,Q9Y3D6,2.7800076482928606,
P12956,O94925,1.8337046587874293,
P12956,P26447,2.440946233672032,
P12956,P36957,2.0509238752440364,
P12956,Q14011,2.28935099599262,
P12956,Q15459,1.892033060634076,
P12956,Q9H0U4,1.8061185664952004,
P12956,Q9UHD8,2.6276684803563874,
P18859,O15143,2.20730579071205,
P18859,P04179,3.331464686792704,
P18859,P21281,1.8271946632917868,
P18859,P26022,2.676905689961792,
P18859,P30085,2.4609168285187697,
P18859,Q07866,2.1474598067552435,
P18859,Q9H0U4,1.860772261401434,
P21281,P04179,1.9560326147688287,
P21281,P18859,2.0715063307468333,
P21281,P38606,5.3429177865578215,
P21281,P62854,7.664693161018762,
P21281,Q07954,2.798307247083773,
P21281,Q13162,6.96652001555192,
P21281,Q15459,2.0738039140682965,
P21281,Q15843,4.934992426840228,
P21281,Q96L92,2.924048442499944,
P21281,Q9UNH7,4.345429275033049,
P26022,O15143,2.2858685938605525,
P26022,O94925,1.967140023450874,
P26022,P02652,1.927113782862288,
P26022,P04179,2.668194302754812,
P26022,P18859,3.100257929065229,
P26022,P30085,3.884139674154752,
P26022,P36957,2.09626511345333,
P26022,P56192,2.495537184491598,
P26022,Q07866,2.6091059010601483,
P26022,Q15843,2.6479731299006795,
P26022,Q96L92,1.942962648034162,
P26022,Q9H0U4,2.333420091991392,
P26022,Q9UHD8,1.980571937666696,
P26447,O94925,2.0224255931365764,
P26447,P12956,2.79432412011032,
P26447,P36957,2.55795490281149,
P26447,P40926,2.782106855908186,
P26447,P62917,1.818486181831484,
P26447,Q07065,2.1429559089531978,
P26447,Q14011,2.299414116976508,
P26447,Q15459,2.5844533922112944,
P26447,Q9H0U4,2.221534848256934,
P26447,Q9UHD8,1.938285711382144,
P26447,Q9UNH7,2.317565788551476,
P30085,P02652,2.2979275929673464,
P30085,P18859,2.312166508678748,
P30085,P26022,3.151027931068141,
P30085,P56192,2.016869872627576,
P30085,P61981,2.128009419623821,
P30085,Q07866,2.233876271070865,
P30085,Q9UHD8,2.617412537702638,
P35222,P61981,1.9129714299849183,
P36957,P12956,1.861063358483927,
P36957,P26447,2.0276170531270616,
P36957,P40926,2.063610204094117,
P36957,P56192,1.9635340742748884,
P36957,Q9H0U4,2.342220075948664,
P38606,P02652,3.1017944335651726,
P38606,P21281,5.39427563391817,
P38606,P42765,4.253970084753862,
P38606,P62854,2.961520594920012,
P38606,P62917,1.9951642455411005,
P38606,Q02818,1.9088490572809511,
P38606,Q07065,1.8764805764932528,
P38606,Q07954,3.077127704768207,
P38606,Q13162,2.6343090426324203,
P38606,Q15843,3.1980345025085746,
P38606,Q96L92,3.53026124448442,
P38606,Q9UJZ1,2.3340890067028446,
P40926,P26447,2.0690005167273187,
P40926,P36957,1.936071570183062,
P40926,P62854,2.082680246626861,
P40926,Q07065,1.936676561699727,
P40926,Q07866,2.31795121642211,
P40926,Q15459,2.971083316199084,
P40926,Q9UNH7,3.279989224695284,
P40926,Q9Y3D6,1.9868925444930643,
P42765,P02652,2.679881781806995,
P42765,P38606,2.949164800600897,
P42765,P61981,3.237104221617166,
P42765,Q02818,2.745897580342683,
P42765,Q9UHD8,2.186074418732788,
P42765,Q9UJZ1,3.767841050354569,
P42765,Q9Y3D6,2.361349490855964,
P56192,O94925,1.892273595545913,
P56192,P26022,2.197064040519321,
P56192,P30085,2.188764999250268,
P56192,P36957,2.2906188065206776,
P56192,P40926,2.1754291895396003,
P56192,Q07866,2.4533622204706846,
P56192,Q96L92,1.8293821912637696,
P56192,Q9H0U4,2.010785396823426,
P56192,Q9UHD8,1.990441437925306,
P61981,P30085,2.0014228898323494,
P61981,P35222,2.1026349385639502,
P61981,P42765,3.604819046950965,
P61981,P62917,2.1152309105938625,
P61981,Q13162,2.345957654654601,
P61981,Q14011,2.047200718452849,
P61981,Q9UHD8,2.5073227285307977,
P61981,Q9UJZ1,1.9562151221333928,
P61981,Q9Y3D6,2.662061797977961,
P62854,P04179,2.5727250501575205,
P62854,P21281,7.048076617331073,
P62854,P38606,2.697341645263493,
P62854,P40926,2.647750750699476,
P62854,Q07065,2.4501054730426333,
P62854,Q07954,3.885746052449005,
P62854,Q13162,3.9662820963607937,
P62854,Q15459,2.328730563150142,
P62854,Q15843,2.7837768552237936,
P62854,Q9UNH7,2.1946442553014247,
P62854,Q9Y3D6,4.52699892771185,
P62917,O15143,1.864481288663812,
P62917,P61981,1.8520745094434137,
P62917,Q07065,3.0959207802566966,
P62917,Q07866,1.971948419288004,
P62917,Q96L92,1.8534606313174755,
P62917,Q9UHD8,2.0919100595674163,
Q02218,O15143,2.660464310745495,
Q02218,P04179,1.9608373595564648,
Q02218,Q07954,1.941912310865724,
Q02218,Q14011,1.850779298270611,
Q02218,Q96L92,2.0431275717415054,
Q02218,Q9UJZ1,2.364183979179817,
Q02818,P42765,3.0097443241264403,
Q02818,Q02218,2.3699769547660967,
Q02818,Q07954,1.8150885794619789,
Q02818,Q14011,2.337116389253665,
Q02818,Q15459,2.4326424054496787,
Q02818,Q15843,1.9537784441479265,
Q02818,Q9UNH7,2.866658181728963,
Q07065,P02652,1.883007299239176,
Q07065,P12956,1.8550400929312547,
Q07065,P26447,2.153540559170945,
Q07065,P38606,1.8166187790039423,
Q07065,P40926,2.6170385736045145,
Q07065,P62854,2.6042537959367182,
Q07065,P62917,4.4338142801958105,
Q07065,Q02218,2.449163437048141,
Q07065,Q07866,1.861000590477622,
Q07065,Q07954,1.871164405225428,
Q07065,Q13162,3.626145217613183,
Q07065,Q15459,2.586599036165274,
Q07065,Q96L92,5.79200549814809,
Q07065,Q9UHD8,1.981630850307889,
Q07065,Q9UJZ1,5.133685278008727,
Q07866,P30085,1.83800373681192,
Q07866,P40926,2.185198777509264,
Q07866,P56192,1.8600631618686547,
Q07866,P62917,1.9702295995814985,
Q07866,Q15843,1.9961226354014845,
Q07954,O15143,1.811814290866926,
Q07954,P02652,4.291701104660876,
Q07954,P04179,3.267670019943993,
Q07954,P21281,3.145738074702371,
Q07954,P38606,3.42624204042528,
Q07954,P42765,2.436568247794594,
Q07954,P62854,4.750351357271314,
Q07954,Q02218,4.060114329236178,
Q07954,Q02818,2.659625347881743,
Q07954,Q07065,2.1521113635861178,
Q07954,Q14011,3.1439097693756,
Q07954,Q15843,3.948460598068447,
Q07954,Q9UJZ1,4.355949177711352,
Q13162,P02652,2.297508980242477,
Q13162,P21281,4.34239665363296,
Q13162,P61981,1.8760643509893664,
Q13162,P62854,2.6885700640661123,
Q13162,Q07065,2.312514295492991,
Q13162,Q9UJZ1,1.9656019883404108,
Q13162,Q9Y3D6,2.094721450367333,
Q14011,Q02218,1.8169713340485527,
Q14011,Q15843,2.3061948864079045,
Q14011,Q96L92,2.69286306460474,
Q15459,P26447,1.9373027855930496,
Q15459,P40926,2.9947242293224536,
Q15459,P62854,1.846319033837337,
Q15459,Q02818,2.311729937874134,
Q15459,Q07065,1.92938141054362,
Q15459,Q96L92,1.813739884388352,
Q15843,P18859,1.9408397570276152,
Q15843,P21281,5.603020568962517,
Q15843,P26022,2.942971055381379,
Q15843,P30085,1.9408658276169075,
Q15843,P38606,3.596368860906824,
Q15843,P42765,2.881264472155228,
Q15843,P62854,3.437116898240093,
Q15843,Q02818,2.891388953727878,
Q15843,Q07866,3.323647425088862,
Q15843,Q07954,3.987827584031694,
Q15843,Q13162,2.108465731646019,
Q15843,Q14011,4.960435135440555,
Q15843,Q9UNH7,3.1851903702466,
Q96L92,P02652,2.826290217796712,
Q96L92,P21281,2.4859712919661154,
Q96L92,P38606,2.972786693512073,
Q96L92,P62917,2.3089163641593435,
Q96L92,Q02218,3.230639634597443,
Q96L92,Q07065,5.038092568870578,
Q96L92,Q14011,4.3372440440945,
Q96L92,Q15459,2.1150624855694087,
Q96L92,Q9UJZ1,3.8398166668174514,
Q9H0U4,O15143,1.8400487454012344,
Q9H0U4,P26022,1.8397582696286487,
Q9H0U4,P26447,1.8397114942753283,
Q9H0U4,P36957,2.4469846163649214,
Q9H0U4,Q07866,1.9102101431651,
Q9UHD8,O94925,1.8641367792099823,
Q9UHD8,P02652,3.0628444176261844,
Q9UHD8,P12956,3.080976845542766,
Q9UHD8,P26022,1.931350770515908,
Q9UHD8,P26447,1.9852586226607487,
Q9UHD8,P30085,3.146192563777931,
Q9UHD8,P35222,1.904997518337057,
Q9UHD8,P42765,3.111283133161189,
Q9UHD8,P56192,2.2046582085602235,
Q9UHD8,P61981,3.204483523921978,
Q9UHD8,P62917,3.0534452952543067,
Q9UHD8,Q07065,2.0196784499104217,
Q9UHD8,Q14011,1.9835239387563444,
Q9UHD8,Q9Y3D6,3.3812490547231024,
Q9UJZ1,P02652,4.66255646239994,
Q9UJZ1,P04179,2.3857219648631527,
Q9UJZ1,P38606,2.150055819693465,
Q9UJZ1,P42765,5.006339357581441,
Q9UJZ1,P61981,2.334089670344738,
Q9UJZ1,Q02218,4.089307047467395,
Q9UJZ1,Q02818,1.8202230922234488,
Q9UJZ1,Q07065,4.88474432176211,
Q9UJZ1,Q07954,3.603650023609038,
Q9UJZ1,Q13162,2.9327088194969844,
Q9UJZ1,Q96L92,4.200354138888721,
Q9UJZ1,Q9Y3D6,2.233154174241829,
Q9UNH7,P21281,3.82317171896284,
Q9UNH7,P26447,2.096469950677242,
Q9UNH7,P36957,1.916315375030116,
Q9UNH7,P40926,3.989717952834422,
Q9UNH7,P62854,2.099807142523732,
Q9UNH7,Q02818,3.287475369200964,
Q9UNH7,Q14011,2.2934951675778823,
Q9UNH7,Q15459,2.0332050907797834,
Q9UNH7,Q15843,2.468259327523338,
Q9UNH7,Q9Y3D6,2.550002643898065,
Q9Y3D6,P02652,1.8777895587365896,
Q9Y3D6,P04179,2.4425806018163407,
Q9Y3D6,P40926,1.902578978462934,
Q9Y3D6,P42765,2.3366338913840243,
Q9Y3D6,P61981,2.36549344148584,
Q9Y3D6,P62854,3.409763075929667,
Q9Y3D6,Q02218,1.8710086440063445,
Q9Y3D6,Q13162,2.3275677588812163,
Q9Y3D6,Q9UHD8,2.350893584125972,
Q9Y3D6,Q9UNH7,2.007424251514434,
