Regulator,Target,Weight
O00232,P04406,1.6310283932364396
O00232,P05783,1.0878240462438422
O00232,P05787,0.7693540223589368
O00232,P06748,1.5229682065330703
O00232,P07339,1.1334120600046231
O00232,P09382,0.8684002672996906
O00232,P09936,1.1384649122473176
O00232,P13667,1.5633599818032067
O00232,P14174,0.788377441862297
O00232,P14314,0.9247631673294823
O00232,P14866,1.3314606667122526
O00232,P17174,0.9421564303355959
O00232,P18669,1.2710655699403934
O00232,P22061,1.1563560233677384
O00232,P23284,1.7744653037921896
O00232,P31949,0.5318151858493823
O00232,P40939,1.1308728663455045
O00232,P46777,0.26523929710008426
O00232,P47914,0.38756028413630866
O00232,P50579,0.8366134209440171
O00232,P50914,0.7541021326939018
O00232,P55060,1.186546821222582
O00232,P60903,1.4030526235547072
O00232,P62805,1.1823976815740933
O00232,P62829,1.3581345804197564
O00232,P62854,1.7538988127246642
O00232,P62888,1.0927719656705916
O00232,P68104,1.3821330268684202
O00232,P68371,1.526643957436329
O00232,Q01518,1.8489441173160934
O00232,Q02790,2.2832686784094727
O00232,Q07065,1.296705159190011
O00232,Q13177,0.6879409577295567
O00232,Q13200,1.4265272171940333
O00232,Q13263,1.6899472405089593
O00232,Q14019,1.1045275803413628
O00232,Q15233,1.754198172710492
O00232,Q15365,1.6413551101229082
O00232,Q16629,0.6238777527987446
O00232,Q6NYC8,1.969251462555919
O00232,Q7Z417,0.681153487442485
O00232,Q92804,0.5437457052456468
O00232,Q96AC1,1.6442952972891673
O00232,Q99439,0.2924898009933863
O00232,Q99460,1.428514338912622
O00232,Q99613,2.0488397608293893
O00232,Q9NZM1,1.114126761138059
O00232,Q9UMX0,2.082051978545761
O00232,Q9Y2W1,0.7598722891401207
P04406,O00232,1.0012645192279888
P04406,P05783,0.6321454082443143
P04406,P05787,1.0396841042145109
P04406,P06748,0.7554668390075792
P04406,P07339,1.1765133417999067
P04406,P09382,0.43767391539045297
P04406,P09936,1.3924479267215668
P04406,P13667,1.1131116744128013
P04406,P14174,1.0666543033380949
P04406,P14314,1.2899062766788407
P04406,P14866,0.5406790804764655
P04406,P17174,2.1993618126121013
P04406,P18669,1.7673512897943153
P04406,P22061,0.24952994736668596
P04406,P23284,1.584413589978425
P04406,P31949,5.128406995169665
P04406,P40939,1.624060792700252
P04406,P46777,1.9106247752065117
P04406,P47914,1.2841439675459112
P04406,P50579,0.6842960383185971
P04406,P50914,1.563918913755895
P04406,P55060,0.40907809231281167
P04406,P60903,1.3738474142260078
P04406,P62805,1.1511683169824625
P04406,P62829,0.16722318332575273
P04406,P62854,1.2623477662943503
P04406,P62888,1.3236054039828264
P04406,P68104,0.7778080258528699
P04406,P68371,0.3736341637485596
P04406,Q01518,1.4735678044734455
P04406,Q02790,0.4826835231973599
P04406,Q07065,2.675783937684234
P04406,Q13177,0.6556311893453596
P04406,Q13200,0.36463979177800887
P04406,Q13263,0.5662675426073319
P04406,Q14019,0.6659562281666979
P04406,Q15233,0.6918635355566294
P04406,Q15365,0.5406298610388264
P04406,Q16629,1.4863770711660644
P04406,Q6NYC8,1.1470869182338834
