Regulator,Target,Weight
O15143,O94925,1.2799376566583902
O15143,P05556,1.2580217922162784
O15143,P05787,0.6986194143249745
O15143,P05976,0.24689514036179036
O15143,P06753,2.101496229572358
O15143,P09104,1.0363415629402442
O15143,P09936,2.0175616598160517
O15143,P14174,0.46875934023217036
O15143,P14314,0.4740904112622162
O15143,P15374,0.7066975168786342
O15143,P16989,1.8507189676916014
O15143,P17096,1.174806389019002
O15143,P27635,0.4321360477790674
O15143,P27816,1.1654063156233303
O15143,P31949,1.4420240147305063
O15143,P37837,1.4568868020277963
O15143,P46778,1.2824150186515137
O15143,P49023,2.3124169914814554
O15143,P49756,3.964791893461657
O15143,P51911,0.22189654099949555
O15143,P53621,1.0375024147454976
O15143,P56192,0.2346408197508135
O15143,P60903,2.0840284732139653
O15143,P61981,2.3923036959876955
O15143,P62328,1.799917125514906
O15143,P62854,0.8667315778063188
O15143,P62888,1.517945494243146
O15143,P62917,2.5777757142601265
O15143,P63208,0.7997558487608775
O15143,P68104,1.5986997633125417
O15143,P81644,2.8083473079422148
O15143,Q01995,0.9351056639277603
O15143,Q02790,1.4745250945280806
O15143,Q05682,1.4624879665795667
O15143,Q07065,0.22700938809875912
O15143,Q07866,0.88076687934797
O15143,Q14011,1.8811930940343256
O15143,Q14195,0.9496911216401084
O15143,Q15459,1.2366386942574745
O15143,Q16181,1.576553117431042
O15143,Q7Z417,1.7125593577596447
O15143,Q7Z4V5,2.492115367292666
O15143,Q8WX93,0.9021638013051264
O15143,Q96HC4,0.7918785609072853
O15143,Q99439,0.7179745093261859
O15143,Q99613,1.0760995257284176
O15143,Q99879,0.8663819610295395
O15143,Q9UN86,2.283695246573305
O15143,Q9Y5S9,1.2453042402403953
O94925,O15143,0.7341751549653383
O94925,P05556,2.0094751290976336
O94925,P05787,0.8636957410343439
O94925,P05976,0.5704700722971235
O94925,P06753,0.6939371635719519
O94925,P09104,0.838255171575855
O94925,P09936,1.1017919308029316
O94925,P14174,0.6610038715939558
O94925,P14314,0.14974408687662713
O94925,P15374,0.4614601485946643
O94925,P16989,0.43501987402731174
O94925,P17096,1.9172023232857571
O94925,P27635,1.827235528390517
O94925,P27816,1.194764330541059
O94925,P31949,0.8690329012516792
O94925,P37837,0.4341401355171102
O94925,P46778,1.98901703500674
O94925,P49023,0.8279304680433929
O94925,P49756,1.2360996337127244
O94925,P51911,0.5297641019615974
O94925,P53621,1.3796912649831723
O94925,P56192,1.699844472144498
O94925,P60903,3.0580460021697142
O94925,P61981,1.1634293103554152
O94925,P62328,1.0554434779232758
O94925,P62854,3.135017574240885
O94925,P62888,2.1570766626111726
O94925,P62917,1.0687743806234689
O94925,P63208,2.7930375606082225
O94925,P68104,1.4668078967112932
O94925,P81644,0.3477763924743784
