,Regulator,Target,Weight,Sign
0,O94925,P00568,0.013585033094196404,
1,O94925,P04179,0.008882323661955188,
2,O94925,P06753,0.01170151223345862,
3,O94925,P07339,0.02170079634007348,
4,O94925,P12956,0.04177432025528187,
5,O94925,P13010,0.014136362892703725,
6,O94925,P15374,0.011219342523793979,
7,O94925,P18859,0.026657347256455032,
8,O94925,P21281,0.0029947178854221445,
9,O94925,P23246,0.04501724531648346,
10,O94925,P26022,0.06325605262846493,
11,O94925,P27816,0.032376678825532273,
12,O94925,P30048,0.001651487714888601,
13,O94925,P30085,0.000329001615647498,
14,O94925,P35222,0.046789658306187906,
15,O94925,P38606,0.019416535005176924,
16,O94925,P42765,0.01311646670922245,
17,O94925,P46379,0.034482263718658174,
18,O94925,P49756,0.010844371374963756,
19,O94925,P53621,0.0010457074464486976,
20,O94925,P61981,0.0004324028857428943,
21,O94925,P62328,0.01861729855863905,
22,O94925,P62854,0.10878493286731258,
23,O94925,P62906,0.03032831781672292,
24,O94925,P62913,0.00819094015390397,
25,O94925,P81644,0.003050032441899564,
26,O94925,Q01995,0.0023155361666279206,
27,O94925,Q02218,0.020795046057023515,
28,O94925,Q02818,0.017157113893031747,
29,O94925,Q07065,0.004604190089342056,
30,O94925,Q07866,0.07133784072336286,
31,O94925,Q07954,0.0029924229612223324,
32,O94925,Q13162,0.01677442338746981,
33,O94925,Q13263,0.04095068805330454,
34,O94925,Q14011,0.0102737418197115,
35,O94925,Q14444,0.019125308470682528,
36,O94925,Q15233,0.029601723459793283,
37,O94925,Q15459,0.0159630894118163,
38,O94925,Q15843,0.01150854134653615,
39,O94925,Q16629,0.021260829847760804,
40,O94925,Q7Z417,0.009254163177486865,
41,O94925,Q96HC4,0.01657214699312542,
42,O94925,Q96KR1,0.003315581202909842,
43,O94925,Q9UHD8,0.020752946708212996,
44,O94925,Q9UJZ1,0.018236496591980046,
45,O94925,Q9UMS6,0.01634265311480652,
46,O94925,Q9UNH7,0.0029248173177263232,
47,P00568,O94925,0.07414240399161563,
48,P00568,P04179,0.020717764397257657,
49,P00568,P06753,0.009634087190474455,
50,P00568,P07339,0.04709252066178267,
51,P00568,P12956,0.001587410546363468,
52,P00568,P13010,0.0022650864426079936,
53,P00568,P15374,0.037886871956743604,
54,P00568,P18859,0.027547443474776227,
55,P00568,P21281,0.045161800856525415,
56,P00568,P23246,0.018047180288132115,
57,P00568,P26022,0.017467980907329497,
58,P00568,P27816,0.01794757815129273,
59,P00568,P30048,0.010963403737330825,
60,P00568,P30085,0.00017566874582910851,
61,P00568,P35222,0.00987601411076436,
62,P00568,P38606,0.008233277183977938,
63,P00568,P42765,0.02594279184306709,
64,P00568,P46379,0.02182048587192063,
65,P00568,P49756,0.02984082771212295,
66,P00568,P53621,0.0004855017949642936,
67,P00568,P61981,0.011378960051156,
68,P00568,P62328,0.010082512647709915,
69,P00568,P62854,0.001624044534330464,
70,P00568,P62906,0.008806261042489282,
71,P00568,P62913,0.009841838922866667,
72,P00568,P81644,0.04597952700401198,
73,P00568,Q01995,0.002322803056347628,
74,P00568,Q02218,0.012271104753931785,
75,P00568,Q02818,0.0193804828825572,
76,P00568,Q07065,0.0002531314015206244,
77,P00568,Q07866,0.06256165332296038,
78,P00568,Q07954,0.004528306043495287,
79,P00568,Q13162,0.03133004812040123,
80,P00568,Q13263,0.053980201356577745,
81,P00568,Q14011,0.0013969733016445196,
82,P00568,Q14444,0.0569113040932529,
83,P00568,Q15233,0.0761574783263566,
84,P00568,Q15459,0.0022958480978562505,
85,P00568,Q15843,0.011375544081087385,
86,P00568,Q16629,0.0012008427882379956,
87,P00568,Q7Z417,0.03932901782685755,
88,P00568,Q96HC4,0.003180289293624729,
89,P00568,Q96KR1,0.038570700729782914,
90,P00568,Q9UHD8,0.012038830399708393,
91,P00568,Q9UJZ1,0.011590676941158874,
92,P00568,Q9UMS6,0.028162120142544683,
93,P00568,Q9UNH7,0.0014593295145781436,
94,P04179,O94925,0.021414458409771502,
95,P04179,P00568,0.0026943552619019427,
96,P04179,P06753,0.005759792529938361,
97,P04179,P07339,0.024868247305768178,
98,P04179,P12956,0.030693790786916364,
99,P04179,P13010,0.07957832413049036,
100,P04179,P15374,0.0025504744140842444,
101,P04179,P18859,0.012829248510801647,
102,P04179,P21281,0.01607482052894605,
103,P04179,P23246,0.0377089398083778,
104,P04179,P26022,0.039338173113302836,
105,P04179,P27816,0.004232328071783122,
106,P04179,P30048,0.020690932871099042,
107,P04179,P30085,0.006499688610057749,
108,P04179,P35222,0.0146311722231716,
109,P04179,P38606,0.005481850684206901,
110,P04179,P42765,0.10528355949643455,
111,P04179,P46379,0.034696399296760945,
112,P04179,P49756,0.011601938936751348,
113,P04179,P53621,0.02279806593724773,
114,P04179,P61981,0.020879069339440674,
115,P04179,P62328,0.01248941489851551,
116,P04179,P62854,0.0011873936208005734,
117,P04179,P62906,0.0044452437767480415,
118,P04179,P62913,0.0652051881746683,
119,P04179,P81644,0.008985237178125842,
120,P04179,Q01995,0.05598663336073116,
121,P04179,Q02218,0.013899864870161713,
122,P04179,Q02818,0.003483983625535903,
123,P04179,Q07065,0.008067530288962163,
124,P04179,Q07866,0.011998536961262804,
125,P04179,Q07954,0.02096435306115004,
126,P04179,Q13162,0.009797182716576536,
127,P04179,Q13263,0.009887966003638138,
128,P04179,Q14011,0.011618351430743261,
129,P04179,Q14444,0.0325973756041595,
130,P04179,Q15233,0.031488187954380825,
131,P04179,Q15459,0.013711810612481152,
132,P04179,Q15843,0.021799230770514787,
133,P04179,Q16629,0.002728978908873335,
134,P04179,Q7Z417,0.01532653786172799,
135,P04179,Q96HC4,0.006924447472558517,
136,P04179,Q96KR1,0.0034835811530066776,
137,P04179,Q9UHD8,0.0034505100329311257,
138,P04179,Q9UJZ1,0.00944001080517822,
139,P04179,Q9UMS6,0.01390306326198584,
140,P04179,Q9UNH7,0.02813337552443394,
141,P06753,O94925,0.013821514419982904,
142,P06753,P00568,0.00020758559080811284,
143,P06753,P04179,0.02149342712115153,
144,P06753,P07339,0.0015572749059319106,
145,P06753,P12956,0.056802295483631235,
146,P06753,P13010,0.05141088764163799,
147,P06753,P15374,0.0055036063411939215,
148,P06753,P18859,0.004780239552396866,
149,P06753,P21281,0.0189601801558912,
150,P06753,P23246,0.0745146063602317,
151,P06753,P26022,0.004924206888273065,
152,P06753,P27816,0.0008121058178749479,
153,P06753,P30048,0.0065056997504555686,
154,P06753,P30085,0.0016496232209519525,
155,P06753,P35222,0.004197118339221922,
156,P06753,P38606,0.0009405096377756921,
157,P06753,P42765,0.07664412279184178,
158,P06753,P46379,0.012100480385554656,
159,P06753,P49756,0.003924163448807503,
160,P06753,P53621,0.02026088339662508,
161,P06753,P61981,0.008080732190014895,
162,P06753,P62328,0.0035030107289828255,
163,P06753,P62854,0.06411773160922789,
164,P06753,P62906,0.00970370845579645,
165,P06753,P62913,0.011984744429013943,
166,P06753,P81644,0.00034075100286850044,
167,P06753,Q01995,0.017190595919264345,
168,P06753,Q02218,0.014176493620622004,
169,P06753,Q02818,0.022179724457428083,
170,P06753,Q07065,0.028858707431457225,
