Regulator,Target,Weight,Sign
O15143,O94925,0.14057820964992332,
O15143,P02652,0.18470405236880888,
O15143,P04179,0.21563928354459785,
O15143,P12956,0.14719148758070016,
O15143,P18859,0.2949428529345109,
O15143,P21281,0.06274351113821344,
O15143,P26022,0.26731080990459377,
O15143,P26447,0.2040518811769332,
O15143,P30085,0.21347069906186059,
O15143,P35222,0.11368894946797702,
O15143,P36957,0.3050573893970481,
O15143,P38606,0.13220725643304596,
O15143,P40926,0.07899233335870509,
O15143,P42765,0.20268526110976381,
O15143,P56192,0.1950526744086,
O15143,P61981,0.289318499539965,
O15143,P62854,0.13665292352514963,
O15143,P62917,0.7103734627588763,
O15143,Q02218,0.7286917614099637,
O15143,Q02818,0.28197844592202237,
O15143,Q07065,0.2380164852993582,
O15143,Q07866,0.1451751973766283,
O15143,Q07954,0.2004306555254535,
O15143,Q13162,0.10235226258511033,
O15143,Q14011,0.3907134908716109,
O15143,Q15459,0.27604961970853265,
O15143,Q15843,0.048380951131979856,
O15143,Q96L92,0.09208675786143751,
O15143,Q9H0U4,0.29597255926423355,
O15143,Q9UHD8,0.10487030888053679,
O15143,Q9UJZ1,0.2555503424747986,
O15143,Q9UNH7,0.05571439961226593,
O15143,Q9Y3D6,0.0016597773874149368,
O94925,O15143,0.15268771992220623,
O94925,P02652,0.16490341895336866,
O94925,P04179,0.18636855708014433,
O94925,P12956,0.29623009908702974,
O94925,P18859,0.20160579482530439,
O94925,P21281,0.06024245496620468,
O94925,P26022,0.1955570092465045,
O94925,P26447,0.30143309874351565,
O94925,P30085,0.17069512098368825,
O94925,P35222,0.36251411476929585,
O94925,P36957,0.31797034312216826,
O94925,P38606,0.023032955796228525,
O94925,P40926,0.39684433201150543,
O94925,P42765,0.06987678577711641,
O94925,P56192,0.33984062230766116,
O94925,P61981,0.2808909138847466,
O94925,P62854,0.14894043608903604,
O94925,P62917,0.14738760273226717,
O94925,Q02218,0.053560034824016604,
O94925,Q02818,0.22639810645937752,
O94925,Q07065,0.08181644986923448,
O94925,Q07866,0.23039440840404493,
O94925,Q07954,0.10243591895249375,
O94925,Q13162,0.21415695731070303,
O94925,Q14011,0.07050986607266971,
O94925,Q15459,0.2878343499252674,
O94925,Q15843,0.07371937176016735,
O94925,Q96L92,0.07865379844698378,
O94925,Q9H0U4,0.29940714999696677,
O94925,Q9UHD8,0.272072754692664,
O94925,Q9UJZ1,0.06588458317211429,
O94925,Q9UNH7,0.17978437540641826,
