Regulator,Target,Weight,Sign
O15143,O94925,0.08835651470835514,
O15143,P02652,0.005487147771790701,
O15143,P04179,0.03685472450534668,
O15143,P12956,0.23475741871328062,
O15143,P18859,0.05615136498329659,
O15143,P21281,0.10178662087593231,
O15143,P26022,0.04100828468914808,
O15143,P26447,0.1290695107702954,
O15143,P30085,0.13764224404742492,
O15143,P35222,0.02939453695529475,
O15143,P36957,0.06544863486288094,
O15143,P38606,0.08642734908792793,
O15143,P40926,0.2124727457652862,
O15143,P42765,0.01945215851959178,
O15143,P56192,0.0029533098655602384,
O15143,P61981,0.013417569044383354,
O15143,P62854,0.05848793571769958,
O15143,P62917,0.08980352236754724,
O15143,Q02218,0.3096470931454339,
O15143,Q02818,0.052385153509811024,
O15143,Q07065,0.05851580423211212,
O15143,Q07866,0.06980282318470943,
O15143,Q07954,0.03759189099155683,
O15143,Q13162,0.010727430563377527,
O15143,Q14011,0.2007322213362821,
O15143,Q15459,0.07475723749559199,
O15143,Q15843,0.02120893804328645,
O15143,Q96L92,0.08392653540238033,
O15143,Q9H0U4,0.0026909541965199797,
O15143,Q9UHD8,0.26879036071513895,
O15143,Q9UJZ1,0.27902760054617926,
O15143,Q9UNH7,0.06232081458695661,
O15143,Q9Y3D6,0.01050963319185821,
O94925,O15143,0.00814145115392804,
O94925,P02652,0.05413377508139906,
O94925,P04179,0.00893396230220304,
O94925,P12956,0.012629197919874957,
O94925,P18859,0.020286600739400487,
O94925,P21281,0.044846849480424084,
O94925,P26022,0.001013999329844197,
O94925,P26447,0.013297627812326502,
O94925,P30085,0.010600557948211336,
O94925,P35222,0.012788195162535557,
O94925,P36957,0.0024754055170314562,
O94925,P38606,0.011274568055739405,
O94925,P40926,0.022731145352709866,
O94925,P42765,0.01619659260289497,
O94925,P56192,0.031957813104706606,
O94925,P61981,0.05798740630078493,
O94925,P62854,0.007592098527032596,
O94925,P62917,0.018927903960021038,
O94925,Q02218,0.010137362645689015,
O94925,Q02818,0.026482861999777556,
O94925,Q07065,0.061633886733436415,
O94925,Q07866,0.006918708487972244,
O94925,Q07954,0.010748560299082027,
O94925,Q13162,0.0914693924020159,
O94925,Q14011,0.04231952420009088,
O94925,Q15459,0.05077875844816638,
O94925,Q15843,0.02075139722284672,
O94925,Q96L92,0.015898049818683507,
O94925,Q9H0U4,0.046406406397116705,
O94925,Q9UHD8,0.012589343955703509,
O94925,Q9UJZ1,0.019385750033860775,
O94925,Q9UNH7,0.027498988462658504,
O94925,Q9Y3D6,0.009720806644820869,
P02652,O15143,0.09405906900227064,
P02652,O94925,0.10100873314425628,
P02652,P04179,0.03405521030075514,
P02652,P12956,0.06233365250450333,
P02652,P18859,0.05358007162857693,
P02652,P21281,0.07009216443511045,
P02652,P26022,0.09556746150346937,
P02652,P26447,0.02026924058897199,
P02652,P30085,0.09212892036856353,
P02652,P35222,0.12155230928294812,
P02652,P36957,0.07723996903558053,
P02652,P38606,0.040377512176686614,
P02652,P40926,0.02184981767083332,
P02652,P42765,0.06629941109126596,
P02652,P56192,0.03806218023255687,
P02652,P61981,0.10125428281346037,
P02652,P62854,0.0039029153481139984,
P02652,P62917,0.0863584943865148,
P02652,Q02218,0.12572340136415278,
P02652,Q02818,0.05179297880924691,
P02652,Q07065,0.014039258601172517,
P02652,Q07866,0.07168198033380734,
P02652,Q07954,0.15549391199882442,
P02652,Q13162,0.12135823732244509,
P02652,Q14011,0.1455126461077444,
P02652,Q15459,0.05527427553801242,
P02652,Q15843,0.12635041674927874,
P02652,Q96L92,0.10836885658138919,
P02652,Q9H0U4,0.07151993584979872,
P02652,Q9UHD8,0.03267362409777781,
P02652,Q9UJZ1,0.12495578926814405,
P02652,Q9UNH7,0.06398805700923098,
P02652,Q9Y3D6,0.0820268322678812,
P04179,O15143,0.25808638166919745,
P04179,O94925,0.01275568155179598,
P04179,P02652,0.024763031610245696,
P04179,P12956,0.05506744544999336,
P04179,P18859,0.04008823159772017,
P04179,P21281,0.19425616443906826,
P04179,P26022,0.030306742789271878,
P04179,P26447,0.03607790692399126,
P04179,P30085,0.044329987022435145,
P04179,P35222,0.06560581395691943,
P04179,P36957,0.0451559660213124,
P04179,P38606,0.01311082917480306,
P04179,P40926,0.022101720559509895,
P04179,P42765,0.06192343783559854,
P04179,P56192,0.07330174544624699,
P04179,P61981,0.16291751022783624,
P04179,P62854,0.07269592278608913,
P04179,P62917,0.19734449381075572,
P04179,Q02218,0.22013431303125733,
P04179,Q02818,0.06301824316699398,
P04179,Q07065,0.018563042194027927,
P04179,Q07866,0.07759271428400852,
P04179,Q07954,0.08514911091880425,
P04179,Q13162,0.16079484138789632,
P04179,Q14011,0.03362183298989644,
P04179,Q15459,0.1297884234139131,
P04179,Q15843,0.0022240157702600517,
P04179,Q96L92,0.06337727022956495,
P04179,Q9H0U4,0.020746390590406075,
P04179,Q9UHD8,0.013358145364930645,
P04179,Q9UJZ1,0.007095426518211609,
P04179,Q9UNH7,0.01932848437258784,
P04179,Q9Y3D6,0.0735103391525051,
P12956,O15143,0.05442523771624522,
P12956,O94925,0.024158762887244754,
P12956,P02652,0.09773420122449263,
P12956,P04179,0.02015606003643551,
P12956,P18859,0.08084895129982672,
P12956,P21281,0.00817047539858037,
P12956,P26022,0.039225587114830346,
P12956,P26447,0.03268184194518296,
P12956,P30085,0.026622557562286875,
P12956,P35222,0.05160381096936532,
P12956,P36957,0.015766958430184688,
P12956,P38606,0.024021650681815627,
P12956,P40926,0.06353922488526424,
P12956,P42765,0.0610444895331086,
P12956,P56192,0.0225132992329765,
P12956,P61981,0.06636960245803737,
P12956,P62854,0.06702847819310764,
P12956,P62917,0.040146224283346583,
P12956,Q02218,0.008317499099238904,
P12956,Q02818,0.03633713257707983,
P12956,Q07065,0.08523624086467857,
P12956,Q07866,0.015348336496744093,
P12956,Q07954,0.12347731856195446,
P12956,Q13162,0.00628646891180756,
P12956,Q14011,0.14670689671085133,
P12956,Q15459,0.01339934078946781,
P12956,Q15843,0.0385552748524148,
P12956,Q96L92,0.016465621317483546,
P12956,Q9H0U4,0.04225641668959765,
P12956,Q9UHD8,0.05983313394253873,
P12956,Q9UJZ1,0.01479825430645999,
P12956,Q9UNH7,0.023467812199422643,
P12956,Q9Y3D6,0.06688492651509645,
P18859,O15143,0.07063214401369419,
P18859,O94925,0.023375392062783808,
P18859,P02652,0.09407224957674025,
P18859,P04179,0.113620332236775,
P18859,P12956,0.04141239613922991,
P18859,P21281,0.06745709016992185,
P18859,P26022,0.003984410927379499,
P18859,P26447,0.026716143601686327,
P18859,P30085,0.005925796481183581,
P18859,P35222,0.07457815226823887,
P18859,P36957,0.05280538817454726,
P18859,P38606,0.025597031006808726,
P18859,P40926,0.01247526002712979,
P18859,P42765,0.014810151877923474,
P18859,P56192,0.07731614531373872,
P18859,P61981,0.015681499245308848,
P18859,P62854,0.1396907846660482,
P18859,P62917,0.08601086487503681,
P18859,Q02218,0.07533333292181749,
P18859,Q02818,0.027859054485149352,
P18859,Q07065,0.012050560151390227,
P18859,Q07866,0.03166972276211802,
P18859,Q07954,0.0071515323706080125,
P18859,Q13162,0.17305777721510285,
P18859,Q14011,0.002843022832933868,
P18859,Q15459,0.04544542328980438,
P18859,Q15843,0.05200556393902225,
P18859,Q96L92,0.033270153103403574,
P18859,Q9H0U4,0.06358763403695183,
P18859,Q9UHD8,0.08223266571994682,
P18859,Q9UJZ1,0.06555465711496242,
P18859,Q9UNH7,0.006365588763620795,
P18859,Q9Y3D6,0.08763341998641606,
P21281,O15143,0.4640008255543375,
P21281,O94925,0.059916217602034146,
P21281,P02652,0.09517904808483471,
P21281,P04179,0.2750786135551713,
P21281,P12956,0.17393058638400896,
P21281,P18859,0.07099129717501927,
P21281,P26022,0.003733054610026023,
P21281,P26447,0.11471762454048098,
P21281,P30085,0.039664117873005125,
P21281,P35222,0.15885094562482108,
P21281,P36957,0.0684081701446143,
P21281,P38606,0.001725348726080131,
P21281,P40926,0.02442330256724647,
P21281,P42765,0.0022149765408256924,
P21281,P56192,0.04448095760426293,
P21281,P61981,0.29485287510412705,
P21281,P62854,0.011735889950640028,
P21281,P62917,0.2738236313309239,
P21281,Q02218,0.4564792447278714,
P21281,Q02818,0.17647568175436804,
P21281,Q07065,0.09211327798315289,
P21281,Q07866,0.11578594542835767,
P21281,Q07954,0.07516087096909939,
P21281,Q13162,0.26272299294894436,
P21281,Q14011,0.010745133605656114,
P21281,Q15459,0.31547261800836846,
P21281,Q15843,0.13559584734472743,
P21281,Q96L92,0.14113989518240144,
P21281,Q9H0U4,0.09595413560443705,
P21281,Q9UHD8,0.07487765318433062,
P21281,Q9UJZ1,0.04279449060464785,
P21281,Q9UNH7,0.09523139060827224,
P21281,Q9Y3D6,0.0969261603644197,
P26022,O15143,0.047137746645070325,
P26022,O94925,0.004616507059509372,
P26022,P02652,0.040568496388552255,
P26022,P04179,0.0007228293592935605,
P26022,P12956,0.02216123309206928,
P26022,P18859,0.006016055629888999,
P26022,P21281,0.0025067692476973304,
P26022,P26447,0.022906268720823245,
P26022,P30085,0.006639704513971442,
P26022,P35222,0.0007917491208682516,
P26022,P36957,0.006958174562606228,
P26022,P38606,0.003314353145814022,
P26022,P40926,0.0029317991565403698,
P26022,P42765,0.01903196870738441,
P26022,P56192,0.00043176538755722066,
P26022,P61981,0.008402064354696549,
P26022,P62854,0.013111838302704033,
P26022,P62917,0.011165828486095509,
P26022,Q02218,0.06618177847617372,
P26022,Q02818,0.0198248285397609,
P26022,Q07065,0.009900926531509634,
P26022,Q07866,0.0318628294258035,
P26022,Q07954,0.024361087624403203,
P26022,Q13162,0.0004258941893975697,
P26022,Q14011,0.043943111031956236,
P26022,Q15459,0.007846157536319084,
P26022,Q15843,0.02057124084241752,
P26022,Q96L92,0.0340171785489631,
P26022,Q9H0U4,0.0179925715802574,
P26022,Q9UHD8,0.03821540804658799,
P26022,Q9UJZ1,0.00037140854973783733,
P26022,Q9UNH7,0.0014492210932757687,
P26022,Q9Y3D6,0.04336568306426144,
P26447,O15143,0.07516918459415504,
P26447,O94925,0.017607525822887063,
P26447,P02652,0.00047156208840423263,
P26447,P04179,0.028858342634743767,
P26447,P12956,0.01598396902932047,
P26447,P18859,0.010268929041935148,
P26447,P21281,0.08225065866912071,
P26447,P26022,0.02704166818810417,
P26447,P30085,0.005634352275097353,
P26447,P35222,0.006095450846336647,
P26447,P36957,0.012569970459430476,
P26447,P38606,0.003301809308501521,
P26447,P40926,0.008815188108377944,
P26447,P42765,0.08761088780896113,
P26447,P56192,0.03795421352765997,
P26447,P61981,0.020783212724221376,
P26447,P62854,0.06039853761697924,
P26447,P62917,0.036478233062474885,
P26447,Q02218,0.07574097220877427,
P26447,Q02818,0.04774156938219365,
P26447,Q07065,0.07545069961050761,
P26447,Q07866,0.03017601994673817,
P26447,Q07954,0.056602788802621096,
P26447,Q13162,0.0811597232024451,
P26447,Q14011,0.1103672107034289,
P26447,Q15459,0.04156112257167067,
P26447,Q15843,0.0725262301481132,
P26447,Q96L92,0.013466654103886292,
P26447,Q9H0U4,0.010364148442255538,
P26447,Q9UHD8,0.015242500346853021,
P26447,Q9UJZ1,0.008208294117077507,
P26447,Q9UNH7,0.053258060558933375,
P26447,Q9Y3D6,0.04699762357639522,
P30085,O15143,0.12032693000464895,
P30085,O94925,0.025761586134117897,
P30085,P02652,0.005066403834269637,
P30085,P04179,0.019236117840934673,
P30085,P12956,0.015242260367696315,
P30085,P18859,0.027949558788247873,
P30085,P21281,0.05006615877343655,
P30085,P26022,0.005150182543414326,
P30085,P26447,0.018820797021369386,
P30085,P35222,0.06607895384824712,
P30085,P36957,0.009719114917313693,
P30085,P38606,0.026450979462194494,
P30085,P40926,0.059215004978702454,
P30085,P42765,0.011664733291212264,
P30085,P56192,0.019625035742983535,
P30085,P61981,0.036003742046713645,
P30085,P62854,0.06008777764121115,
P30085,P62917,0.05045582281506584,
P30085,Q02218,0.14385134142711842,
P30085,Q02818,0.009962683666020235,
P30085,Q07065,0.0482296646883846,
P30085,Q07866,0.007142529612697406,
P30085,Q07954,0.035602908118650085,
P30085,Q13162,0.028073478764734983,
P30085,Q14011,0.1046427734052068,
P30085,Q15459,0.06196828761953708,
P30085,Q15843,0.03761169375422389,
P30085,Q96L92,0.005534233391535564,
P30085,Q9H0U4,0.012944304559748378,
P30085,Q9UHD8,0.0005136712391906062,
P30085,Q9UJZ1,0.010079962167409709,
P30085,Q9UNH7,0.004334529818727502,
P30085,Q9Y3D6,0.007961882320305357,
P35222,O15143,0.038534555662749825,
P35222,O94925,0.03904918294704129,
P35222,P02652,0.007433546141726354,
P35222,P04179,0.013192433828856783,
P35222,P12956,0.044419652675787624,
P35222,P18859,0.0029965777980697763,
P35222,P21281,0.09183522629838439,
P35222,P26022,0.013339308039435107,
P35222,P26447,0.05233194103522998,
P35222,P30085,0.02144433960168221,
P35222,P36957,0.06998505031008762,
P35222,P38606,0.004820731935896174,
P35222,P40926,0.030032251414421566,
P35222,P42765,0.09080320757236174,
P35222,P56192,0.03277472864734304,
P35222,P61981,0.0033467014153019986,
P35222,P62854,0.030055555485967386,
P35222,P62917,0.001579501416529738,
P35222,Q02218,0.04740338847969658,
P35222,Q02818,0.0264959301176208,
P35222,Q07065,0.009432241968692846,
P35222,Q07866,0.05022866797974117,
P35222,Q07954,0.0035436196680812583,
P35222,Q13162,0.011265597221944585,
P35222,Q14011,0.019703321083872464,
P35222,Q15459,0.029637862715742962,
P35222,Q15843,0.006585727384126121,
P35222,Q96L92,0.015587090815085435,
P35222,Q9H0U4,0.03851827268702735,
P35222,Q9UHD8,0.02833011695165887,
P35222,Q9UJZ1,0.07207789165602177,
P35222,Q9UNH7,0.05518542748015829,
P35222,Q9Y3D6,0.017643470359158638,
P36957,O15143,0.04065911847229702,
P36957,O94925,0.015430603637633176,
P36957,P02652,0.0779883396497984,
P36957,P04179,0.06336069643678356,
P36957,P12956,0.044654373974753026,
P36957,P18859,0.00331978081873657,
P36957,P21281,0.16966627880621424,
P36957,P26022,0.00838063219302193,
P36957,P26447,0.024870456447503946,
P36957,P30085,0.013208951836651234,
P36957,P35222,0.0032931002375286944,
P36957,P38606,0.00569411788847427,
P36957,P40926,0.037041788141732875,
P36957,P42765,0.03657838241796776,
P36957,P56192,0.010518751165898727,
P36957,P61981,0.10095821362375995,
P36957,P62854,0.016145186029717627,
P36957,P62917,0.00992547901439812,
P36957,Q02218,0.03794060047247038,
P36957,Q02818,0.05674079142634293,
P36957,Q07065,0.08588909371726415,
P36957,Q07866,0.030765359340168698,
P36957,Q07954,0.05922098193419179,
P36957,Q13162,0.03318877446712034,
P36957,Q14011,0.0469389972156801,
P36957,Q15459,0.11023386082952392,
P36957,Q15843,0.004497830375216929,
P36957,Q96L92,0.09602834221958814,
P36957,Q9H0U4,0.048652241887270825,
P36957,Q9UHD8,0.0416431909353378,
P36957,Q9UJZ1,0.0048138699794246795,
P36957,Q9UNH7,0.07018108794321778,
P36957,Q9Y3D6,0.03912277538167107,
P38606,O15143,0.27178335744791865,
P38606,O94925,0.13763790796241032,
P38606,P02652,0.15901551135097525,
P38606,P04179,0.11892994534125466,
P38606,P12956,0.0827587082631593,
P38606,P18859,0.1380310222043577,
P38606,P21281,0.03289842210617676,
P38606,P26022,0.04126790767678451,
P38606,P26447,0.07898024537729972,
P38606,P30085,0.06040188873463547,
P38606,P35222,0.15205196177701094,
P38606,P36957,0.05631677836541651,
P38606,P40926,0.02242030099574427,
P38606,P42765,0.11415278822913302,
P38606,P56192,0.03338982669088484,
P38606,P61981,0.058172335873869586,
P38606,P62854,0.08875526858118299,
P38606,P62917,0.13570011028693707,
P38606,Q02218,0.335222662313478,
P38606,Q02818,0.05120825294967139,
P38606,Q07065,0.06308480097137285,
P38606,Q07866,0.025244310182802605,
P38606,Q07954,0.08671959580118488,
P38606,Q13162,0.3714953039086775,
P38606,Q14011,0.03160572971884622,
P38606,Q15459,0.004363583698111934,
P38606,Q15843,0.06749169023417485,
P38606,Q96L92,0.0029060884845728578,
