Regulator,Target,Weight,Sign
O15143,O94925,0.08644461130201536,
O15143,P02652,0.0003011162361371694,
O15143,P04179,0.037349534408220385,
O15143,P12956,0.2401478799885896,
O15143,P18859,0.06754687378208654,
O15143,P21281,0.10102989754988191,
O15143,P26022,0.0292957113860066,
O15143,P26447,0.13169268739441548,
O15143,P30085,0.13391616462919093,
O15143,P35222,0.036080677202890925,
O15143,P36957,0.0557171528012617,
O15143,P38606,0.10093984407968837,
O15143,P40926,0.2145893964073769,
O15143,P42765,0.030997914186487785,
O15143,P56192,0.011328639142073148,
O15143,P61981,0.0334452223524094,
O15143,P62854,0.052550693778239996,
O15143,P62917,0.12062982169928568,
O15143,Q02218,0.3770769677094717,
O15143,Q02818,0.046266177245017366,
O15143,Q07065,0.05185589696024513,
O15143,Q07866,0.07492729485531467,
O15143,Q07954,0.03596427998610627,
O15143,Q13162,0.024595949916657454,
O15143,Q14011,0.18961088120635916,
O15143,Q15459,0.07612920981402521,
O15143,Q15843,0.02421204674062798,
O15143,Q96L92,0.08591944128173616,
O15143,Q9H0U4,0.002242004889120796,
O15143,Q9UHD8,0.275376241323262,
O15143,Q9UJZ1,0.2906123722909354,
O15143,Q9UNH7,0.06524656154641623,
O15143,Q9Y3D6,0.0007174591762762895,
O94925,O15143,0.006229547747588226,
O94925,P02652,0.06249875592141005,
O94925,P04179,0.01664510848289036,
O94925,P12956,0.004686798050767812,
O94925,P18859,0.03694729459841463,
O94925,P21281,0.04905153253200047,
O94925,P26022,0.01327842392450545,
O94925,P26447,0.0022869498880014752,
O94925,P30085,0.024210216500447565,
O94925,P35222,0.03013483890045897,
O94925,P36957,0.021415821334759843,
O94925,P38606,0.015222019313143063,
O94925,P40926,0.014745708541915231,
O94925,P42765,0.0177237961085064,
O94925,P56192,0.020403381582667544,
O94925,P61981,0.07229684952591688,
O94925,P62854,0.016751979113154087,
O94925,P62917,0.015480360198468528,
O94925,Q02218,0.014825645550251143,
O94925,Q02818,0.01928047135299719,
O94925,Q07065,0.05579410851834457,
O94925,Q07866,0.0012492572020068784,
O94925,Q07954,0.01392868096786995,
O94925,Q13162,0.10744726172119297,
O94925,Q14011,0.046897634061798386,
O94925,Q15459,0.04471728336560481,
O94925,Q15843,0.0133235538887995,
O94925,Q96L92,0.020277856533880693,
O94925,Q9H0U4,0.038367094358318574,
O94925,Q9UHD8,0.0013317513921791773,
O94925,Q9UJZ1,0.011493402700469233,
O94925,Q9UNH7,0.03851907662794645,
O94925,Q9Y3D6,0.007512199008757589,
P02652,O15143,0.08827080499434273,
P02652,O94925,0.10937371398426723,
