Regulator,Target,Weight,Sign
O15143,O94925,0.00760007136923064,
O15143,P02652,0.008051236594227868,
O15143,P04179,0.04430876142657427,
O15143,P12956,0.10423461787909943,
O15143,P18859,0.033832738254211965,
O15143,P21281,0.020869580006917427,
O15143,P26022,0.007890394158199709,
O15143,P26447,0.012120077858292787,
O15143,P30085,0.033123485155682454,
O15143,P35222,0.008838040562205586,
O15143,P36957,0.01152962160650278,
O15143,P38606,0.019165161767538838,
O15143,P40926,0.03033107508589517,
O15143,P42765,0.008011650805714055,
O15143,P56192,0.015162683569971932,
O15143,P61981,0.005876152420276592,
O15143,P62854,0.014826333654034785,
O15143,P62917,0.03126660765915197,
O15143,Q02218,0.08870679016296652,
O15143,Q02818,0.020138369957267428,
O15143,Q07065,0.036682936219626934,
O15143,Q07866,0.01756723316800437,
O15143,Q07954,0.013422556664116382,
O15143,Q13162,0.00822675683024744,
O15143,Q14011,0.026408503977035112,
O15143,Q15459,0.06230846381355285,
O15143,Q15843,0.0005950603064710701,
O15143,Q96L92,0.01657195819089838,
O15143,Q9H0U4,0.01748047563771361,
O15143,Q9UHD8,0.0958363181562474,
O15143,Q9UJZ1,0.08523930014053814,
O15143,Q9UNH7,0.00651124244085137,
O15143,Q9Y3D6,0.005698256919212967,
O94925,O15143,0.0036268672135614205,
O94925,P02652,0.03035850883835046,
O94925,P04179,0.014947551021456399,
O94925,P12956,0.009327229554619605,
O94925,P18859,0.016506071636836993,
O94925,P21281,0.004610543234185317,
O94925,P26022,0.004635325120623429,
O94925,P26447,8.509299143160931e-05,
O94925,P30085,0.008921000578497835,
O94925,P35222,0.02076410159547829,
O94925,P36957,0.011181514031500776,
O94925,P38606,0.0026629486595481176,
O94925,P40926,0.004275000257211348,
O94925,P42765,0.0010583788875807225,
O94925,P56192,0.014627987331332968,
O94925,P61981,0.029740298626558827,
O94925,P62854,0.00013512953947610352,
O94925,P62917,0.01563353493200635,
O94925,Q02218,0.004123437477756096,
O94925,Q02818,0.0005455677737905114,
O94925,Q07065,0.06485678488967146,
O94925,Q07866,0.005506248962263281,
O94925,Q07954,0.00036801370301901956,
O94925,Q13162,0.03203389168956199,
O94925,Q14011,0.02175905590072053,
O94925,Q15459,0.020950611228191057,
O94925,Q15843,0.00414743398448539,
O94925,Q96L92,0.007077378930179294,
O94925,Q9H0U4,0.016819382032679644,
O94925,Q9UHD8,0.002842905018155635,
O94925,Q9UJZ1,0.020792043738659356,
O94925,Q9UNH7,0.013144094774491511,
O94925,Q9Y3D6,0.007343752054048195,
P02652,O15143,0.06292645158733855,
P02652,O94925,0.06811812441855214,
P02652,P04179,0.05039455237160976,
P02652,P12956,0.048574334603574444,
P02652,P18859,0.008495034154636531,
P02652,P21281,0.01582969850364061,
P02652,P26022,0.039466746348831315,
P02652,P26447,0.006352145701892,
P02652,P30085,0.03798888611850365,
P02652,P35222,0.06452107676695677,
P02652,P36957,0.06256844584673739,
P02652,P38606,0.008576126397251862,
P02652,P40926,0.01329134147061868,
P02652,P42765,0.014260647015426576,
P02652,P56192,0.047356976878032725,
P02652,P61981,0.04186315153447638,
P02652,P62854,0.029389912796853903,
P02652,P62917,0.045565030517400844,
P02652,Q02218,0.07827350177898418,
P02652,Q02818,0.0008126709287228355,
P02652,Q07065,0.007319087527017915,
P02652,Q07866,0.005850233497461951,
P02652,Q07954,0.117308095085902,
P02652,Q13162,0.034225793133284284,
P02652,Q14011,0.09958572272900783,
P02652,Q15459,0.053718729345659175,
P02652,Q15843,0.06565190666261915,
P02652,Q96L92,0.038303004197163586,
P02652,Q9H0U4,0.02905144468922716,
P02652,Q9UHD8,0.018422596682603473,
P02652,Q9UJZ1,0.05714969990403103,
P02652,Q9UNH7,0.025123695320652777,
P02652,Q9Y3D6,0.004226057322803435,
P04179,O15143,0.08666724655521886,
P04179,O94925,0.006551807175759849,
P04179,P02652,0.03342292388298322,
P04179,P12956,0.022753905112681477,
P04179,P18859,0.04287314852805557,
P04179,P21281,0.0657511147071392,
P04179,P26022,0.015301113132189745,
P04179,P26447,0.00972950373608209,
P04179,P30085,0.0386647564555069,
P04179,P35222,0.01252507669013268,
P04179,P36957,0.04370148814003362,
P04179,P38606,0.046195910565416755,
P04179,P40926,0.004587860199424688,
P04179,P42765,0.04455812113914458,
P04179,P56192,0.06350168683172516,
P04179,P61981,0.07059870378371558,
P04179,P62854,0.0007198887610036778,
P04179,P62917,0.10887482299139417,
P04179,Q02218,0.0699630246092962,
P04179,Q02818,0.004145915124730166,
P04179,Q07065,0.030345935001802923,
P04179,Q07866,0.030648017903295317,
P04179,Q07954,0.008508879988208748,
P04179,Q13162,0.0694913166805795,
P04179,Q14011,0.02891134317000155,
P04179,Q15459,0.08597256817938378,
P04179,Q15843,0.021198414431471573,
P04179,Q96L92,0.03155860444416369,
P04179,Q9H0U4,0.007448440177088117,
P04179,Q9UHD8,0.05672216755070111,
P04179,Q9UJZ1,0.009394165556721902,
P04179,Q9UNH7,0.025663356524136965,
P04179,Q9Y3D6,0.025721497746972806,
P12956,O15143,0.024154854528198027,
P12956,O94925,0.05152660393604212,
P12956,P02652,0.12099040737096196,
P12956,P04179,0.02175505043782554,
P12956,P18859,0.0681851129793371,
P12956,P21281,0.009790999342681904,
P12956,P26022,0.04618921473275186,
P12956,P26447,0.0028159585613098657,
P12956,P30085,0.021408534730352598,
P12956,P35222,0.0474547266701688,
P12956,P36957,0.025972190485796895,
P12956,P38606,0.02959016279370026,
P12956,P40926,0.04420110965183384,
P12956,P42765,0.013336048955508968,
P12956,P56192,0.06233972634185086,
P12956,P61981,0.02845672771923743,
P12956,P62854,0.044356651140251585,
P12956,P62917,0.0586715608409399,
P12956,Q02218,0.012112284949562646,
P12956,Q02818,0.028115791473858637,
P12956,Q07065,0.14705661085744437,
P12956,Q07866,0.06186488104261942,
P12956,Q07954,0.13348761094697353,
P12956,Q13162,0.0034628622524814517,
P12956,Q14011,0.12777234172776236,
P12956,Q15459,0.028699722644101276,
P12956,Q15843,0.05532904510173552,
P12956,Q96L92,0.012090793505661047,
P12956,Q9H0U4,0.0053566907751986395,
P12956,Q9UHD8,0.07092604536768499,
P12956,Q9UJZ1,0.016207456359723413,
P12956,Q9UNH7,0.012015826351012183,
P12956,Q9Y3D6,0.02695675764255777,
P18859,O15143,0.01687941031890207,
P18859,O94925,0.025062061162515265,
P18859,P02652,0.06305225484573572,
P18859,P04179,0.08822134808918185,
P18859,P12956,0.019450186467952525,
P18859,P21281,0.03140738463076533,
P18859,P26022,0.004542138478423581,
P18859,P26447,0.0005353245830213917,
P18859,P30085,0.009147476412362052,
P18859,P35222,0.03146692061132465,
P18859,P36957,0.021950207747352263,
P18859,P38606,0.029867023801300505,
P18859,P40926,0.0025620692067800125,
P18859,P42765,0.016126117114555548,
P18859,P56192,0.04393769792123239,
P18859,P61981,0.005960252839602747,
P18859,P62854,0.05185756806592329,
P18859,P62917,0.04865676018384812,
P18859,Q02218,0.014395518629826692,
P18859,Q02818,0.004803132730554932,
P18859,Q07065,0.01443837658837742,
P18859,Q07866,0.014469005083078593,
P18859,Q07954,0.0022361463891135617,
P18859,Q13162,0.05345582890168798,
P18859,Q14011,0.021705172610986714,
P18859,Q15459,0.05257068568514723,
P18859,Q15843,0.004040011330057681,
P18859,Q96L92,0.015452600809970324,
P18859,Q9H0U4,0.01050837217591597,
P18859,Q9UHD8,0.058227498848687095,
P18859,Q9UJZ1,0.033281471210263244,
P18859,Q9UNH7,0.008364462725094791,
P18859,Q9Y3D6,0.025768677463909585,
P21281,O15143,0.05977863012766201,
P21281,O94925,0.015536246628394723,
P21281,P02652,0.01707641827471929,
P21281,P04179,0.07661634212559378,
P21281,P12956,0.04193555382042688,
P21281,P18859,0.030207887089063967,
P21281,P26022,0.0007854067617958359,
P21281,P26447,0.013038205165866606,
P21281,P30085,0.02212736726599166,
P21281,P35222,0.014081073070961788,
P21281,P36957,0.027007739958743674,
P21281,P38606,0.04815954491504531,
P21281,P40926,0.0013031885422124896,
P21281,P42765,0.019834034582100084,
P21281,P56192,0.01950891700156088,
P21281,P61981,0.04582436295071298,
P21281,P62854,0.051216711013064194,
P21281,P62917,0.038118976919442875,
P21281,Q02218,0.06176836547699355,
P21281,Q02818,0.0021276022117346217,
P21281,Q07065,0.013012235527175255,
P21281,Q07866,0.0030531190203520807,
P21281,Q07954,0.027133546390481912,
P21281,Q13162,0.05537825549385007,
P21281,Q14011,0.005815294666176785,
P21281,Q15459,0.0761649977554964,
P21281,Q15843,0.045086922504738676,
P21281,Q96L92,0.02543035710727205,
P21281,Q9H0U4,0.014883610675177168,
P21281,Q9UHD8,0.016507729615757492,
P21281,Q9UJZ1,0.007547406905604912,
P21281,Q9UNH7,0.03086099477403717,
P21281,Q9Y3D6,0.007428613402864051,
P26022,O15143,0.018611369825785744,
P26022,O94925,0.0005963887436170447,
P26022,P02652,0.021121783040840635,
P26022,P04179,0.004444294319222705,
P26022,P12956,0.014042700786260909,
P26022,P18859,0.004786542807081688,
P26022,P21281,0.001129364532251852,
P26022,P26447,0.003954944341384944,
P26022,P30085,0.0023255912580330035,
P26022,P35222,2.7374477095091355e-05,
P26022,P36957,0.010539399926405076,
P26022,P38606,0.0021548569507450553,
P26022,P40926,0.0002921109307501071,
P26022,P42765,0.0032061274161577402,
P26022,P56192,0.0016707262965044854,
P26022,P61981,0.0017225562840940643,
P26022,P62854,0.004982177882442065,
P26022,P62917,0.0051023388888929945,
P26022,Q02218,0.02287461612918236,
P26022,Q02818,0.009075797961617392,
P26022,Q07065,0.00666879161831602,
P26022,Q07866,0.018560403455070103,
P26022,Q07954,0.005049009621381953,
P26022,Q13162,0.0001751400642209837,
P26022,Q14011,0.009738337035553796,
P26022,Q15459,0.00030052865055129143,
P26022,Q15843,0.005090389523092325,
P26022,Q96L92,0.006640542599201572,
P26022,Q9H0U4,0.002582717706535613,
P26022,Q9UHD8,0.02076678604921753,
P26022,Q9UJZ1,0.0008831501760520567,
P26022,Q9UNH7,0.0005320218281229427,
P26022,Q9Y3D6,0.010458690715405,
P26447,O15143,0.015954622593256394,
P26447,O94925,0.00870904194287438,
P26447,P02652,0.003989530339839111,
P26447,P04179,0.009381909677368646,
P26447,P12956,0.017193446137876302,
P26447,P18859,0.004075072520177028,
P26447,P21281,0.009624259957144181,
P26447,P26022,0.0060925474891027264,
P26447,P30085,0.003170427238867893,
P26447,P35222,0.0056233535626506745,
P26447,P36957,0.006484648912373478,
P26447,P38606,0.004208789522850651,
P26447,P40926,0.0005589537723401926,
P26447,P42765,0.012381523237114653,
P26447,P56192,0.010834378628148077,
P26447,P61981,0.00470406928134454,
P26447,P62854,0.02576307747682114,
P26447,P62917,0.01607829723412096,
P26447,Q02218,0.013639176914715138,
P26447,Q02818,0.006351389799147845,
P26447,Q07065,0.03071448149172175,
P26447,Q07866,0.01017697061176176,
P26447,Q07954,0.018977842670199543,
P26447,Q13162,0.008863877716784829,
P26447,Q14011,0.022511781418375454,
P26447,Q15459,0.009809332883825435,
P26447,Q15843,0.01499054863736985,
P26447,Q96L92,0.0010694658555673944,
P26447,Q9H0U4,0.0011356117145417566,
P26447,Q9UHD8,0.009013537843729304,
