Regulator,Target,Weight,Sign
O15143,O94925,0.17947999246439308,
O15143,P02652,0.10822225016660911,
O15143,P04179,0.12461229710646403,
O15143,P12956,0.059656202105324456,
O15143,P18859,0.021057030106952344,
O15143,P21281,0.7910442928227926,
O15143,P26022,0.7188484524787765,
O15143,P26447,0.035517677774399806,
O15143,P30085,0.3343204204945406,
O15143,P35222,0.07045485508961151,
O15143,P36957,0.14847572570273157,
O15143,P38606,0.6179675071971988,
O15143,P40926,0.3707511184031906,
O15143,P42765,0.24345070682803577,
O15143,P56192,0.23941490238369048,
O15143,P61981,0.4167693333132059,
O15143,P62854,0.5198419003982294,
O15143,P62917,0.5790967479881454,
O15143,Q02218,0.001844756732011054,
O15143,Q02818,0.04947651184487105,
O15143,Q07065,0.11989226274825333,
O15143,Q07866,0.10225960794329969,
O15143,Q07954,0.25197419371105034,
O15143,Q13162,0.25114853112780405,
O15143,Q14011,0.2985437968489097,
O15143,Q15459,0.6861530186996188,
O15143,Q15843,0.024168884356044043,
O15143,Q96L92,0.5331978301810809,
O15143,Q9H0U4,0.759893212648744,
O15143,Q9UHD8,0.26942750337901505,
O15143,Q9UJZ1,0.17763266083886,
O15143,Q9UNH7,0.038802416403604705,
O15143,Q9Y3D6,0.01398248541741982,
O94925,O15143,0.13977258493108508,
O94925,P02652,0.1424118696613446,
O94925,P04179,0.22472525653893763,
O94925,P12956,0.24286822560616866,
O94925,P18859,0.07668869609158638,
O94925,P21281,0.22075066583283495,
O94925,P26022,0.2002163919992927,
O94925,P26447,0.11579158076012502,
O94925,P30085,0.28255077166708686,
O94925,P35222,0.5137179085033461,
O94925,P36957,0.0009648462346839175,
O94925,P38606,0.08007891196544319,
O94925,P40926,0.027768703987139653,
O94925,P42765,0.3278628179334978,
O94925,P56192,0.12835671667937,
O94925,P61981,0.0674612573905291,
O94925,P62854,0.3612536889859109,
O94925,P62917,0.1989270066081829,
O94925,Q02218,0.2866908166959166,
O94925,Q02818,0.27923371858079776,
O94925,Q07065,0.022702497298856393,
O94925,Q07866,0.3898579173174614,
O94925,Q07954,0.14994958854574295,
