Regulator,Target,Weight,Sign
O15143,O94925,0.14659714270048277,
O15143,P02652,0.12386208400783812,
O15143,P04179,0.021624214915813136,
O15143,P12956,0.04850656763181025,
O15143,P18859,0.014960760093597768,
O15143,P21281,0.09309736917260454,
O15143,P26022,0.09414133578011603,
O15143,P26447,0.0432488302815316,
O15143,P30085,0.02713395742505058,
O15143,P35222,0.06328542809504166,
O15143,P36957,0.12679452645430597,
O15143,P38606,0.11035402795524363,
O15143,P40926,0.007045088533390079,
O15143,P42765,0.06994623036807655,
O15143,P56192,0.018872486313765677,
O15143,P61981,0.037648320182920095,
O15143,P62854,0.03126738213824406,
O15143,P62917,0.03302514979447679,
O15143,Q02218,0.07407312844245188,
O15143,Q02818,0.011039929170838384,
O15143,Q07065,0.012981743608070315,
O15143,Q07866,0.018944451708735852,
O15143,Q07954,0.07486208146221132,
O15143,Q13162,0.04096416733435704,
O15143,Q14011,0.18802797359977744,
O15143,Q15459,0.032571425826595175,
O15143,Q15843,0.035312050598554245,
O15143,Q96L92,0.06719761160725507,
O15143,Q9H0U4,0.05783891019078944,
O15143,Q9UHD8,0.05269847362522561,
O15143,Q9UJZ1,0.11810972503269403,
O15143,Q9UNH7,0.03357047455710486,
O15143,Q9Y3D6,0.037397862954599716,
O94925,O15143,0.04359344412258744,
O94925,P02652,0.06341736182395251,
O94925,P04179,0.11539801651916275,
O94925,P12956,0.03188127421024573,
O94925,P18859,0.022579385758394223,
O94925,P21281,0.07148316320360724,
O94925,P26022,0.14174049030771085,
O94925,P26447,0.0717331405960558,
O94925,P30085,0.16892891515242076,
O94925,P35222,0.018678990047495774,
O94925,P36957,0.025542180326423254,
O94925,P38606,0.04937645959048576,
O94925,P40926,0.060413547834502083,
O94925,P42765,0.12420224325989349,
O94925,P56192,0.09913619131680579,
O94925,P61981,0.07503909903920983,
O94925,P62854,0.13978478061831626,
O94925,P62917,0.02213846795660966,
O94925,Q02218,0.05072454128541037,
O94925,Q02818,0.02465826367341125,
O94925,Q07065,0.10844814278206119,
O94925,Q07866,0.03767069959840431,
O94925,Q07954,0.053939386822490845,
O94925,Q13162,0.018625188811624144,
O94925,Q14011,0.12262934080268231,
O94925,Q15459,0.13526002446277793,
O94925,Q15843,0.04723953938054648,
O94925,Q96L92,0.0959922106550243,
O94925,Q9H0U4,0.021694166142126266,
O94925,Q9UHD8,0.04187583278141439,
O94925,Q9UJZ1,0.1755853478663076,
O94925,Q9UNH7,0.05339575134538583,
O94925,Q9Y3D6,0.07838764664476512,
P02652,O15143,0.0627966042007075,
P02652,O94925,0.05155590097317604,
P02652,P04179,0.060736773806700076,
P02652,P12956,0.012401421884679053,
P02652,P18859,0.0054725678453052505,
P02652,P21281,0.08847838781764228,
P02652,P26022,0.1604492066342343,
P02652,P26447,0.016854595245228945,
P02652,P30085,0.03968058870863132,
P02652,P35222,0.031555626594027796,
P02652,P36957,0.07504958726540092,
P02652,P38606,0.011113969983782283,
P02652,P40926,0.1142392687258631,
P02652,P42765,0.026718468109250795,
P02652,P56192,0.05527963353170671,
P02652,P61981,0.1963334218483283,
P02652,P62854,0.035002228436295225,
P02652,P62917,0.03549966844671322,
P02652,Q02218,0.12370990221875866,
P02652,Q02818,0.07643434469845391,
P02652,Q07065,0.00332026793198055,
P02652,Q07866,0.021135972407520267,
P02652,Q07954,0.08506344073999435,
P02652,Q13162,0.05162120800407561,
P02652,Q14011,0.02157889584905733,
P02652,Q15459,0.0346610721377469,
P02652,Q15843,0.020969491195822344,
P02652,Q96L92,0.21757837896916946,
P02652,Q9H0U4,0.2946533822841095,
P02652,Q9UHD8,0.026426905568310913,
P02652,Q9UJZ1,0.11814588348666913,
P02652,Q9UNH7,0.12315617502801338,
P02652,Q9Y3D6,0.12280738869482274,
P04179,O15143,0.012058943568503601,
P04179,O94925,0.014827441564376733,
P04179,P02652,0.04837369451936341,
P04179,P12956,0.10018540655092936,
P04179,P18859,0.13451515274595013,
P04179,P21281,0.08342715487505994,
P04179,P26022,0.0050737111825210025,
P04179,P26447,0.08847451560994671,
P04179,P30085,0.011393006961514403,
P04179,P35222,0.004897305347640064,
P04179,P36957,0.006223690152329306,
P04179,P38606,0.016098837727903898,
P04179,P40926,0.04224150282586152,
P04179,P42765,0.11969146938843463,
P04179,P56192,0.05436468614800243,
P04179,P61981,0.030177900768301572,
P04179,P62854,0.044237753968710866,
P04179,P62917,0.08151622359208727,
P04179,Q02218,0.012311141284730683,
P04179,Q02818,0.061111514583417084,
P04179,Q07065,0.045956617073490365,
P04179,Q07866,0.07056219708098685,
P04179,Q07954,0.008443578878828397,
P04179,Q13162,0.12670555196463848,
P04179,Q14011,0.08021156910166012,
P04179,Q15459,0.01863621274760425,
P04179,Q15843,0.04049583126607982,
P04179,Q96L92,0.027536160274302376,
P04179,Q9H0U4,0.24444626101303946,
P04179,Q9UHD8,0.05176390520093151,
P04179,Q9UJZ1,0.036754722486201936,
P04179,Q9UNH7,0.037509718522928406,
P04179,Q9Y3D6,0.05764959063922064,
P12956,O15143,0.1104290638234708,
P12956,O94925,0.015543919830608533,
P12956,P02652,0.025179263907760336,
P12956,P04179,0.0717402969865479,
P12956,P18859,0.060595317771303156,
P12956,P21281,0.06754750195615497,
P12956,P26022,0.1582019995854767,
P12956,P26447,0.02889192151208466,
P12956,P30085,0.03371932884595183,
P12956,P35222,0.0658151448167454,
P12956,P36957,0.012394393942396834,
P12956,P38606,0.03743311909307243,
P12956,P40926,0.039517924704090046,
P12956,P42765,0.10789199044439744,
P12956,P56192,0.015555970324372925,
P12956,P61981,0.1601925151339313,
P12956,P62854,0.07374133095653856,
P12956,P62917,0.051322270169081155,
P12956,Q02218,0.06280110138360721,
P12956,Q02818,0.06791097637471301,
P12956,Q07065,0.008202683928990722,
P12956,Q07866,0.029016504772141745,
P12956,Q07954,0.0041920449886081864,
P12956,Q13162,0.05893233965548974,
P12956,Q14011,0.020642701177584523,
P12956,Q15459,0.06681173980244702,
P12956,Q15843,0.0570545272533972,
P12956,Q96L92,0.1283636797547961,
P12956,Q9H0U4,0.03875647713481803,
P12956,Q9UHD8,0.04125637564639303,
P12956,Q9UJZ1,0.007120537406709237,
P12956,Q9UNH7,0.0556040904369622,
P12956,Q9Y3D6,0.08232622269462402,
P18859,O15143,0.05596199492389889,
P18859,O94925,0.20225044991771174,
P18859,P02652,0.09992442796417796,
P18859,P04179,0.03958243157687157,
P18859,P12956,0.013201803757171154,
P18859,P21281,0.18589800298087616,
P18859,P26022,0.09672561759411168,
P18859,P26447,0.08139386401300511,
P18859,P30085,0.005451012409032088,
P18859,P35222,0.061243392292778726,
P18859,P36957,0.15223823152301127,
P18859,P38606,0.10184302346454732,
P18859,P40926,0.06976668574514115,
P18859,P42765,0.03461382525301334,
P18859,P56192,0.021537150258629,
P18859,P61981,0.04056578174524035,
P18859,P62854,0.004815334982877382,
P18859,P62917,0.020243135022982434,
