Regulator,Target,Weight,Sign
O15143,O94925,0.041655992918022064,
O15143,P02652,0.004165196562852479,
O15143,P04179,0.02018350877622867,
O15143,P12956,0.05687243658545654,
O15143,P18859,0.011447492422469719,
O15143,P21281,0.004011869527546629,
O15143,P26022,0.05152263460996164,
O15143,P26447,0.037725897640148484,
O15143,P30085,0.12188484819597421,
O15143,P35222,0.020500993594359102,
O15143,P36957,0.023801586782934047,
O15143,P38606,0.0026004188606175115,
O15143,P40926,0.027616880162932712,
O15143,P42765,0.035273537630498,
O15143,P56192,0.03624175659582765,
O15143,P61981,0.0426682457704479,
O15143,P62854,0.01923405701965924,
O15143,P62917,0.0029734118779681175,
O15143,Q02218,0.006662607569026725,
O15143,Q02818,0.024081018147086578,
O15143,Q07065,0.02816727439775337,
O15143,Q07866,0.03581791705882242,
O15143,Q07954,0.009549798931465863,
O15143,Q13162,0.045116966740323755,
O15143,Q14011,0.01568452923229987,
O15143,Q15459,0.04357594636939226,
O15143,Q15843,0.010986338301362976,
O15143,Q96L92,0.04640265948061932,
O15143,Q9H0U4,0.019642111781702217,
O15143,Q9UHD8,0.07455217540119455,
O15143,Q9UJZ1,0.02338158556627051,
O15143,Q9UNH7,0.010633376999792521,
O15143,Q9Y3D6,0.016778893043879462,
O94925,O15143,0.08583133891220714,
O94925,P02652,0.020811271355685394,
O94925,P04179,0.010750830322369292,
O94925,P12956,0.03019034080594434,
O94925,P18859,0.04772298658862775,
O94925,P21281,0.0015052813668330306,
O94925,P26022,0.057217278090661516,
O94925,P26447,0.06789199071811645,
O94925,P30085,0.03759628565506024,
O94925,P35222,0.10684179222425483,
O94925,P36957,0.06709146616006248,
O94925,P38606,0.009975813978340364,
O94925,P40926,0.04043739033649744,
O94925,P42765,0.0012804800601389486,
O94925,P56192,0.07422253698597187,
O94925,P61981,0.0013505811055935129,
O94925,P62854,0.03010260440858189,
O94925,P62917,0.010559969929476753,
O94925,Q02218,0.02972462783025068,
O94925,Q02818,0.03130253386034179,
O94925,Q07065,0.021202505676049466,
O94925,Q07866,0.012021682737023465,
O94925,Q07954,0.0035391691636705814,
O94925,Q13162,0.0004941837528688313,
O94925,Q14011,0.0009302019011847119,
O94925,Q15459,0.06787168417644092,
O94925,Q15843,0.003837463578178057,
O94925,Q96L92,0.0023749110785167365,
O94925,Q9H0U4,0.023202674884648805,
O94925,Q9UHD8,0.020283462923448053,
O94925,Q9UJZ1,0.002758944568016814,
O94925,Q9UNH7,0.019275142285740086,
O94925,Q9Y3D6,0.0024740826255621596,
P02652,O15143,0.000598930490191296,
P02652,O94925,0.024130052072202597,
P02652,P04179,0.009292534166079702,
P02652,P12956,0.04228793714044403,
P02652,P18859,0.014911290821485963,
P02652,P21281,0.0017311190098422734,
P02652,P26022,0.030235068879403283,
P02652,P26447,0.0016195959653627443,
P02652,P30085,0.04163467298622339,
P02652,P35222,0.03582966024997944,
P02652,P36957,0.005567828325108861,
P02652,P38606,0.025068338050486052,
P02652,P40926,0.036224354340836505,
P02652,P42765,0.03735096481696783,
P02652,P56192,0.1151651474929325,
P02652,P61981,0.07335427678719926,
P02652,P62854,0.06115147026312474,
P02652,P62917,0.007944561012858425,
P02652,Q02218,0.002084480288699953,
P02652,Q02818,0.0234113409005267,
P02652,Q07065,0.03284661199977858,
P02652,Q07866,0.0167444203507612,
P02652,Q07954,0.043372416649398476,
P02652,Q13162,0.0250839185225405,
P02652,Q14011,0.0028843846230827215,
P02652,Q15459,0.017041613702991603,
P02652,Q15843,0.04222241832284209,
P02652,Q96L92,0.021362076306272636,
P02652,Q9H0U4,0.00027499330371728793,
P02652,Q9UHD8,0.0613749632301062,
P02652,Q9UJZ1,0.033862774687107,
P02652,Q9UNH7,0.07178725025000429,
P02652,Q9Y3D6,0.02328838722120975,
P04179,O15143,0.07193556935337032,
P04179,O94925,0.06707218235130843,
P04179,P02652,0.0552963902678171,
P04179,P12956,0.02249789801858271,
P04179,P18859,0.02785953771118218,
P04179,P21281,0.02253791095529673,
P04179,P26022,0.013498620777186615,
P04179,P26447,0.010305311475085706,
P04179,P30085,0.027431928692219217,
P04179,P35222,0.03943697646418754,
P04179,P36957,0.04584935229091784,
P04179,P38606,0.007690042839355275,
P04179,P40926,0.017055811323922268,
P04179,P42765,0.005798133221913078,
P04179,P56192,0.03576226546653133,
P04179,P61981,0.006897723528589965,
P04179,P62854,0.008934835642712625,
P04179,P62917,0.033255219817176475,
P04179,Q02218,0.07912119130887615,
P04179,Q02818,0.06834215604019449,
P04179,Q07065,0.007539793722595478,
P04179,Q07866,0.018836900751753472,
P04179,Q07954,0.028486435140819194,
P04179,Q13162,0.023879547953051247,
P04179,Q14011,0.020835873280082507,
P04179,Q15459,0.03259724215635692,
P04179,Q15843,0.007294156458605968,
P04179,Q96L92,0.0035030466433109858,
P04179,Q9H0U4,0.040399591602268276,
P04179,Q9UHD8,0.07488971984742793,
P04179,Q9UJZ1,0.004327594677341558,
P04179,Q9UNH7,0.02439982464539154,
P04179,Q9Y3D6,0.015741691853585767,
P12956,O15143,0.06866814473958462,
P12956,O94925,0.050026867193113715,
P12956,P02652,0.03220590562655231,
P12956,P04179,0.03927999738894572,
P12956,P18859,0.08674700933006656,
P12956,P21281,0.0005887993590563603,
P12956,P26022,0.05822993274416908,
P12956,P26447,0.046513990363673915,
P12956,P30085,0.048249414829463794,
P12956,P35222,0.019682765568406414,
P12956,P36957,0.05808670137832831,
P12956,P38606,0.00032274650605384954,
P12956,P40926,0.03963912549400867,
P12956,P42765,0.00023032162260210596,
P12956,P56192,0.08006024297474833,
P12956,P61981,0.0007905743197171324,
P12956,P62854,0.010377148640539456,
P12956,P62917,0.011116014904806274,
P12956,Q02218,0.02181514965828584,
P12956,Q02818,0.02038137073665088,
P12956,Q07065,0.02172998711258511,
P12956,Q07866,0.029462961772689252,
P12956,Q07954,0.010974394676859645,
P12956,Q13162,0.008325243675996177,
P12956,Q14011,0.001686688755496845,
P12956,Q15459,0.029083879537470343,
P12956,Q15843,0.0027515984185002423,
P12956,Q96L92,0.00041677675203946493,
P12956,Q9H0U4,0.059483861596788354,
P12956,Q9UHD8,0.05898517260304111,
P12956,Q9UJZ1,0.0009652022511986026,
P12956,Q9UNH7,0.013690744616094952,
P12956,Q9Y3D6,0.0007827030026106463,
P18859,O15143,0.06090130846864219,
P18859,O94925,0.07972919438012367,
P18859,P02652,0.004406547018018038,
P18859,P04179,0.04548396256992117,
P18859,P12956,0.0713548602869612,
P18859,P21281,0.01560956165788249,
P18859,P26022,0.05377477230455769,
P18859,P26447,0.06881027490544907,
P18859,P30085,0.058081864581736566,
P18859,P35222,0.03885462530594275,
P18859,P36957,0.050239756989284234,
P18859,P38606,0.0072709431815802745,
P18859,P40926,0.017355792055094122,
P18859,P42765,0.0016247291604880578,
P18859,P56192,0.0294103219070278,
P18859,P61981,0.020367761577693475,
P18859,P62854,0.002104764648412072,
P18859,P62917,0.0683303813723956,
P18859,Q02218,0.019602982918293824,
P18859,Q02818,0.023797788092775097,
P18859,Q07065,0.017344871634423758,
P18859,Q07866,0.0338471615849124,
P18859,Q07954,0.011022551658524497,
P18859,Q13162,0.024278480086809513,
P18859,Q14011,0.015708844021392762,
P18859,Q15459,0.026756227257757264,
P18859,Q15843,0.0024519256728982243,
P18859,Q96L92,0.002784545108152536,
P18859,Q9H0U4,0.0328243785636734,
P18859,Q9UHD8,0.018470705409532464,
P18859,Q9UJZ1,0.0025932963180855776,
P18859,Q9UNH7,0.012044824934777982,
P18859,Q9Y3D6,0.006451614130813903,
P21281,O15143,0.07990867678241662,
P21281,O94925,0.006883869209152275,
P21281,P02652,0.01809148259976673,
P21281,P04179,0.03589727177583225,
P21281,P12956,0.01245675665824595,
P21281,P18859,0.037956600942466966,
P21281,P26022,0.03215165367731909,
P21281,P26447,0.01916530046951224,
P21281,P30085,0.018259852926285236,
P21281,P35222,0.006135026868853208,
P21281,P36957,0.019657863020350903,
P21281,P38606,0.027893396902639502,
P21281,P40926,0.0022491752299818282,
P21281,P42765,0.024272685517317642,
P21281,P56192,0.009189115178411767,
P21281,P61981,0.02166951781249571,
P21281,P62854,0.003097850734522434,
P21281,P62917,0.09145416075108553,
P21281,Q02218,0.10457798940563395,
P21281,Q02818,0.022035886515513064,
P21281,Q07065,0.02747450171517249,
P21281,Q07866,0.008941520479431928,
P21281,Q07954,0.018173568988917192,
P21281,Q13162,0.09084337578300866,
P21281,Q14011,0.0432530816703164,
P21281,Q15459,0.034025516041500094,
P21281,Q15843,0.02493280931222172,
P21281,Q96L92,0.010796082435751973,
P21281,Q9H0U4,0.008938558360113933,
P21281,Q9UHD8,0.008249034855647545,
P21281,Q9UJZ1,0.040952770434250906,
P21281,Q9UNH7,0.0041108847007975185,
P21281,Q9Y3D6,0.03567964432777396,
P26022,O15143,0.010634016388222024,
P26022,O94925,0.030556941567424934,
P26022,P02652,0.020209433229765743,
P26022,P04179,0.011014381580879772,
P26022,P12956,0.06798724681189838,
P26022,P18859,0.06429258297376662,
P26022,P21281,0.001032305692771251,
P26022,P26447,0.09952929089247575,
P26022,P30085,0.07743269144633742,
P26022,P35222,0.019326297642311842,
P26022,P36957,0.040048875175231376,
P26022,P38606,0.0002982144081703082,
P26022,P40926,0.040468896234145506,
P26022,P42765,0.0021941880565484687,
P26022,P56192,0.05915049195807256,
