Regulator,Target,Weight,Sign
O15143,O94925,0.03726224091673493,
O15143,P02652,0.027174882943534553,
O15143,P04179,0.03139727514003745,
O15143,P12956,0.05990999244266133,
O15143,P18859,0.02869609114575652,
O15143,P21281,0.010182419513761632,
O15143,P26022,0.009872321568397457,
O15143,P26447,0.04982916805347484,
O15143,P30085,0.07591044074067778,
O15143,P35222,0.042148774711813684,
O15143,P36957,0.02445670087712886,
O15143,P38606,0.005093393122586303,
O15143,P40926,0.01613751582270465,
O15143,P42765,0.01759414884871526,
O15143,P56192,0.025813247071306566,
O15143,P61981,0.030884891015620898,
O15143,P62854,0.002805925272308385,
O15143,P62917,0.024728722623822915,
O15143,Q02218,0.01118701755276752,
O15143,Q02818,0.02007317867705436,
O15143,Q07065,0.03252844269162455,
O15143,Q07866,0.02542196126762486,
O15143,Q07954,0.025554574022108863,
O15143,Q13162,0.01441011644951534,
O15143,Q14011,0.06634160549545932,
O15143,Q15459,0.034671396279760104,
O15143,Q15843,0.02883231856406794,
O15143,Q96L92,0.023709078955139126,
O15143,Q9H0U4,0.012927614260018117,
O15143,Q9UHD8,0.053722539106838114,
O15143,Q9UJZ1,0.03930799144308781,
O15143,Q9UNH7,0.020110754592487408,
O15143,Q9Y3D6,0.015994638627684764,
O94925,O15143,0.08529300469259976,
O94925,P02652,0.029400114743562286,
O94925,P04179,0.013427707701863538,
O94925,P12956,0.07663562960948145,
O94925,P18859,0.01978824978587602,
O94925,P21281,0.002000574700934639,
O94925,P26022,0.06832012779473773,
O94925,P26447,0.08485583023474495,
O94925,P30085,0.09316680388807398,
O94925,P35222,0.07577265312404784,
O94925,P36957,0.05787615390920006,
O94925,P38606,0.0032717563419129058,
O94925,P40926,0.03995911831341933,
O94925,P42765,0.0013014416480950624,
O94925,P56192,0.06697581011515265,
O94925,P61981,0.021804911248048762,
O94925,P62854,0.019187967461703734,
O94925,P62917,0.041481607628536414,
O94925,Q02218,0.002575816903147203,
O94925,Q02818,0.019511418491030268,
O94925,Q07065,0.01209421759652296,
O94925,Q07866,0.030323189147153328,
O94925,Q07954,0.0019191734255400849,
O94925,Q13162,0.001728452812999682,
O94925,Q14011,0.0021106103968050976,
O94925,Q15459,0.021031669904445195,
O94925,Q15843,0.001183414328130055,
O94925,Q96L92,0.002997142433525965,
O94925,Q9H0U4,0.02036422073616513,
O94925,Q9UHD8,0.03097391502804885,
O94925,Q9UJZ1,0.0038707746168452797,
