Regulator,Target,Weight,Sign
O15143,O94925,0.048806034734866194,
O15143,P02652,0.02381489833474091,
O15143,P04179,0.019249002572091244,
O15143,P12956,0.03500372979219857,
O15143,P18859,0.0210505318994774,
O15143,P21281,0.011236132640707828,
O15143,P26022,0.027871157385815904,
O15143,P26447,0.021028974631374178,
O15143,P30085,0.10856162351865682,
O15143,P35222,0.03882121744682905,
O15143,P36957,0.03448671155611393,
O15143,P38606,0.004644403242426531,
O15143,P40926,0.01927779065231181,
O15143,P42765,0.002203042181767459,
O15143,P56192,0.016530565733605663,
O15143,P61981,0.016875080992307025,
O15143,P62854,0.003658643366314839,
O15143,P62917,0.031119000920077324,
O15143,Q02218,0.018258821984510495,
O15143,Q02818,0.02906325112800969,
O15143,Q07065,0.0170767651315085,
O15143,Q07866,0.012479784611252107,
O15143,Q07954,0.016214632537402116,
O15143,Q13162,0.003795774849106416,
O15143,Q14011,0.06267036584796613,
O15143,Q15459,0.04974176603262769,
O15143,Q15843,0.006693977026461241,
O15143,Q96L92,0.10411983493153747,
O15143,Q9H0U4,0.0391668876266729,
O15143,Q9UHD8,0.06833182362801617,
O15143,Q9UJZ1,0.03863395045284524,
O15143,Q9UNH7,0.015368954115144938,
O15143,Q9Y3D6,0.009568561616597186,
O94925,O15143,0.04979624837920685,
O94925,P02652,0.011667977941201975,
O94925,P04179,0.031223502085617843,
O94925,P12956,0.04894658534121852,
O94925,P18859,0.05793232390521491,
O94925,P21281,0.00023654963818872728,
O94925,P26022,0.07330211803728132,
O94925,P26447,0.05699987267666653,
O94925,P30085,0.048001857250981515,
O94925,P35222,0.04105241098140183,
O94925,P36957,0.03967092516918549,
O94925,P38606,0.00167808668452063,
O94925,P40926,0.04047009249939122,
O94925,P42765,0.000852233220401773,
O94925,P56192,0.05648856973607096,
O94925,P61981,0.01252353891960154,
O94925,P62854,0.00141542010662673,
O94925,P62917,0.02862680895074392,
O94925,Q02218,0.0024295130946127685,
O94925,Q02818,0.019592094490429625,
O94925,Q07065,0.011966817744008117,
O94925,Q07866,0.06038519841118648,
O94925,Q07954,0.010456220175286692,
O94925,Q13162,0.010324746300602927,
O94925,Q14011,0.0003678649386369915,
O94925,Q15459,0.05984330962638553,
O94925,Q15843,0.01055659224752227,
O94925,Q96L92,0.011866586927407594,
O94925,Q9H0U4,0.05709610957363689,
O94925,Q9UHD8,0.04902416485329599,
O94925,Q9UJZ1,0.012969417682306828,
O94925,Q9UNH7,0.0018213428374952714,
O94925,Q9Y3D6,0.003511827633494199,
P02652,O15143,0.0067494221522403685,
P02652,O94925,0.043057566113340946,
P02652,P04179,0.0055777233685386785,
P02652,P12956,0.04098613923355941,
P02652,P18859,0.0005369611504693451,
P02652,P21281,0.022505273592635704,
P02652,P26022,0.014271372715631333,
P02652,P26447,0.012095383866341809,
P02652,P30085,0.04036390858280165,
P02652,P35222,0.026606666021153955,
P02652,P36957,0.0132961300112339,
P02652,P38606,0.030385347708186464,
P02652,P40926,0.027935155704934884,
P02652,P42765,0.03939193617232587,
P02652,P56192,0.18344056005770135,
P02652,P61981,0.06761751721788109,
P02652,P62854,0.05718870139794808,
P02652,P62917,0.01408933240105398,
P02652,Q02218,0.003547212630754919,
P02652,Q02818,0.019407266728457575,
P02652,Q07065,0.03177716686592357,
P02652,Q07866,0.019789157347597494,
P02652,Q07954,0.021929869752590612,
P02652,Q13162,0.04209435186816966,
P02652,Q14011,0.0051641204540198065,
P02652,Q15459,0.015566206273059822,
P02652,Q15843,0.015923631439532883,
P02652,Q96L92,0.02342109865123339,
P02652,Q9H0U4,0.027220522774337844,
P02652,Q9UHD8,0.03452649966739594,
P02652,Q9UJZ1,0.008931317340916463,
P02652,Q9UNH7,0.05760901880341635,
P02652,Q9Y3D6,0.017686430448773074,
P04179,O15143,0.1047802555984883,
P04179,O94925,0.074136351279062,
P04179,P02652,0.01716727231556215,
P04179,P12956,0.016014320515446805,
P04179,P18859,0.01601541676748059,
P04179,P21281,0.004995098807467587,
P04179,P26022,0.040806434163912754,
P04179,P26447,0.02664305814117893,
P04179,P30085,0.028004672932693278,
P04179,P35222,0.05895472271783906,
P04179,P36957,0.04884503972354088,
P04179,P38606,0.002858389825241752,
P04179,P40926,0.0020301353996888295,
P04179,P42765,0.027713124599253045,
P04179,P56192,0.023359166589492365,
P04179,P61981,0.02486547778747506,
P04179,P62854,0.0004033917184017372,
P04179,P62917,0.007159081182589004,
P04179,Q02218,0.05329070373819625,
P04179,Q02818,0.13111777048044898,
P04179,Q07065,0.006512227038040734,
P04179,Q07866,0.019326552874134928,
P04179,Q07954,0.019772874097904288,
P04179,Q13162,0.018799863947231116,
P04179,Q14011,0.0034521792083003354,
P04179,Q15459,0.0442138151333201,
P04179,Q15843,0.0013404348580247406,
P04179,Q96L92,0.0031075782909917474,
P04179,Q9H0U4,0.04018113956420329,
P04179,Q9UHD8,0.02431365310652267,
P04179,Q9UJZ1,0.012386450634977255,
P04179,Q9UNH7,0.032896516031086266,
P04179,Q9Y3D6,0.01941982223618944,
P12956,O15143,0.028801722383656688,
P12956,O94925,0.02303635079963241,
P12956,P02652,0.01102608312634398,
P12956,P04179,0.01140146774862931,
