Regulator,Target,Weight,Sign
O15143,O94925,0.04836446896190049,
O15143,P02652,0.02858347115203983,
O15143,P04179,0.013833748781571089,
O15143,P12956,0.04973490123578119,
O15143,P18859,0.020234666342292963,
O15143,P21281,0.00607999280377956,
O15143,P26022,0.04293703839902305,
O15143,P26447,0.04337332448227807,
O15143,P30085,0.14944520611940187,
O15143,P35222,0.035485403179507075,
O15143,P36957,0.027092967711962963,
O15143,P38606,0.007097054809777206,
O15143,P40926,0.015962212093574277,
O15143,P42765,0.03491678809858972,
O15143,P56192,0.018799752892993418,
O15143,P61981,0.013873213658643491,
O15143,P62854,0.019636415614758936,
O15143,P62917,0.022101158544525386,
O15143,Q02218,0.02630305234707668,
O15143,Q02818,0.0262655760990752,
O15143,Q07065,0.02888705392249531,
O15143,Q07866,0.024956692208247925,
O15143,Q07954,0.025641772901440957,
O15143,Q13162,0.005850073918267474,
O15143,Q14011,0.03033750351065332,
O15143,Q15459,0.0043791251203138485,
O15143,Q15843,0.023697998943071844,
O15143,Q96L92,0.016485952093966423,
O15143,Q9H0U4,0.03679036247207538,
O15143,Q9UHD8,0.054414263379026745,
O15143,Q9UJZ1,0.03597753361262566,
O15143,Q9UNH7,0.025805149570985453,
O15143,Q9Y3D6,0.010876065244583937,
O94925,O15143,0.08644066112859701,
O94925,P02652,0.020650979820817046,
O94925,P04179,0.020097122154698006,
O94925,P12956,0.03153220579444594,
O94925,P18859,0.039792975852242236,
O94925,P21281,0.0008579736365325756,
O94925,P26022,0.009802317616412311,
O94925,P26447,0.039169187336525406,
O94925,P30085,0.07659321696486694,
O94925,P35222,0.038236488440565736,
O94925,P36957,0.056494590832451334,
O94925,P38606,0.0008002612723898878,
O94925,P40926,0.011630324459404174,
O94925,P42765,0.0027078710776163796,
O94925,P56192,0.09381084707427925,
O94925,P61981,0.011963502326754947,
O94925,P62854,0.048214494300150006,
O94925,P62917,0.0028872253591922976,
O94925,Q02218,0.0017311958394814434,
O94925,Q02818,0.0675105564023315,
O94925,Q07065,0.0031657994309422267,
O94925,Q07866,0.04893299229894735,
