Regulator,Target,Weight,Sign
O15143,O94925,0.20504462288871889,
O15143,P00568,0.00999928663408964,
O15143,P02461,0.15096021078114671,
O15143,P02652,0.0061696619374599065,
O15143,P04179,0.2609603979089792,
O15143,P05976,0.09012891247202597,
O15143,P06753,0.06024974204204719,
O15143,P07339,0.13603685294145124,
O15143,P12956,0.19262591394928458,
O15143,P13010,0.20929644831877509,
O15143,P15374,0.1845933124901584,
O15143,P18859,0.25637248728123013,
O15143,P21281,0.23327527182048022,
O15143,P23246,0.13415154718072123,
O15143,P26447,0.20748893413524339,
O15143,P27816,0.2135511998933072,
O15143,P30085,0.12386115217700239,
O15143,P36957,0.18563895802779448,
O15143,P37837,0.18728874827680894,
O15143,P40926,0.15284786058020608,
O15143,P42765,0.269738284306855,
O15143,P49023,0.2914798488884018,
O15143,P53621,0.20885466801760527,
O15143,P56192,0.2017250885819206,
O15143,P61981,0.1771950019322269,
O15143,P62328,0.07677504247961629,
O15143,P62854,0.2529178233775738,
O15143,P62917,0.1663108985013536,
O15143,P63208,0.2832244630732009,
O15143,P63313,0.023318122736847184,
O15143,Q01995,0.11760155068426756,
O15143,Q02218,0.2958324575709263,
O15143,Q02818,0.1032475804474726,
O15143,Q05682,0.029346067519952248,
O15143,Q07065,0.019870063714457396,
O15143,Q07954,0.041222278290277636,
O15143,Q13263,0.22609321244872435,
O15143,Q14011,0.16704943970250402,
O15143,Q14444,0.17941254634505208,
O15143,Q14767,0.028847239782103688,
O15143,Q15233,0.24901381354427488,
O15143,Q15843,0.12414945276922208,
O15143,Q7Z417,0.011385409584777715,
O15143,Q8WWI1,0.1551269088924358,
O15143,Q96CW1,0.1484901205003349,
O15143,Q96HC4,0.07988469002834821,
O15143,Q9H0U4,0.22391411084818322,
O15143,Q9UHD8,0.1064667911899537,
O15143,Q9UMS6,0.20086013136201925,
O15143,mg,0.0,
O94925,O15143,0.2222497233359761,
O94925,P00568,0.017290851754571127,
O94925,P02461,0.01954385619581282,
O94925,P02652,0.07488939379190838,
O94925,P04179,0.19937786977058738,
O94925,P05976,0.176250246408267,
O94925,P06753,0.15877769324130858,
O94925,P07339,0.04723994417389006,
O94925,P12956,0.2856124995357464,
O94925,P13010,0.25237871347484647,
O94925,P15374,0.08417399996688273,
O94925,P18859,0.2744118632655124,
O94925,P21281,0.13803318329787415,
O94925,P23246,0.20551247414221502,
O94925,P26447,0.30939551411976013,
O94925,P27816,0.21670436684129818,
