Regulator,Target,Weight,Sign
O15143,P05787,0.07678771474750215,
O15143,P05976,0.08879863753552784,
O15143,P07339,0.1305389279754951,
O15143,P13667,0.12722036761434377,
O15143,P14174,0.11950447295179581,
O15143,P14314,0.06490819180055084,
O15143,P14866,0.09626341946909964,
O15143,P17096,0.1287749226804058,
O15143,P31949,0.1964958014187162,
O15143,P37837,0.19132381599045042,
O15143,P56192,0.23947580983879507,
O15143,P60903,0.18798427779666613,
O15143,P62328,0.120035252461771,
O15143,P62854,0.10918175165118595,
O15143,P62888,0.15877459210558112,
O15143,P63208,0.4323866912516912,
O15143,Q01995,0.016141527627854726,
O15143,Q02790,0.16085447577091663,
O15143,Q07065,0.1654115703876693,
O15143,Q14011,0.264772822685187,
O15143,Q16629,0.3052234094977283,
O15143,Q6NYC8,0.04758842233086467,
O15143,Q7Z417,0.07387707476090483,
O15143,Q92804,0.051554256076763956,
O15143,Q99439,0.09851276181064873,
O15143,Q99613,0.25803929112389934,
O15143,Q99879,0.1961593776806291,
O15143,Q9UMX0,0.2566678465987433,
O15143,Q9UN86,0.1332134962761412,
P05787,O15143,0.040072401337803404,
P05787,P05976,0.05178227001894924,
P05787,P07339,0.1715564688402134,
P05787,P13667,0.0641672896734233,
P05787,P14174,0.06504137558453926,
P05787,P14314,0.09736253483326456,
P05787,P14866,0.06377501088700133,
P05787,P17096,0.10575848124348249,
P05787,P31949,0.05201888284343649,
P05787,P37837,0.13070019549400025,
P05787,P56192,0.08085516299455697,
P05787,P60903,0.08126556716339892,
P05787,P62328,0.09810531181263228,
P05787,P62854,0.05300858690740537,
P05787,P62888,0.10177196175285064,
P05787,P63208,0.08399635031272591,
P05787,Q01995,0.22059444895471414,
P05787,Q02790,0.05859843733213551,
P05787,Q07065,0.0010962427725706512,
P05787,Q14011,0.0542397057977886,
P05787,Q16629,0.10481908692075666,
P05787,Q6NYC8,0.08623827602727614,
P05787,Q7Z417,0.15443976331717277,
P05787,Q92804,0.05416892268837105,
P05787,Q99439,0.1114657353701861,
P05787,Q99613,0.018669191783550417,
P05787,Q99879,0.11425721953940103,
P05787,Q9UMX0,0.029541895294596384,
P05787,Q9UN86,0.14959240535261387,
P05976,O15143,0.07268114456716486,
P05976,P05787,0.08121624667721326,
P05976,P07339,0.12793802537893006,
P05976,P13667,0.18340594644617716,
P05976,P14174,0.11731523163694547,
P05976,P14314,0.12173408343800114,
P05976,P14866,0.10047274002995987,
P05976,P17096,0.25230912177864956,
P05976,P31949,0.17669590792365555,
P05976,P37837,0.07958259596388002,
P05976,P56192,0.07576983207899805,
P05976,P60903,0.04336685235919556,
P05976,P62328,0.20093510119232486,
P05976,P62854,0.14631864011580067,
P05976,P62888,0.14653825547859095,
P05976,P63208,0.11263601827241547,
P05976,Q01995,0.11497195764391427,
P05976,Q02790,0.15928326089268752,
P05976,Q07065,0.1324219954085093,
P05976,Q14011,0.2019467927021431,
P05976,Q16629,0.12242108447634167,
P05976,Q6NYC8,0.13405973918640984,
P05976,Q7Z417,0.0548247935678072,
P05976,Q92804,0.01066465595709207,
P05976,Q99439,0.15041293631289052,
P05976,Q99613,0.12477346485802929,
P05976,Q99879,0.08373376904327766,
P05976,Q9UMX0,0.11527810485340009,
P05976,Q9UN86,0.17660319143252418,
P07339,O15143,0.17797010570947847,
P07339,P05787,0.4481882738611617,
P07339,P05976,0.21310380514801155,
P07339,P13667,0.5738810930481991,
P07339,P14174,0.4281960242790274,
P07339,P14314,0.42651261931993983,
P07339,P14866,0.24967703040073422,
P07339,P17096,0.10310886169024504,
P07339,P31949,0.3011624946770839,
P07339,P37837,0.1115483958376029,
P07339,P56192,0.07037398923208806,
P07339,P60903,0.34499336186773577,
P07339,P62328,0.12014238748099855,
P07339,P62854,0.07884206756000212,
P07339,P62888,0.2830375873437073,
P07339,P63208,0.10457244844463118,
P07339,Q01995,0.4792791063639301,
P07339,Q02790,0.11609327074922722,
P07339,Q07065,0.4173966427280762,
P07339,Q14011,0.18518860422229455,
P07339,Q16629,0.06839819403230993,
P07339,Q6NYC8,0.191691982840601,
P07339,Q7Z417,0.011099041562526318,
P07339,Q92804,0.028502276922678465,
P07339,Q99439,0.04624913676485487,
P07339,Q99613,0.11750629018247272,
P07339,Q99879,0.046259539765492796,
P07339,Q9UMX0,0.07948148857435537,
P07339,Q9UN86,0.16939339404102896,
P13667,O15143,0.18717488891154033,
P13667,P05787,0.1809051823694127,
P13667,P05976,0.3296771861221474,
P13667,P07339,0.6193067850444443,
P13667,P14174,0.26126488020295213,
P13667,P14314,0.429918938740671,
P13667,P14866,0.3492744835749091,
P13667,P17096,0.12853481988751853,
P13667,P31949,0.19938323923507084,
P13667,P37837,0.12531418984715317,
P13667,P56192,0.04373927984835408,
P13667,P60903,0.218283248156173,
P13667,P62328,0.22337212450791855,
P13667,P62854,0.029684160930529783,
P13667,P62888,0.2923759218125424,
P13667,P63208,0.005759853575879848,
P13667,Q01995,0.4042471112748057,
P13667,Q02790,0.16461636355336223,
P13667,Q07065,0.5492572822907463,
P13667,Q14011,0.029883711445702118,
P13667,Q16629,0.05520443930141499,
P13667,Q6NYC8,0.2767041469715612,
P13667,Q7Z417,0.05530359822484095,
P13667,Q92804,0.1344995366846983,
P13667,Q99439,0.2883005228654949,
P13667,Q99613,0.17417248627089832,
P13667,Q99879,0.1939515474041863,
P13667,Q9UMX0,0.03374457977323452,
P13667,Q9UN86,0.1123394360755162,
P14174,O15143,0.12046092371461871,
P14174,P05787,0.12563137717826836,
P14174,P05976,0.14447775183563719,
P14174,P07339,0.31659032761488026,
P14174,P13667,0.1789996266671282,
P14174,P14314,0.03913355507767675,
P14174,P14866,0.01004179847652361,
P14174,P17096,0.11301279399083237,
P14174,P31949,0.2195916301568329,
P14174,P37837,0.16949422272803505,
P14174,P56192,0.0037662791659183958,
P14174,P60903,0.4807705740879351,
P14174,P62328,0.061087166337186645,
P14174,P62854,0.2762942840877903,
P14174,P62888,0.11715288375395054,
P14174,P63208,0.19143340728210312,
P14174,Q01995,0.19477282507347668,
P14174,Q02790,0.26027771073396416,
P14174,Q07065,0.12805010411521628,
P14174,Q14011,0.2329696414514891,
P14174,Q16629,0.09037861752561593,
P14174,Q6NYC8,0.14030685862244133,
P14174,Q7Z417,0.034973553168859056,
P14174,Q92804,0.288678025938366,
P14174,Q99439,0.5907361384991011,
P14174,Q99613,0.004793189643319319,
P14174,Q99879,0.26306592980178967,
P14174,Q9UMX0,0.19813962508372904,
P14174,Q9UN86,0.06220230890272029,
P14314,O15143,0.07235772525104356,
P14314,P05787,0.20798099005794674,
P14314,P05976,0.16579908485618938,
P14314,P07339,0.34874682551848396,
P14314,P13667,0.3257474566934255,
P14314,P14174,0.04327854676065618,
P14314,P14866,0.19933766790316587,
P14314,P17096,0.10893018999045123,
P14314,P31949,0.15780341268500506,
P14314,P37837,0.16152457335093182,
P14314,P56192,0.18313796003070448,
P14314,P60903,0.09053504809012221,
P14314,P62328,0.05777104900390574,
P14314,P62854,0.02473174523775701,
P14314,P62888,0.32448965105050803,
P14314,P63208,0.10773227285531482,
P14314,Q01995,0.20619009791932372,
P14314,Q02790,0.16924970584767685,
P14314,Q07065,0.2749377635885969,
P14314,Q14011,0.14831596740297215,
P14314,Q16629,0.09374081185460804,
P14314,Q6NYC8,0.16042533370154397,
P14314,Q7Z417,0.08366891779044137,
P14314,Q92804,0.21545764825998867,
P14314,Q99439,0.06308283763757068,
P14314,Q99613,0.1600080625729827,
P14314,Q99879,0.19560909732358595,
P14314,Q9UMX0,0.1775096522109427,
P14314,Q9UN86,0.07673342163285475,
P14866,O15143,0.10487611609091435,
P14866,P05787,0.13314112645003612,
P14866,P05976,0.13373592985939128,
P14866,P07339,0.19952020608003812,
P14866,P13667,0.25863734432742524,
P14866,P14174,0.010853374387581665,
P14866,P14314,0.1948136079677756,
P14866,P17096,0.08343101025148136,
P14866,P31949,0.1385853277209905,
P14866,P37837,0.24987431634634547,
P14866,P56192,0.1845497301855452,
P14866,P60903,0.06851009427055056,
P14866,P62328,0.11223359616590044,
P14866,P62854,0.28435195143807274,
P14866,P62888,0.1341928962360535,
P14866,P63208,0.23277073991760566,
P14866,Q01995,0.22681690971529997,
P14866,Q02790,0.16277640072306082,
P14866,Q07065,0.22268839117430708,
P14866,Q14011,0.08619265939037597,
P14866,Q16629,0.23730637815480232,
P14866,Q6NYC8,0.00023420861925987772,
P14866,Q7Z417,0.1695223262126044,
P14866,Q92804,0.1425158204915797,
P14866,Q99439,0.07860859884068742,
P14866,Q99613,0.27582777790585594,
P14866,Q99879,0.33995258468778655,
P14866,Q9UMX0,0.1547763172927549,
P14866,Q9UN86,0.027985653680889913,
P17096,O15143,0.17737578519794323,
P17096,P05787,0.2791416319786007,
P17096,P05976,0.4246005276938381,
P17096,P07339,0.10417224146352917,
P17096,P13667,0.12033525667100775,
P17096,P14174,0.15442891387501786,
P17096,P14314,0.1345940619016552,
P17096,P14866,0.10548123952440061,
P17096,P31949,0.5249026763208189,
P17096,P37837,0.12943236635934405,
P17096,P56192,0.022441163520419923,
P17096,P60903,0.037479120417755286,
P17096,P62328,0.31620709887978943,
