Regulator,Target,Weight
O15143,P05787,0.07515698672825696
O15143,P05976,0.013060289584243358
O15143,P07339,0.03270334080410907
O15143,P13667,0.12897183342411148
O15143,P14174,0.08934148482871815
O15143,P14314,0.11616438357984296
O15143,P14866,0.1072022456651947
O15143,P17096,0.41584373053850215
O15143,P31949,0.2752985371468837
O15143,P37837,0.5835039201400203
O15143,P56192,0.002193389592074934
O15143,P60903,0.4817149860563286
O15143,P62328,0.4465041030142034
O15143,P62854,0.16338200945325343
O15143,P62888,0.043590490868297235
O15143,P63208,0.24389125875554446
O15143,Q01995,0.056308095434437565
O15143,Q02790,0.15068215890702333
O15143,Q07065,0.0683879999351316
O15143,Q14011,0.1666249458908772
O15143,Q16629,0.37635520787823123
O15143,Q6NYC8,0.4881266305463956
O15143,Q7Z417,0.35471532675096146
O15143,Q92804,0.006151432364315452
O15143,Q99439,0.22682263996784272
O15143,Q99613,0.22124059276916763
O15143,Q99879,0.09166044083913057
O15143,Q9UMX0,0.10020706754521658
O15143,Q9UN86,0.34797934073315867
P05787,O15143,0.08177223025781603
P05787,P05976,0.2946734885097986
P05787,P07339,0.2231826954850517
P05787,P13667,0.11645624911275154
P05787,P14174,0.40546075464633613
P05787,P14314,0.13811858529610338
P05787,P14866,0.18084218807311409
P05787,P17096,0.3729251938275462
P05787,P31949,0.2323681367192611
P05787,P37837,0.01243440360552961
P05787,P56192,0.20094950922290936
P05787,P60903,0.15037303166903337
P05787,P62328,0.36166871966026587
P05787,P62854,0.010123088613760956
P05787,P62888,0.05466421929289972
P05787,P63208,0.5275110937705766
P05787,Q01995,0.3770732915383151
P05787,Q02790,0.016383654935221283
P05787,Q07065,0.13496709375296836
P05787,Q14011,0.4706758648546245
P05787,Q16629,0.1029683161295965
P05787,Q6NYC8,0.03363676729552921
P05787,Q7Z417,0.12428338478486699
P05787,Q92804,0.2425757552351484
P05787,Q99439,0.46359031431521786
P05787,Q99613,0.026965922699191784
P05787,Q99879,0.30149041854222086
P05787,Q9UMX0,0.20286785859091067
P05787,Q9UN86,0.12702487350862335
P05976,O15143,0.013261497332596382
P05976,P05787,0.275007372641868
P05976,P07339,0.36093283282327393
P05976,P13667,0.5490472333288632
P05976,P14174,0.16052926007975973
P05976,P14314,0.506167418097679
P05976,P14866,0.06049274328403264
P05976,P17096,0.00197150792204046
P05976,P31949,0.5885666306404989
P05976,P37837,0.11251561021879289
P05976,P56192,0.14492539203992194
P05976,P60903,0.22135583126261568
P05976,P62328,0.19546860096365654
P05976,P62854,0.14666996495760234
P05976,P62888,0.2642515040646537
P05976,P63208,0.2009402085757344
P05976,Q01995,0.23531439710072316
