Regulator,Target,Weight,Sign
O15143,P04406,0.1500711428023706,
O15143,P05787,0.08327008808429533,
O15143,P05976,0.09952401032527995,
O15143,P06748,0.019860824143967205,
O15143,P07339,0.14731760915801306,
O15143,P09382,0.23792648954438042,
O15143,P09936,0.09625273686614315,
O15143,P13667,0.17595697943832375,
O15143,P14174,0.11024362101438312,
O15143,P14314,0.08133610518955811,
O15143,P14866,0.1055888620002333,
O15143,P15374,0.1648730013859942,
O15143,P16989,0.10857677547634789,
O15143,P17096,0.14540151650736433,
O15143,P27635,0.20470083898713468,
O15143,P31949,0.23169081499016048,
O15143,P37837,0.2171246650367303,
O15143,P40939,0.13405661037083122,
O15143,P46777,0.03741957054925814,
O15143,P47914,0.11675909579298964,
O15143,P51911,0.34045085263500235,
O15143,P56192,0.28492412194949235,
O15143,P60903,0.17760673291492424,
O15143,P62328,0.13989158431706689,
O15143,P62854,0.11952317647362436,
O15143,P62888,0.20760130554293235,
O15143,P63208,0.5405698582109114,
O15143,P68104,0.23081926619509865,
O15143,Q01518,0.03803909975576054,
O15143,Q01995,0.005817725260111108,
O15143,Q02790,0.18685348190517406,
O15143,Q07065,0.22699763957307675,
O15143,Q07866,0.04477696256003283,
O15143,Q14011,0.28679632163144836,
O15143,Q14195,0.2589446942740276,
O15143,Q15365,0.16444735270098704,
O15143,Q15459,0.15301495124130843,
O15143,Q16181,0.3400361712165548,
O15143,Q16629,0.38927921346989547,
O15143,Q6NYC8,0.059561070731150724,
O15143,Q7Z417,0.15922369046667384,
O15143,Q92804,0.03703576372758233,
O15143,Q96AC1,0.021278765765624975,
O15143,Q99439,0.10266350149695032,
O15143,Q99460,0.07439657290085037,
O15143,Q99613,0.34770674185831757,
O15143,Q99879,0.2267047554109019,
O15143,Q9UMX0,0.2497488219943231,
O15143,Q9UN86,0.15307066023498123,
O15143,mg,0.0,
P04406,O15143,0.18289264213444884,
P04406,P05787,0.39406245770303244,
P04406,P05976,0.030280050402943754,
P04406,P06748,0.0947613880047715,
P04406,P07339,0.11592304567413436,
P04406,P09382,0.1649684730465523,
P04406,P09936,0.5180718846326046,
P04406,P13667,0.03793452850344802,
P04406,P14174,0.27147094294901886,
