Regulator,Target,Weight
O15143,P04406,0.148309151791893
O15143,P05787,0.0822924108046618
O15143,P05976,0.09835549512481954
O15143,P06748,0.019627637450316777
O15143,P07339,0.1455879474911752
O15143,P09382,0.23513298555741308
O15143,P09936,0.09512262981288523
O15143,P13667,0.17389106183281236
O15143,P14174,0.10894924645600412
O15143,P14314,0.08038113487681998
O15143,P14866,0.10434913914500536
O15143,P15374,0.16293722118943724
O15143,P16989,0.10730197141504673
O15143,P17096,0.14369435175730755
O15143,P27635,0.20229743863047192
O15143,P31949,0.22897052429602374
O15143,P37837,0.2145753960645509
O15143,P40939,0.13248264659636289
O15143,P46777,0.036980225944474955
O15143,P47914,0.11538822279680834
O15143,P51911,0.3364536061914036
O15143,P56192,0.28157881696830583
O15143,P60903,0.17552144549092666
O15143,P62328,0.13824911189094158
O15143,P62854,0.11811985030073026
O15143,P62888,0.20516385069782644
O15143,P63208,0.5342230068914722
O15143,P68104,0.22810920838857549
O15143,Q01518,0.0375924812349385
O15143,Q01995,0.005749419125983073
O15143,Q02790,0.1846596280485985
O15143,Q07065,0.22433245163046509
O15143,Q07866,0.04425123453508304
O15143,Q14011,0.2834290350824334
O15143,Q14195,0.2559044147439387
O15143,Q15365,0.16251657006180154
O15143,Q15459,0.15121839686368582
O15143,Q16181,0.33604379356329855
O15143,Q16629,0.38470867137968867
O15143,Q6NYC8,0.05886176192838415
O15143,Q7Z417,0.15735423904504112
O15143,Q92804,0.03660092541332863
O15143,Q96AC1,0.021028930965335327
O15143,Q99439,0.10145812541088714
O15143,Q99460,0.07352307990137849
O15143,Q99613,0.3436243037426198
O15143,Q99879,0.2240430062323916
O15143,Q9UMX0,0.24681651155129813
O15143,Q9UN86,0.15127345177596183
P04406,O15143,0.18137863899082043
P04406,P05787,0.39080037021397024
P04406,P05976,0.030029389190182373
P04406,P06748,0.09397694398526665
P04406,P07339,0.11496342338686612
P04406,P09382,0.16360284792420074
P04406,P09936,0.5137832350029349
P04406,P13667,0.03762050277376225
P04406,P14174,0.2692236799851735
P04406,P14314,0.2238944555649019
P04406,P14866,0.027834754301405168
P04406,P15374,0.41791335967425175
P04406,P16989,0.05201384493908321
P04406,P17096,0.16510967074048546
P04406,P27635,0.2733080315500599
P04406,P31949,0.28821173726676697
P04406,P37837,0.1963976279798411
P04406,P40939,0.4187939839044939
P04406,P46777,0.3437294543083372
P04406,P47914,0.13193120416436765
P04406,P51911,0.12933488840323934
P04406,P56192,0.26251736539016307
P04406,P60903,0.3993417835756322
P04406,P62328,0.07326620604462962
P04406,P62854,0.004018107112106757
P04406,P62888,0.26887484330994715
