Regulator,Target,Weight,Sign
O15143,P04406,0.10839099193155287,
O15143,P05787,0.10351455416558263,
O15143,P05976,0.01755415321424476,
O15143,P06748,0.39312303284281713,
O15143,P07339,0.004463830651563471,
O15143,P09382,0.27355423219674907,
O15143,P09936,0.029921081351320197,
O15143,P13667,0.12702938119702728,
O15143,P14174,0.09692783458598724,
O15143,P14314,0.127501809265234,
O15143,P14866,0.0734902800691703,
O15143,P15374,0.13320547587880674,
O15143,P16989,0.5959963389348031,
O15143,P17096,0.38427451600707047,
O15143,P27635,0.15838624682256935,
O15143,P31949,0.3300111069265808,
O15143,P37837,0.5123621074099166,
O15143,P40939,0.27834759743903675,
O15143,P46777,0.3746350886894632,
O15143,P47914,0.3856889486910731,
O15143,P51911,0.002152147313864851,
O15143,P56192,0.009490303362992017,
O15143,P60903,0.43732010697632984,
O15143,P62328,0.48996075749535084,
O15143,P62854,0.16291645601840335,
O15143,P62888,0.1030364333211321,
O15143,P63208,0.2157721593883936,
O15143,P68104,0.19291898742770758,
O15143,Q01518,0.3983266711418581,
O15143,Q01995,0.08925138935900448,
O15143,Q02790,0.18040384536575604,
O15143,Q07065,0.08824117430109651,
O15143,Q07866,0.24816923256111895,
O15143,Q14011,0.06443140211424178,
O15143,Q14195,0.05724240085631822,
O15143,Q15365,0.12095925971208528,
O15143,Q15459,0.4379185324981611,
O15143,Q16181,0.4074596602976171,
O15143,Q16629,0.3759074970029371,
O15143,Q6NYC8,0.5444286333534306,
O15143,Q7Z417,0.38369207715531867,
O15143,Q92804,0.06853178220033716,
O15143,Q96AC1,0.10645890685197544,
O15143,Q99439,0.24576111471886772,
O15143,Q99460,0.21453581331015417,
O15143,Q99613,0.2443026551539584,
O15143,Q99879,0.09233256855218916,
O15143,Q9UMX0,0.12701333458979586,
O15143,Q9UN86,0.36784401955893753,
P04406,O15143,0.09069631380087767,
P04406,P05787,0.15949536034354211,
P04406,P05976,0.3433737575792771,
P04406,P06748,0.13546063885245654,
P04406,P07339,0.15104613015006232,
P04406,P09382,0.03324391764951719,
P04406,P09936,0.42155945358922187,
P04406,P13667,0.3301542689490517,
P04406,P14174,0.2638717052408191,
P04406,P14314,0.2674480375104616,
P04406,P14866,0.08906067134510584,
P04406,P15374,0.2835370100593822,
P04406,P16989,0.1338656585649196,
P04406,P17096,0.24177121047259886,
P04406,P27635,0.03392640169050157,
P04406,P31949,0.04142310855910571,
P04406,P37837,0.06390621895857297,
P04406,P40939,0.3852084316364454,
P04406,P46777,0.33086750339778953,
P04406,P47914,0.026634311722779615,
P04406,P51911,0.1961270274981053,
P04406,P56192,0.09312857565666703,
P04406,P60903,0.2884130067117333,
P04406,P62328,0.44173229684260673,
P04406,P62854,0.3717045592599943,
P04406,P62888,0.16120226795673112,
P04406,P63208,0.33362997927941157,
P04406,P68104,0.11717163825140316,
P04406,Q01518,0.22296511038033187,
P04406,Q01995,0.22931789439849717,
P04406,Q02790,0.048438688325161336,
P04406,Q07065,0.03510088106715617,
P04406,Q07866,0.06277539676190172,
P04406,Q14011,0.28540982560297345,
P04406,Q14195,0.19997096995258726,
P04406,Q15365,0.09372214025947138,
P04406,Q15459,0.3230947148062846,
P04406,Q16181,0.18254788981145087,
P04406,Q16629,0.12745233660042024,
P04406,Q6NYC8,0.12528611767094833,
P04406,Q7Z417,0.03568636021871214,
P04406,Q92804,0.15159966472939448,
P04406,Q96AC1,0.056758982158442266,
P04406,Q99439,0.2665509363913251,
P04406,Q99460,0.08744872279113211,
P04406,Q99613,0.40699718986261796,
P04406,Q99879,0.08442509820258262,
P04406,Q9UMX0,0.08371088094980067,
P04406,Q9UN86,0.2827020914287754,
P05787,O15143,0.10263733655796559,
P05787,P04406,0.188997285315129,
P05787,P05976,0.3013616199701238,
P05787,P06748,0.057454853516444866,
P05787,P07339,0.2059187127334625,
P05787,P09382,0.45308006788118554,
P05787,P09936,0.30893037423528497,
P05787,P13667,0.09377093817123237,
P05787,P14174,0.46344671998989834,
P05787,P14314,0.10632224391882358,
P05787,P14866,0.17949761035718106,
P05787,P15374,0.300370364406422,
P05787,P16989,0.057986150789136576,
P05787,P17096,0.4228891678742261,
P05787,P27635,0.33421972748051804,
P05787,P31949,0.2326364460139463,
P05787,P37837,0.07007067098853949,
P05787,P40939,0.17176309264266368,
P05787,P46777,0.052050471079788836,
P05787,P47914,0.18380908034470808,
P05787,P51911,0.4173273198979159,
P05787,P56192,0.2538595194184602,
P05787,P60903,0.08545722869565107,
P05787,P62328,0.3544875694139473,
P05787,P62854,0.030954562620183153,
P05787,P62888,0.05562907373210386,
P05787,P63208,0.49610183664030527,
P05787,P68104,0.022217053589835556,
P05787,Q01518,0.389048512216464,
P05787,Q01995,0.44223632281735736,
P05787,Q02790,0.0006711009190048318,
P05787,Q07065,0.11181408886419844,
P05787,Q07866,0.04742073343138279,
P05787,Q14011,0.5200293512628307,
P05787,Q14195,0.4587482652433562,
P05787,Q15365,0.315701864974291,
P05787,Q15459,0.1070698463912658,
P05787,Q16181,0.16310421048435808,
P05787,Q16629,0.08376437287634643,
P05787,Q6NYC8,0.02327704187164341,
P05787,Q7Z417,0.1466497939556377,
P05787,Q92804,0.10741749017052825,
P05787,Q96AC1,0.35064690395724246,
P05787,Q99439,0.45310237885029153,
P05787,Q99460,0.20530474499927256,
P05787,Q99613,0.03121144745484545,
P05787,Q99879,0.3645445849381995,
P05787,Q9UMX0,0.25974252894136957,
P05787,Q9UN86,0.1277659184951273,
P05976,O15143,0.018523862703466055,
P05976,P04406,0.433034326690272,
P05976,P05787,0.32072709671494987,
P05976,P06748,0.2048929048862112,
P05976,P07339,0.39750655875456187,
P05976,P09382,0.04595725919444691,
P05976,P09936,0.3056219663339551,
P05976,P13667,0.680076511259135,
P05976,P14174,0.19525410580161195,
P05976,P14314,0.6075097190604316,
P05976,P14866,0.039883910005977935,
P05976,P15374,0.16257681060239978,
P05976,P16989,0.16823454730226312,
P05976,P17096,0.0008496350523043342,
P05976,P27635,0.07043804764579661,
P05976,P31949,0.7257853888318652,
P05976,P37837,0.16402221087003277,
P05976,P40939,0.06144988314922619,
P05976,P46777,0.18290614893248586,
P05976,P47914,0.21377302824245822,
P05976,P51911,0.059507592747759554,
P05976,P56192,0.12950236681570523,
P05976,P60903,0.34937484559025994,
P05976,P62328,0.21817270749549886,
P05976,P62854,0.21334448667293585,
P05976,P62888,0.3227351070129213,
P05976,P63208,0.22049512736823834,
P05976,P68104,0.2760767554927158,
P05976,Q01518,0.8178415200354184,
P05976,Q01995,0.32621843617423524,
P05976,Q02790,0.2101325843115459,
P05976,Q07065,0.7831710366875636,
P05976,Q07866,0.3387095930632621,
P05976,Q14011,0.1481291211232949,
P05976,Q14195,0.3079945997575719,
P05976,Q15365,0.08235987498069608,
P05976,Q15459,0.14051542726783187,
P05976,Q16181,0.06896033570475721,
P05976,Q16629,0.14583556607651166,
P05976,Q6NYC8,0.1400583784710209,
P05976,Q7Z417,0.015533992601495772,
P05976,Q92804,0.14622330383271626,
P05976,Q96AC1,0.15475662985759042,
P05976,Q99439,0.07914964119201451,
P05976,Q99460,0.5483248096681947,
P05976,Q99613,0.1361769504333227,
P05976,Q99879,0.04557886721907769,
P05976,Q9UMX0,0.21257302785899448,
P05976,Q9UN86,0.16891341514657696,
P06748,O15143,0.31430666830149345,
P06748,P04406,0.12943203498501765,
P06748,P05787,0.04632846058613978,
P06748,P05976,0.15523882838660122,
P06748,P07339,0.12332181271541087,
P06748,P09382,0.2976782883364257,
P06748,P09936,0.29204611292996935,
P06748,P13667,0.06258880823582191,
P06748,P14174,0.03357373120184,
P06748,P14314,0.1371910065838687,
P06748,P14866,0.04127384511845467,
P06748,P15374,0.11308520596173481,
P06748,P16989,0.1852380002912434,
P06748,P17096,0.2263192217203876,
P06748,P27635,0.025643254957915584,
P06748,P31949,0.17126467058073305,
P06748,P37837,0.1781590215405473,
P06748,P40939,0.12778703102323247,
P06748,P46777,0.1165522760212286,
P06748,P47914,0.2147862792829953,
P06748,P51911,0.09499300627088134,
P06748,P56192,0.2746464001284679,
P06748,P60903,0.4661175926203253,
P06748,P62328,0.22917782533515463,
P06748,P62854,0.10049378415514407,
P06748,P62888,0.045653527372617055,
P06748,P63208,0.13176466941279513,
P06748,P68104,0.25406659219391103,
P06748,Q01518,0.12051538957045856,
P06748,Q01995,0.13895845616279853,
P06748,Q02790,0.23250113705957506,
P06748,Q07065,0.26595366819543725,
P06748,Q07866,0.11980497054864254,
P06748,Q14011,0.3662453293095078,
P06748,Q14195,0.19680036952056326,
P06748,Q15365,0.08229019773684336,
P06748,Q15459,0.16326106882703467,
P06748,Q16181,0.13758025165022808,
P06748,Q16629,0.17037297200944881,
P06748,Q6NYC8,0.3101774345237614,
P06748,Q7Z417,0.14105741179166106,
P06748,Q92804,0.3832221413066346,
P06748,Q96AC1,0.09936422479807212,
P06748,Q99439,0.26022714094793736,
P06748,Q99460,0.002465162885137932,
P06748,Q99613,0.1538144477618297,
P06748,Q99879,0.18669938333931121,
P06748,Q9UMX0,0.3652925524353503,
P06748,Q9UN86,0.43828373189823794,
P07339,O15143,0.004793645496697747,
P07339,P04406,0.19385247984087356,
P07339,P05787,0.22302320911761303,
P07339,P05976,0.4045300923218908,
P07339,P06748,0.16564296584880603,
P07339,P09382,0.09851842380200633,
P07339,P09936,0.2138925063580778,
P07339,P13667,0.6146917266894925,
P07339,P14174,0.17969149527849854,
P07339,P14314,0.6811048231687792,
P07339,P14866,0.17786853178193165,
P07339,P15374,0.7120901903290277,
P07339,P16989,0.18664260836186253,
P07339,P17096,0.05210071771291554,
P07339,P27635,0.2157053244972478,
P07339,P31949,0.8592442097864076,
P07339,P37837,0.6471871818000604,
P07339,P40939,0.1624666863932314,
P07339,P46777,0.3058722635445003,
P07339,P47914,0.5207333059310324,
P07339,P51911,0.24470981994045898,
P07339,P56192,0.20675931854808924,
P07339,P60903,0.43661046538492987,
P07339,P62328,0.01256802233437411,
P07339,P62854,0.12745799190856036,
P07339,P62888,0.06283111437136225,
P07339,P63208,0.025267955684755542,
P07339,P68104,0.1776262532813575,
P07339,Q01518,0.2869054201464922,
P07339,Q01995,0.48143504087258066,
P07339,Q02790,0.25580749224563637,
P07339,Q07065,0.29675913012554694,
P07339,Q07866,0.09759345611813008,
P07339,Q14011,0.06880715570810177,
P07339,Q14195,0.37637782339104925,
P07339,Q15365,0.019240609938467667,
P07339,Q15459,0.2588529016273403,
P07339,Q16181,0.20115906107006498,
P07339,Q16629,0.1451914942057692,
P07339,Q6NYC8,0.03821442271789072,
P07339,Q7Z417,0.5265729722136656,
P07339,Q92804,0.07842206824216291,
P07339,Q96AC1,0.03939274287454286,
P07339,Q99439,0.14464625712474913,
P07339,Q99460,0.3885773505481215,
P07339,Q99613,0.00375631473170018,
P07339,Q99879,0.07336510019263477,
P07339,Q9UMX0,0.11109863982378287,
P07339,Q9UN86,0.2178899544560328,
P09382,O15143,0.21406221962445346,
P09382,P04406,0.031089399845189693,
P09382,P05787,0.357575360748841,
P09382,P05976,0.03407995695977745,
P09382,P06748,0.29135242722588545,
P09382,P07339,0.07178865844164954,
P09382,P09936,0.02287338486060065,
P09382,P13667,0.11526928501156812,
P09382,P14174,0.27453319028964956,
P09382,P14314,0.1032259613183898,
P09382,P14866,0.19825481066742914,
P09382,P15374,0.029182447005756878,
P09382,P16989,0.1939769000094944,
P09382,P17096,0.09353904188121025,
P09382,P27635,0.1250015227198854,
P09382,P31949,0.052863457710306996,
P09382,P37837,0.07679331190063292,
P09382,P40939,0.13920232634781057,
P09382,P46777,0.17125364925663208,
P09382,P47914,0.04255900040883612,
P09382,P51911,0.25207481976913143,
P09382,P56192,0.40942976176052714,
P09382,P60903,0.1343127019597527,
P09382,P62328,0.3058307500526081,
P09382,P62854,0.09904203783701392,
P09382,P62888,0.30507285201337897,
P09382,P63208,0.26931742469425163,
P09382,P68104,0.20270273466435892,
P09382,Q01518,0.270125364408675,
P09382,Q01995,0.2011334884679671,
P09382,Q02790,0.14881950375672473,
P09382,Q07065,0.03625080374701021,
P09382,Q07866,0.3364547973747235,
P09382,Q14011,0.20933905644787137,
P09382,Q14195,0.16040920367189054,
P09382,Q15365,0.17321217624971155,
P09382,Q15459,0.05470829599760294,
P09382,Q16181,0.10303715340802946,
P09382,Q16629,0.10768841562726647,
P09382,Q6NYC8,0.18593492614480858,
P09382,Q7Z417,0.13596306272798975,
P09382,Q92804,0.2114480883471504,
P09382,Q96AC1,0.24798179016861563,
