Regulator,Target,Weight
P05556,P05787,0.12929356962132968
P05556,P05976,0.09530428458517334
P05556,P09104,0.06735117825412788
P05556,P12955,0.4087157167157852
P05556,P13667,0.18460212765276454
P05556,P16989,0.15188590780533426
P05556,P17096,0.19350930627923324
P05556,P18621,0.2820004540604704
P05556,P21399,0.1355669270044916
P05556,P24844,0.32573912135790173
P05556,P31949,0.1347164904423334
P05556,P47914,0.28249546497467537
P05556,P49023,0.3475865241849983
P05556,P60228,0.25669511038161313
P05556,P60903,0.423897472857531
P05556,P62328,0.13926352061990255
P05556,P62888,0.536057557745701
P05556,P67809,0.17628036326923907
P05556,P67936,0.18420981531596428
P05556,P80723,0.18947652781462654
P05556,Q01995,0.06863432624045497
P05556,Q02790,0.2784439886903625
P05556,Q07065,0.4022670319375229
P05556,Q07954,0.2339147831239693
P05556,Q14157,0.38289021422828384
P05556,Q14203,0.0731769348881782
P05556,Q15459,0.4568884116180724
P05556,Q16181,0.1970917097360834
P05556,Q3SX28,0.03661349712271444
P05556,Q7Z417,0.16377167283706992
P05556,Q7Z4V5,0.03250669335029958
P05556,Q86UP2,0.42447821095293914
P05556,Q92841,0.23350529228666808
P05556,Q969G3,0.3291412842983673
P05556,Q99613,0.21922436159276767
P05556,Q99879,0.2779555773104468
P05556,Q9NQP4,0.02074457643679279
P05556,Q9UN86,0.19074896274509495
P05556,Q9Y2D5,0.24405403740981582
P05556,Q9Y5S9,0.38956077341700057
P05787,P05556,0.14987456178521993
P05787,P05976,0.33232317331460903
P05787,P09104,0.3232645973515237
P05787,P12955,0.619922203403451
P05787,P13667,0.5624299918747377
P05787,P16989,0.24841645072765808
P05787,P17096,0.010249235644733163
P05787,P18621,0.25834405526865306
P05787,P21399,0.021495188649477453
P05787,P24844,0.20106606165762028
P05787,P31949,0.2586259836113182
P05787,P47914,0.17555406830237097
P05787,P49023,0.09589376262794608
P05787,P60228,0.3242976875386146
P05787,P60903,0.07208144286531284
P05787,P62328,0.30337700378957577
P05787,P62888,0.5820550260666466
P05787,P67809,0.24745540767908641
P05787,P67936,0.4683667544652233
P05787,P80723,0.45655668774680164
P05787,Q01995,0.9620734922011155
P05787,Q02790,0.00869781278334306
P05787,Q07065,0.2842641959554482
P05787,Q07954,0.8580131650256647
P05787,Q14157,0.15948214898536456
P05787,Q14203,0.020940826816549744
P05787,Q15459,0.33206740173810523
P05787,Q16181,0.3028938281928812
P05787,Q3SX28,0.5569102603077974
P05787,Q7Z417,0.45859581646252856
P05787,Q7Z4V5,0.3436617958471326
P05787,Q86UP2,0.3431356173251269
P05787,Q92841,0.0022266432224121277
P05787,Q969G3,0.3156027964061819
P05787,Q99613,0.02136485166062038
P05787,Q99879,0.125497799226007
P05787,Q9NQP4,0.09895062118479167
P05787,Q9UN86,0.023290614874061213
P05787,Q9Y2D5,0.22927699439515153
P05787,Q9Y5S9,0.2076284158936822
P05976,P05556,0.09470420324332607
