Regulator,Target,Weight
P05556,P05787,0.15181169831211141
P05556,P05976,0.4869222153049069
P05556,P09104,0.5547970229512824
P05556,P12955,0.32644177068502167
P05556,P13667,0.06989825175000369
P05556,P16989,0.008185809776881305
P05556,P17096,0.2414099175301097
P05556,P18621,0.04852409035996171
P05556,P21399,0.36926026304353105
P05556,P24844,0.012529350350695878
P05556,P31949,0.5700626794222112
P05556,P47914,0.4040091748634731
P05556,P49023,0.02375236864663208
P05556,P60228,0.1548482729041559
P05556,P60903,0.6070624554508242
P05556,P62328,0.2893344972529908
P05556,P62888,0.4336461093681393
P05556,P67809,0.27503225966152894
P05556,P67936,0.2338791677094925
P05556,P80723,0.2645790038627021
P05556,Q01995,0.04157208210476073
P05556,Q02790,0.20570125994532704
P05556,Q07065,0.7936270466978543
P05556,Q07954,0.017004849106006463
P05556,Q14157,0.5646196035802687
P05556,Q14203,0.5313480690760864
P05556,Q15459,0.36111719803823555
P05556,Q16181,0.27181903236972066
P05556,Q3SX28,0.0083907218696974
P05556,Q7Z417,0.1651564545289095
P05556,Q7Z4V5,0.19078825659937954
P05556,Q86UP2,0.44503175527869787
P05556,Q92841,0.01035474572929448
P05556,Q969G3,0.842821832532604
P05556,Q99613,0.4317687769496208
P05556,Q99879,0.031827530713640306
P05556,Q9NQP4,0.2848980886882959
P05556,Q9UN86,0.45680734326922146
P05556,Q9Y2D5,0.2956595006317753
P05556,Q9Y5S9,0.11688303378165082
P05787,P05556,0.1487178344144326
P05787,P05976,0.5888289402251567
P05787,P09104,0.452854477466433
P05787,P12955,0.7352351573023599
P05787,P13667,0.6461426495186922
P05787,P16989,0.018574525976754543
P05787,P17096,0.08109580203992332
P05787,P18621,0.1193131265452513
P05787,P21399,0.22295220124838827
P05787,P24844,0.6392512653076253
P05787,P31949,0.5619482392082894
P05787,P47914,0.4200830896190624
P05787,P49023,0.056936367787779336
P05787,P60228,0.24546038856166533
P05787,P60903,0.309130729023524
P05787,P62328,0.4654659765090738
P05787,P62888,0.40593273633612714
P05787,P67809,0.014351617717569612
P05787,P67936,0.37355881920761147
P05787,P80723,0.21414607196749336
P05787,Q01995,0.6568784483993969
