Regulator,Target,Weight
O15143,O94925,0.2010579949941691
O15143,P00568,0.009804870485969935
O15143,P02461,0.14802513326618733
O15143,P02652,0.00604970623559586
O15143,P04179,0.25588661937800145
O15143,P05976,0.08837655947035694
O15143,P06753,0.059078321642924536
O15143,P07339,0.13339192502133243
O15143,P12956,0.18888074075972044
O15143,P13010,0.20522715490963714
O15143,P15374,0.18100431605095682
O15143,P18859,0.2513879081366818
O15143,P21281,0.2287397680224845
O15143,P23246,0.13154327559273135
O15143,P26447,0.20345478390964264
O15143,P27816,0.20939918245193698
O15143,P30085,0.1214529544092904
O15143,P36957,0.1820296292815754
O15143,P37837,0.18364734613168185
O15143,P40926,0.14987608086820567
O15143,P42765,0.2644938345312438
O15143,P49023,0.2858126801439978
O15143,P53621,0.20479396501528485
O15143,P56192,0.19780300528171138
O15143,P61981,0.17374984725356232
O15143,P62328,0.07528232944630531
O15143,P62854,0.2480004105561194
O15143,P62917,0.1630773599073532
O15143,P63208,0.27771780317991146
O15143,P63313,0.022864754806454075
O15143,Q01995,0.1153150548243631
O15143,Q02218,0.29008066843254043
O15143,Q02818,0.10124016640813775
O15143,Q05682,0.028775499770741335
O15143,Q07065,0.01948373358671577
O15143,Q07954,0.04042080384064162
O15143,Q13263,0.22169734358639703
O15143,Q14011,0.16380154212743514
O15143,Q14444,0.17592427792464638
O15143,Q14767,0.028286370459614393
O15143,Q15233,0.2441723060782664
O15143,Q15843,0.12173564784542487
O15143,Q7Z417,0.011164045704084023
O15143,Q8WWI1,0.15211081936577428
O15143,Q96CW1,0.14560307149368032
O15143,Q96HC4,0.07833151325754147
O15143,Q9H0U4,0.2195606104250588
O15143,Q9UHD8,0.10439678658342628
O15143,Q9UMS6,0.19695486132545856
O94925,O15143,0.21809328281178028
O94925,P00568,0.016967477607956475
O94925,P02461,0.019178354580688953
O94925,P02652,0.07348883802011702
O94925,P04179,0.19564917403720833
O94925,P05976,0.172954075462427
O94925,P06753,0.15580828956099518
O94925,P07339,0.04635647307119402
