Regulator,Target,Weight
O00232,P05783,0.07817414121028
O00232,P05787,0.13954433150627035
O00232,P07339,0.2141330701967017
O00232,P13667,0.23285269290697422
O00232,P14174,0.34478590174442453
O00232,P14314,0.16614010661382572
O00232,P14866,0.2304183634904842
O00232,P17174,0.13866767469568542
O00232,P22061,0.09014490039653228
O00232,P23284,0.3134214608130077
O00232,P31949,0.11057186353439497
O00232,P40939,0.168449516936442
O00232,P50579,0.04746811165154103
O00232,P60903,0.0345958996012751
O00232,P62854,0.18910412690716985
O00232,P62888,0.11338713210932923
O00232,Q01518,0.007684753672830645
O00232,Q02790,0.3567163537373806
O00232,Q13200,0.19240421299544835
O00232,Q16629,0.2644793303757448
O00232,Q6NYC8,0.07973704703243355
O00232,Q92804,0.07515137139270169
O00232,Q96AC1,0.04104096468098581
O00232,Q99439,0.2025629515410285
O00232,Q99460,0.23469019598443286
O00232,Q99613,0.22041690552214005
O00232,Q9NZM1,0.11890002764765559
O00232,Q9UMX0,0.1427285272785759
O00232,Q9Y2W1,0.1508809744293758
P05783,O00232,0.09290000105338557
P05783,P05787,0.9064158397180894
P05783,P07339,0.428413795055396
P05783,P13667,0.17483616005154085
P05783,P14174,0.020111110694678545
P05783,P14314,0.27895412266058545
P05783,P14866,0.0009032858843035109
P05783,P17174,0.11498465312496561
P05783,P22061,0.3710257443504479
P05783,P23284,0.11568330425922935
P05783,P31949,0.4129830196453878
P05783,P40939,0.5065358800239814
P05783,P50579,0.4178663323998145
P05783,P60903,0.19141994287891226
P05783,P62854,0.10892691301072291
P05783,P62888,0.26839763342415485
P05783,Q01518,0.17012082642346144
P05783,Q02790,0.0018050735707955876
P05783,Q13200,0.16995209164172315
P05783,Q16629,0.019340486335868642
P05783,Q6NYC8,0.02086175861555811
P05783,Q92804,0.31130151418976115
P05783,Q96AC1,0.4181161294220187
P05783,Q99439,0.25796670729924126
P05783,Q99460,0.06978989303554664
P05783,Q99613,0.14802618606529255
P05783,Q9NZM1,0.05703980956119213
P05783,Q9UMX0,0.11176262981453647
P05783,Q9Y2W1,0.08512397408729683
P05787,O00232,0.11009675852029902
P05787,P05783,0.6017792648208974
P05787,P07339,0.24232956314750256
P05787,P13667,0.10180813765020286
P05787,P14174,0.021306395241398175
P05787,P14314,0.1437982403198529
P05787,P14866,0.171406096991679
P05787,P17174,0.3048727500493163
P05787,P22061,0.08529878794020361
P05787,P23284,0.05365699065107343
P05787,P31949,0.10627066893672703
P05787,P40939,0.20980955165221932
P05787,P50579,0.18476488229454527
P05787,P60903,0.1180300187122229
P05787,P62854,0.11519876120348237
P05787,P62888,0.17057290866329494
P05787,Q01518,0.07223164411329458
P05787,Q02790,0.10093417513944175
P05787,Q13200,0.13685123367584337
P05787,Q16629,0.25977372357975664
P05787,Q6NYC8,0.2164083659386412
P05787,Q92804,0.03684887974899177
P05787,Q96AC1,0.11641486845544682
P05787,Q99439,0.15415266085432605
P05787,Q99460,0.05140450417007573
P05787,Q99613,0.07779310574626609
P05787,Q9NZM1,0.12094901108629011
P05787,Q9UMX0,0.0631672748387246
P05787,Q9Y2W1,0.13832458687439536
P07339,O00232,0.2523090871215279
P07339,P05783,0.42477602374406315
P07339,P05787,0.36190385954729787
P07339,P13667,0.4478200916222873
P07339,P14174,0.3212217073129494
P07339,P14314,0.31923343818235933
P07339,P14866,0.22971824769340954
P07339,P17174,0.08096947339738914
P07339,P22061,0.2437718326660606
P07339,P23284,0.4636845910902875
P07339,P31949,0.2929533419007084
P07339,P40939,0.3223224888809561
P07339,P50579,0.05678266404276652
P07339,P60903,0.28513103470220963
P07339,P62854,0.041380837098047935
P07339,P62888,0.21118915853896225
P07339,Q01518,0.20117892217050892
P07339,Q02790,0.05035068840886749
P07339,Q13200,0.2095879008778638
P07339,Q16629,0.050125516259012654
P07339,Q6NYC8,0.13218403912927273
P07339,Q92804,0.05669356178806514
P07339,Q96AC1,0.001434654177532133
P07339,Q99439,0.03235108148052485
P07339,Q99460,0.2159754849165092
P07339,Q99613,0.09158084709633316
P07339,Q9NZM1,0.10496819856264297
P07339,Q9UMX0,0.11971819054109836
P07339,Q9Y2W1,0.014402342571639372
P13667,O00232,0.27163459915904653
P13667,P05783,0.17162576322217182
