Regulator,Target,Weight,Sign
O00232,P04406,0.07940369108157863,
O00232,P05783,0.07644192606698796,
O00232,P05787,0.1550637990332048,
O00232,P06748,0.15692498066131075,
O00232,P07339,0.2723010673274576,
O00232,P09382,0.20040737757465,
O00232,P09936,0.05688575103837162,
O00232,P13667,0.30476154793310445,
O00232,P14174,0.48584706285576484,
O00232,P14314,0.1838164284164171,
O00232,P14866,0.2623200628031253,
O00232,P17174,0.14771394426923132,
O00232,P18669,0.2558616211060502,
O00232,P22061,0.034558437529515616,
O00232,P23284,0.3710408556096264,
O00232,P31949,0.18246576973956427,
O00232,P40939,0.19286493464980078,
O00232,P46777,0.054092345892366986,
O00232,P47914,0.09507605807852829,
O00232,P50579,0.06641677145940768,
O00232,P50914,0.3058985196942209,
O00232,P55060,0.08539620846573763,
O00232,P60903,0.09738094287387732,
O00232,P62805,0.1870281608187089,
O00232,P62829,0.10489519759391308,
O00232,P62854,0.2040155026237497,
O00232,P62888,0.09196111202205177,
O00232,P68104,0.0025899631954977315,
O00232,P68371,0.12791786194423999,
O00232,Q01518,0.055172624853791284,
O00232,Q02790,0.4805577611340244,
O00232,Q07065,0.34422055066389484,
O00232,Q13177,0.11078042240098529,
O00232,Q13200,0.2435191065031208,
O00232,Q13263,0.2514585553906269,
O00232,Q14019,0.18315155884685128,
O00232,Q15233,0.15809081689456791,
O00232,Q15365,0.111545981171789,
O00232,Q16629,0.28651324028925373,
O00232,Q6NYC8,0.07281780338352078,
O00232,Q7Z417,0.3106154004473932,
O00232,Q92804,0.06582437074630912,
O00232,Q96AC1,0.009121638638758351,
O00232,Q99439,0.3129066948871109,
O00232,Q99460,0.3380983108629503,
O00232,Q99613,0.22976469583079145,
O00232,Q9NZM1,0.11960832265844014,
O00232,Q9UMX0,0.12629678917520173,
O00232,Q9Y2W1,0.17134554825861545,
O00232,mg,0.0,
P04406,O00232,0.08626288484593665,
P04406,P05783,0.5190339392180767,
P04406,P05787,0.4214093960239412,
P04406,P06748,0.11021006260353443,
P04406,P07339,0.12713415242563159,
P04406,P09382,0.1936339325027579,
P04406,P09936,0.48754564775563014,
P04406,P13667,0.013374158681161064,
P04406,P14174,0.2952415634887999,
P04406,P14314,0.18580954113095496,
P04406,P14866,0.06660707443615081,
P04406,P17174,0.17281338573559848,
P04406,P18669,0.14131513108652763,
P04406,P22061,0.30588437922457995,
P04406,P23284,0.06395430226847995,
P04406,P31949,0.35253775122195086,
P04406,P40939,0.3669796550320896,
P04406,P46777,0.31108733416580875,
P04406,P47914,0.09993184782806885,
P04406,P50579,0.3409952017123359,
P04406,P50914,0.19460120045904744,
P04406,P55060,0.07705809642150603,
P04406,P60903,0.3390413202415544,
P04406,P62805,0.1642946929143783,
P04406,P62829,0.2886223433368805,
P04406,P62854,0.008063034189080331,
P04406,P62888,0.20658831533897867,
P04406,P68104,0.31757804852807175,
P04406,P68371,0.2276645570466446,
P04406,Q01518,0.011651545486303944,
P04406,Q02790,0.09334133356229697,
P04406,Q07065,0.13324426089528393,
P04406,Q13177,0.34036703266018403,
P04406,Q13200,0.01969478297461148,
P04406,Q13263,0.07814326878438575,
P04406,Q14019,0.0889884598571398,
P04406,Q15233,0.23243073781103846,
P04406,Q15365,0.2086910233933915,
P04406,Q16629,0.03519462708011571,
P04406,Q6NYC8,0.13671497615004347,
P04406,Q7Z417,0.18248730887148057,
P04406,Q92804,0.14054768256801184,
P04406,Q96AC1,0.4415260970803288,
P04406,Q99439,0.4149673733454868,
P04406,Q99460,0.06098109248622949,
P04406,Q99613,0.056665981595711776,
P04406,Q9NZM1,0.033675416584294265,
P04406,Q9UMX0,0.2176014959079053,
