Regulator,Target,Weight,Sign
O00232,P04406,0.07851981309433662,
O00232,P05783,0.07559101681035224,
O00232,P05787,0.15333771455633233,
O00232,P06748,0.15517817853959168,
O00232,P07339,0.26926996239980705,
O00232,P09382,0.1981765534516819,
O00232,P09936,0.05625253030964722,
O00232,P13667,0.30136911088259466,
O00232,P14174,0.4804388819743593,
O00232,P14314,0.1817702855661291,
O00232,P14866,0.25940006089945794,
O00232,P17174,0.14606967431189496,
O00232,P18669,0.25301351100445224,
O00232,P22061,0.034173752110116834,
O00232,P23284,0.36691063395153234,
O00232,P31949,0.18043466167519506,
O00232,P40939,0.1907180688312863,
O00232,P46777,0.0534902198052689,
O00232,P47914,0.09401772396705432,
O00232,P50579,0.0656774566810078,
O00232,P50914,0.30249342650267946,
O00232,P55060,0.08444562508821485,
O00232,P60903,0.0962969520592203,
O00232,P62805,0.18494626673931405,
O00232,P62829,0.1037275622511807,
O00232,P62854,0.20174451484764855,
O00232,P62888,0.09093745176784993,
O00232,P68104,0.0025611331571827327,
O00232,P68371,0.12649395103019093,
O00232,Q01518,0.05455847369857516,
O00232,Q02790,0.4752084578349582,
O00232,Q07065,0.34038887781164995,
O00232,Q13177,0.10954727598873479,
O00232,Q13200,0.24080838644995103,
O00232,Q13263,0.2486594577820817,
O00232,Q14019,0.18111281695730902,
O00232,Q15233,0.15633103732838355,
O00232,Q15365,0.11030431298100653,
O00232,Q16629,0.2833239333100287,
O00232,Q6NYC8,0.07200723585683881,
O00232,Q7Z417,0.3071578015472462,
O00232,Q92804,0.06509165024511215,
O00232,Q96AC1,0.00902010160073807,
O00232,Q99439,0.3094235905641058,
O00232,Q99460,0.3343347873992296,
O00232,Q99613,0.2272070822724755,
O00232,Q9NZM1,0.11827690894142362,
O00232,Q9UMX0,0.12489092314693877,
O00232,Q9Y2W1,0.1694382243514598,
P04406,O00232,0.08560307439997356,
P04406,P05783,0.5150639350208244,
P04406,P05787,0.41818610570597664,
P04406,P06748,0.10936708418140155,
P04406,P07339,0.12616172445781074,
P04406,P09382,0.19215285878737715,
P04406,P09936,0.4838164922579032,
P04406,P13667,0.013271861967818894,
P04406,P14174,0.29298330991867755,
P04406,P14314,0.1843883148825245,
P04406,P14866,0.06609760801193003,
P04406,P17174,0.1714915649164334,
P04406,P18669,0.14023423517364392,
P04406,P22061,0.30354472052860926,
P04406,P23284,0.06346512645693148,
P04406,P31949,0.34984124864998134,
P04406,P40939,0.3641726887419628,
P04406,P46777,0.3087078789336311,
P04406,P47914,0.0991674857597342,
P04406,P50579,0.3383869861800716,
P04406,P50914,0.19311272827209053,
P04406,P55060,0.07646869186987597,
P04406,P60903,0.33644804962339664,
P04406,P62805,0.16303803015841314,
P04406,P62829,0.28641471907973876,
P04406,P62854,0.0080013613828252,
P04406,P62888,0.20500815570575148,
P04406,P68104,0.31514894690219586,
P04406,P68371,0.22592318874914763,
P04406,Q01518,0.011562424754517523,
P04406,Q02790,0.09262738124045515,
P04406,Q07065,0.1322250977249314,
P04406,Q13177,0.33776362188842823,
P04406,Q13200,0.019544140858218578,
P04406,Q13263,0.07754556392986076,
P04406,Q14019,0.08830780194164374,
P04406,Q15233,0.2306529137903382,
P04406,Q15365,0.20709478049634933,
P04406,Q16629,0.03492542923644623,
P04406,Q6NYC8,0.1356692660564789,
P04406,Q7Z417,0.18109149382467168,
P04406,Q92804,0.13947265674108877,
P04406,Q96AC1,0.43814893746482064,
P04406,Q99439,0.41179335698658337,
P04406,Q99460,0.06051465826138322,
P04406,Q99613,0.05623255293594578,
P04406,Q9NZM1,0.03341783892880369,
P04406,Q9UMX0,0.2159370982899304,
P04406,Q9Y2W1,0.15113146011226763,
P05783,O00232,0.08252881920665328,
P05783,P04406,0.5158061076407738,
P05783,P05787,1.0,
P05783,P06748,0.1700352514594279,
P05783,P07339,0.5241831452327455,
P05783,P09382,0.18401221165949305,
P05783,P09936,0.4524687695364464,
P05783,P13667,0.18095421633895442,
P05783,P14174,0.08926257081057963,
P05783,P14314,0.2981235609105013,
P05783,P14866,0.06928895788621105,
P05783,P17174,0.09745849158761646,
P05783,P18669,0.06393339029500414,
P05783,P22061,0.3617708885671342,
P05783,P23284,0.0778170488129824,
P05783,P31949,0.4768740636190425,
P05783,P40939,0.5669803723792259,
P05783,P46777,0.011322246463449726,
P05783,P47914,0.2917809766120427,
P05783,P50579,0.43964785709569454,
P05783,P50914,0.15826786303851073,
P05783,P55060,0.2697374859623465,
P05783,P60903,0.15386402276705496,
P05783,P62805,0.04178911687075012,
P05783,P62829,0.021282137248488812,
P05783,P62854,0.10395288196392632,
P05783,P62888,0.2444181587862647,
P05783,P68104,0.032576273995574785,
P05783,P68371,0.03712803431245139,
P05783,Q01518,0.2455401338936944,
P05783,Q02790,0.05549086595341979,
P05783,Q07065,0.13492864410371178,
P05783,Q13177,0.3388419953519262,
P05783,Q13200,0.15582221553753312,
P05783,Q13263,0.05010186552188059,
P05783,Q14019,0.2444817210020778,
P05783,Q15233,0.024058011087627805,
P05783,Q15365,0.14615982778426165,
P05783,Q16629,0.0948881761048998,
P05783,Q6NYC8,0.026012456182736662,
P05783,Q7Z417,0.21825942892160236,
P05783,Q92804,0.28657823201394317,
P05783,Q96AC1,0.41657547906130016,
P05783,Q99439,0.2626145918869585,
P05783,Q99460,0.04055636218653722,
P05783,Q99613,0.2660474427875595,
P05783,Q9NZM1,0.03475389842786495,
P05783,Q9UMX0,0.2254433881632684,
P05783,Q9Y2W1,0.0319724100312104,
P05787,O00232,0.16116964059461325,
P05787,P04406,0.40317513996112636,
P05787,P05783,0.9627173691522248,
P05787,P06748,0.08032862067320937,
P05787,P07339,0.44596724698756307,
P05787,P09382,0.4756149184859755,
P05787,P09936,0.5296941721081749,
P05787,P13667,0.17156517080121525,
P05787,P14174,0.11600067713226637,
P05787,P14314,0.20698751134946944,
P05787,P14866,0.19884681638504906,
P05787,P17174,0.3297629600067676,
P05787,P18669,0.011782915554690822,
P05787,P22061,0.036528449815650066,
P05787,P23284,0.05285500445881704,
P05787,P31949,0.16140195250344724,
P05787,P40939,0.3297782092753465,
P05787,P46777,0.1127772667911061,
P05787,P47914,0.04872228273647734,
P05787,P50579,0.2665807715337731,
P05787,P50914,0.02693182876378276,
P05787,P55060,0.5035715461993022,
P05787,P60903,0.09357912877718959,
P05787,P62805,0.1570725828598444,
P05787,P62829,0.06488875333629994,
P05787,P62854,0.18161628909304933,
P05787,P62888,0.21535494773785166,
P05787,P68104,0.07224924031557757,
P05787,P68371,0.17338807806067874,
P05787,Q01518,0.1975339188013796,
P05787,Q02790,0.08698887751583569,
P05787,Q07065,0.04878322013791578,
P05787,Q13177,0.025722036793943755,
P05787,Q13200,0.19867119427941063,
P05787,Q13263,0.1631653268805137,
P05787,Q14019,0.3396301405841697,
P05787,Q15233,0.09702273370563809,
P05787,Q15365,0.3430159428507937,
P05787,Q16629,0.27719197804787055,
P05787,Q6NYC8,0.2902044370759122,
P05787,Q7Z417,0.23486007311474266,
P05787,Q92804,0.0007741234772570084,
P05787,Q96AC1,0.12101341519245941,
P05787,Q99439,0.1950590377452696,
P05787,Q99460,0.05992213166647793,
P05787,Q99613,0.0032642870647216055,
P05787,Q9NZM1,0.2417272508516743,
P05787,Q9UMX0,0.2281826524354082,
P05787,Q9Y2W1,0.14951289951166027,
P06748,O00232,0.1298329591536505,
P06748,P04406,0.08393263044026625,
P06748,P05783,0.13030402460242113,
P06748,P05787,0.06394261070421774,
P06748,P07339,0.04930330217616367,
P06748,P09382,0.13383073849415716,
P06748,P09936,0.01447899915108696,
P06748,P13667,0.02192276763072824,
P06748,P14174,0.01634293845905676,
P06748,P14314,0.09935711318006403,
P06748,P14866,0.26030247763963527,
P06748,P17174,0.3737166739324239,
P06748,P18669,0.030109792079609683,
P06748,P22061,0.1564424096972749,
P06748,P23284,0.2554194899327214,
P06748,P31949,0.26439074715576166,
P06748,P40939,0.05288859609136798,
P06748,P46777,0.15366504318276772,
P06748,P47914,0.35428983488955534,
P06748,P50579,0.2535991024205442,
P06748,P50914,0.06360504289455952,
P06748,P55060,0.3097560229869303,
P06748,P60903,0.015255512474394566,
P06748,P62805,0.2381114547148243,
P06748,P62829,0.21495151367113804,
P06748,P62854,0.39483209975861494,
P06748,P62888,0.16853066499957362,
P06748,P68104,0.25677972785634473,
P06748,P68371,0.22598969763006618,
P06748,Q01518,0.13257743352434964,
P06748,Q02790,0.04846065799946369,
P06748,Q07065,0.07650985467484983,
P06748,Q13177,0.20110399056611897,
P06748,Q13200,0.16822672541240635,
P06748,Q13263,0.0065027245388718825,
P06748,Q14019,0.15850866153107848,
P06748,Q15233,0.05242685372377695,
P06748,Q15365,0.06427413442174566,
P06748,Q16629,0.18432937771276384,
P06748,Q6NYC8,0.3745152919420087,
P06748,Q7Z417,0.45831246899009614,
P06748,Q92804,0.20623168547900286,
P06748,Q96AC1,0.22979370714313446,
P06748,Q99439,0.3085590151320077,
P06748,Q99460,0.05132463051280407,
P06748,Q99613,0.21687598872219205,
P06748,Q9NZM1,0.16201498936922595,
P06748,Q9UMX0,0.13526878300070108,
P06748,Q9Y2W1,0.01550625895319014,
P07339,O00232,0.32399570007513334,
P07339,P04406,0.13924154966273314,
P07339,P05783,0.577695447372797,
P07339,P05787,0.5105285682765349,
P07339,P06748,0.0709043759300218,
P07339,P09382,0.2561310840637138,
P07339,P09936,0.04476635289890869,
P07339,P13667,0.5897283067069017,
P07339,P14174,0.4170283172220027,
P07339,P14314,0.40875390614077783,
P07339,P14866,0.26066918889305685,
P07339,P17174,0.11478707935255165,
P07339,P18669,0.3930395554941345,
P07339,P22061,0.24242027566926042,
P07339,P23284,0.531708270585156,
P07339,P31949,0.3921278133237738,
P07339,P40939,0.3997467377158831,
P07339,P46777,0.08035057362992241,
P07339,P47914,0.22985018342945018,
P07339,P50579,0.07033707314248014,
P07339,P50914,0.3067095273371516,
P07339,P55060,0.2850481905682154,
P07339,P60903,0.39431910147469135,
P07339,P62805,0.005269084959335383,
P07339,P62829,0.010526763889283364,
P07339,P62854,0.028351597715467997,
P07339,P62888,0.22548275389015182,
P07339,P68104,0.018352037806059922,
P07339,P68371,0.051221881354872836,
P07339,Q01518,0.2785897962805786,
P07339,Q02790,0.02480924226825176,
P07339,Q07065,0.3867236787560602,
P07339,Q13177,0.2394534626095644,
P07339,Q13200,0.25661499655828773,
P07339,Q13263,0.15623065419444204,
P07339,Q14019,0.6623259883873104,
P07339,Q15233,0.06643623349151341,
P07339,Q15365,0.10190517584571498,
P07339,Q16629,0.0084808280523531,
P07339,Q6NYC8,0.08940364106553329,
P07339,Q7Z417,0.10225842292352913,
P07339,Q92804,0.09485664406998708,
P07339,Q96AC1,0.014574746139682185,
P07339,Q99439,0.05375144741111696,
P07339,Q99460,0.2831528547689968,
P07339,Q99613,0.03492600508382688,
P07339,Q9NZM1,0.20499107272264244,
P07339,Q9UMX0,0.2642306481328291,
P07339,Q9Y2W1,0.008163890416767551,
P09382,O00232,0.18248625930466245,
P09382,P04406,0.1622985510177069,
P09382,P05783,0.15519906436502803,
P09382,P05787,0.41667660290370195,
P09382,P06748,0.1472921041558936,
P09382,P07339,0.19601479312227155,
P09382,P09936,0.2080598902228971,
P09382,P13667,0.16461597133315825,
P09382,P14174,0.07626770943306391,
P09382,P14314,0.2000766455319507,
P09382,P14866,0.37936476048584356,
P09382,P17174,0.1698686090905739,
P09382,P18669,0.25854785910132794,
P09382,P22061,0.07647064172341915,
P09382,P23284,0.031517002058945705,
P09382,P31949,0.12709395396675832,
P09382,P40939,0.016863223187569377,
P09382,P46777,0.041477865144981384,
P09382,P47914,0.1017225584429714,
P09382,P50579,0.22129937757674412,
P09382,P50914,0.013583887887637223,
P09382,P55060,0.29294755624962054,
P09382,P60903,0.11735123766420034,
P09382,P62805,0.28841538110365605,
P09382,P62829,0.23461135976644673,
P09382,P62854,0.1330637078516489,
P09382,P62888,0.13565412466428448,
P09382,P68104,0.17075097855506974,
P09382,P68371,0.2406215206688348,
P09382,Q01518,0.15611914787102557,
P09382,Q02790,0.18439136828176297,
P09382,Q07065,0.0300644120309129,
P09382,Q13177,0.06889628054914664,
P09382,Q13200,0.2216978795677036,
P09382,Q13263,0.20298291562970158,
P09382,Q14019,0.06641068811124574,
P09382,Q15233,0.06980136362643025,
P09382,Q15365,0.27764251685266106,
P09382,Q16629,0.3229809789965673,
P09382,Q6NYC8,0.24076949381712232,
P09382,Q7Z417,0.10308229095858099,
P09382,Q92804,0.0749619102609095,
P09382,Q96AC1,0.028498055240977517,
P09382,Q99439,0.08525557842447522,
P09382,Q99460,0.15807723993551698,
P09382,Q99613,0.2478042039577235,
P09382,Q9NZM1,0.1691607273291625,
P09382,Q9UMX0,0.052084506358685945,
